"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/il/chicago/clark-eagles/","/il/chicago/dyett-eagles/",NA,NA,"2004","8-28-2004","Non-Conference","Neutral","varsity","DyettChicago","Sat, 8/28Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/agricultural-science-cyclones/","6","38","2004","9-4-2004","Non-Conference","Neutral","varsity","Agricultural ScienceChicago","Sat, 9/4Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/roosevelt-rough-riders/","0","55","2004","9-11-2004","Conference","Neutral","varsity","RooseveltChicago","Sat, 9/11Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/orr-spartans/","0","30","2004","9-18-2004","Conference","Neutral","varsity","OrrChicago","Sat, 9/18Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/juarez-eagles/","6","12","2004","9-25-2004","Conference","Neutral","varsity","JuarezChicago","Sat, 9/25Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/kelvyn-park-panthers/","6","32","2004","10-1-2004","Conference","Neutral","varsity","Kelvyn ParkChicago","Fri, 10/1Time TBA"
"/il/chicago/clark-eagles/","/il/chicago/payton-college-prep-grizzlies/","6","44","2004","10-8-2004","Conference","Away","varsity","Payton College PrepChicago","Fri, 10/8Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/chicago-military-academy-eagles/","0","36","2004","8-28-2004","Non-Conference","Neutral","varsity","Chicago Military AcademyChicago","Sat, 8/28Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/foreman-hornets/","6","32","2004","9-2-2004","Non-Conference","Neutral","varsity","ForemanChicago","Thu, 9/2Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/payton-college-prep-grizzlies/","6","34","2004","9-9-2004","Conference","Home","varsity","Payton College PrepChicago","Thu, 9/9Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/kelvyn-park-panthers/","0","56","2004","9-18-2004","Conference","Neutral","varsity","Kelvyn ParkChicago","Sat, 9/18Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/clark-eagles/","12","6","2004","9-25-2004","Conference","Neutral","varsity","ClarkChicago","Sat, 9/25Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/roosevelt-rough-riders/","0","41","2004","9-30-2004","Conference","Neutral","varsity","RooseveltChicago","Thu, 9/30Time TBA"
"/il/chicago/juarez-eagles/","/il/chicago/orr-spartans/","0","30","2004","10-7-2004","Conference","Neutral","varsity","OrrChicago","Thu, 10/7Time TBA"
"/il/chicago/tilden-blue-devils/","/il/chicago/kelly-trojans/","6","26","2004","8-27-2004","Non-Conference","Neutral","varsity","KellyChicago","Fri, 8/27Time TBA"
"/il/chicago/tilden-blue-devils/",NA,NA,NA,"2004","9-2-2004","Non-Conference","Away","varsity","EnglewoodChicago","Thu, 9/2Time TBA"
"/il/chicago/tilden-blue-devils/","/il/chicago/agricultural-science-cyclones/",NA,NA,"2004","9-11-2004","Conference","Neutral","varsity","Agricultural ScienceChicago","Sat, 9/11Time TBA"
"/il/chicago/tilden-blue-devils/","/il/chicago/kennedy-crusaders/",NA,NA,"2004","9-16-2004","Conference","Neutral","varsity","KennedyChicago","Thu, 9/16Time TBA"
"/il/chicago/tilden-blue-devils/","/il/chicago/king-jaguars/","0","60","2004","9-25-2004","Conference","Neutral","varsity","KingChicago","Sat, 9/25Time TBA"
