"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/nv/zephyr-cove/whittell-warriors/","/nv/hawthorne/mineral-county-serpents/","0","45","2004","9-3-2004","League","Away","varsity","Mineral CountyHawthorne","Fri, 9/37:30pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/elko/independence-colts/","12","36","2004","9-11-2004","League","Home","varsity","IndependenceElko","Sat, 9/112:00pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/lovelock/pershing-county-mustangs/","0","48","2004","9-24-2004","League","Away","varsity","Pershing CountyLovelock","Fri, 9/247:30pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/yerington/yerington-lions/","7","49","2004","10-2-2004","League","Home","varsity","Yerington","Sat, 10/22:00pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/battle-mountain/battle-mountain-longhorns/","10","59","2004","10-9-2004","League","Home","varsity","Battle Mountain","Sat, 10/92:00pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/silver-springs/silver-stage-nighthawks/","0","32","2004","10-16-2004","League","Away","varsity","Silver StageSilver Springs","Sat, 10/1612:00pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/yerington/sierra-sage-academy-rop-rams/","0","42","2004","10-23-2004","League","Away","varsity","Sierra Sage Academy/ROPYerington","Sat, 10/231:30pm"
"/nv/zephyr-cove/whittell-warriors/","/nv/incline-village/incline-highlanders/","10","18","2004","10-28-2004","League","Away","varsity","InclineIncline Village","Thu, 10/286:00pm"
"/nv/las-vegas/clark-chargers/","/nv/henderson/liberty-patriots/","22","31","2004","9-3-2004","Non-League","Home","varsity","LibertyHenderson","Fri, 9/37:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/rancho-rams/","13","35","2004","9-10-2004","Non-League","Home","varsity","RanchoLas Vegas","Fri, 9/107:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/silverado-skyhawks/","7","40","2004","9-17-2004","Non-League","Away","varsity","SilveradoLas Vegas","Fri, 9/177:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/valley-vikings/","7","56","2004","9-23-2004","Non-League","Away","varsity","ValleyLas Vegas","Thu, 9/237:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/sierra-vista-mountain-lions/","6","55","2004","10-1-2004","League","Away","varsity","Sierra VistaLas Vegas","Fri, 10/17:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/bonanza-bengals/","0","66","2004","10-8-2004","League","Home","varsity","BonanzaLas Vegas","Fri, 10/87:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/durango-trailblazers/","12","62","2004","10-15-2004","League","Away","varsity","DurangoLas Vegas","Fri, 10/157:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/bishop-gorman-gaels/","7","56","2004","10-22-2004","League","Home","varsity","Bishop GormanLas Vegas","Fri, 10/227:00pm"
"/nv/las-vegas/clark-chargers/","/nv/las-vegas/western-warriors/","6","44","2004","10-28-2004","League","Home","varsity","WesternLas Vegas","Thu, 10/287:00pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/battle-mountain/battle-mountain-longhorns/","0","29","2004","9-4-2004","League","Home","varsity","Battle Mountain","Sat, 9/412:30pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/lovelock/pershing-county-mustangs/","0","61","2004","9-11-2004","League","Home","varsity","Pershing CountyLovelock","Sat, 9/1112:30pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/yerington/sierra-sage-academy-rop-rams/","0","68","2004","9-18-2004","League","Home","varsity","Sierra Sage Academy/ROPYerington","Sat, 9/1812:30pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/elko/independence-colts/","20","56","2004","9-24-2004","League","Away","varsity","IndependenceElko","Fri, 9/241:30pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/incline-village/incline-highlanders/","15","28","2004","10-2-2004","League","Away","varsity","InclineIncline Village","Sat, 10/212:00pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/zephyr-cove/whittell-warriors/","32","0","2004","10-16-2004","League","Home","varsity","WhittellZephyr Cove","Sat, 10/1612:00pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/yerington/yerington-lions/","15","28","2004","10-22-2004","League","Away","varsity","Yerington","Fri, 10/227:30pm"
"/nv/silver-springs/silver-stage-nighthawks/","/nv/hawthorne/mineral-county-serpents/","8","28","2004","10-27-2004","League","Away","varsity","Mineral CountyHawthorne","Wed, 10/277:30pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/north-las-vegas/canyon-springs-pioneers/","6","32","2004","9-3-2004","League","Home","varsity","Canyon SpringsNorth Las Vegas","Fri, 9/37:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/las-vegas/del-sol-dragons/","0","28","2004","9-10-2004","League","Away","varsity","Del SolLas Vegas","Fri, 9/107:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/overton/moapa-valley-pirates/","12","48","2004","9-17-2004","Non-League","Home","varsity","Moapa ValleyOverton","Fri, 9/177:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/mesquite/virgin-valley-bulldogs/","0","39","2004","9-23-2004","Non-League","Home","varsity","Virgin ValleyMesquite","Thu, 9/236:30pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/las-vegas/faith-lutheran-crusaders/","7","54","2004","10-1-2004","Non-League","Away","varsity","Faith LutheranLas Vegas","Fri, 10/17:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/pahrump/pahrump-valley-trojans/","6","36","2004","10-8-2004","Non-League","Home","varsity","Pahrump ValleyPahrump","Fri, 10/87:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/north-las-vegas/canyon-springs-pioneers/","0","12","2004","10-15-2004","League","Away","varsity","Canyon SpringsNorth Las Vegas","Fri, 10/157:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/boulder-city/boulder-city-eagles/","0","48","2004","10-22-2004","Non-League","Away","varsity","Boulder City","Fri, 10/227:00pm"
"/nv/las-vegas/spring-valley-grizzlies/","/nv/las-vegas/del-sol-dragons/","13","19","2004","10-28-2004","League","Home","varsity","Del SolLas Vegas","Thu, 10/287:00pm"
"/nv/incline-village/incline-highlanders/","/nv/yerington/sierra-sage-academy-rop-rams/","0","40","2004","8-27-2004","League","Away","varsity","Sierra Sage Academy/ROPYerington","Fri, 8/271:30pm"
"/nv/incline-village/incline-highlanders/","/nv/sparks/sparks-railroaders/","14","34","2004","9-3-2004","Non-League","Away","varsity","Sparks","Fri, 9/37:00pm"
"/nv/incline-village/incline-highlanders/","/nv/yerington/yerington-lions/","20","37","2004","9-10-2004","League","Home","varsity","Yerington","Fri, 9/106:00pm"
"/nv/incline-village/incline-highlanders/","/nv/hawthorne/mineral-county-serpents/","3","15","2004","9-17-2004","League","Home","varsity","Mineral CountyHawthorne","Fri, 9/176:00pm"
"/nv/incline-village/incline-highlanders/","/nv/battle-mountain/battle-mountain-longhorns/","28","35","2004","9-25-2004","League","Away","varsity","Battle Mountain","Sat, 9/257:30pm"
"/nv/incline-village/incline-highlanders/","/nv/silver-springs/silver-stage-nighthawks/","28","15","2004","10-2-2004","League","Home","varsity","Silver StageSilver Springs","Sat, 10/212:00pm"
"/nv/incline-village/incline-highlanders/","/nv/lovelock/pershing-county-mustangs/","0","51","2004","10-8-2004","League","Home","varsity","Pershing CountyLovelock","Fri, 10/86:00pm"
"/nv/incline-village/incline-highlanders/","/nv/elko/independence-colts/","20","28","2004","10-15-2004","League","Away","varsity","IndependenceElko","Fri, 10/151:30pm"
"/nv/incline-village/incline-highlanders/","/nv/zephyr-cove/whittell-warriors/","18","10","2004","10-28-2004","League","Home","varsity","WhittellZephyr Cove","Thu, 10/286:00pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/zephyr-cove/whittell-warriors/","45","0","2004","9-3-2004","League","Home","varsity","WhittellZephyr Cove","Fri, 9/37:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/incline-village/incline-highlanders/","15","3","2004","9-17-2004","League","Away","varsity","InclineIncline Village","Fri, 9/176:00pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/yerington/sierra-sage-academy-rop-rams/","0","47","2004","9-25-2004","League","Away","varsity","Sierra Sage Academy/ROPYerington","Sat, 9/251:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/elko/independence-colts/","15","18","2004","10-1-2004","League","Away","varsity","IndependenceElko","Fri, 10/11:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/yerington/yerington-lions/","8","32","2004","10-8-2004","League","Home","varsity","Yerington","Fri, 10/87:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/lovelock/pershing-county-mustangs/","0","39","2004","10-15-2004","League","Away","varsity","Pershing CountyLovelock","Fri, 10/157:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/battle-mountain/battle-mountain-longhorns/","12","42","2004","10-22-2004","League","Home","varsity","Battle Mountain","Fri, 10/227:30pm"
"/nv/hawthorne/mineral-county-serpents/","/nv/silver-springs/silver-stage-nighthawks/","28","8","2004","10-27-2004","League","Home","varsity","Silver StageSilver Springs","Wed, 10/277:30pm"
"/nv/las-vegas/del-sol-dragons/","/nv/henderson/coronado-cougars/","0","66","2004","8-27-2004","Non-League","Away","varsity","CoronadoHenderson","Fri, 8/277:00pm"
"/nv/las-vegas/del-sol-dragons/","/nv/mesquite/virgin-valley-bulldogs/","7","40","2004","9-3-2004","Non-League","Away","varsity","Virgin ValleyMesquite","Fri, 9/37:30pm"
"/nv/las-vegas/del-sol-dragons/","/nv/las-vegas/spring-valley-grizzlies/","28","0","2004","9-10-2004","League","Home","varsity","Spring ValleyLas Vegas","Fri, 9/107:00pm"
"/nv/las-vegas/del-sol-dragons/","/nv/henderson/liberty-patriots/","6","21","2004","9-17-2004","Non-League","Home","varsity","LibertyHenderson","Fri, 9/177:00pm"
"/nv/las-vegas/del-sol-dragons/","/nv/overton/moapa-valley-pirates/","0","54","2004","9-23-2004","Non-League","Away","varsity","Moapa ValleyOverton","Thu, 9/23Time TBA"
"/nv/las-vegas/del-sol-dragons/","/nv/north-las-vegas/canyon-springs-pioneers/","14","34","2004","10-1-2004","League","Home","varsity","Canyon SpringsNorth Las Vegas","Fri, 10/17:00pm"
