"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/in/edinburgh/edinburgh-lancers/","/in/trafalgar/indian-creek-braves/","0","76","2006","8-18-2006","Conference","Away","varsity","Indian CreekTrafalgar","Fri, 8/187:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/greensburg/north-decatur-chargers/","14","69","2006","8-25-2006","Conference","Away","varsity","North DecaturGreensburg","Fri, 8/257:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/fountain-city/northeastern-knights/","0","41","2006","9-1-2006","Non-Conference","Home","varsity","NortheasternFountain City","Fri, 9/17:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/greensburg/south-decatur-cougars/","0","53","2006","9-8-2006","Conference","Home","varsity","South DecaturGreensburg","Fri, 9/87:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/fairland/triton-central-tigers/","0","62","2006","9-15-2006","Conference","Home","varsity","Triton CentralFairland","Fri, 9/157:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/gaston/wes-del-warriors/","6","42","2006","9-22-2006","Non-Conference","Away","varsity","Wes-DelGaston","Fri, 9/22Time TBA"
"/in/edinburgh/edinburgh-lancers/","/in/indianapolis/indiana-school-for-the-deaf-deaf-hoosiers/","0","32","2006","9-29-2006","Non-Conference","Home","varsity","Indiana School for the DeafIndianapolis","Fri, 9/297:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/milan/milan-indians/","25","41","2006","10-6-2006","Conference","Home","varsity","Milan","Fri, 10/67:00pm"
"/in/edinburgh/edinburgh-lancers/","/in/indianapolis/park-tudor-panthers/","13","49","2006","10-13-2006","Non-Conference","Away","varsity","Park TudorIndianapolis","Fri, 10/13Time TBA"
"/in/edinburgh/edinburgh-lancers/","/in/milan/milan-indians/","0","51","2006","10-20-2006","Playoff","Away","varsity","Milan","Fri, 10/207:00pm"
"/in/hobart/river-forest-ingots/","/in/whiting/whiting-oilers/","8","41","2006","8-18-2006","Non-Conference","Away","varsity","Whiting","Fri, 8/18Time TBA"
"/in/hobart/river-forest-ingots/","/in/lake-station/lake-station-edison-fighting-eagles/","6","60","2006","8-25-2006","Non-Conference","Away","varsity","Lake Station EdisonLake Station","Fri, 8/25Time TBA"
"/in/hobart/river-forest-ingots/",NA,"59","68","2006","9-1-2006","Non-Conference","Away","varsity","WirtGary","Fri, 9/1Time TBA"
"/in/hobart/river-forest-ingots/","/mi/eau-claire/eau-claire-beavers/","7","59","2006","9-8-2006","Non-Conference","Home","varsity","Eau ClaireMI","Fri, 9/8Time TBA"
"/in/hobart/river-forest-ingots/","/in/indianapolis/indianapolis-lutheran-saints/",NA,NA,"2006",NA,"Conference","Away","varsity","Indianapolis LutheranIndianapolis","Sat, 9/162:00pm"
"/in/hobart/river-forest-ingots/","/in/morocco/north-newton-spartans/","14","50","2006","9-23-2006","Conference","Away","varsity","North NewtonMorocco","Sat, 9/23Time TBA"
"/in/hobart/river-forest-ingots/","/mi/covert/covert-bulldogs/","20","28","2006","9-29-2006","Non-Conference","Home","varsity","CovertMI","Fri, 9/29Time TBA"
"/in/hobart/river-forest-ingots/","/in/north-judson/north-judson-san-pierre-bluejays/","6","83","2006","10-6-2006","Conference","Home","varsity","North Judson-San PierreNorth Judson","Fri, 10/6Time TBA"
"/in/hobart/river-forest-ingots/","/in/union-mills/south-central-satellites/","6","48","2006","10-13-2006","Conference","Home","varsity","South CentralUnion Mills","Fri, 10/13Time TBA"
"/in/hobart/river-forest-ingots/","/in/union-mills/south-central-satellites/","12","55","2006","10-20-2006","Playoff","Away","varsity","South CentralUnion Mills","Fri, 10/207:00pm"
"/in/liberty/union-county-patriots/","/in/greensburg/north-decatur-chargers/","18","62","2006","8-18-2006","Non-Conference","Home","varsity","North DecaturGreensburg","Fri, 8/18Time TBA"
"/in/liberty/union-county-patriots/","/in/greensburg/south-decatur-cougars/","0","47","2006","8-25-2006","Non-Conference","Away","varsity","South DecaturGreensburg","Fri, 8/25Time TBA"
"/in/liberty/union-county-patriots/","/in/union-city/union-city-indians/","0","27","2006","9-1-2006","Conference","Home","varsity","Union City","Fri, 9/17:00pm"
"/in/liberty/union-county-patriots/","/in/winchester/winchester-community-golden-falcons/","0","52","2006","9-8-2006","Conference","Away","varsity","Winchester CommunityWinchester","Fri, 9/8Time TBA"
"/in/liberty/union-county-patriots/","/in/hagerstown/hagerstown-tigers/","6","29","2006","9-15-2006","Conference","Home","varsity","Hagerstown","Fri, 9/15Time TBA"
"/in/liberty/union-county-patriots/","/in/cambridge-city/cambridge-city-lincoln-golden-eagles/","12","29","2006","9-22-2006","Conference","Home","varsity","Cambridge City LincolnCambridge City","Fri, 9/22Time TBA"
"/in/liberty/union-county-patriots/","/in/fountain-city/northeastern-knights/","14","68","2006","9-29-2006","Conference","Away","varsity","NortheasternFountain City","Fri, 9/29Time TBA"
"/in/liberty/union-county-patriots/","/in/centerville/centerville-bulldogs/","0","63","2006","10-6-2006","Conference","Away","varsity","Centerville","Fri, 10/6Time TBA"
"/in/liberty/union-county-patriots/","/in/straughn/tri-titans/","0","27","2006","10-13-2006","Conference","Home","varsity","TriStraughn","Fri, 10/13Time TBA"
"/in/liberty/union-county-patriots/","/in/brownstown/brownstown-central-braves/","6","55","2006","10-20-2006","Non-Conference","Home","varsity","Brownstown CentralBrownstown","Fri, 10/20Time TBA"
"/in/la-porte/la-lumiere-lakers/","/il/winnetka/north-shore-country-day-raiders/","6","34","2006","9-9-2006","Non-Conference","Neutral","varsity","North Shore Country DayWinnetka, IL","Sat, 9/9Time TBA"
"/in/la-porte/la-lumiere-lakers/","/il/rockford/rockford-christian-royal-lions/","0","55","2006","9-15-2006","Non-Conference","Away","varsity","Rockford ChristianRockford, IL","Fri, 9/15Time TBA"
"/in/la-porte/la-lumiere-lakers/","/il/chicago/longwood-panthers/","20","42","2006","9-22-2006","Non-Conference","Away","varsity","LongwoodChicago, IL","Fri, 9/22Time TBA"
"/in/la-porte/la-lumiere-lakers/","/mi/eau-claire/eau-claire-beavers/","0","49","2006","9-29-2006","Non-Conference","Away","varsity","Eau ClaireMI","Fri, 9/29Time TBA"
"/in/la-porte/la-lumiere-lakers/","/mi/covert/covert-bulldogs/","0","44","2006","10-7-2006","Non-Conference","Home","varsity","CovertMI","Sat, 10/7Time TBA"
"/in/la-porte/la-lumiere-lakers/","/wi/beaver-dam/wayland-academy-big-red/","6","18","2006","10-14-2006","Non-Conference","Home","varsity","Wayland AcademyBeaver Dam, WI","Sat, 10/14Time TBA"
