"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/mi/dearborn-heights/star-international-academy-falcons/","/mi/sterling-heights/parkway-christian-eagles/","8","46","2006","8-26-2006","League","Away","varsity","Parkway ChristianSterling Heights","Sat, 8/26Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/","/mi/southfield/southfield-christian-eagles/","0","40","2006","9-1-2006","League","Away","varsity","Southfield ChristianSouthfield","Fri, 9/1Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/",NA,"0","26","2006","9-9-2006","League","Neutral","varsity","CovenantRedford","Sat, 9/9Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/","/mi/romulus/summit-academy-dragons/","0","36","2006","9-15-2006","League","Home","varsity","Summit AcademyRomulus","Fri, 9/155:00pm"
"/mi/dearborn-heights/star-international-academy-falcons/",NA,"0","20","2006","9-22-2006","Non-League","Neutral","varsity","Conner Creek Academy WestWarren","Fri, 9/22Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/","/mi/detroit/old-redford-academy-ravens/","0","40","2006","9-29-2006","League","Home","varsity","Old Redford AcademyDetroit","Fri, 9/29Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/",NA,"13","19","2006","10-6-2006","League","Home","varsity","CovenantRedford","Fri, 10/6Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/",NA,"12","20","2006","10-13-2006","Non-League","Neutral","varsity","Conner Creek Academy WestWarren","Fri, 10/13Time TBA"
"/mi/dearborn-heights/star-international-academy-falcons/","/mi/dryden/dryden-cardinals/","6","34","2006","10-20-2006","Non-League","Neutral","varsity","Dryden","Fri, 10/20Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/battle-creek/st-philip-catholic-central-fighting-tigers/","13","44","2006","8-26-2006","Non-League","Away","varsity","St. Philip Catholic CentralBattle Creek","Sat, 8/267:00pm"
"/mi/tekonsha/tekonsha-indians/","/mi/camden/camden-frontier-redskins/","0","39","2006","8-31-2006","League","Home","varsity","Camden-FrontierCamden","Thu, 8/31Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/waldron/waldron-spartans/","8","47","2006","9-8-2006","League","Home","varsity","Waldron","Fri, 9/8Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/litchfield/litchfield-terriers/","0","47","2006","9-15-2006","League","Away","varsity","Litchfield","Fri, 9/15Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/climax/climax-scotts-panthers/","0","47","2006","9-22-2006","League","Home","varsity","Climax-ScottsClimax","Fri, 9/22Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/pittsford/pittsford-wildcats/","0","49","2006","9-29-2006","League","Away","varsity","Pittsford","Fri, 9/29Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/north-adams/north-adams-jerome-rams/","6","43","2006","10-6-2006","League","Away","varsity","North Adams-JeromeNorth Adams","Fri, 10/6Time TBA"
"/mi/tekonsha/tekonsha-indians/","/mi/burr-oak/burr-oak-bobcats/","20","59","2006","10-13-2006","League","Away","varsity","Burr Oak","Fri, 10/13Time TBA"
"/mi/tekonsha/tekonsha-indians/",NA,"36","6","2006","10-20-2006","Non-League","Neutral","varsity","Conner Creek Academy WestWarren","Fri, 10/20Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/owendale/owendale-gagetown-bulldogs/","18","35","2006","8-25-2006","Non-League","Home","varsity","Owendale-GagetownOwendale","Fri, 8/257:00pm"
"/mi/twining/arenac-eastern-eagles/","/mi/mio/mio-au-sable-thunderbolts/","13","57","2006","8-31-2006","League","Home","varsity","Mio-Au SableMio","Thu, 8/31Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/hale/hale-eagles/","29","34","2006","9-8-2006","League","Away","varsity","Hale","Fri, 9/8Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/hillman/hillman-tigers/","6","22","2006","9-15-2006","League","Away","varsity","Hillman","Fri, 9/15Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/posen/posen-vikings/","6","42","2006","9-22-2006","League","Home","varsity","Posen","Fri, 9/22Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/atlanta/atlanta-huskies/","13","8","2006","9-29-2006","League","Away","varsity","Atlanta","Fri, 9/29Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/baldwin/baldwin-panthers/","6","58","2006","10-6-2006","Non-League","Home","varsity","Baldwin","Fri, 10/6Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/au-gres/au-gres-sims-wolverines/","25","37","2006","10-13-2006","League","Home","varsity","Au Gres-SimsAu Gres","Fri, 10/13Time TBA"
"/mi/twining/arenac-eastern-eagles/","/mi/fairgrove/akron-fairgrove-vikings/","19","24","2006","10-20-2006","Non-League","Away","varsity","Akron-FairgroveFairgrove","Fri, 10/20Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/allen-park/cabrini-monarchs/","8","59","2006","8-26-2006","Non-League","Away","varsity","CabriniAllen Park","Sat, 8/26Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/rochester-hills/lutheran-northwest-crusaders/","0","36","2006","8-31-2006","League","Home","varsity","Lutheran NorthwestRochester Hills","Thu, 8/31Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/harper-woods/harper-woods-pioneers/","6","49","2006","9-8-2006","League","Away","varsity","Harper Woods","Fri, 9/8Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/macomb/lutheran-north-mustangs/","0","54","2006","9-15-2006","League","Away","varsity","Lutheran NorthMacomb","Fri, 9/15Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/westland/lutheran-warriors/","6","37","2006","9-22-2006","League","Home","varsity","LutheranWestland","Fri, 9/22Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/livonia/clarenceville-trojans/","0","49","2006","9-29-2006","League","Away","varsity","ClarencevilleLivonia","Fri, 9/29Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/bloomfield-hills/cranbrook-kingswood-cranes/","12","41","2006","10-6-2006","League","Home","varsity","Cranbrook KingswoodBloomfield Hills","Fri, 10/6Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/clawson/clawson-trojans/","0","61","2006","10-13-2006","League","Away","varsity","Clawson","Fri, 10/13Time TBA"
"/mi/hamtramck/hamtramck-cosmos/","/mi/grosse-pointe-woods/university-liggett-knights/",NA,NA,"2006","10-20-2006","Non-League","Home","varsity","University LiggettGrosse Pointe Woods","Fri, 10/20Time TBA"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/waldron/waldron-spartans/","8","34","2006","8-25-2006","Non-League","Home","varsity","Waldron","Fri, 8/257:30pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/sterling-heights/parkway-christian-eagles/","2","56","2006","9-1-2006","Non-League","Home","varsity","Parkway ChristianSterling Heights","Fri, 9/17:30pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/allen-park/cabrini-monarchs/","0","42","2006","9-9-2006","League","Away","varsity","CabriniAllen Park","Sat, 9/97:00pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/waterford/our-lady-of-the-lakes-lakers/","6","47","2006","9-16-2006","League","Home","varsity","Our Lady of the LakesWaterford","Sat, 9/167:30pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/royal-oak/shrine-catholic-knights/","0","42","2006","9-23-2006","League","Away","varsity","Shrine CatholicRoyal Oak","Sat, 9/231:00pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/riverview/richard-pioneers/","14","27","2006","9-29-2006","League","Home","varsity","RichardRiverview","Fri, 9/297:30pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/rochester-hills/lutheran-northwest-crusaders/","14","14","2006","10-6-2006","Non-League","Home","varsity","Lutheran NorthwestRochester Hills","Fri, 10/67:30pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/ann-arbor/gabriel-richard-fighting-irish/","12","49","2006","10-14-2006","Non-League","Away","varsity","Gabriel RichardAnn Arbor","Sat, 10/1412:00pm"
"/mi/taylor/light-and-life-christian-crusaders/","/mi/detroit/detroit-urban-lutheran-vikings/","14","50","2006","10-20-2006","Non-League","Home","varsity","Detroit Urban LutheranDetroit","Fri, 10/20Time TBA"
"/mi/coleman/coleman-comets/","/mi/breckenridge/breckenridge-huskies/","0","56","2006","8-25-2006","Non-League","Away","varsity","Breckenridge","Fri, 8/25Time TBA"
"/mi/coleman/coleman-comets/","/mi/hillman/hillman-tigers/","22","26","2006","8-31-2006","Non-League","Home","varsity","Hillman","Thu, 8/31Time TBA"
"/mi/coleman/coleman-comets/","/mi/ashley/ashley-bears/","10","32","2006","9-8-2006","League","Home","varsity","Ashley","Fri, 9/8Time TBA"
