"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/al/birmingham/parkway-christian-academy-wildcats/","/al/waterloo/waterloo-cougars/","12","42","2007","9-1-2007","Region","Neutral","varsity","Waterloo","Sat, 9/1Time TBA"
"/al/birmingham/parkway-christian-academy-wildcats/","/al/russellville/tharptown-wildcats/","18","60","2007","9-21-2007","Region","Neutral","varsity","TharptownRussellville","Fri, 9/21Time TBA"
"/al/birmingham/parkway-christian-academy-wildcats/","/al/russellville/tharptown-wildcats/","8","32","2007","10-19-2007","Region","Neutral","varsity","TharptownRussellville","Fri, 10/19Time TBA"
"/al/birmingham/parkway-christian-academy-wildcats/","/al/waterloo/waterloo-cougars/","6","35","2007","10-26-2007","Region","Neutral","varsity","Waterloo","Fri, 10/26Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/talladega/alabama-school-for-the-deaf-silent-warriors/","21","32","2007","8-31-2007","Non-Region","Away","varsity","Alabama School for the DeafTalladega","Fri, 8/317:00pm"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/birmingham/jefferson-christian-academy-eagles/","13","20","2007","9-7-2007","Region","Away","varsity","Jefferson Christian AcademyBirmingham","Fri, 9/7Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/talladega/talladega-county-central-fighting-tigers/","0","47","2007","9-14-2007","Region","Home","varsity","Talladega County CentralTalladega","Fri, 9/14Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/ragland/ragland-purple-devils/","6","39","2007","9-21-2007","Region","Away","varsity","Ragland","Fri, 9/21Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/spring-garden/spring-garden-panthers/","7","41","2007","9-28-2007","Non-Region","Home","varsity","Spring Garden","Fri, 9/28Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/gadsden/coosa-christian-conquerors/","12","35","2007","10-5-2007","Region","Away","varsity","Coosa ChristianGadsden","Fri, 10/5Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/oneonta/appalachian-eagles/","20","35","2007","10-12-2007","Region","Home","varsity","AppalachianOneonta","Fri, 10/12Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/sylacauga/fayetteville-wolves/","0","22","2007","10-19-2007","Region","Away","varsity","FayettevilleSylacauga","Fri, 10/19Time TBA"
"/al/jacksonville/jacksonville-christian-academy-thunder/","/al/anniston/donoho-falcons/","0","35","2007","10-26-2007","Region","Home","varsity","DonohoAnniston","Fri, 10/26Time TBA"
