"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/malden/mystic-valley-regional-eagles/","0","22","2007","9-8-2007","Non-League","Neutral","varsity","Mystic Valley RegionalMalden","Sat, 9/8Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/boston/cathedral-panthers/","0","34","2007","9-15-2007","Non-League","Neutral","varsity","CathedralBoston","Sat, 9/15Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/lowell/lowell-catholic-crusaders/","0","24","2007","9-22-2007","Non-League","Neutral","varsity","Lowell CatholicLowell","Sat, 9/22Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/brighton/brighton-boston-academy-snowden-bengals/","0","28","2007","9-28-2007","League","Neutral","varsity","Brighton/Boston Academy/SnowdenBrighton","Fri, 9/28Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/dorchester/dorchester-bears/","0","24","2007","10-6-2007","League","Neutral","varsity","Dorchester","Sat, 10/6Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/",NA,"6","43","2007","10-12-2007","Non-League","Neutral","varsity","South Boston","Fri, 10/12Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/dorchester/boston-latin-academy-dragons/","6","24","2007","10-26-2007","League","Neutral","varsity","Boston Latin AcademyDorchester","Fri, 10/26Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/roxbury/obryant-tigers/","6","16","2007","11-2-2007","League","Neutral","varsity","O'BryantRoxbury","Fri, 11/2Time TBA"
"/ma/hyde-park/hyde-park-blue-stars/","/ma/dorchester/burke-bulldogs/","0","20","2007","11-9-2007","League","Neutral","varsity","BurkeDorchester","Fri, 11/9Time TBA"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/springfield/sci-tech-cybercats/","6","42","2007","9-8-2007","Non-League","Away","varsity","Sci-TechSpringfield","Sat, 9/81:00pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/northfield/pioneer-valley-regional-panthers/","6","34","2007","9-22-2007","League","Away","varsity","Pioneer Valley RegionalNorthfield","Sat, 9/221:30pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/north-adams/mccann-tech-hornets/","0","18","2007","9-29-2007","League","Home","varsity","McCann TechNorth Adams","Sat, 9/291:30pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/palmer/pathfinder-rvt-pioneers/","8","41","2007","10-5-2007","League","Away","varsity","Pathfinder RVTPalmer","Fri, 10/57:00pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/turners-falls/franklin-county-tech-eagles/","0","36","2007","10-13-2007","League","Home","varsity","Franklin County TechTurners Falls","Sat, 10/131:30pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/ware/ware-indians/","6","18","2007","10-20-2007","League","Away","varsity","Ware","Sat, 10/201:30pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/palmer/palmer-panthers/","0","40","2007","10-26-2007","League","Away","varsity","Palmer","Fri, 10/267:00pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ct/enfield/fermi-falcons/","0","20","2007","11-3-2007","Non-League","Away","varsity","FermiEnfield, CT","Sat, 11/3Time TBA"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/holyoke/dean-tech-golden-hawks/","0","36","2007","11-9-2007","League","Away","varsity","Dean TechHolyoke","Fri, 11/97:00pm"
"/ma/granby/holyoke-catholic-granby-gaels/","/ma/easthampton/easthampton-hampshire-eagles/","6","50","2007","11-22-2007","League","Home","varsity","Easthampton/HampshireEasthampton","Thu, 11/2210:00am"
"/ma/marion/tabor-academy-seawolves/","/ma/easthampton/williston-northampton-wildcats/","0","29","2007","9-22-2007","League","Home","varsity","Williston NorthamptonEasthampton","Sat, 9/22Time TBA"
