"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ok/keota/keota-lions/","/ok/okay/okay-mustangs/","6","12","2007","8-31-2007","Non-District","Home","varsity","Okay","Fri, 8/31Time TBA"
"/ok/keota/keota-lions/","/ok/quinton/quinton-savages/","0","20","2007","9-7-2007","District","Away","varsity","Quinton","Fri, 9/7Time TBA"
"/ok/keota/keota-lions/","/ok/warner/warner-eagles/","0","34","2007","9-14-2007","District","Home","varsity","Warner","Fri, 9/14Time TBA"
"/ok/keota/keota-lions/","/ok/sallisaw/central-tigers/","8","34","2007","9-21-2007","District","Away","varsity","CentralSallisaw","Fri, 9/21Time TBA"
"/ok/keota/keota-lions/","/ok/panama/panama-razorbacks/","6","49","2007","9-27-2007","District","Home","varsity","Panama","Thu, 9/27Time TBA"
"/ok/keota/keota-lions/","/ok/pocola/pocola-indians/","0","45","2007","10-5-2007","District","Away","varsity","Pocola","Fri, 10/5Time TBA"
"/ok/keota/keota-lions/","/ok/talihina/talihina-golden-tigers/","0","44","2007","10-12-2007","District","Home","varsity","Talihina","Fri, 10/12Time TBA"
"/ok/keota/keota-lions/","/ok/gore/gore-pirates/","0","54","2007","10-18-2007","District","Away","varsity","Gore","Thu, 10/18Time TBA"
"/ok/keota/keota-lions/","/ok/porum/porum-panthers/","6","14","2007","10-26-2007","District","Home","varsity","Porum","Fri, 10/26Time TBA"
"/ok/keota/keota-lions/","/ok/hulbert/hulbert-riders/","6","20","2007","11-2-2007","Non-District","Away","varsity","Hulbert","Fri, 11/2Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/sallisaw/central-tigers/","6","48","2007","8-30-2007","Non-District","Away","varsity","CentralSallisaw","Thu, 8/30Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/fairfax/woodland-cougars/","0","56","2007","9-7-2007","District","Away","varsity","WoodlandFairfax","Fri, 9/7Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/foyil/foyil-panthers/","0","60","2007","9-14-2007","District","Home","varsity","Foyil","Fri, 9/14Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/barnsdall/barnsdall-panthers/","20","34","2007","9-21-2007","District","Away","varsity","Barnsdall","Fri, 9/21Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/okay/okay-mustangs/","6","36","2007","9-28-2007","District","Home","varsity","Okay","Fri, 9/28Time TBA"
"/ok/hulbert/hulbert-riders/","/ok/hominy/hominy-bucks/","14","44","2007","10-5-2007","District","Away","varsity","Hominy","Fri, 10/5Time TBA"
