"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/nm/tohatchi/tohatchi-cougars/","/nm/newcomb/newcomb-skyhawks/","0","26","2008","9-5-2008","Non-District","Away","varsity","Newcomb","Fri, 9/5Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/shiprock/shiprock-chieftains/","6","46","2008","9-12-2008","Non-District","Home","varsity","Shiprock","Fri, 9/12Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/thoreau/thoreau-hawks/","12","55","2008","9-26-2008","District","Away","varsity","Thoreau","Fri, 9/26Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/gallup/miyamura-patriots/","6","46","2008","10-3-2008","District","Home","varsity","MiyamuraGallup","Fri, 10/37:00pm"
"/nm/tohatchi/tohatchi-cougars/","/nm/bloomfield/bloomfield-bobcats/","0","65","2008","10-10-2008","District","Away","varsity","Bloomfield","Fri, 10/10Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/crownpoint/crownpoint-eagles/","6","46","2008","10-17-2008","District","Home","varsity","Crownpoint","Fri, 10/17Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/zuni/zuni-thunderbirds/","8","65","2008","10-31-2008","District","Home","varsity","Zuni","Fri, 10/31Time TBA"
"/nm/tohatchi/tohatchi-cougars/","/nm/fort-wingate/wingate/","0","56","2008","11-7-2008","District","Away","varsity","WingateFort Wingate","Fri, 11/7Time TBA"
"/nm/navajo/navajo-pine-warriors/","/ut/montezuma-creek/whitehorse-raiders/","12","50","2008","8-29-2008","Non-District","Home","varsity","WhitehorseMontezuma Creek, UT","Fri, 8/297:00pm"
"/nm/navajo/navajo-pine-warriors/",NA,"0","39","2008","9-13-2008","Non-District","Home","varsity","Non-Varsity Opponent","Sat, 9/13Time TBA"
"/nm/navajo/navajo-pine-warriors/","/nm/tierra-amarilla/escalante-lobos/","15","52","2008","9-19-2008","Non-District","Home","varsity","EscalanteTierra Amarilla","Fri, 9/19Time TBA"
