"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/sc/north-charleston/cathedral-academy-generals/","/sc/charleston/northwood-academy-chargers/","0","48","2008","8-23-2008","Non-Region","Away","varsity","Northwood AcademyCharleston","Sat, 8/237:30pm"
"/sc/north-charleston/cathedral-academy-generals/","/sc/moncks-corner/st-johns-christian-academy-cavaliers/","0","41","2008","8-29-2008","Region","Away","varsity","St. John's Christian AcademyMoncks Corner","Fri, 8/29Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/mt-pleasant/palmetto-christian-academy/","7","49","2008","9-12-2008","Region","Away","varsity","Palmetto Christian AcademyMt. Pleasant","Fri, 9/12Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/holly-hill/holly-hill-academy-raiders/","6","39","2008","9-19-2008","Region","Home","varsity","Holly Hill AcademyHolly Hill","Fri, 9/19Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/beaufort/beaufort-academy-eagles/","7","25","2008","9-26-2008","Non-Region","Home","varsity","Beaufort AcademyBeaufort","Fri, 9/267:30pm"
"/sc/north-charleston/cathedral-academy-generals/","/sc/summerton/clarendon-hall-saints/","6","56","2008","10-3-2008","Region","Home","varsity","Clarendon HallSummerton","Fri, 10/3Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/ga/savannah/bible-baptist-braves/","0","55","2008","10-10-2008","Region","Away","varsity","Bible BaptistSavannah, GA","Fri, 10/10Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/hilton-head-island/hilton-head-christian-academy-eagles/","0","41","2008","10-17-2008","Non-Region","Away","varsity","Hilton Head Christian AcademyHilton Head Island","Fri, 10/17Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/charleston/first-baptist-school-hurricanes/","0","28","2008","10-24-2008","Non-Region","Home","varsity","First Baptist SchoolCharleston","Fri, 10/24Time TBA"
"/sc/north-charleston/cathedral-academy-generals/","/sc/johns-island/charleston-collegiate-sundevils/","12","33","2008","10-31-2008","Region","Home","varsity","Charleston CollegiateJohn's Island","Fri, 10/31Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/lake-city/carolina-academy-bobcats/","6","44","2008","8-22-2008","Non-Region","Away","varsity","Carolina AcademyLake City","Fri, 8/22Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/johns-island/charleston-collegiate-sundevils/","0","65","2008","8-29-2008","Region","Neutral","varsity","Charleston CollegiateJohn's Island","Fri, 8/29Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/ridgeland/thomas-heyward-academy-rebels/","0","60","2008","9-12-2008","Non-Region","Neutral","varsity","Thomas Heyward AcademyRidgeland","Fri, 9/12Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/moncks-corner/st-johns-christian-academy-cavaliers/","6","55","2008","9-19-2008","Region","Neutral","varsity","St. John's Christian AcademyMoncks Corner","Fri, 9/19Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/north-charleston/cathedral-academy-generals/","25","7","2008","9-26-2008","Non-Region","Away","varsity","Cathedral AcademyNorth Charleston","Fri, 9/267:30pm"
"/sc/beaufort/beaufort-academy-eagles/","/sc/mt-pleasant/palmetto-christian-academy/","6","48","2008","10-3-2008","Region","Neutral","varsity","Palmetto Christian AcademyMt. Pleasant","Fri, 10/3Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/ga/savannah/st-andrews-lions/","7","54","2008","10-10-2008","Non-Region","Away","varsity","St. Andrew'sSavannah, GA","Fri, 10/107:30pm"
"/sc/beaufort/beaufort-academy-eagles/","/sc/summerton/clarendon-hall-saints/","7","40","2008","10-17-2008","Region","Away","varsity","Clarendon HallSummerton","Fri, 10/17Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/sc/holly-hill/holly-hill-academy-raiders/","7","42","2008","10-24-2008","Region","Neutral","varsity","Holly Hill AcademyHolly Hill","Fri, 10/24Time TBA"
"/sc/beaufort/beaufort-academy-eagles/","/ga/savannah/bible-baptist-braves/","6","56","2008","10-31-2008","Region","Neutral","varsity","Bible BaptistSavannah, GA","Fri, 10/31Time TBA"
"/sc/branchville/branchville-yellow-jackets/","/sc/north/north-eagles/","6","27","2008","8-29-2008","Non-Region","Home","varsity","North","Fri, 8/29Time TBA"
"/sc/branchville/branchville-yellow-jackets/","/sc/north-charleston/academic-magnet-raptors/","0","7","2008","9-8-2008","Non-Region","Away","varsity","Academic MagnetNorth Charleston","Mon, 9/86:00pm"
"/sc/branchville/branchville-yellow-jackets/","/sc/cordova/edisto-cougars/","0","38","2008","9-12-2008","Non-Region","Away","varsity","EdistoCordova","Fri, 9/12Time TBA"
"/sc/branchville/branchville-yellow-jackets/","/sc/bamberg/bamberg-ehrhardt-red-raiders/","0","41","2008","9-19-2008","Region","Home","varsity","Bamberg-EhrhardtBamberg","Fri, 9/19Time TBA"
"/sc/branchville/branchville-yellow-jackets/","/sc/estill/estill-fighting-gators/","0","38","2008","9-26-2008","Region","Away","varsity","Estill","Fri, 9/267:30pm"
