"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/co/center/center-vikings/","/co/las-animas/las-animas-trojans/","18","36","2009","9-4-2009","Non-League","Home","varsity","Las Animas","Fri, 9/47:00pm"
"/co/center/center-vikings/","/co/walsenburg/john-mall-panthers/","12","35","2009","9-11-2009","Non-League","Home","varsity","John MallWalsenburg","Fri, 9/117:00pm"
"/co/center/center-vikings/","/co/collbran/plateau-valley-cowboys/","6","13","2009","9-19-2009","Non-League","Away","varsity","Plateau ValleyCollbran","Sat, 9/191:00pm"
"/co/center/center-vikings/","/co/rocky-ford/rocky-ford-meloneers/","20","58","2009","9-25-2009","Non-League","Home","varsity","Rocky Ford","Fri, 9/257:00pm"
"/co/center/center-vikings/","/co/la-jara/centauri-falcons/","14","52","2009","10-2-2009","Non-League","Away","varsity","CentauriLa Jara","Fri, 10/24:00pm"
"/co/center/center-vikings/","/co/dolores/dolores-bears/","6","43","2009","10-9-2009","League","Away","varsity","Dolores","Fri, 10/97:00pm"
"/co/center/center-vikings/","/co/del-norte/del-norte-tigers/","27","60","2009","10-19-2009","League","Home","varsity","Del Norte","Mon, 10/197:00pm"
"/co/center/center-vikings/","/co/ignacio/ignacio-bobcats/","7","55","2009","10-23-2009","League","Home","varsity","Ignacio","Fri, 10/237:00pm"
"/co/center/center-vikings/","/co/monte-vista/sargent-farmers/","13","46","2009","10-30-2009","League","Away","varsity","SargentMonte Vista","Fri, 10/307:00pm"
"/co/leadville/lake-county-panthers/","/co/aspen/aspen-skiers/","0","49","2009","9-4-2009","Non-League","Away","varsity","Aspen","Fri, 9/47:00pm"
"/co/leadville/lake-county-panthers/","/co/federal-heights/the-pinnacle-timberwolves/","14","36","2009","9-12-2009","Non-League","Home","varsity","The PinnacleFederal Heights","Sat, 9/121:00pm"
"/co/leadville/lake-county-panthers/",NA,"28","6","2009","9-19-2009","Non-League","Away","varsity","Non-Varsity Opponent","Sat, 9/1911:00am"
"/co/leadville/lake-county-panthers/","/co/kremmling/west-grand-mustangs/","14","35","2009","9-25-2009","Non-League","Away","varsity","West GrandKremmling","Fri, 9/257:30pm"
"/co/leadville/lake-county-panthers/","/co/aurora/new-direction-prep-mustangs/","2","0","2009","10-2-2009","Non-League","Home","varsity","New Direction PrepAurora","Fri, 10/27:00pm"
