"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/hi/pahala/kau-trojans/","/hi/kealakekua/konawaena-wildcats/","0","46","2009","9-4-2009","League","Away","varsity","KonawaenaKealakekua","Fri, 9/4Time TBA"
"/hi/pahala/kau-trojans/","/hi/kamuela/hawaii-prep-ka-makani/","0","49","2009","9-12-2009","League","Home","varsity","Hawaii PrepKamuela","Sat, 9/126:00pm"
"/hi/pahala/kau-trojans/","/hi/keaau/kamehameha-hawaii-warriors/","6","49","2009","9-18-2009","League","Away","varsity","Kamehameha Hawai'iKea'au","Fri, 9/18Time TBA"
"/hi/pahala/kau-trojans/","/hi/kapaau/kohala-cowboys/","6","15","2009","9-26-2009","League","Home","varsity","KohalaKapaau","Sat, 9/26Time TBA"
"/hi/pahala/kau-trojans/","/hi/keaau/kamehameha-hawaii-warriors/","8","58","2009","10-10-2009","League","Home","varsity","Kamehameha Hawai'iKea'au","Sat, 10/10Time TBA"
"/hi/pahala/kau-trojans/","/hi/kamuela/hawaii-prep-ka-makani/","6","56","2009","10-17-2009","League","Away","varsity","Hawaii PrepKamuela","Sat, 10/17Time TBA"
"/hi/pahala/kau-trojans/","/hi/kealakekua/konawaena-wildcats/","6","62","2009","10-23-2009","League","Home","varsity","KonawaenaKealakekua","Fri, 10/23Time TBA"
"/hi/pahala/kau-trojans/","/hi/kapaau/kohala-cowboys/","6","41","2009","10-31-2009","League","Away","varsity","KohalaKapaau","Sat, 10/31Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/kapaa/kapaa-warriors/","0","16","2009","8-15-2009","Non-League","Away","varsity","Kapa'a","Sat, 8/15Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/aiea/aiea-na-alii/","0","50","2009","8-22-2009","League","Away","varsity","'Aiea","Sat, 8/22Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/waialua/waialua-bulldogs/","7","21","2009","9-4-2009","League","Neutral","varsity","Waialua","Fri, 9/4Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/honolulu/kaiser-cougars/","12","32","2009","9-12-2009","League","Away","varsity","KaiserHonolulu","Sat, 9/12Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/honolulu/moanalua-menehunes/","0","41","2009","9-19-2009","League","Neutral","varsity","MoanaluaHonolulu","Sat, 9/19Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/kailua/kalaheo-mustangs/","0","47","2009","9-26-2009","League","Neutral","varsity","KalaheoKailua","Sat, 9/26Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/pearl-city/pearl-city-chargers/","12","35","2009","10-3-2009","League","Neutral","varsity","Pearl City","Sat, 10/3Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/honolulu/radford-rams/","6","56","2009","10-9-2009","League","Away","varsity","RadfordHonolulu","Fri, 10/9Time TBA"
"/hi/honolulu/kalani-falcons/","/hi/honolulu/anuenue-rainbows/","25","61","2009","10-16-2009","League","Neutral","varsity","'AnuenueHonolulu","Fri, 10/16Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/keaau/kamehameha-hawaii-warriors/","12","31","2009","9-12-2009","League","Home","varsity","Kamehameha Hawai'iKea'au","Sat, 9/12Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/kealakekua/konawaena-wildcats/","0","40","2009","9-19-2009","League","Home","varsity","KonawaenaKealakekua","Sat, 9/19Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/pahala/kau-trojans/","15","6","2009","9-26-2009","League","Away","varsity","Ka'uPahala","Sat, 9/26Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/kamuela/hawaii-prep-ka-makani/","6","42","2009","10-3-2009","League","Away","varsity","Hawaii PrepKamuela","Sat, 10/32:00pm"
"/hi/kapaau/kohala-cowboys/","/hi/kealakekua/konawaena-wildcats/","6","49","2009","10-9-2009","League","Away","varsity","KonawaenaKealakekua","Fri, 10/9Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/keaau/kamehameha-hawaii-warriors/","12","42","2009","10-17-2009","League","Away","varsity","Kamehameha Hawai'iKea'au","Sat, 10/17Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/pahala/kau-trojans/","41","6","2009","10-31-2009","League","Home","varsity","Ka'uPahala","Sat, 10/31Time TBA"
"/hi/kapaau/kohala-cowboys/","/hi/kamuela/hawaii-prep-ka-makani/","0","49","2009","11-7-2009","League","Home","varsity","Hawaii PrepKamuela","Sat, 11/72:00pm"
"/hi/kahului/maui-sabers/","/hi/waimea/waimea-menehunes/","21","0","2009","8-29-2009","Non-League","Neutral","varsity","Waimea","Sat, 8/29Time TBA"
"/hi/kahului/maui-sabers/","/hi/lahaina/lahainaluna-lunas/","19","6","2009","9-4-2009","League","Neutral","varsity","LahainalunaLahaina","Fri, 9/4Time TBA"
"/hi/kahului/maui-sabers/","/hi/pukalani/kamehameha-maui-warriors/","6","10","2009","9-11-2009","League","Neutral","varsity","Kamehameha MauiPukalani","Fri, 9/11Time TBA"
"/hi/kahului/maui-sabers/","/hi/wailuku/baldwin-bears/","5","41","2009","9-25-2009","League","Neutral","varsity","BaldwinWailuku","Fri, 9/25Time TBA"
