"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/mt/lodge-grass/lodge-grass-indians/","/mt/wolf-point/wolf-point-lustre-christian-wolves/","8","56","2010","9-17-2010","Non-Region","Away","varsity","Wolf Point/Lustre ChristianWolf Point","Fri, 9/17Time TBA"
"/mt/lodge-grass/lodge-grass-indians/","/mt/lame-deer/lame-deer-morning-stars/","0","14","2010","9-24-2010","Region","Home","varsity","Lame Deer","Fri, 9/24Time TBA"
"/mt/lodge-grass/lodge-grass-indians/","/mt/forsyth/forsyth-dogies/","18","48","2010","10-9-2010","Region","Away","varsity","Forsyth","Sat, 10/9Time TBA"
"/mt/lodge-grass/lodge-grass-indians/","/mt/baker/baker-plevna-spartans/","0","53","2010","10-15-2010","Region","Home","varsity","Baker/PlevnaBaker","Fri, 10/15Time TBA"
"/mt/lodge-grass/lodge-grass-indians/","/mt/broadus/powder-river-county-hawks/","0","54","2010","10-21-2010","Region","Home","varsity","Powder River CountyBroadus","Thu, 10/21Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/billings/billings-senior-broncs/",NA,NA,"2010",NA,"Non-Region","Away","jv","Billings SeniorBillings","Wed, 10/204:00pm"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/hardin/hardin-bulldogs/","0","51","2010","9-3-2010","Non-Region","Home","varsity","Hardin","Fri, 9/31:00pm"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/darby/darby-tigers/","0","44","2010","9-11-2010","Non-Region","Neutral","varsity","Darby","Sat, 9/11Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/broadus/powder-river-county-hawks/","8","50","2010","9-14-2010","Region","Home","varsity","Powder River CountyBroadus","Tue, 9/14Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/lodge-grass/lodge-grass-indians/","14","0","2010","9-24-2010","Region","Away","varsity","Lodge Grass","Fri, 9/24Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/colstrip/colstrip-colts/","0","60","2010","9-30-2010","Region","Home","varsity","Colstrip","Thu, 9/30Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/forsyth/forsyth-dogies/","0","71","2010","10-7-2010","Region","Away","varsity","Forsyth","Thu, 10/7Time TBA"
"/mt/lame-deer/lame-deer-morning-stars/","/mt/baker/baker-plevna-spartans/","14","48","2010","10-16-2010","Region","Away","varsity","Baker/PlevnaBaker","Sat, 10/16Time TBA"
