"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ar/hartford/hartford-hustlers/","/ar/hackett/hackett-hornets/",NA,NA,"2012",NA,"Non-Conference","Home","freshmen","Hackett","Thu, 8/307:00pm"
"/ar/hartford/hartford-hustlers/","/ar/mountainburg/mountainburg-dragons/",NA,NA,"2012",NA,"Non-Conference","Home","freshmen","Mountainburg","Thu, 9/277:00pm"
"/ar/hartford/hartford-hustlers/","/ar/fort-smith/union-christian-academy-eagles/",NA,NA,"2012",NA,"Non-Conference","Home","freshmen","Union Christian AcademyFort Smith","Thu, 10/187:00pm"
"/ar/hartford/hartford-hustlers/","/ar/havana/western-yell-county-wolverines/",NA,NA,"2012",NA,"Non-Conference","Home","freshmen","Western Yell CountyHavana","Thu, 10/257:00pm"
"/ar/hartford/hartford-hustlers/","/ar/decatur/decatur-bulldogs/","22","57","2012","9-7-2012","Conference","Home","varsity","Decatur","Fri, 9/7Time TBA"
"/ar/hartford/hartford-hustlers/","/ar/hector/hector-wildcats/","0","48","2012","9-14-2012","Conference","Home","varsity","Hector","Fri, 9/14Time TBA"
"/ar/hartford/hartford-hustlers/","/ar/mountainburg/mountainburg-dragons/","0","48","2012","9-28-2012","Conference","Away","varsity","Mountainburg","Fri, 9/28Time TBA"
"/ar/hartford/hartford-hustlers/","/ar/coal-hill/westside-rebels/","0","58","2012","10-5-2012","Conference","Away","varsity","WestsideCoal Hill","Fri, 10/57:00pm"
"/ar/hartford/hartford-hustlers/","/ar/magazine/magazine-rattlers/","0","54","2012","10-12-2012","Conference","Home","varsity","Magazine","Fri, 10/12Time TBA"
"/ar/hartford/hartford-hustlers/","/ar/fort-smith/union-christian-academy-eagles/","12","51","2012","10-19-2012","Conference","Home","varsity","Union Christian AcademyFort Smith","Fri, 10/197:00pm"
"/ar/hartford/hartford-hustlers/","/ar/havana/western-yell-county-wolverines/","24","55","2012","10-26-2012","Conference","Away","varsity","Western Yell CountyHavana","Fri, 10/26Time TBA"
"/ar/hartford/hartford-hustlers/","/ar/hackett/hackett-hornets/","0","58","2012","11-2-2012","Conference","Away","varsity","Hackett","Fri, 11/2Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/hot-springs-national-park/cutter-morning-star-eagles/","0","42","2012","8-30-2012","Non-Conference","Home","varsity","Cutter-Morning StarHot Springs National Park","Thu, 8/30Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/coal-hill/westside-rebels/","0","51","2012","9-7-2012","Conference","Home","varsity","WestsideCoal Hill","Fri, 9/77:00pm"
"/ar/havana/western-yell-county-wolverines/","/ar/lamar/lamar-warriors/","0","41","2012","9-14-2012","Non-Conference","Away","varsity","Lamar","Fri, 9/14Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/hector/hector-wildcats/","8","48","2012","9-21-2012","Conference","Away","varsity","Hector","Fri, 9/21Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/hackett/hackett-hornets/","0","46","2012","9-28-2012","Conference","Home","varsity","Hackett","Fri, 9/28Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/magazine/magazine-rattlers/","6","36","2012","10-5-2012","Conference","Home","varsity","Magazine","Fri, 10/5Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/decatur/decatur-bulldogs/","14","52","2012","10-12-2012","Conference","Away","varsity","Decatur","Fri, 10/12Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/mountainburg/mountainburg-dragons/","20","43","2012","10-19-2012","Conference","Away","varsity","Mountainburg","Fri, 10/19Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/hartford/hartford-hustlers/","55","24","2012","10-26-2012","Conference","Home","varsity","Hartford","Fri, 10/26Time TBA"
"/ar/havana/western-yell-county-wolverines/","/ar/fort-smith/union-christian-academy-eagles/","7","21","2012","11-2-2012","Conference","Away","varsity","Union Christian AcademyFort Smith","Fri, 11/2Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/hermitage/hermitage-hermits/","18","22","2012","8-31-2012","Non-Conference","Away","varsity","Hermitage","Fri, 8/31Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/augusta/augusta-red-devils/","0","66","2012","9-7-2012","Non-Conference","Home","varsity","Augusta","Fri, 9/7Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/cherry-valley/cross-county-thunderbirds/","0","54","2012","9-14-2012","Non-Conference","Away","varsity","Cross CountyCherry Valley","Fri, 9/14Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/hazen/hazen-hornets/","6","68","2012","9-21-2012","Conference","Away","varsity","Hazen","Fri, 9/21Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/des-arc/des-arc-eagles/","22","62","2012","9-28-2012","Conference","Away","varsity","Des Arc","Fri, 9/28Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/england/england-lions/","8","61","2012","10-5-2012","Conference","Home","varsity","England","Fri, 10/5Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/brinkley/brinkley-tigers/","14","42","2012","10-12-2012","Conference","Home","varsity","Brinkley","Fri, 10/12Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/carlisle/carlisle-bison/","0","60","2012","10-19-2012","Conference","Home","varsity","Carlisle","Fri, 10/19Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/clarendon/clarendon-lions/","14","54","2012","10-26-2012","Conference","Home","varsity","Clarendon","Fri, 10/26Time TBA"
"/ar/marvell/marvell-mustangs/","/ar/palestine/palestine-wheatley-patriots/","8","61","2012","11-1-2012","Conference","Away","varsity","Palestine-WheatleyPalestine","Thu, 11/1Time TBA"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/mountainburg/mountainburg-dragons/",NA,NA,"2012",NA,"Non-Conference","Home","freshmen","Mountainburg","Thu, 9/65:30pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/hartford/hartford-hustlers/",NA,NA,"2012",NA,"Non-Conference","Away","freshmen","Hartford","Thu, 10/187:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ok/heavener/heavener-wolves/","0","35","2012","8-31-2012","Non-Conference","Home","varsity","HeavenerOK","Fri, 8/317:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/mountainburg/mountainburg-dragons/","26","42","2012","9-7-2012","Conference","Away","varsity","Mountainburg","Fri, 9/7Time TBA"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/coal-hill/westside-rebels/","6","48","2012","9-14-2012","Conference","Away","varsity","WestsideCoal Hill","Fri, 9/147:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/magazine/magazine-rattlers/","7","30","2012","9-21-2012","Conference","Home","varsity","Magazine","Fri, 9/21Time TBA"
"/ar/fort-smith/union-christian-academy-eagles/","/ok/talihina/talihina-golden-tigers/","6","55","2012","9-28-2012","Non-Conference","Away","varsity","TalihinaOK","Fri, 9/287:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/hackett/hackett-hornets/","0","55","2012","10-5-2012","Conference","Home","varsity","Hackett","Fri, 10/5Time TBA"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/hector/hector-wildcats/","7","42","2012","10-12-2012","Conference","Home","varsity","Hector","Fri, 10/127:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/hartford/hartford-hustlers/","51","12","2012","10-19-2012","Conference","Away","varsity","Hartford","Fri, 10/197:00pm"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/decatur/decatur-bulldogs/","14","46","2012","10-26-2012","Conference","Away","varsity","Decatur","Fri, 10/26Time TBA"
"/ar/fort-smith/union-christian-academy-eagles/","/ar/havana/western-yell-county-wolverines/","21","7","2012","11-2-2012","Conference","Home","varsity","Western Yell CountyHavana","Fri, 11/2Time TBA"
