"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ks/herington/herington-railroaders/","/ks/council-grove/council-grove-braves/","34","62","2012","8-31-2012","District","Away","varsity","Council Grove","Fri, 8/317:00pm"
"/ks/herington/herington-railroaders/","/ks/eskridge/mission-valley-vikings/","16","60","2012","9-7-2012","District","Home","varsity","Mission ValleyEskridge","Fri, 9/77:00pm"
"/ks/herington/herington-railroaders/","/ks/osage-city/osage-city-indians/","12","47","2012","9-14-2012","District","Away","varsity","Osage City","Fri, 9/147:00pm"
"/ks/herington/herington-railroaders/","/ks/pomona/west-franklin-falcons/","32","60","2012","9-21-2012","District","Home","varsity","West FranklinPomona","Fri, 9/217:00pm"
"/ks/herington/herington-railroaders/","/ks/cottonwood-falls/chase-county-bulldogs/","58","64","2012","9-28-2012","Playoff","Home","varsity","Chase CountyCottonwood Falls","Fri, 9/287:00pm"
"/ks/herington/herington-railroaders/","/ks/alma/wabaunsee-chargers/","14","42","2012","10-5-2012","Playoff","Away","varsity","WabaunseeAlma","Fri, 10/57:00pm"
"/ks/herington/herington-railroaders/","/ks/inman/inman-inman-teutons/","24","54","2012","10-12-2012","Non-District","Home","varsity","Inman","Fri, 10/127:00pm"
"/ks/herington/herington-railroaders/","/ks/allen/northern-heights-wildcats/","20","59","2012","10-19-2012","Playoff","Home","varsity","Northern HeightsAllen","Fri, 10/197:00pm"
"/ks/herington/herington-railroaders/","/ks/onaga/onaga-buffaloes/","20","69","2012","10-26-2012","Playoff","Away","varsity","Onaga","Fri, 10/267:00pm"
"/ks/fredonia/fredonia-yellowjackets/","/ks/oswego/oswego-indians/","20","38","2012","8-31-2012","Non-District","Home","varsity","Oswego","Fri, 8/31Time TBA"
"/ks/fredonia/fredonia-yellowjackets/","/ks/arma/northeast-vikings/","14","34","2012","9-7-2012","Non-District","Away","varsity","NortheastArma","Fri, 9/77:00pm"
"/ks/fredonia/fredonia-yellowjackets/","/ks/cherryvale/cherryvale-chargers/","0","14","2012","9-14-2012","District","Away","varsity","Cherryvale","Fri, 9/147:00pm"
"/ks/fredonia/fredonia-yellowjackets/","/ks/caney/caney-valley-bullpups/","0","50","2012","9-21-2012","District","Away","varsity","Caney ValleyCaney","Fri, 9/217:00pm"
"/ks/fredonia/fredonia-yellowjackets/","/ks/neodesha/neodesha-blue-streaks/","20","46","2012","9-28-2012","District","Home","varsity","Neodesha","Fri, 9/28Time TBA"
"/ks/fredonia/fredonia-yellowjackets/","/ks/bel-aire/sunrise-christian-academy-buffaloes/","6","40","2012","10-5-2012","Non-District","Away","varsity","Sunrise Christian AcademyBel Aire","Fri, 10/57:00pm"
"/ks/fredonia/fredonia-yellowjackets/","/ks/burlington/burlington-wildcats/","22","34","2012","10-12-2012","District","Home","varsity","Burlington","Fri, 10/12Time TBA"
"/ks/fredonia/fredonia-yellowjackets/","/ks/humboldt/humboldt-cubs/","14","44","2012","10-19-2012","District","Away","varsity","Humboldt","Fri, 10/19Time TBA"
"/ks/fredonia/fredonia-yellowjackets/","/ks/eureka/eureka-tornadoes/","16","40","2012","10-25-2012","District","Home","varsity","Eureka","Thu, 10/25Time TBA"
"/ks/shawnee/maranatha-christian-academy-eagles/",NA,NA,NA,"2012",NA,"Non-District","Home","jv","St. Mary'sIndependence, MO","Thu, 8/304:30pm"
"/ks/shawnee/maranatha-christian-academy-eagles/",NA,NA,NA,"2012",NA,"Non-District","Home","jv","St. Mary'sIndependence, MO","Tue, 9/44:30pm"
"/ks/shawnee/maranatha-christian-academy-eagles/",NA,NA,NA,"2012",NA,"Non-District","Home","jv","St. Mary'sIndependence, MO","Mon, 10/84:30pm"
"/ks/shawnee/maranatha-christian-academy-eagles/","/mo/sedalia/sacred-heart-gremlins/","0","38","2012","8-31-2012","Non-District","Home","varsity","Sacred HeartSedalia, MO","Fri, 8/31Time TBA"
"/ks/shawnee/maranatha-christian-academy-eagles/","/mo/creighton/sherwood-marksmen/","0","46","2012","9-14-2012","Non-District","Away","varsity","SherwoodCreighton, MO","Fri, 9/14Time TBA"
"/ks/shawnee/maranatha-christian-academy-eagles/","/mo/independence/van-horn-falcons/",NA,NA,"2012","9-29-2012","Non-District","Home","varsity","Van HornIndependence, MO","Sat, 9/29Time TBA"
"/ks/shawnee/maranatha-christian-academy-eagles/",NA,"12","56","2012","10-5-2012","Non-District","Home","varsity","St. Mary'sIndependence, MO","Fri, 10/5Time TBA"
"/ks/shawnee/maranatha-christian-academy-eagles/","/mo/butler/butler-bears/","6","41","2012","10-19-2012","District","Home","varsity","ButlerMO","Fri, 10/19Time TBA"
"/ks/syracuse/syracuse-bulldogs/","/ks/lakin/lakin-broncs/","0","50","2012","8-31-2012","District","Away","varsity","Lakin","Fri, 8/317:00pm"
"/ks/syracuse/syracuse-bulldogs/","/ks/cimarron/cimarron-bluejays/","6","57","2012","9-7-2012","District","Home","varsity","Cimarron","Fri, 9/77:00pm"
"/ks/syracuse/syracuse-bulldogs/","/ks/leoti/wichita-county-indians/","28","34","2012","9-14-2012","Non-District","Home","varsity","Wichita CountyLeoti","Fri, 9/147:00pm"
"/ks/syracuse/syracuse-bulldogs/","/ks/oakley/oakley-plainsmen/","0","62","2012","9-21-2012","Non-District","Away","varsity","Oakley","Fri, 9/21Time TBA"
"/ks/syracuse/syracuse-bulldogs/","/ks/kismet/southwestern-heights-mustangs/","22","69","2012","9-28-2012","District","Away","varsity","Southwestern HeightsKismet","Fri, 9/287:00pm"
"/ks/syracuse/syracuse-bulldogs/","/ks/meade/meade-buffaloes/","16","75","2012","10-5-2012","District","Away","varsity","Meade","Fri, 10/5Time TBA"
"/ks/syracuse/syracuse-bulldogs/","/ks/sublette/sublette-larks/","31","62","2012","10-12-2012","District","Home","varsity","Sublette","Fri, 10/12Time TBA"
"/ks/syracuse/syracuse-bulldogs/","/ks/johnson/stanton-county-trojans/","0","52","2012","10-19-2012","District","Home","varsity","Stanton CountyJohnson","Fri, 10/19Time TBA"
"/ks/syracuse/syracuse-bulldogs/","/ks/elkhart/elkhart-wildcats/","36","64","2012","10-26-2012","District","Away","varsity","Elkhart","Fri, 10/267:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/pomona/west-franklin-falcons/",NA,NA,"2012",NA,"Non-District","Away","jv","West FranklinPomona","Wed, 9/56:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/pomona/west-franklin-falcons/",NA,NA,"2012",NA,"Non-District","Away","jv","West FranklinPomona","Mon, 9/106:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/council-grove/council-grove-braves/","34","17","2012","9-17-2012","District","Home","jv","Council Grove","Mon, 9/176:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/eskridge/mission-valley-vikings/","42","0","2012","9-24-2012","District","Away","jv","Mission ValleyEskridge","Mon, 9/246:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/herington/herington-railroaders/","34","0","2012","10-1-2012","District","Home","jv","Herington","Mon, 10/16:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/allen/northern-heights-wildcats/","16","28","2012","10-8-2012","Non-District","Home","jv","Northern HeightsAllen","Mon, 10/86:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/olpe/olpe-eagles/","0","0","2012","10-15-2012","Non-District","Home","jv","Olpe","Mon, 10/156:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/osage-city/osage-city-indians/","7","12","2012","8-31-2012","District","Away","varsity","Osage City","Fri, 8/317:00pm"
"/ks/cottonwood-falls/chase-county-bulldogs/","/ks/pomona/west-franklin-falcons/","21","32","2012","9-7-2012","District","Home","varsity","West FranklinPomona","Fri, 9/77:00pm"
