"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/nd/northwood/hatton-northwood-thunder/","/nd/westhope/westhope-newburg-glenburn-sioux/","14","36","2012","8-31-2012","District","Neutral","varsity","Westhope/Newburg/GlenburnWesthope","Fri, 8/317:00pm"
"/nd/northwood/hatton-northwood-thunder/","/nd/park-river/park-river-fordville-lankin-aggies/","6","50","2012","9-7-2012","District","Away","varsity","Park River/Fordville-LankinPark River","Fri, 9/7Time TBA"
"/nd/northwood/hatton-northwood-thunder/","/nd/harvey/harvey-fessenden-bowdon-hornets/","18","20","2012","9-14-2012","District","Home","varsity","Harvey/Fessenden-BowdonHarvey","Fri, 9/14Time TBA"
"/nd/northwood/hatton-northwood-thunder/","/nd/langdon/langdon-munich-cardinals/","8","40","2012","9-21-2012","District","Away","varsity","Langdon/MunichLangdon","Fri, 9/21Time TBA"
"/nd/northwood/hatton-northwood-thunder/","/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","20","34","2012","9-28-2012","District","Home","varsity","North Prairie co-op [Rolla/Rock Lake/Rolette/Wolford]Rolla","Fri, 9/28Time TBA"
"/nd/northwood/hatton-northwood-thunder/","/nd/inkster/midway-minto-mustangs/","36","56","2012","10-5-2012","District","Away","varsity","Midway/MintoInkster","Fri, 10/57:00pm"
"/nd/northwood/hatton-northwood-thunder/","/nd/larimore/larimore-polar-bears/","8","55","2012","10-12-2012","District","Away","varsity","Larimore","Fri, 10/127:00pm"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/new-town/new-town-eagles/","0","34","2012","8-23-2012","Non-District","Neutral","varsity","New Town","Thu, 8/236:00pm"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/killdeer/killdeer-halliday-cowboys/",NA,NA,"2012","8-31-2012","District","Away","varsity","Killdeer/HallidayKilldeer","Fri, 8/31Time TBA"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/new-salem/new-salem-glen-ullin-holsteins/","12","46","2012","9-6-2012","District","Home","varsity","New Salem/Glen UllinNew Salem","Thu, 9/6Time TBA"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/richardton/richardton-taylor-hebron-raiders/","28","48","2012","9-14-2012","District","Away","varsity","Richardton-Taylor/HebronRichardton","Fri, 9/144:00pm"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/belfield/heart-river-co-op-belfield-south-heart-cougars/","10","56","2012","9-21-2012","District","Away","varsity","Heart River co-op [Belfield/South Heart]Belfield","Fri, 9/217:00pm"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/elgin/grant-county-co-op-carson-elgin-new-leipzig-flasher-storm/","12","44","2012","9-28-2012","District","Home","varsity","Grant County co-op [Carson/Elgin-New Leipzig]/FlasherElgin","Fri, 9/28Time TBA"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/hazen/hazen-bison/","6","52","2012","10-5-2012","District","Home","varsity","Hazen","Fri, 10/5Time TBA"
"/nd/fort-yates/standing-rock-selfridge-warriors/","/nd/washburn/southern-mclean-washburn-wilton-wing-cardinals/","8","52","2012","10-12-2012","District","Neutral","varsity","Southern McLean [Washburn/Wilton/Wing]Washburn","Fri, 10/12Time TBA"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/kindred/kindred-vikings/","8","38","2012","8-24-2012","Non-District","Home","varsity","Kindred","Fri, 8/247:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/tower-city/maple-valley-enderlin/","0","32","2012","8-31-2012","District","Home","varsity","Maple Valley/EnderlinTower City","Fri, 8/317:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/oakes/oakes-tornadoes/","14","28","2012","9-7-2012","District","Home","varsity","Oakes","Fri, 9/77:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/linton/linton-hazelton-moffit-braddock-lions/","0","52","2012","9-14-2012","District","Away","varsity","Linton/Hazelton-Moffit-BraddockLinton","Fri, 9/147:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/hunter/northern-cass-jaguars/","20","50","2012","9-21-2012","District","Home","varsity","Northern CassHunter","Fri, 9/217:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","12","16","2012","10-6-2012","District","Home","varsity","Kidder County co-op [Steele-Dawson/Tappen/Sterling]Steele","Sat, 10/62:00pm"
"/nd/fargo/oak-grove-lutheran-grovers/","/nd/gwinner/milnor-north-sargent-bulldogs/","14","39","2012","10-12-2012","District","Away","varsity","Milnor/North SargentGwinner","Fri, 10/127:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/langdon/langdon-munich-cardinals/","8","42","2012","8-31-2012","District","Home","varsity","Langdon/MunichLangdon","Fri, 8/317:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/harvey/harvey-fessenden-bowdon-hornets/","14","42","2012","9-7-2012","District","Home","varsity","Harvey/Fessenden-BowdonHarvey","Fri, 9/77:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/park-river/park-river-fordville-lankin-aggies/","14","54","2012","9-14-2012","District","Away","varsity","Park River/Fordville-LankinPark River","Fri, 9/147:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/larimore/larimore-polar-bears/","20","40","2012","9-21-2012","District","Home","varsity","Larimore","Fri, 9/216:30pm"
"/nd/inkster/midway-minto-mustangs/","/nd/westhope/westhope-newburg-glenburn-sioux/","16","46","2012","9-28-2012","District","Away","varsity","Westhope/Newburg/GlenburnWesthope","Fri, 9/287:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/northwood/hatton-northwood-thunder/","56","36","2012","10-5-2012","District","Home","varsity","Hatton/NorthwoodNorthwood","Fri, 10/57:00pm"
"/nd/inkster/midway-minto-mustangs/","/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","0","45","2012","10-12-2012","District","Away","varsity","North Prairie co-op [Rolla/Rock Lake/Rolette/Wolford]Rolla","Fri, 10/12Time TBA"
"/nd/new-town/new-town-eagles/","/nd/fort-yates/standing-rock-selfridge-warriors/","34","0","2012","8-23-2012","Non-District","Neutral","varsity","Standing Rock/SelfridgeFort Yates","Thu, 8/236:00pm"
"/nd/new-town/new-town-eagles/","/nd/berthold/lewis-and-clark-berthold-our-redeemers-christian-north-shore-bombers/","0","18","2012","8-31-2012","District","Home","varsity","Lewis & Clark [Berthold/Our Redeemer's Christian/North Shore]Berthold","Fri, 8/317:00pm"
"/nd/new-town/new-town-eagles/","/nd/des-lacs/des-lacs-burlington-lakers/","0","40","2012","9-7-2012","District","Away","varsity","Des Lacs-BurlingtonDes Lacs","Fri, 9/7Time TBA"
"/nd/new-town/new-town-eagles/","/nd/garrison/garrison-max-troopers/","16","19","2012","9-14-2012","District","Home","varsity","Garrison/MaxGarrison","Fri, 9/14Time TBA"
"/nd/new-town/new-town-eagles/","/nd/velva/velva-aggies/","8","42","2012","9-21-2012","District","Away","varsity","Velva","Fri, 9/21Time TBA"
"/nd/new-town/new-town-eagles/","/nd/tioga/williams-county-co-op-tioga-ray-firestorm/","20","42","2012","9-28-2012","District","Home","varsity","Williams County co-op [Tioga/Ray]Tioga","Fri, 9/28Time TBA"
"/nd/new-town/new-town-eagles/","/nd/tioga/tioga-pirates/",NA,NA,"2012",NA,"Non-District","Home","varsity","Tioga","Fri, 9/287:00pm"
"/nd/new-town/new-town-eagles/","/nd/watford-city/watford-city-alexander-johnson-corners-christian-academy-wolves/","0","46","2012","10-12-2012","District","Home","varsity","Watford City/Alexander/Johnson Corners Christian AcademyWatford City","Fri, 10/12Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/elgin/grant-county-co-op-carson-elgin-new-leipzig-flasher-storm/","0","54","2012","8-21-2012","Non-District","Home","varsity","Grant County co-op [Carson/Elgin-New Leipzig]/FlasherElgin","Tue, 8/21Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/washburn/southern-mclean-washburn-wilton-wing-cardinals/","12","28","2012","8-25-2012","Non-District","Home","varsity","Southern McLean [Washburn/Wilton/Wing]Washburn","Sat, 8/25Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/stanley/stanley-powers-lake-bluejays/","7","71","2012","8-31-2012","District","Away","varsity","Stanley/Powers LakeStanley","Fri, 8/31Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/tioga/williams-county-co-op-tioga-ray-firestorm/","7","43","2012","9-7-2012","District","Home","varsity","Williams County co-op [Tioga/Ray]Tioga","Fri, 9/7Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/new-town/new-town-eagles/","19","16","2012","9-14-2012","District","Away","varsity","New Town","Fri, 9/14Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/watford-city/watford-city-alexander-johnson-corners-christian-academy-wolves/","0","54","2012","9-21-2012","District","Home","varsity","Watford City/Alexander/Johnson Corners Christian AcademyWatford City","Fri, 9/21Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/des-lacs/des-lacs-burlington-lakers/","0","33","2012","9-28-2012","District","Home","varsity","Des Lacs-BurlingtonDes Lacs","Fri, 9/28Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/berthold/lewis-and-clark-berthold-our-redeemers-christian-north-shore-bombers/","7","40","2012","10-5-2012","District","Away","varsity","Lewis & Clark [Berthold/Our Redeemer's Christian/North Shore]Berthold","Fri, 10/5Time TBA"
"/nd/garrison/garrison-max-troopers/","/nd/velva/velva-aggies/","6","32","2012","10-12-2012","District","Home","varsity","Velva","Fri, 10/12Time TBA"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/new-salem/new-salem-glen-ullin-holsteins/","14","24","2012","8-24-2012","Non-District","Home","varsity","New Salem/Glen UllinNew Salem","Fri, 8/24Time TBA"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/tower-city/maple-valley-enderlin/","0","20","2012","9-7-2012","District","Neutral","varsity","Maple Valley/EnderlinTower City","Fri, 9/7Time TBA"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/gwinner/milnor-north-sargent-bulldogs/","17","33","2012","9-14-2012","District","Home","varsity","Milnor/North SargentGwinner","Fri, 9/147:00pm"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/oakes/oakes-tornadoes/","12","24","2012","9-21-2012","District","Home","varsity","Oakes","Fri, 9/21Time TBA"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/linton/linton-hazelton-moffit-braddock-lions/","12","32","2012","9-28-2012","District","Away","varsity","Linton/Hazelton-Moffit-BraddockLinton","Fri, 9/28Time TBA"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/fargo/oak-grove-lutheran-grovers/","16","12","2012","10-6-2012","District","Away","varsity","Oak Grove LutheranFargo","Sat, 10/62:00pm"
"/nd/steele/kidder-county-co-op-steele-dawson-tappen-sterling-pirates/","/nd/hunter/northern-cass-jaguars/","12","20","2012","10-12-2012","District","Home","varsity","Northern CassHunter","Fri, 10/12Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/langdon/langdon-munich-cardinals/","0","43","2012","8-24-2012","Non-District","Away","varsity","Langdon/MunichLangdon","Fri, 8/24Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/international/unknown/neelin-brandon-manitoba-/","22","24","2012","8-31-2012","Non-District","Away","varsity","Neelin (Brandon, Manitoba)","Fri, 8/31Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/minot/bishop-ryan-sawyer-lions/","8","42","2012","9-8-2012","District","Neutral","varsity","Bishop Ryan/SawyerMinot","Sat, 9/8Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/minot/bishop-ryan-lions/",NA,NA,"2012",NA,"Non-District","Away","varsity","Bishop RyanMinot","Sat, 9/86:00pm"
"/nd/belcourt/turtle-mountain-braves/","/nd/beulah/beulah-miners/","8","42","2012","9-14-2012","District","Home","varsity","Beulah","Fri, 9/147:00pm"
"/nd/belcourt/turtle-mountain-braves/","/nd/carrington/carrington-cardinals/","0","47","2012","9-21-2012","District","Away","varsity","Carrington","Fri, 9/217:00pm"
"/nd/belcourt/turtle-mountain-braves/","/nd/rugby/rugby-panthers/","0","37","2012","9-28-2012","District","Home","varsity","Rugby","Fri, 9/28Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/dickinson/trinity-new-england-titans/","0","38","2012","10-5-2012","District","Home","varsity","Trinity/New EnglandDickinson","Fri, 10/5Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/bismarck/st-marys-central-saints/","0","39","2012","10-12-2012","District","Neutral","varsity","St. Mary's CentralBismarck","Fri, 10/12Time TBA"
"/nd/belcourt/turtle-mountain-braves/","/nd/bottineau/bottineau-braves-stars/","12","49","2012","10-16-2012","District","Away","varsity","Bottineau","Tue, 10/167:00pm"
"/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","/nd/des-lacs/des-lacs-burlington-lakers/","0","35","2012","8-24-2012","Non-District","Neutral","varsity","Des Lacs-BurlingtonDes Lacs","Fri, 8/24Time TBA"
"/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","/nd/harvey/harvey-fessenden-bowdon-hornets/","6","18","2012","8-31-2012","District","Away","varsity","Harvey/Fessenden-BowdonHarvey","Fri, 8/31Time TBA"
"/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","/nd/langdon/langdon-munich-cardinals/","8","26","2012","9-7-2012","District","Neutral","varsity","Langdon/MunichLangdon","Fri, 9/7Time TBA"
"/nd/rolla/north-prairie-co-op-rolla-rock-lake-rolette-wolford-cougars/","/nd/westhope/westhope-newburg-glenburn-sioux/","14","48","2012","9-14-2012","District","Away","varsity","Westhope/Newburg/GlenburnWesthope","Fri, 9/14Time TBA"
