"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/nh/raymond/raymond-rams/","/nh/concord/bishop-brady-giants/",NA,NA,"2012",NA,"Non-League","Away","jv","Bishop BradyConcord","Mon, 9/104:00pm"
"/nh/raymond/raymond-rams/","/nh/litchfield/campbell/","17","24","2012","9-17-2012","Non-League","Home","jv","CampbellLitchfield","Mon, 9/174:00pm"
"/nh/raymond/raymond-rams/","/nh/bristol/newfound-regional-bears/",NA,NA,"2012",NA,"Non-League","Away","jv","Newfound RegionalBristol","Mon, 9/244:30pm"
"/nh/raymond/raymond-rams/","/nh/canaan/mascoma-royals/",NA,NA,"2012",NA,"Non-League","Away","jv","MascomaCanaan","Mon, 10/14:00pm"
"/nh/raymond/raymond-rams/","/nh/franklin/franklin-tornadoes/",NA,NA,"2012",NA,"Non-League","Home","jv","Franklin","Tue, 10/94:00pm"
"/nh/raymond/raymond-rams/","/nh/gilford/gilford-golden-eagles/",NA,NA,"2012",NA,"Non-League","Away","jv","Gilford","Mon, 10/224:00pm"
"/nh/raymond/raymond-rams/","/nh/kingston/sanborn-regional-indians/","6","32","2012","8-25-2012","Non-League","Home","varsity","Sanborn RegionalKingston","Sat, 8/2510:00am"
"/nh/raymond/raymond-rams/","/nh/tilton/winnisquam-bears/","8","31","2012","8-31-2012","League","Home","varsity","WinnisquamTilton","Fri, 8/31Time TBA"
"/nh/raymond/raymond-rams/","/nh/concord/bishop-brady-giants/","12","60","2012","9-7-2012","League","Home","varsity","Bishop BradyConcord","Fri, 9/77:00pm"
"/nh/raymond/raymond-rams/","/nh/litchfield/campbell/","7","53","2012","9-15-2012","League","Away","varsity","CampbellLitchfield","Sat, 9/151:30pm"
"/nh/raymond/raymond-rams/","/nh/bristol/newfound-regional-bears/","14","34","2012","9-21-2012","League","Home","varsity","Newfound RegionalBristol","Fri, 9/21Time TBA"
"/nh/raymond/raymond-rams/","/nh/canaan/mascoma-royals/","6","40","2012","9-28-2012","League","Home","varsity","MascomaCanaan","Fri, 9/28Time TBA"
"/nh/raymond/raymond-rams/","/nh/franklin/franklin-tornadoes/","7","39","2012","10-6-2012","League","Away","varsity","Franklin","Sat, 10/6Time TBA"
"/nh/raymond/raymond-rams/","/nh/newport/newport-tigers/","6","54","2012","10-13-2012","League","Away","varsity","Newport","Sat, 10/13Time TBA"
