"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/eldred/eldred-yellowjackets/","0","54","2012","8-31-2012","League","Away","varsity","Eldred","Fri, 8/31Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/harpursville/harpursville-hornets/","0","50","2012","9-8-2012","Non-League","Home","varsity","Harpursville","Sat, 9/81:30pm"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/fallsburg/fallsburg-comets/","6","52","2012","9-15-2012","Non-League","Home","varsity","Fallsburg","Sat, 9/15Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/delhi/delaware-academy-bulldogs/","8","56","2012","9-22-2012","Non-League","Away","varsity","Delaware AcademyDelhi","Sat, 9/22Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/chester/chester-hambletonians/","18","62","2012","9-28-2012","League","Away","varsity","Chester","Fri, 9/28Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/deposit/deposit-hancock/","0","60","2012","10-6-2012","Non-League","Home","varsity","Deposit-HancockDeposit","Sat, 10/6Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/grahamsville/tri-valley-bears/","0","56","2012","10-13-2012","Non-League","Away","varsity","Tri-ValleyGrahamsville","Sat, 10/13Time TBA"
"/ny/livingston-manor/livingston-manor-wildcats/","/ny/downsville/downsville-central-roscoe-central-eagles/","14","40","2012","10-27-2012","League","Home","varsity","Downsville Central/Roscoe CentralDownsville","Sat, 10/27Time TBA"
"/ny/katonah/harvey-cavaliers/","/nj/englewood/dwight-englewood-bulldogs/","8","26","2012","9-22-2012","League","Home","varsity","Dwight-EnglewoodEnglewood, NJ","Sat, 9/221:00pm"
"/ny/katonah/harvey-cavaliers/","/ny/new-york/dalton-tigers/","8","38","2012","10-4-2012","Non-League","Home","varsity","DaltonNew York","Thu, 10/44:00pm"
"/ny/katonah/harvey-cavaliers/","/ny/riverdale/horace-mann-lions/","14","27","2012","10-13-2012","League","Away","varsity","Horace MannRiverdale","Sat, 10/13Time TBA"
