"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/oh/manchester/manchester-greyhounds/","/oh/st-bernard/st-bernard-elmwood-place-titans/","14","69","2012","8-17-2012","Conference","Home","varsity","St. Bernard-Elmwood PlaceSt. Bernard","Fri, 8/177:00pm"
"/oh/manchester/manchester-greyhounds/","/oh/franklin-furnace/green-bobcats/","0","40","2012","8-24-2012","Non-Conference","Neutral","varsity","GreenFranklin Furnace","Fri, 8/24Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/chillicothe/huntington-huntsmen/","6","56","2012","8-31-2012","Non-Conference","Neutral","varsity","HuntingtonChillicothe","Fri, 8/31Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/cincinnati/oyler-mad-hatters/","6","32","2012","9-8-2012","Non-Conference","Neutral","varsity","OylerCincinnati","Sat, 9/8Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/willow-wood/symmes-valley-vikings/","6","62","2012","9-14-2012","Non-Conference","Neutral","varsity","Symmes ValleyWillow Wood","Fri, 9/14Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/cincinnati/riverview-east-academy-hawks/","0","32","2012","9-21-2012","Non-Conference","Neutral","varsity","Riverview East AcademyCincinnati","Fri, 9/21Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/portsmouth/notre-dame-titans/","22","70","2012","9-29-2012","Non-Conference","Neutral","varsity","Notre DamePortsmouth","Sat, 9/29Time TBA"
"/oh/manchester/manchester-greyhounds/","/wv/ashton/hannan-wildcats/","36","28","2012","10-5-2012","Non-Conference","Home","varsity","HannanAshton, WV","Fri, 10/5Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/fayetteville/fayetteville-perry-rockets/","0","48","2012","10-12-2012","Conference","Neutral","varsity","Fayetteville-PerryFayetteville","Fri, 10/12Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/cincinnati/miami-valley-christian-academy-lions/","6","46","2012","10-19-2012","Non-Conference","Neutral","varsity","Miami Valley Christian AcademyCincinnati","Fri, 10/19Time TBA"
"/oh/manchester/manchester-greyhounds/","/oh/crown-city/south-gallia-rebels/","14","34","2012","10-26-2012","Non-Conference","Neutral","varsity","South GalliaCrown City","Fri, 10/26Time TBA"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/miami-valley-christian-academy-lions/",NA,NA,"2012",NA,"Non-Conference","Away","jv","Miami Valley Christian AcademyCincinnati","Sat, 10/2710:00am"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/miami-valley-christian-academy-lions/","14","41","2012","8-24-2012","Conference","Away","varsity","Miami Valley Christian AcademyCincinnati","Fri, 8/24Time TBA"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/gamble-montessori-gators/","0","36","2012","9-20-2012","Conference","Away","varsity","Gamble MontessoriCincinnati","Thu, 9/20Time TBA"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/cincinnati-landmark-eagles/","0","47","2012","9-27-2012","Non-Conference","Away","varsity","Cincinnati LandmarkCincinnati","Thu, 9/277:00pm"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/riverview-east-academy-hawks/","6","46","2012","10-11-2012","Conference","Away","varsity","Riverview East AcademyCincinnati","Thu, 10/11Time TBA"
"/oh/cincinnati/hillcrest-rams/","/oh/cincinnati/cincinnati-landmark-eagles/",NA,NA,"2012",NA,"Non-Conference","Away","varsity","Cincinnati LandmarkCincinnati","Thu, 9/267:00pm"
"/oh/springfield/emmanuel-christian-academy-lions/","/oh/dayton/stivers-school-for-the-arts-tigers/",NA,NA,"2012",NA,"Non-Conference","Away","jv","Stivers School for the ArtsDayton","Sat, 9/81:00pm"
"/oh/springfield/emmanuel-christian-academy-lions/","/oh/cincinnati/miami-valley-christian-academy-lions/",NA,NA,"2012",NA,"Non-Conference","Away","jv","Miami Valley Christian AcademyCincinnati","Sat, 10/61:00pm"
"/oh/springfield/emmanuel-christian-academy-lions/","/oh/dayton/stivers-school-for-the-arts-tigers/",NA,NA,"2012",NA,"Non-Conference","Away","jv","Stivers School for the ArtsDayton","Sat, 10/271:00pm"
"/oh/springfield/emmanuel-christian-academy-lions/","/oh/de-graff/riverside-pirates/","13","49","2012","9-14-2012","Non-Conference","Neutral","varsity","RiversideDe Graff","Fri, 9/14Time TBA"
"/oh/springfield/emmanuel-christian-academy-lions/","/oh/franklin/middletown-christian-eagles/","0","28","2012","9-21-2012","Non-Conference","Away","varsity","Middletown ChristianFranklin","Fri, 9/217:00pm"
"/oh/st-bernard/st-bernard-elmwood-place-titans/","/oh/manchester/manchester-greyhounds/","69","14","2012","8-17-2012","Conference","Away","varsity","Manchester","Fri, 8/177:00pm"
"/oh/st-bernard/st-bernard-elmwood-place-titans/","/oh/cincinnati/riverview-east-academy-hawks/","14","21","2012","8-24-2012","Conference","Home","varsity","Riverview East AcademyCincinnati","Fri, 8/24Time TBA"
