"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/st-augustine/florida-school-for-the-deaf-and-blind-dragons/","8","38","2013","8-22-2013","Non-District","Away","varsity","Florida School for the Deaf & BlindSt. Augustine","Thu, 8/227:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/jacksonville/cedar-creek-christian-saints/","7","68","2013","8-30-2013","Non-District","Home","varsity","Cedar Creek ChristianJacksonville","Fri, 8/307:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/jacksonville/duval-charter-panthers/","7","61","2013","9-6-2013","Non-District","Away","varsity","Duval CharterJacksonville","Fri, 9/67:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/st-augustine/florida-school-for-the-deaf-and-blind-dragons/","33","59","2013","9-20-2013","Non-District","Home","varsity","Florida School for the Deaf & BlindSt. Augustine","Fri, 9/207:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/st-augustine/beacon-of-hope-christian-eagles/","0","45","2013","10-4-2013","District","Away","varsity","Beacon of Hope ChristianSt. Augustine","Fri, 10/47:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/hawthorne/hawthorne-hornets/","0","82","2013","10-11-2013","Non-District","Home","varsity","Hawthorne","Fri, 10/117:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/jacksonville/temple-christian-academy/","0","52","2013","10-18-2013","Non-District","Away","varsity","Temple Christian AcademyJacksonville","Fri, 10/187:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/orlando/faith-christian-lions/","13","60","2013","10-25-2013","Non-District","Away","varsity","Faith ChristianOrlando","Fri, 10/257:00pm"
"/fl/jacksonville/seacoast-christian-academy-eagles/","/fl/margate/faith-christian-patriots/","13","60","2013","10-25-2013","Non-District","Away","varsity","Faith ChristianMargate","Fri, 10/257:00pm"
"/fl/tampa/citrus-park-christian-eagles/","/fl/bradenton/saint-stephens-episcopal-falcons/","6","64","2013","9-6-2013","Non-District","Away","varsity","Saint Stephen's EpiscopalBradenton","Fri, 9/67:00pm"
"/fl/tampa/citrus-park-christian-eagles/","/fl/winter-haven/all-saints-academy-saints/","6","61","2013","9-13-2013","Non-District","Away","varsity","All Saints' AcademyWinter Haven","Fri, 9/137:00pm"
"/fl/tampa/citrus-park-christian-eagles/","/fl/sarasota/out-of-door-academy-thunder/","0","42","2013","9-20-2013","Non-District","Neutral","varsity","Out-of-Door AcademySarasota","Fri, 9/20Time TBA"
"/fl/tampa/citrus-park-christian-eagles/","/fl/mount-dora/mount-dora-christian-academy-bulldogs/","0","51","2013","10-11-2013","District","Away","varsity","Mount Dora Christian AcademyMount Dora","Fri, 10/117:00pm"
"/fl/tampa/citrus-park-christian-eagles/","/fl/zephyrhills/zephyrhills-christian-academy-warriors/","34","12","2013","10-24-2013","Non-District","Away","varsity","Zephyrhills Christian AcademyZephyrhills","Thu, 10/247:00pm"
"/fl/tampa/citrus-park-christian-eagles/","/fl/orlando/faith-christian-lions/","13","69","2013","11-1-2013","District","Home","varsity","Faith ChristianOrlando","Fri, 11/1Time TBA"
"/fl/tampa/citrus-park-christian-eagles/","/fl/kissimmee/city-of-life-christian-academy-warriors/","14","36","2013","11-8-2013","Non-District","Away","varsity","City of Life Christian AcademyKissimmee","Fri, 11/8Time TBA"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/ocoee/central-florida-christian-academy-eagles/","18","54","2013","8-30-2013","District","Neutral","varsity","Central Florida Christian AcademyOcoee","Fri, 8/30Time TBA"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/jacksonville/temple-christian-academy/","12","26","2013","9-13-2013","Non-District","Home","varsity","Temple Christian AcademyJacksonville","Fri, 9/137:00pm"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/orlando/faith-christian-lions/","0","49","2013","9-20-2013","Non-District","Home","varsity","Faith ChristianOrlando","Fri, 9/207:00pm"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/pierson/taylor-wildcats/","0","34","2013","10-4-2013","Non-District","Home","varsity","TaylorPierson","Fri, 10/47:00pm"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/merritt-island/merritt-island-christian-cougars/",NA,NA,"2013","10-11-2013","Non-District","Away","varsity","Merritt Island ChristianMerritt Island","Fri, 10/11Time TBA"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/leesburg/first-academy-eagles/",NA,NA,"2013","10-18-2013","District","Away","varsity","First AcademyLeesburg","Fri, 10/187:00pm"
"/fl/ormond-beach/calvary-christian-academy-lions/","/fl/winter-park/trinity-prep-saints/",NA,NA,"2013","10-25-2013","Non-District","Neutral","varsity","Trinity PrepWinter Park","Fri, 10/25Time TBA"
