"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/nampa/nampa-christian-trojans/",NA,NA,"2013",NA,"Non-Conference","Away","jv","Nampa ChristianNampa","Thu, 8/296:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/meridian/cole-valley-christian-chargers/",NA,NA,"2013",NA,"Non-Conference","Home","jv","Cole Valley ChristianMeridian","Sat, 9/75:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/melba/melba-mustangs/",NA,NA,"2013",NA,"Non-Conference","Home","jv","Melba","Fri, 9/134:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/marsing/marsing-huskies/",NA,NA,"2013",NA,"Non-Conference","Home","jv","Marsing","Fri, 9/204:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/melba/melba-mustangs/",NA,NA,"2013",NA,"Non-Conference","Away","jv","Melba","Fri, 9/204:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/oakley/oakley-hornets/",NA,NA,"2013",NA,"Non-Conference","Away","jv","Oakley","Thu, 9/267:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/wendell/wendell-trojans/",NA,NA,"2013","10-10-2013","Conference","Home","jv","Wendell","Thu, 10/107:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/declo/declo-hornets/",NA,NA,"2013",NA,"Non-Conference","Home","jv","Declo","Thu, 10/177:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/nampa/nampa-christian-trojans/","0","39","2013","8-30-2013","Non-Conference","Home","varsity","Nampa ChristianNampa","Fri, 8/30Time TBA"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/meridian/cole-valley-christian-chargers/","6","48","2013","9-7-2013","Non-Conference","Away","varsity","Cole Valley ChristianMeridian","Sat, 9/7Time TBA"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/marsing/marsing-huskies/","12","40","2013","9-13-2013","Non-Conference","Home","varsity","Marsing","Fri, 9/13Time TBA"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/melba/melba-mustangs/","19","55","2013","9-20-2013","Non-Conference","Away","varsity","Melba","Fri, 9/207:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/marsing/marsing-huskies/",NA,NA,"2013",NA,"Non-Conference","Home","varsity","Marsing","Fri, 9/207:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/oakley/oakley-hornets/","0","52","2013","9-27-2013","Conference","Home","varsity","Oakley","Fri, 9/27Time TBA"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/wendell/wendell-trojans/",NA,NA,"2013","10-11-2013","Conference","Away","varsity","Wendell","Fri, 10/117:00pm"
"/id/glenns-ferry/glenns-ferry-pilots/","/id/declo/declo-hornets/",NA,NA,"2013","10-18-2013","Conference","Away","varsity","Declo","Fri, 10/18Time TBA"
