"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/la/lakeland/baton-rouge-homeschool-eagles/","/ms/liberty/amite-school-center-rebels/","0","38","2013","8-24-2013","Non-District","Home","varsity","Amite School CenterLiberty, MS","Sat, 8/24Time TBA"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/lafayette/acadiana-home-school-athletics-commandos/","26","74","2013","9-5-2013","District","Home","varsity","Acadiana Home School AthleticsLafayette","Thu, 9/57:00pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/baton-rouge/christian-home-educators-fellowship-patriots/","0","61","2013","9-19-2013","District","Away","varsity","Christian Home Educators FellowshipBaton Rouge","Thu, 9/197:00pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/new-orleans/new-orleans-home-school-saints-saints/","46","75","2013","9-27-2013","District","Home","varsity","New Orleans Home School SaintsNew Orleans","Fri, 9/277:00pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/lafayette/acadiana-home-school-athletics-commandos/","26","55","2013","10-5-2013","District","Away","varsity","Acadiana Home School AthleticsLafayette","Sat, 10/512:00pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/new-orleans/new-orleans-home-school-saints-saints/","18","34","2013","10-11-2013","District","Away","varsity","New Orleans Home School SaintsNew Orleans","Fri, 10/117:30pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/baton-rouge/christian-home-educators-fellowship-patriots/","6","48","2013","10-24-2013","District","Home","varsity","Christian Home Educators FellowshipBaton Rouge","Thu, 10/247:00pm"
"/la/lakeland/baton-rouge-homeschool-eagles/","/la/lafayette/acadiana-home-school-athletics-commandos/","6","52","2013","11-2-2013","Playoff","Away","varsity","Acadiana Home School AthleticsLafayette","Sat, 11/27:00pm"
"/la/metairie/ecole-classique-spartans/","/la/metairie/metairie-park-country-day-cajuns/","0","41","2013","9-6-2013","District","Home","varsity","Metairie Park Country DayMetairie","Fri, 9/6Time TBA"
"/la/metairie/ecole-classique-spartans/","/la/houma/houma-christian-warriors/","0","35","2013","9-27-2013","District","Away","varsity","Houma ChristianHouma","Fri, 9/27Time TBA"
