"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/me/ellsworth/ellsworth-sumner/","/me/pittsfield/maine-central-institute-huskies/","6","81","2014","9-5-2014","Region","Home","varsity","Maine Central InstitutePittsfield","Fri, 9/5Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/millinocket/stearns-minutemen/","14","37","2014","9-12-2014","Region","Away","varsity","StearnsMillinocket","Fri, 9/12Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/east-machias/washington-academy-raiders/","14","34","2014","9-26-2014","Region","Away","varsity","Washington AcademyEast Machias","Fri, 9/26Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/thorndike/mount-view-mustangs/","12","52","2014","10-4-2014","Region","Away","varsity","Mount ViewThorndike","Sat, 10/4Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/dexter/dexter-tigers/","8","27","2014","10-10-2014","Region","Home","varsity","Dexter","Fri, 10/10Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/bangor/john-bapst-memorial-crusaders/","12","45","2014","10-17-2014","Region","Away","varsity","John Bapst MemorialBangor","Fri, 10/17Time TBA"
"/me/ellsworth/ellsworth-sumner/","/me/lincoln/mattanawcook-lynx/","6","51","2014","10-24-2014","Region","Home","varsity","MattanawcookLincoln","Fri, 10/24Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/bucksport/bucksport-golden-bucks/",NA,NA,"2014",NA,"Non-Region","Home","jv","Bucksport","Mon, 9/84:30pm"
"/me/east-machias/washington-academy-raiders/","/me/houlton/houlton-shiretowners/",NA,NA,"2014",NA,"Non-Region","Home","jv","Houlton","Mon, 9/154:30pm"
"/me/east-machias/washington-academy-raiders/","/me/bangor/john-bapst-memorial-crusaders/",NA,NA,"2014",NA,"Non-Region","Away","jv","John Bapst MemorialBangor","Mon, 9/227:00pm"
"/me/east-machias/washington-academy-raiders/","/me/ellsworth/ellsworth-eagles/",NA,NA,"2014",NA,"Non-Region","Away","jv","Ellsworth","Mon, 9/295:00pm"
"/me/east-machias/washington-academy-raiders/","/me/dexter/dexter-tigers/",NA,NA,"2014",NA,"Non-Region","Home","jv","Dexter","Mon, 10/274:00pm"
"/me/east-machias/washington-academy-raiders/","/me/bucksport/bucksport-golden-bucks/","12","57","2014","9-5-2014","Region","Away","varsity","Bucksport","Fri, 9/5Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/houlton/houlton-shiretowners/","30","44","2014","9-13-2014","Region","Away","varsity","Houlton","Sat, 9/13Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/bangor/john-bapst-memorial-crusaders/","14","27","2014","9-19-2014","Region","Home","varsity","John Bapst MemorialBangor","Fri, 9/19Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/ellsworth/ellsworth-sumner/","34","14","2014","9-26-2014","Region","Home","varsity","Ellsworth/SumnerEllsworth","Fri, 9/26Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/ellsworth/ellsworth-eagles/",NA,NA,"2014",NA,"Non-Region","Home","varsity","Ellsworth","Fri, 9/267:00pm"
"/me/east-machias/washington-academy-raiders/","/me/pittsfield/maine-central-institute-huskies/","6","58","2014","10-3-2014","Region","Away","varsity","Maine Central InstitutePittsfield","Fri, 10/3Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/thorndike/mount-view-mustangs/","14","55","2014","10-10-2014","Region","Home","varsity","Mount ViewThorndike","Fri, 10/10Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/dexter/dexter-tigers/","0","38","2014","10-25-2014","Region","Away","varsity","Dexter","Sat, 10/25Time TBA"
"/me/east-machias/washington-academy-raiders/","/me/millinocket/stearns-minutemen/","0","28","2014","10-31-2014","Region","Home","varsity","StearnsMillinocket","Fri, 10/31Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/nh/new-hampton/new-hampton-school-huskies/","6","55","2014","9-13-2014","Non-Region","Home","varsity","New Hampton SchoolNew Hampton, NH","Sat, 9/13Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/me/bath/hyde-phoenix/","16","25","2014","9-20-2014","Region","Home","varsity","HydeBath","Sat, 9/20Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/ma/brookline/dexter-southfield/","14","32","2014","9-27-2014","Region","Home","varsity","Dexter SouthfieldBrookline, MA","Sat, 9/272:00pm"
"/me/kents-hill/kents-hill-school-huskies/","/ri/portsmouth/portsmouth-abbey-ravens/","21","42","2014","10-4-2014","Non-Region","Away","varsity","Portsmouth AbbeyPortsmouth, RI","Sat, 10/4Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/ma/south-hamilton/pingree-highlanders/","12","47","2014","10-11-2014","Non-Region","Away","varsity","PingreeSouth Hamilton, MA","Sat, 10/11Time TBA"
"/me/kents-hill/kents-hill-school-huskies/",NA,"14","43","2014","10-25-2014","Region","Away","varsity","HydeWoodstock, CT","Sat, 10/25Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/nh/tilton/tilton-school-rams/","53","58","2014","11-1-2014","Non-Region","Away","varsity","Tilton SchoolTilton, NH","Sat, 11/1Time TBA"
"/me/kents-hill/kents-hill-school-huskies/",NA,"16","26","2014","11-1-2014","Region","Away","varsity","HydeWoodstock, CT","Sat, 11/1Time TBA"
"/me/kents-hill/kents-hill-school-huskies/","/me/hebron/hebron-academy-lumberjacks/","27","56","2014","11-8-2014","Region","Home","varsity","Hebron AcademyHebron","Sat, 11/8Time TBA"
"/me/gray/gray-new-gloucester-patriots/",NA,NA,NA,"2014",NA,"Non-Region","Home","varsity","Rockland","Fri, 8/297:00pm"
"/me/gray/gray-new-gloucester-patriots/","/me/yarmouth/yarmouth-clippers/","0","41","2014","9-5-2014","Region","Home","varsity","Yarmouth","Fri, 9/57:00pm"
"/me/gray/gray-new-gloucester-patriots/","/me/freeport/freeport-falcons/","14","32","2014","9-13-2014","Region","Away","varsity","Freeport","Sat, 9/13Time TBA"
"/me/gray/gray-new-gloucester-patriots/","/me/turner/leavitt-hornets/","7","58","2014","9-19-2014","Region","Home","varsity","LeavittTurner","Fri, 9/19Time TBA"
"/me/gray/gray-new-gloucester-patriots/","/me/naples/lake-region-lakers/","18","42","2014","9-26-2014","Region","Away","varsity","Lake RegionNaples","Fri, 9/26Time TBA"
"/me/gray/gray-new-gloucester-patriots/","/me/rumford/mountain-valley-falcons/","14","38","2014","10-3-2014","Region","Home","varsity","Mountain ValleyRumford","Fri, 10/3Time TBA"
"/me/gray/gray-new-gloucester-patriots/",NA,NA,NA,"2014",NA,"Non-Region","Home","varsity","Livermore Falls","Fri, 10/107:00pm"
"/me/gray/gray-new-gloucester-patriots/","/me/jay/spruce-mountain-phoenix/","0","43","2014","10-10-2014","Region","Home","varsity","Spruce MountainJay","Fri, 10/107:00pm"
"/me/gray/gray-new-gloucester-patriots/","/me/cape-elizabeth/cape-elizabeth-capers/","8","49","2014","10-17-2014","Region","Away","varsity","Cape Elizabeth","Fri, 10/17Time TBA"
