"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/tonasket/tonasket-tigers/",NA,NA,"2014",NA,"Non-District","Away","jv","Tonasket","Mon, 9/155:30pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/bridgeport/bridgeport-mustangs/",NA,NA,"2014",NA,"Non-District","Away","jv","Bridgeport","Mon, 9/295:30pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/warden/warden-cougars/",NA,NA,"2014",NA,"Non-District","Home","jv","Warden","Mon, 10/65:30pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/mabton/mabton-vikings/",NA,NA,"2014",NA,"Non-District","Away","jv","Mabton","Mon, 10/134:00pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/quincy/quincy-jackrabbits/",NA,NA,"2014",NA,"Non-District","Home","jv","Quincy","Mon, 10/205:30pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/kittitas/kittitas-coyotes/",NA,NA,"2014",NA,"Non-District","Home","jv","Kittitas","Mon, 10/275:30pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/tonasket/tonasket-tigers/","6","37","2014","9-12-2014","Non-District","Home","varsity","Tonasket","Fri, 9/127:00pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/soap-lake/soap-lake-eagles/","12","26","2014","9-19-2014","District","Away","varsity","Soap Lake","Fri, 9/19Time TBA"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/bridgeport/bridgeport-mustangs/","21","20","2014","9-26-2014","Non-District","Home","varsity","Bridgeport","Fri, 9/267:00pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/warden/warden-cougars/","7","38","2014","10-3-2014","District","Away","varsity","Warden","Fri, 10/37:00pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/mabton/mabton-vikings/","0","32","2014","10-10-2014","District","Home","varsity","Mabton","Fri, 10/107:00pm"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/white-swan/white-swan-cougars/","14","48","2014","10-17-2014","District","Away","varsity","White Swan","Fri, 10/17Time TBA"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/kittitas/kittitas-coyotes/","6","72","2014","10-24-2014","District","Away","varsity","Kittitas","Fri, 10/24Time TBA"
"/wa/coulee-dam/lake-roosevelt-raiders/","/wa/soap-lake/soap-lake-eagles/","7","37","2014","10-31-2014","District","Home","varsity","Soap Lake","Fri, 10/31Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/colbert/northwest-christian-school-crusaders/","0","62","2014","9-5-2014","District","Away","varsity","Northwest Christian SchoolColbert","Fri, 9/57:00pm"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/colfax/colfax-oakesdale/","19","48","2014","9-12-2014","District","Home","varsity","Colfax/OakesdaleColfax","Fri, 9/12Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/ritzville/lind-ritzville-sprague-broncos/","0","63","2014","9-19-2014","District","Home","varsity","Lind-Ritzville/SpragueRitzville","Fri, 9/19Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/reardan/reardan-indians/","0","50","2014","9-26-2014","District","Away","varsity","Reardan","Fri, 9/267:00pm"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/kettle-falls/kettle-falls-bulldogs/","0","48","2014","10-3-2014","District","Home","varsity","Kettle Falls","Fri, 10/37:00pm"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/davenport/davenport-gorillas/",NA,NA,"2014","10-10-2014","District","Away","varsity","Davenport","Fri, 10/10Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/creston/wilbur-creston-keller-wildcats/",NA,NA,"2014","10-17-2014","District","Away","varsity","Wilbur-Creston-KellerCreston","Fri, 10/17Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/springdale/mary-walker-chargers/","13","53","2014","10-24-2014","District","Home","varsity","Mary WalkerSpringdale","Fri, 10/24Time TBA"
"/wa/tekoa/tekoa-rosalia-timberwolves/","/wa/spangle/liberty-lancers/","19","40","2014","10-31-2014","District","Home","varsity","LibertySpangle","Fri, 10/31Time TBA"
"/wa/puyallup/chief-leschi-warriors/","/wa/naselle/naselle-comets/","8","42","2014","9-5-2014","Non-District","Home","varsity","Naselle","Fri, 9/57:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/raymond/raymond-seagulls/","0","47","2014","9-12-2014","District","Away","varsity","Raymond","Fri, 9/127:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/westport/ocosta-wildcats/","18","33","2014","9-19-2014","District","Home","varsity","OcostaWestport","Fri, 9/197:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/ilwaco/ilwaco-fishermen/","8","42","2014","9-26-2014","District","Away","varsity","Ilwaco","Fri, 9/26Time TBA"
"/wa/puyallup/chief-leschi-warriors/","/wa/tacoma/life-christian-academy-eagles/","6","75","2014","10-3-2014","District","Home","varsity","Life Christian AcademyTacoma","Fri, 10/3Time TBA"
"/wa/puyallup/chief-leschi-warriors/","/wa/ocean-shores/north-beach-hyaks/","0","75","2014","10-10-2014","District","Away","varsity","North BeachOcean Shores","Fri, 10/107:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/south-bend/south-bend/","16","41","2014","10-17-2014","District","Home","varsity","South Bend","Fri, 10/17Time TBA"
"/wa/puyallup/chief-leschi-warriors/","/wa/tacoma/sound-christian-lions/","20","19","2014","10-24-2014","District","Away","varsity","Sound ChristianTacoma","Fri, 10/247:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/rainier/rainier-mountaineers/","6","48","2014","10-30-2014","District","Home","varsity","Rainier","Thu, 10/307:00pm"
"/wa/puyallup/chief-leschi-warriors/","/wa/winlock/winlock-cardinals/","14","49","2014","11-5-2014","Playoff","Home","varsity","Winlock","Wed, 11/5Time TBA"
"/wa/seattle/franklin-quakers/","/wa/seattle/ballard-beavers/",NA,NA,"2014",NA,"Non-District","Away","jv","BallardSeattle","Mon, 10/203:30pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/garfield-bulldogs/","0","48","2014","9-13-2014","District","Home","varsity","GarfieldSeattle","Sat, 9/136:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/ingraham-rams/","0","32","2014","9-19-2014","District","Home","varsity","IngrahamSeattle","Fri, 9/197:45pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/nathan-hale-raiders/","7","43","2014","9-26-2014","District","Away","varsity","Nathan HaleSeattle","Fri, 9/267:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/chief-sealth-seahawks/","6","47","2014","10-3-2014","District","Away","varsity","Chief SealthSeattle","Fri, 10/37:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/rainier-beach-vikings/","7","52","2014","10-10-2014","Non-District","Away","varsity","Rainier BeachSeattle","Fri, 10/105:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/ballard-beavers/","0","56","2014","10-16-2014","District","Home","varsity","BallardSeattle","Thu, 10/167:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/west-seattle/","12","52","2014","10-24-2014","Non-District","Away","varsity","West SeattleSeattle","Fri, 10/247:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/ingraham-rams/","18","40","2014","10-30-2014","Playoff","Away","varsity","IngrahamSeattle","Thu, 10/307:00pm"
"/wa/seattle/franklin-quakers/","/wa/renton/hazen-highlanders/","0","56","2014","11-8-2014","Non-District","Home","varsity","HazenRenton","Sat, 11/81:00pm"
"/wa/seattle/franklin-quakers/","/wa/seattle/rainier-beach-vikings/",NA,NA,"2014",NA,"Non-District","Away","varsity","Rainier BeachSeattle","Mon, 11/1011:14am"
"/wa/tacoma/sound-christian-lions/","/wa/westport/ocosta-wildcats/",NA,NA,"2014","9-5-2014","District","Away","varsity","OcostaWestport","Fri, 9/57:00pm"
"/wa/tacoma/sound-christian-lions/","/wa/ilwaco/ilwaco-fishermen/",NA,NA,"2014","9-13-2014","District","Home","varsity","Ilwaco","Sat, 9/13Time TBA"
"/wa/tacoma/sound-christian-lions/","/wa/south-bend/south-bend/","7","14","2014","9-19-2014","District","Away","varsity","South Bend","Fri, 9/19Time TBA"
"/wa/tacoma/sound-christian-lions/","/wa/concrete/concrete-lions/","0","47","2014","9-26-2014","Non-District","Home","varsity","Concrete","Fri, 9/267:00pm"
"/wa/tacoma/sound-christian-lions/","/wa/raymond/raymond-seagulls/","6","52","2014","10-3-2014","District","Away","varsity","Raymond","Fri, 10/37:00pm"
"/wa/tacoma/sound-christian-lions/","/wa/rainier/rainier-mountaineers/","0","48","2014","10-10-2014","District","Away","varsity","Rainier","Fri, 10/10Time TBA"
"/wa/tacoma/sound-christian-lions/","/wa/ocean-shores/north-beach-hyaks/","0","1","2014","10-18-2014","District","Home","varsity","North BeachOcean Shores","Sat, 10/187:00pm"
"/wa/tacoma/sound-christian-lions/","/wa/puyallup/chief-leschi-warriors/","19","20","2014","10-24-2014","District","Home","varsity","Chief LeschiPuyallup","Fri, 10/247:00pm"
"/wa/tacoma/sound-christian-lions/","/wa/tacoma/life-christian-academy-eagles/","0","56","2014","11-1-2014","District","Away","varsity","Life Christian AcademyTacoma","Sat, 11/1Time TBA"
