"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/md/hancock/hancock-panthers/","25","55","2015","9-19-2015","Non-Conference","Neutral","varsity","HancockMD","Sat, 9/19Time TBA"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/pa/farwell/bucktail-bucks/","0","53","2015","10-5-2015","Conference","Neutral","varsity","BucktailFarwell","Mon, 10/5Time TBA"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/pa/boalsburg/saint-josephs-catholic-academy-wolfpack/","0","70","2015","10-10-2015","Non-Conference","Home","varsity","Saint Joseph's Catholic AcademyBoalsburg","Sat, 10/101:30pm"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/pa/pottsville/nativity-bvm-green-wave/","6","62","2015","10-17-2015","Conference","Home","varsity","Nativity BVMPottsville","Sat, 10/17Time TBA"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/pa/bloomsburg/columbia-montour-vo-tech-rams/","36","68","2015","10-24-2015","Conference","Away","varsity","Columbia Montour Vo-TechBloomsburg","Sat, 10/24Time TBA"
"/pa/new-bloomfield/carson-long-military-academy-warriors/","/pa/farwell/bucktail-bucks/","8","49","2015","11-6-2015","Conference","Away","varsity","BucktailFarwell","Fri, 11/67:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/wyalusing/wyalusing-valley-rams/",NA,NA,"2015",NA,"Non-Conference","Away","jv","Wyalusing ValleyWyalusing","Mon, 9/146:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/westfield/cowanesque-valley-indians/",NA,NA,"2015",NA,"Non-Conference","Home","jv","Cowanesque ValleyWestfield","Mon, 10/56:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/farwell/bucktail-bucks/","12","26","2015","9-4-2015","Non-Conference","Away","varsity","BucktailFarwell","Fri, 9/49:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/wyalusing/wyalusing-valley-rams/","6","41","2015","9-14-2015","Non-Conference","Home","varsity","Wyalusing ValleyWyalusing","Mon, 9/147:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/hughesville/hughesville-spartans/","7","67","2015","9-18-2015","Conference","Away","varsity","Hughesville","Fri, 9/18Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/bloomsburg/bloomsburg-panthers/","7","42","2015","9-25-2015","Conference","Home","varsity","Bloomsburg","Fri, 9/25Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/westfield/cowanesque-valley-indians/","20","43","2015","10-2-2015","Non-Conference","Away","varsity","Cowanesque ValleyWestfield","Fri, 10/2Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/williamsport/loyalsock-township-lancers/","6","70","2015","10-9-2015","Conference","Home","varsity","Loyalsock TownshipWilliamsport","Fri, 10/9Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/canton/canton-warriors/","7","36","2015","10-16-2015","Non-Conference","Away","varsity","Canton","Fri, 10/16Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/sayre/sayre-redskins/","6","48","2015","10-23-2015","Non-Conference","Away","varsity","Sayre","Fri, 10/23Time TBA"
"/pa/montgomery/montgomery-red-raiders/","/pa/muncy/muncy-indians/","0","42","2015","10-30-2015","Conference","Home","varsity","Muncy","Fri, 10/307:00pm"
"/pa/montgomery/montgomery-red-raiders/","/pa/south-williamsport/south-williamsport-mountaineers/","7","49","2015","11-6-2015","Conference","Away","varsity","South Williamsport","Fri, 11/67:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/morrisville/morrisville-bulldogs/","34","38","2015","9-4-2015","Non-Conference","Home","varsity","Morrisville","Fri, 9/4Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/jenkintown/jenkintown-drakes/","15","52","2015","9-12-2015","Non-Conference","Away","varsity","Jenkintown","Sat, 9/121:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/bloomsburg/columbia-montour-vo-tech-rams/","24","32","2015","9-19-2015","Conference","Away","varsity","Columbia Montour Vo-TechBloomsburg","Sat, 9/19Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/boothwyn/chichester-eagles/","15","55","2015","9-25-2015","Non-Conference","Home","varsity","ChichesterBoothwyn","Fri, 9/25Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/pennsburg/perkiomen-school-panthers/","0","34","2015","10-2-2015","Non-Conference","Home","varsity","Perkiomen SchoolPennsburg","Fri, 10/2Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/pennsburg/perkiomen-school-panthers/",NA,NA,"2015",NA,"Non-Conference","Home","varsity","Perkiomen SchoolPennsburg","Fri, 10/27:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/schuylkill-haven/schuylkill-haven-hurricanes/","14","68","2015","10-9-2015","Non-Conference","Home","varsity","Schuylkill Haven","Fri, 10/9Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/schuylkill-haven/schuylkill-haven-hurricanes/",NA,NA,"2015",NA,"Non-Conference","Home","varsity","Schuylkill Haven","Fri, 10/97:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/new-bloomfield/carson-long-military-academy-warriors/","62","6","2015","10-17-2015","Conference","Away","varsity","Carson Long Military AcademyNew Bloomfield","Sat, 10/17Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/dc/washington/national-collegiate-prep-panthers/",NA,NA,"2015",NA,"Non-Conference","Home","varsity","National Collegiate PrepWashington, DC","Sat, 10/242:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/farwell/bucktail-bucks/","13","16","2015","10-30-2015","Conference","Away","varsity","BucktailFarwell","Fri, 10/307:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/minersville/minersville-battlin-miners/","14","54","2015","11-6-2015","Non-Conference","Away","varsity","Minersville","Fri, 11/67:00pm"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/shenandoah/shenandoah-valley-blue-devils/","18","49","2015","11-12-2015","Non-Conference","Neutral","varsity","Shenandoah ValleyShenandoah","Thu, 11/12Time TBA"
"/pa/pottsville/nativity-bvm-green-wave/","/pa/shenandoah/shenandoah-valley-blue-devils/",NA,NA,"2015",NA,"Non-Conference","Home","varsity","Shenandoah ValleyShenandoah","Thu, 11/123:01pm"
"/pa/youngsville/youngsville-eagles/","/pa/stoneboro/lakeview-sailors/","7","68","2015","9-5-2015","Non-Conference","Home","varsity","LakeviewStoneboro","Sat, 9/57:00pm"
"/pa/youngsville/youngsville-eagles/","/pa/russell/eisenhower-knights/","3","62","2015","9-11-2015","Conference","Home","varsity","EisenhowerRussell","Fri, 9/117:00pm"
"/pa/youngsville/youngsville-eagles/","/pa/cambridge-springs/cambridge-springs-devils/","0","65","2015","9-18-2015","Conference","Away","varsity","Cambridge Springs","Fri, 9/187:00pm"
