"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ga/edison/pataula-charter-academy-panthers/","/ga/baconton/baconton-charter-blazers/","0","43","2016","8-19-2016","Region","Home","varsity","Baconton CharterBaconton","Fri, 8/197:00pm"
"/ga/edison/pataula-charter-academy-panthers/","/ga/colquitt/miller-county-pirates/",NA,NA,"2016",NA,"Region","Away","varsity","Miller CountyColquitt","Thu, 8/255:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/fl/panama-city/north-bay-haven-academy-buccaneers/","0","56","2016","9-9-2016","Non-Region","Away","varsity","North Bay Haven AcademyPanama City, FL","Fri, 9/97:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/fl/quincy/munroe-bobcats/","0","61","2016","9-16-2016","Non-Region","Away","varsity","MunroeQuincy, FL","Fri, 9/167:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/ga/gibson/glascock-county-panthers/","8","49","2016","9-23-2016","Non-Region","Home","varsity","Glascock CountyGibson","Fri, 9/237:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/ga/atlanta/cross-keys-indians/","16","21","2016","9-30-2016","Non-Region","Away","varsity","Cross KeysAtlanta","Fri, 9/305:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/ga/atlanta/cross-keys-indians/","34","14","2016","10-28-2016","Non-Region","Home","varsity","Cross KeysAtlanta","Fri, 10/286:30pm"
"/ga/edison/pataula-charter-academy-panthers/","/ga/gibson/glascock-county-panthers/","26","50","2016","11-4-2016","Non-Region","Away","varsity","Glascock CountyGibson","Fri, 11/47:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/druid-hills-red-devils/","2","30","2016","9-8-2016","Non-Region","Home","jv","Druid HillsAtlanta","Thu, 9/85:00pm"
"/ga/atlanta/cross-keys-indians/","/ga/dunwoody/dunwoody-wildcats/","0","40","2016","9-22-2016","Non-Region","Home","jv","Dunwoody","Thu, 9/225:00pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/mcnair-mustangs/","0","56","2016","10-13-2016","Non-Region","Home","jv","McNairAtlanta","Thu, 10/135:00pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/lakeside-vikings/","0","31","2016","10-27-2016","Non-Region","Away","jv","LakesideAtlanta","Thu, 10/275:00pm"
"/ga/atlanta/cross-keys-indians/","/ga/chamblee/chamblee-bulldogs/","14","42","2016","11-3-2016","Non-Region","Away","jv","Chamblee","Thu, 11/35:00pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/mcnair-mustangs/","0","49","2016","9-2-2016","Non-Region","Home","varsity","McNairAtlanta","Fri, 9/27:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/mcnair-mustangs/",NA,NA,"2016",NA,"Non-Region","Home","varsity","McNairAtlanta","Fri, 9/27:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/edison/pataula-charter-academy-panthers/","21","16","2016","9-30-2016","Non-Region","Home","varsity","Pataula Charter AcademyEdison","Fri, 9/305:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/atlanta/north-springs-spartans/","0","55","2016","10-7-2016","Non-Region","Home","varsity","North SpringsAtlanta","Fri, 10/75:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/clarkston/clarkston-angoras/","0","42","2016","10-14-2016","Region","Away","varsity","Clarkston","Fri, 10/145:15pm"
"/ga/atlanta/cross-keys-indians/","/ga/gibson/glascock-county-panthers/","20","48","2016","10-21-2016","Non-Region","Home","varsity","Glascock CountyGibson","Fri, 10/217:30pm"
"/ga/atlanta/cross-keys-indians/","/ga/edison/pataula-charter-academy-panthers/","14","34","2016","10-28-2016","Non-Region","Away","varsity","Pataula Charter AcademyEdison","Fri, 10/286:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/lagrange/dawson-street-christian-wildcats/","0","36","2016","8-12-2016","Non-Region","Home","varsity","Dawson Street ChristianLaGrange","Fri, 8/12Time TBA"
"/ga/marietta/dominion-christian-knights/","/ga/newnan/greater-bethlehem-temple-christian-knights/","0","56","2016","8-12-2016","Non-Region","Home","varsity","Greater Bethlehem Temple ChristianNewnan","Fri, 8/127:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/loganville/loganville-christian-academy-lions/","0","33","2016","8-26-2016","Region","Away","varsity","Loganville Christian AcademyLoganville","Fri, 8/267:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/athens/monsignor-donovan-catholic-rams/","0","53","2016","9-2-2016","Non-Region","Home","varsity","Monsignor Donovan CatholicAthens","Fri, 9/27:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/warrenton/briarwood-academy-buccaneers/","21","56","2016","9-9-2016","Non-Region","Home","varsity","Briarwood AcademyWarrenton","Fri, 9/97:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/augusta/westminster-schools-of-augusta-wildcats/","20","54","2016","9-16-2016","Non-Region","Home","varsity","Westminster Schools of AugustaAugusta","Fri, 9/167:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/bethlehem/bethlehem-christian-academy-knights/","0","53","2016","9-23-2016","Region","Away","varsity","Bethlehem Christian AcademyBethlehem","Fri, 9/237:30pm"
"/ga/marietta/dominion-christian-knights/","/ga/newnan/heritage-hawks/","0","42","2016","9-30-2016","Region","Neutral","varsity","HeritageNewnan","Fri, 9/30Time TBA"
"/ga/marietta/dominion-christian-knights/","/ga/sharpsburg/trinity-christian-lions/","25","44","2016","10-14-2016","Region","Away","varsity","Trinity ChristianSharpsburg","Fri, 10/147:30pm"
