"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/geneva/fillmore-central-panthers/","14","28","2016","8-26-2016","Non-District","Away","varsity","Fillmore CentralGeneva","Fri, 8/26Time TBA"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/lincoln/lincoln-lutheran-warriors/","0","35","2016","9-2-2016","Non-District","Away","varsity","Lincoln LutheranLincoln","Fri, 9/25:00pm"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/murray/conestoga-cougars/","0","32","2016","9-9-2016","Non-District","Home","varsity","ConestogaMurray","Fri, 9/9Time TBA"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/wymore/southern-raiders/","0","31","2016","9-16-2016","Non-District","Home","varsity","SouthernWymore","Fri, 9/167:00pm"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/adams/freeman-falcons/","6","40","2016","9-23-2016","District","Away","varsity","FreemanAdams","Fri, 9/237:00pm"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/humboldt/humboldt-table-rock-steinauer-titans/","8","14","2016","9-30-2016","District","Home","varsity","Humboldt-Table Rock-SteinauerHumboldt","Fri, 9/30Time TBA"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/palmyra/palmyra-panthers/","0","44","2016","10-7-2016","District","Home","varsity","Palmyra","Fri, 10/7Time TBA"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/wilber/wilber-clatonia-wolverines/","0","42","2016","10-14-2016","District","Away","varsity","Wilber-ClatoniaWilber","Fri, 10/14Time TBA"
"/ne/tecumseh/johnson-county-central-thunderbirds/","/ne/malcolm/malcolm-clippers/","7","41","2016","10-21-2016","Non-District","Home","varsity","Malcolm","Fri, 10/21Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/st-paul/st-paul-wildcats/","12","34","2016","8-26-2016","Non-District","Away","varsity","St. Paul","Fri, 8/267:00pm"
"/ne/wood-river/wood-river-eagles/","/ne/cairo/centura-centurions/","6","53","2016","9-2-2016","Non-District","Home","varsity","CenturaCairo","Fri, 9/2Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/geneva/fillmore-central-panthers/","14","16","2016","9-9-2016","Non-District","Away","varsity","Fillmore CentralGeneva","Fri, 9/95:00pm"
"/ne/wood-river/wood-river-eagles/","/ne/north-platte/st-patricks-irish/","6","56","2016","9-16-2016","Non-District","Home","varsity","St. Patrick'sNorth Platte","Fri, 9/16Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/hastings/st-cecilia-bluehawks/","0","47","2016","9-23-2016","District","Away","varsity","St. CeciliaHastings","Fri, 9/23Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/oxford/southern-valley-eagles/","14","38","2016","9-30-2016","District","Home","varsity","Southern ValleyOxford","Fri, 9/30Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/gibbon/gibbon-buffaloes/","8","49","2016","10-7-2016","District","Away","varsity","Gibbon","Fri, 10/7Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/fairfield/sandy-creek-cougars/","10","31","2016","10-14-2016","District","Away","varsity","Sandy CreekFairfield","Fri, 10/14Time TBA"
"/ne/wood-river/wood-river-eagles/","/ne/doniphan/doniphan-trumbull-cardinals/","6","63","2016","10-21-2016","District","Home","varsity","Doniphan-TrumbullDoniphan","Fri, 10/21Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/wilber/wilber-clatonia-wolverines/","0","59","2016","8-26-2016","Non-District","Home","varsity","Wilber-ClatoniaWilber","Fri, 8/267:00pm"
"/ne/fairfield/sandy-creek-cougars/","/ne/geneva/fillmore-central-panthers/","23","30","2016","9-2-2016","Non-District","Home","varsity","Fillmore CentralGeneva","Fri, 9/2Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/arcadia/arcadia-loup-city-rebels/","0","70","2016","9-9-2016","Non-District","Away","varsity","Arcadia/Loup CityArcadia","Fri, 9/9Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/sutton/sutton-mustangs/","7","55","2016","9-16-2016","Non-District","Away","varsity","Sutton","Fri, 9/16Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/doniphan/doniphan-trumbull-cardinals/","0","66","2016","9-23-2016","District","Home","varsity","Doniphan-TrumbullDoniphan","Fri, 9/23Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/gibbon/gibbon-buffaloes/","14","55","2016","9-30-2016","District","Away","varsity","Gibbon","Fri, 9/30Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/hastings/st-cecilia-bluehawks/","7","48","2016","10-7-2016","District","Home","varsity","St. CeciliaHastings","Fri, 10/7Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/wood-river/wood-river-eagles/","31","10","2016","10-14-2016","District","Home","varsity","Wood River","Fri, 10/14Time TBA"
"/ne/fairfield/sandy-creek-cougars/","/ne/oxford/southern-valley-eagles/","13","58","2016","10-21-2016","District","Away","varsity","Southern ValleyOxford","Fri, 10/217:00pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/lincoln/lincoln-lutheran-warriors/","6","40","2016","8-26-2016","Non-District","Away","varsity","Lincoln LutheranLincoln","Fri, 8/265:30pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/omaha/brownell-talbot-raiders/","8","32","2016","9-2-2016","Non-District","Home","varsity","Brownell TalbotOmaha","Fri, 9/25:00pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/malcolm/malcolm-clippers/","0","27","2016","9-9-2016","Non-District","Away","varsity","Malcolm","Fri, 9/9Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/yutan/yutan-chieftains/","0","59","2016","9-16-2016","Non-District","Home","varsity","Yutan","Fri, 9/16Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/wilber/wilber-clatonia-wolverines/","0","49","2016","9-23-2016","District","Home","varsity","Wilber-ClatoniaWilber","Fri, 9/23Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/tecumseh/johnson-county-central-thunderbirds/","14","8","2016","9-30-2016","District","Away","varsity","Johnson County CentralTecumseh","Fri, 9/30Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/adams/freeman-falcons/","13","20","2016","10-7-2016","District","Home","varsity","FreemanAdams","Fri, 10/7Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/murdock/elmwood-murdock-knights/","0","28","2016","10-14-2016","Non-District","Home","varsity","Elmwood-MurdockMurdock","Fri, 10/145:00pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/lincoln/lincoln-lutheran-warriors/",NA,NA,"2016",NA,"Non-District","Neutral","varsity","Lincoln LutheranLincoln","Thu, 10/207:00pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/palmyra/palmyra-panthers/","6","50","2016","10-20-2016","District","Away","varsity","Palmyra","Thu, 10/207:00pm"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/yutan/yutan-chieftains/","0","2","2016","9-15-2017","Non-District","Away","varsity","Yutan","Fri, 9/15Time TBA"
"/ne/humboldt/humboldt-table-rock-steinauer-titans/","/ne/murdock/elmwood-murdock-knights/","0","41","2016","10-13-2017","Non-District","Away","varsity","Elmwood-MurdockMurdock","Fri, 10/13Time TBA"
"/ne/omaha/bryan-bears/","/ne/omaha/burke-bulldogs/","28","21","2016","8-31-2016/freshman-football-16/bryan-vs-burke.htm?c=TzXrmbC2sUyMXHjAHlEmiA","Non-District","Home","freshmen","BurkeOmaha","Wed, 8/316:30pm"
"/ne/omaha/bryan-bears/","/ne/bellevue/bellevue-west-thunderbirds/",NA,NA,"2016",NA,"Non-District","Home","freshmen","Bellevue WestBellevue","Wed, 10/56:30pm"
"/ne/omaha/bryan-bears/","/ne/omaha/omaha-central-eagles/",NA,NA,"2016",NA,"Non-District","Home","freshmen","Omaha CentralOmaha","Wed, 10/194:30pm"
"/ne/omaha/bryan-bears/","/ne/omaha/benson-bunnies/",NA,NA,"2016",NA,"Non-District","Home","jv","BensonOmaha","Thu, 9/225:00pm"
"/ne/omaha/bryan-bears/","/ne/bellevue/bellevue-west-thunderbirds/",NA,NA,"2016",NA,"Non-District","Away","jv","Bellevue WestBellevue","Thu, 10/65:45pm"
"/ne/omaha/bryan-bears/","/ne/omaha/omaha-central-eagles/",NA,NA,"2016",NA,"Non-District","Away","jv","Omaha CentralOmaha","Thu, 10/205:30pm"
"/ne/omaha/bryan-bears/","/ne/bellevue/bellevue-east-chieftains/","6","39","2016","8-26-2016","Non-District","Home","varsity","Bellevue EastBellevue","Fri, 8/26Time TBA"
"/ne/omaha/bryan-bears/","/ne/omaha/omaha-south-packers/","38","41","2016","9-2-2016","Non-District","Away","varsity","Omaha SouthOmaha","Fri, 9/25:00pm"
"/ne/omaha/bryan-bears/","/ne/omaha/omaha-central-eagles/","8","49","2016","9-9-2016","District","Home","varsity","Omaha CentralOmaha","Fri, 9/97:00pm"
"/ne/omaha/bryan-bears/","/ne/lincoln/lincoln-high-links/","12","57","2016","9-16-2016","District","Home","varsity","Lincoln HighLincoln","Fri, 9/1610:00pm"
"/ne/omaha/bryan-bears/","/ne/lincoln/lincoln-southwest-silver-hawks/","0","49","2016","9-23-2016","District","Away","varsity","Lincoln SouthwestLincoln","Fri, 9/235:00pm"
"/ne/omaha/bryan-bears/","/ne/omaha/millard-west-wildcats/","7","69","2016","9-29-2016","District","Away","varsity","Millard WestOmaha","Thu, 9/297:00pm"
"/ne/omaha/bryan-bears/","/ne/papillion/papillion-lavista-south-titans/","0","58","2016","10-7-2016","Non-District","Neutral","varsity","Papillion-LaVista SouthPapillion","Fri, 10/77:00pm"
"/ne/omaha/bryan-bears/","/ne/omaha/benson-bunnies/","28","43","2016","10-14-2016","Non-District","Away","varsity","BensonOmaha","Fri, 10/147:00pm"
"/ne/omaha/bryan-bears/","/ne/north-platte/north-platte-bulldogs/","12","59","2016","10-21-2016","District","Away","varsity","North Platte","Fri, 10/215:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/burke-bulldogs/","12","0","2016","9-7-2016/freshman-football-16/benson-vs-burke.htm?c=RUaOcSHgrUSyx70_INbbPg","Non-District","Home","freshmen","BurkeOmaha","Wed, 9/75:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-central-eagles/","50","20","2016","9-28-2016/freshman-football-16/benson-vs-omaha-central.htm?c=odjaZ0hcx02VLukSt2maVw","Non-District","Away","freshmen","Omaha CentralOmaha","Wed, 9/284:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/millard-west-wildcats/",NA,NA,"2016",NA,"Non-District","Away","freshmen","Millard WestOmaha","Wed, 10/54:30pm"
"/ne/omaha/benson-bunnies/","/ne/bellevue/bellevue-west-thunderbirds/",NA,NA,"2016",NA,"Non-District","Home","freshmen","Bellevue WestBellevue","Wed, 10/195:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-northwest-huskies/",NA,NA,"2016",NA,"Non-District","Away","jv","Omaha NorthwestOmaha","Sat, 9/310:00am"
"/ne/omaha/benson-bunnies/","/ne/papillion/papillion-lavista-south-titans/",NA,NA,"2016",NA,"Non-District","Home","jv","Papillion-LaVista SouthPapillion","Thu, 9/155:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/bryan-bears/",NA,NA,"2016",NA,"Non-District","Away","jv","BryanOmaha","Thu, 9/225:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-central-eagles/","22","25","2016","9-29-2016","Non-District","Home","jv","Omaha CentralOmaha","Thu, 9/295:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/millard-west-wildcats/",NA,NA,"2016",NA,"Non-District","Home","jv","Millard WestOmaha","Mon, 10/105:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-south-packers/","24","12","2016","10-15-2016","Non-District","Away","jv","Omaha SouthOmaha","Sat, 10/1510:00am"
"/ne/omaha/benson-bunnies/","/ne/omaha/millard-north-mustangs/","0","63","2016","8-2-2016","District","Home","varsity","Millard NorthOmaha","Tue, 8/25:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-south-packers/","6","38","2016","8-26-2016","Non-District","Home","varsity","Omaha SouthOmaha","Fri, 8/267:00pm"
"/ne/omaha/benson-bunnies/","/ne/omaha/omaha-northwest-huskies/","0","43","2016","9-1-2016","Non-District","Away","varsity","Omaha NorthwestOmaha","Thu, 9/17:00pm"
"/ne/omaha/benson-bunnies/","/ne/lincoln/lincoln-northeast-rockets/","13","47","2016","9-9-2016","District","Home","varsity","Lincoln NortheastLincoln","Fri, 9/97:00pm"
"/ne/omaha/benson-bunnies/","/ne/fremont/fremont-tigers/","7","41","2016","9-16-2016","District","Away","varsity","Fremont","Fri, 9/16Time TBA"
