"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/austin/eastside-early-college-panthers/","13","26","2016","9-2-2016","Non-District","Home","varsity","Eastside Early CollegeAustin","Fri, 9/27:30pm"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/sabinal/sabinal-yellowjackets/","6","45","2016","9-9-2016","Non-District","Home","varsity","Sabinal","Fri, 9/97:30pm"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/charlotte/charlotte-trojans/","20","51","2016","9-16-2016","Non-District","Away","varsity","Charlotte","Fri, 9/167:30pm"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/san-antonio/st-anthony-yellowjackets/","6","60","2016","9-29-2016","Non-District","Home","varsity","St. AnthonySan Antonio","Thu, 9/297:00pm"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/san-antonio/brooks-academy-of-science-and-engineering/",NA,NA,"2016","10-13-2016","District","Away","varsity","Brooks Academy of Science & EngineeringSan Antonio","Thu, 10/137:30pm"
"/tx/san-antonio/lee-academy-of-science-and-engineering-wolfpack/","/tx/san-antonio/brooks-academy-of-science-and-engineering/","20","47","2016","11-4-2016","District","Away","varsity","Brooks Academy of Science & EngineeringSan Antonio","Fri, 11/47:30pm"
"/tx/pharr/pharr-oratory/","/tx/agua-dulce/agua-dulce-longhorns/","0","60","2016","9-9-2016","Non-District","Away","varsity","Agua Dulce","Fri, 9/97:30pm"
"/tx/pharr/pharr-oratory/","/tx/santa-maria/santa-maria-cougars/","7","62","2016","9-23-2016","Non-District","Home","varsity","Santa Maria","Fri, 9/237:30pm"
"/tx/pharr/pharr-oratory/","/tx/harlingen/marine-military-leathernecks/",NA,NA,"2016",NA,"Non-District","Away","varsity","Marine MilitaryHarlingen","Fri, 10/287:30pm"
"/tx/stephenville/huston-academy/","/tx/cedar-hill/dasche-spartans/","0","37","2016","9-9-2016","Non-District","Away","varsity","DasCHECedar Hill","Fri, 9/97:00pm"
"/tx/stephenville/huston-academy/","/tx/plano/dallas-hsaa-angels/","6","25","2016","10-7-2016","Non-District","Away","varsity","Dallas HSAAPlano","Fri, 10/77:00pm"
"/tx/stephenville/huston-academy/","/tx/irving/highlands-blazers/","8","41","2016","10-21-2016","Non-District","Away","varsity","HighlandsIrving","Fri, 10/217:30pm"
"/tx/stephenville/huston-academy/","/tx/cedar-hill/dasche-spartans/",NA,NA,"2016","11-4-2016","Non-District","Home","varsity","DasCHECedar Hill","Fri, 11/47:00pm"
"/tx/houston/core-academy-cobras/","/tx/houston/kipp-sunnyside/","6","44","2016","9-9-2016","Non-District","Away","varsity","KIPP SunnysideHouston","Fri, 9/97:00pm"
"/tx/houston/core-academy-cobras/","/tx/houston/kipp-houston-kerberos/","12","47","2016","9-30-2016","District","Away","varsity","KIPP HoustonHouston","Fri, 9/307:00pm"
"/tx/houston/core-academy-cobras/","/tx/galveston/oconnell-buccaneers/","20","76","2016","10-7-2016","Non-District","Home","varsity","O'ConnellGalveston","Fri, 10/77:00pm"
"/tx/houston/core-academy-cobras/","/tx/houston/pro-vision-academy-warriors/","8","66","2016","10-29-2016","District","Home","varsity","Pro-Vision AcademyHouston","Sat, 10/291:00pm"
"/tx/houston/core-academy-cobras/","/tx/tomball/tomball-christian-homeschool-warriors/","12","67","2016","11-4-2016","District","Away","varsity","Tomball Christian HomeSchoolTomball","Fri, 11/47:00pm"
"/tx/plano/dallas-hsaa-angels/","/tx/fort-worth/temple-christian-eagles/","13","56","2016","8-26-2016","Non-District","Home","varsity","Temple ChristianFort Worth","Fri, 8/267:00pm"
"/tx/plano/dallas-hsaa-angels/","/tx/irving/highlands-blazers/","13","56","2016","9-9-2016","Non-District","Away","varsity","HighlandsIrving","Fri, 9/97:30pm"
"/tx/plano/dallas-hsaa-angels/","/tx/tomball/tomball-christian-homeschool-warriors/","14","46","2016","9-16-2016","Non-District","Away","varsity","Tomball Christian HomeSchoolTomball","Fri, 9/167:30pm"
"/tx/plano/dallas-hsaa-angels/","/tx/cedar-hill/dasche-spartans/","7","51","2016","9-30-2016","District","Away","varsity","DasCHECedar Hill","Fri, 9/307:00pm"
"/tx/plano/dallas-hsaa-angels/","/tx/stephenville/huston-academy/","25","6","2016","10-7-2016","Non-District","Home","varsity","Huston AcademyStephenville","Fri, 10/77:00pm"
"/tx/plano/dallas-hsaa-angels/","/tx/conroe/northside-falcons-homeschool-falcons/","8","14","2016","10-14-2016","Non-District","Home","varsity","Northside Falcons HomeSchoolConroe","Fri, 10/147:30pm"
"/tx/plano/dallas-hsaa-angels/","/tx/garland/garland-christian-academy-swordsmen/","0","21","2016","10-21-2016","Non-District","Away","varsity","Garland Christian AcademyGarland","Fri, 10/217:00pm"
"/tx/plano/dallas-hsaa-angels/","/tx/waco/texas-wind/","7","28","2016","11-4-2016","Non-District","Home","varsity","Texas WindWaco","Fri, 11/47:00pm"
