"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wy/ethete/wyoming-indian/","/wy/wright/wright-panthers/",NA,NA,"2016","9-2-2016","Non-Conferences","Away","varsity","Wright","Fri, 9/27:00pm"
"/wy/ethete/wyoming-indian/","/wy/dayton/tongue-river-eagles/","0","68","2016","9-9-2016","Non-Conferences","Home","varsity","Tongue RiverDayton","Fri, 9/97:00pm"
"/wy/ethete/wyoming-indian/","/wy/pine-bluffs/pine-bluffs-hornets/","0","70","2016","9-16-2016","Non-Conferences","Away","varsity","Pine Bluffs","Fri, 9/167:00pm"
"/wy/ethete/wyoming-indian/","/wy/saratoga/saratoga-panthers/","0","58","2016","9-23-2016","Conferences","Home","varsity","Saratoga","Fri, 9/237:00pm"
"/wy/ethete/wyoming-indian/","/wy/cokeville/cokeville-panthers/","0","66","2016","9-30-2016","Conferences","Home","varsity","Cokeville","Fri, 9/307:00pm"
"/wy/ethete/wyoming-indian/","/wy/pavillion/wind-river-cougars/","0","76","2016","10-7-2016","Conferences","Away","varsity","Wind RiverPavillion","Fri, 10/77:00pm"
"/wy/ethete/wyoming-indian/","/wy/shoshoni/shoshoni-wranglers/","6","67","2016","10-14-2016","Conferences","Away","varsity","Shoshoni","Fri, 10/147:00pm"
"/wy/ethete/wyoming-indian/","/wy/cowley/rocky-mountain-grizzlies/","0","70","2016","10-21-2016","Conferences","Home","varsity","Rocky MountainCowley","Fri, 10/217:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/dayton/tongue-river-eagles/","12","45","2016","9-2-2016","Non-Conferences","Away","varsity","Tongue RiverDayton","Fri, 9/27:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/pine-bluffs/pine-bluffs-hornets/","0","41","2016","9-9-2016","Non-Conferences","Home","varsity","Pine Bluffs","Fri, 9/97:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/wright/wright-panthers/","7","50","2016","9-16-2016","Non-Conferences","Away","varsity","Wright","Fri, 9/167:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/shoshoni/shoshoni-wranglers/","15","43","2016","9-23-2016","Conferences","Home","varsity","Shoshoni","Fri, 9/237:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/cowley/rocky-mountain-grizzlies/","6","47","2016","9-30-2016","Conferences","Away","varsity","Rocky MountainCowley","Fri, 9/307:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/ethete/wyoming-indian/","76","0","2016","10-7-2016","Conferences","Home","varsity","Wyoming IndianEthete","Fri, 10/77:00pm"
"/wy/pavillion/wind-river-cougars/","/wy/cokeville/cokeville-panthers/","6","48","2016","10-14-2016","Conferences","Home","varsity","Cokeville","Fri, 10/147:00pm"
