"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/manchester/cheney-rvt-beavers/","20","40","2017","9-15-2017","League","Away","varsity","Cheney RVTManchester","Fri, 9/156:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/ansonia/obrien-rvt-condors/","12","39","2017","9-23-2017","League","Away","varsity","O'Brien RVTAnsonia","Sat, 9/2312:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/norwich/thames-river-co-op-norwich-rvt-grasso-rvt-st-bernard-crusaders/","0","38","2017","9-30-2017","League","Home","varsity","Thames River co-op [Norwich RVT/Grasso RVT/St. Bernard]Norwich","Sat, 9/3012:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/bridgeport/bullard-havens-tigers/","9","60","2017","10-14-2017","League","Home","varsity","Bullard-HavensBridgeport","Sat, 10/1412:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/hartford/prince-rvt-falcons/","8","42","2017","10-21-2017","League","Away","varsity","Prince RVTHartford","Sat, 10/2112:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/middletown/vinal-rvt-east-hampton-goodwin-rvt/","21","40","2017","10-28-2017","League","Home","varsity","Vinal RVT/East Hampton/Goodwin RVTMiddletown","Sat, 10/2812:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/middletown/vinal-rvt-hawks/",NA,NA,"2017",NA,"Non-League","Home","varsity","Vinal RVTMiddletown","Sat, 10/2812:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/putnam/quinebaug-valley-coop-pride/","7","43","2017","11-3-2017","League","Away","varsity","Quinebaug Valley CoopPutnam","Fri, 11/35:30pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/milford/platt-rvt-panthers/","16","42","2017","11-11-2017","League","Home","varsity","Platt RVTMilford","Sat, 11/1112:00pm"
"/ct/torrington/wolcott-rvt-housatonic-wamogo/","/ct/danbury/ati-abbott-rvt-immaculate-/","6","48","2017","11-23-2017","League","Home","varsity","ATI [Abbott RVT/Immaculate]Danbury","Thu, 11/2310:00am"
"/ct/meriden/wilcox-rvt-wildcats/","/ct/milford/platt-rvt-panthers/","6","0","2017","9-7-2017/freshman-football-17/platt-rvt-vs-wilcox-rvt.htm?c=uYLRFuBS6k-J8oglzgrOeA","League","Away","freshmen","Platt RVTMilford","Thu, 9/73:45pm"
"/ct/meriden/wilcox-rvt-wildcats/","/ct/middletown/vinal-rvt-hawks/","0","19","2017","9-14-2017/freshman-football-17/vinal-rvt-vs-wilcox-rvt.htm?c=8eETBPIQS0mW-p4g2ojxYg","League","Away","freshmen","Vinal RVTMiddletown","Thu, 9/143:45pm"
"/ct/meriden/wilcox-rvt-wildcats/","/ct/bridgeport/bullard-havens-tigers/","12","19","2017","9-28-2017/freshman-football-17/bullard-havens-vs-wilcox-rvt.htm?c=ZwLtWzhTg0ysQVkcsg8jTg","League","Home","freshmen","Bullard-HavensBridgeport","Thu, 9/283:45pm"
