"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/md/baltimore/green-street-academy-chargers/","8","53","2017","8-24-2017","Non-League","Home","varsity","Green Street AcademyBaltimore, MD","Thu, 8/246:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/de/georgetown/fca-bucks-bucks/","0","16","2017","9-1-2017","Non-League","Home","varsity","FCA BucksGeorgetown, DE","Fri, 9/17:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/al/talladega/alabama-school-for-the-deaf-silent-warriors/","22","6","2017","9-9-2017","Non-League","Away","varsity","Alabama School for the DeafTalladega, AL","Sat, 9/97:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/md/baltimore/friends-quakers/","0","27","2017","9-16-2017","Non-League","Home","varsity","FriendsBaltimore, MD","Sat, 9/167:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/tx/austin/texas-school-for-the-deaf-rangers/","6","54","2017","9-23-2017","Non-League","Away","varsity","Texas School for the DeafAustin, TX","Sat, 9/235:30pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/va/manassas/northern-virginia-kings-kings/","15","42","2017","9-28-2017","Non-League","Home","varsity","Northern Virginia KingsManassas, VA","Thu, 9/287:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/md/sykesville/central-maryland-christian-crusaders-crusaders/","0","38","2017","10-6-2017","Non-League","Away","varsity","Central Maryland Christian CrusadersSykesville, MD","Fri, 10/67:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/in/indianapolis/indiana-school-for-the-deaf-deaf-hoosiers/","0","34","2017","10-14-2017","Non-League","Home","varsity","Indiana School for the DeafIndianapolis, IN","Sat, 10/147:00pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/dc/washington/kipp-college-prep-panthers/","0","54","2017","10-21-2017","Non-League","Away","varsity","KIPP College PrepWashington","Sat, 10/212:30pm"
"/dc/washington/model-secondary-school-for-the-deaf-eagles/","/va/alexandria/thomas-jefferson-science-and-technology-colonials/","0","2","2017","10-27-2017","Non-League","Away","varsity","Thomas Jefferson Science & TechnologyAlexandria, VA","Fri, 10/277:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/dunbar-crimson-tide/","6","62","2017","9-21-2017","Non-League","Away","varsity","DunbarWashington","Thu, 9/216:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/roosevelt-roughriders/",NA,NA,"2017","9-29-2017","League","Away","varsity","RooseveltWashington","Fri, 9/296:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/mckinley-tech-trainers/","0","54","2017","10-6-2017","League","Home","varsity","McKinley TechWashington","Fri, 10/66:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/bell-griffins/","0","54","2017","10-13-2017","League","Home","varsity","BellWashington","Fri, 10/136:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/phelps-architecture-construction-and-engineering-panthers/","18","48","2017","10-20-2017","League","Home","varsity","Phelps Architecture, Construction & EngineeringWashington","Fri, 10/206:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/cardozo-clerks/",NA,NA,"2017","10-26-2017","League","Away","varsity","CardozoWashington","Thu, 10/266:00pm"
"/dc/washington/coolidge-colts/","/dc/washington/bell-griffins/","6","44","2017","11-2-2017","League","Away","varsity","BellWashington","Thu, 11/26:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/parkside-eagles/","6","40","2017","8-25-2017","Non-League","Home","varsity","ParksideWashington","Fri, 8/256:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/national-collegiate-prep-panthers/","0","50","2017","9-1-2017","Non-League","Home","varsity","National Collegiate PrepWashington","Fri, 9/16:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/richard-wright-public-charter-school-spartans/","8","36","2017","9-15-2017","Non-League","Home","varsity","Richard Wright Public Charter SchoolWashington","Fri, 9/156:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/anacostia-indians/","12","32","2017","9-21-2017","Non-League","Away","varsity","AnacostiaWashington","Thu, 9/216:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/cardozo-clerks/",NA,NA,"2017","9-29-2017","League","Home","varsity","CardozoWashington","Fri, 9/296:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/roosevelt-roughriders/","14","50","2017","10-6-2017","League","Away","varsity","RooseveltWashington","Fri, 10/66:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/bell-griffins/",NA,NA,"2017",NA,"League","Away","varsity","BellWashington","Fri, 10/66:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/mckinley-tech-trainers/","0","40","2017","10-13-2017","League","Home","varsity","McKinley TechWashington","Fri, 10/136:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/coolidge-colts/","48","18","2017","10-20-2017","League","Away","varsity","CoolidgeWashington","Fri, 10/206:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/bell-griffins/","0","34","2017","10-26-2017","League","Home","varsity","BellWashington","Thu, 10/266:00pm"
"/dc/washington/phelps-architecture-construction-and-engineering-panthers/","/dc/washington/mckinley-tech-trainers/","18","28","2017","11-2-2017","League","Away","varsity","McKinley TechWashington","Thu, 11/26:00pm"
"/dc/washington/paul-public-charter-international-pirates/","/dc/washington/richard-wright-public-charter-school-spartans/","0","22","2017","8-28-2017","League","Home","varsity","Richard Wright Public Charter SchoolWashington","Mon, 8/284:00pm"
"/dc/washington/paul-public-charter-international-pirates/","/md/frederick/maryland-school-for-the-deaf-orioles/","0","46","2017","9-2-2017","Non-League","Away","varsity","Maryland School for the DeafFrederick, MD","Sat, 9/211:00am"
"/dc/washington/paul-public-charter-international-pirates/","/md/laurel/angelou-academy-tigers/",NA,NA,"2017","9-9-2017","Non-League","Away","varsity","Angelou AcademyLaurel, MD","Sat, 9/911:00am"
"/dc/washington/paul-public-charter-international-pirates/","/dc/washington/mckinley-tech-trainers/","6","38","2017","9-15-2017","Non-League","Away","varsity","McKinley TechWashington","Fri, 9/156:00pm"
"/dc/washington/paul-public-charter-international-pirates/","/dc/washington/kingsman-academy-knights/","0","40","2017","9-22-2017","Non-League","Away","varsity","Kingsman AcademyWashington","Fri, 9/227:00pm"
