"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/cornwall-on-hudson/new-york-military-academy-knights/","57","61","2017","9-23-2017","Non-League","Away","varsity","New York Military AcademyCornwall-on-Hudson, NY","Sat, 9/232:00pm"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/katonah/harvey-cavaliers/",NA,NA,"2017",NA,"League","Away","varsity","HarveyKatonah, NY","Sun, 9/24Time TBA"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/katonah/harvey-cavaliers/","6","14","2017","10-1-2017","League","Away","varsity","HarveyKatonah, NY","Sun, 10/11:00pm"
"/nj/englewood/dwight-englewood-bulldogs/","/nj/livingston/newark-academy-minutemen/","0","20","2017","10-7-2017","League","Neutral","varsity","Newark AcademyLivingston","Sat, 10/73:00pm"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/riverdale/horace-mann-lions/","14","35","2017","10-14-2017","League","Away","varsity","Horace MannRiverdale, NY","Sat, 10/14Time TBA"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/cornwall-on-hudson/new-york-military-academy-knights/",NA,NA,"2017",NA,"Non-League","Away","varsity","New York Military AcademyCornwall-on-Hudson, NY","Sun, 10/15Time TBA"
"/nj/englewood/dwight-englewood-bulldogs/","/ny/new-york/dalton-tigers/",NA,NA,"2017","10-21-2017","League","Home","varsity","DaltonNew York, NY","Sat, 10/21Time TBA"
"/nj/englewood/dwight-englewood-bulldogs/","/nj/livingston/newark-academy-minutemen/","6","13","2017","10-26-2017","League","Away","varsity","Newark AcademyLivingston","Thu, 10/266:00pm"
"/nj/englewood/dwight-englewood-bulldogs/","/pa/newtown/george-school-cougars/","24","27","2017","10-28-2017","Non-League","Away","varsity","George SchoolNewtown, PA","Sat, 10/283:00pm"
"/nj/englewood/dwight-englewood-bulldogs/","/nj/montclair/immaculate-conception-lions/","12","33","2017","11-4-2017","Non-League","Away","varsity","Immaculate ConceptionMontclair","Sat, 11/42:00pm"
"/nj/livingston/newark-academy-minutemen/","/nj/sparta/sussex-county-tech/",NA,NA,"2017",NA,"Non-League","Home","varsity","Sussex County TechSparta","Fri, 8/2510:00am"
"/nj/livingston/newark-academy-minutemen/","/nj/montclair/immaculate-conception-lions/","0","31","2017","9-2-2017","Non-League","Away","varsity","Immaculate ConceptionMontclair","Sat, 9/21:00pm"
"/nj/livingston/newark-academy-minutemen/","/nj/martinsville/the-pingry-school-big-blue/","6","53","2017","9-8-2017","Non-League","Home","varsity","The Pingry SchoolMartinsville","Fri, 9/87:00pm"
"/nj/livingston/newark-academy-minutemen/","/ny/riverdale/horace-mann-lions/","0","18","2017","9-23-2017","League","Home","varsity","Horace MannRiverdale, NY","Sat, 9/231:30pm"
"/nj/livingston/newark-academy-minutemen/","/ny/new-york/dalton-tigers/","0","27","2017","9-28-2017","League","Home","varsity","DaltonNew York, NY","Thu, 9/284:30pm"
"/nj/livingston/newark-academy-minutemen/","/nj/englewood/dwight-englewood-bulldogs/","20","0","2017","10-7-2017","League","Neutral","varsity","Dwight-EnglewoodEnglewood","Sat, 10/73:00pm"
"/nj/livingston/newark-academy-minutemen/","/ny/katonah/harvey-cavaliers/","7","18","2017","10-14-2017","League","Home","varsity","HarveyKatonah, NY","Sat, 10/14Time TBA"
"/nj/livingston/newark-academy-minutemen/","/pa/newtown/george-school-cougars/","7","27","2017","10-21-2017","Non-League","Away","varsity","George SchoolNewtown, PA","Sat, 10/213:00pm"
"/nj/livingston/newark-academy-minutemen/","/nj/englewood/dwight-englewood-bulldogs/","13","6","2017","10-26-2017","League","Home","varsity","Dwight-EnglewoodEnglewood","Thu, 10/266:00pm"
"/nj/livingston/newark-academy-minutemen/","/ny/katonah/harvey-cavaliers/","0","20","2017","11-4-2017","Playoff","Away","varsity","HarveyKatonah, NY","Sat, 11/43:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/secaucus/secaucus-patriots/","7","49","2017","9-8-2017","League","Away","varsity","Secaucus","Fri, 9/87:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/saddle-brook/saddle-brook-falcons/","7","42","2017","9-15-2017","League","Home","varsity","Saddle Brook","Fri, 9/157:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/rutherford/st-mary-gaels/","6","47","2017","9-23-2017","League","Away","varsity","St. MaryRutherford","Sat, 9/231:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/lyndhurst/lyndhurst-golden-bears/","0","41","2017","10-6-2017","Non-League","Home","varsity","Lyndhurst","Fri, 10/67:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/hasbrouck-heights/hasbrouck-heights-aviators/","6","49","2017","10-13-2017","League","Home","varsity","Hasbrouck Heights","Fri, 10/137:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/cresskill/cresskill-cougars/","7","50","2017","10-20-2017","League","Away","varsity","Cresskill","Fri, 10/207:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/weehawken/weehawken-indians/","12","34","2017","10-27-2017","Non-League","Away","varsity","Weehawken","Fri, 10/277:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/bogota/bogota-buccaneers/",NA,NA,"2017",NA,"Non-League","Away","varsity","Bogota","Sat, 10/281:00pm"
"/nj/north-arlington/north-arlington-vikings/","/nj/bogota/bogota-buccaneers/","41","55","2017","11-3-2017","Non-League","Home","varsity","Bogota","Fri, 11/37:00pm"
"/nj/wildwood/wildwood-warriors/","/nj/pittsgrove/schalick-cougars/","0","56","2017","9-8-2017","League","Away","varsity","SchalickPittsgrove","Fri, 9/8Time TBA"
"/nj/wildwood/wildwood-warriors/","/nj/westmont/haddon-township-hawks/","6","43","2017","9-15-2017","Non-League","Home","varsity","Haddon TownshipWestmont","Fri, 9/15Time TBA"
"/nj/wildwood/wildwood-warriors/","/nj/gloucester-city/gloucester-city-lions/","8","47","2017","9-22-2017","League","Away","varsity","Gloucester City","Fri, 9/227:00pm"
"/nj/wildwood/wildwood-warriors/","/nj/cape-may/lower-cape-may-tigers/","0","58","2017","9-30-2017","Non-League","Home","varsity","Lower Cape MayCape May","Sat, 9/3012:00pm"
"/nj/wildwood/wildwood-warriors/","/nj/gloucester-city/gloucester-catholic-rams/","8","61","2017","10-7-2017","League","Away","varsity","Gloucester CatholicGloucester City","Sat, 10/711:00am"
"/nj/wildwood/wildwood-warriors/","/nj/pleasantville/pleasantville-greyhounds/","0","51","2017","10-13-2017","Non-League","Away","varsity","Pleasantville","Fri, 10/136:00pm"
"/nj/wildwood/wildwood-warriors/","/nj/maple-shade/maple-shade-wildcats/","12","28","2017","10-28-2017","Non-League","Away","varsity","Maple Shade","Sat, 10/281:00pm"
"/nj/wildwood/wildwood-warriors/","/nj/clayton/clayton-clippers/","8","47","2017","11-3-2017","League","Home","varsity","Clayton","Fri, 11/37:00pm"
"/nj/highland-park/highland-park-owls/","/nj/springfield/dayton-bulldogs/",NA,NA,"2017",NA,"Non-League","Away","freshmen","DaytonSpringfield","Mon, 10/24:00pm"
"/nj/highland-park/highland-park-owls/","/nj/edison/st-thomas-aquinas-trojans/",NA,NA,"2017",NA,"Non-League","Home","jv","St. Thomas AquinasEdison","Mon, 9/114:00pm"
"/nj/highland-park/highland-park-owls/","/nj/keansburg/keansburg-titans/",NA,NA,"2017",NA,"Non-League","Away","jv","Keansburg","Mon, 9/184:00pm"
"/nj/highland-park/highland-park-owls/","/nj/dunellen/dunellen-destroyers/",NA,NA,"2017",NA,"Non-League","Away","jv","Dunellen","Mon, 9/256:00pm"
"/nj/highland-park/highland-park-owls/","/nj/neptune/neptune-scarlet-fliers/",NA,NA,"2017",NA,"Non-League","Away","jv","Neptune","Mon, 10/23:45pm"
"/nj/highland-park/highland-park-owls/","/nj/springfield/dayton-bulldogs/",NA,NA,"2017",NA,"Non-League","Home","jv","DaytonSpringfield","Mon, 10/24:00pm"
"/nj/highland-park/highland-park-owls/","/nj/spotswood/spotswood-chargers/",NA,NA,"2017",NA,"Non-League","Away","jv","Spotswood","Mon, 10/94:00pm"
"/nj/highland-park/highland-park-owls/","/nj/south-river/south-river-rams/",NA,NA,"2017",NA,"Non-League","Home","jv","South River","Mon, 10/164:00pm"
"/nj/highland-park/highland-park-owls/","/nj/middlesex/middlesex-bluejays/",NA,NA,"2017",NA,"Non-League","Home","jv","Middlesex","Mon, 10/234:00pm"
"/nj/highland-park/highland-park-owls/","/nj/point-pleasant-beach/point-pleasant-beach-garnet-gulls/",NA,NA,"2017",NA,"Non-League","Away","jv","Point Pleasant Beach","Mon, 10/304:00pm"
"/nj/highland-park/highland-park-owls/","/nj/metuchen/metuchen-bulldogs/",NA,NA,"2017",NA,"Non-League","Home","jv","Metuchen","Mon, 11/134:00pm"
"/nj/highland-park/highland-park-owls/","/nj/martinsville/the-pingry-school-big-blue/",NA,NA,"2017",NA,"Non-League","Home","varsity","The Pingry SchoolMartinsville","Thu, 8/310:00am"
"/nj/highland-park/highland-park-owls/","/nj/fort-lee/fort-lee-bridgemen/",NA,NA,"2017",NA,"Non-League","Home","varsity","Fort Lee","Mon, 8/2110:00am"
