"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/va/chesterfield/richmond-christian-warriors/","/va/fredericksburg/st-michael-the-archangel-warriors/","0","58","2018","8-31-2018","Non-Region","Home","varsity","St. Michael the ArchangelFredericksburg","Fri, 8/317:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/woodstock/massanutten-military-academy-colonels/","6","14","2018","9-8-2018","Non-Region","Away","varsity","Massanutten Military AcademyWoodstock","Sat, 9/81:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/farmville/fuqua-falcons/","14","49","2018","9-22-2018","Non-Region","Away","varsity","FuquaFarmville","Sat, 9/2212:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/quantico/quantico-warriors/","12","14","2018","9-28-2018","Non-Region","Home","varsity","Quantico","Fri, 9/287:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/washington/rappahannock-county/","12","46","2018","10-15-2018","Non-Region","Home","varsity","Rappahannock CountyWashington","Mon, 10/155:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/chincoteague/chincoteague-ponies/",NA,NA,"2018","10-20-2018","Non-Region","Away","varsity","Chincoteague","Sat, 10/202:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/roanoke/north-cross-raiders/",NA,NA,"2018","10-27-2018","Non-Region","Away","varsity","North CrossRoanoke","Sat, 10/272:00pm"
"/va/chesterfield/richmond-christian-warriors/","/va/powhatan/blessed-sacrament-huguenot-knights/","0","46","2018","11-2-2018","Non-Region","Home","varsity","Blessed Sacrament-HuguenotPowhatan","Fri, 11/24:00pm"
"/va/woodstock/massanutten-military-academy-colonels/","/va/front-royal/randolph-macon-academy-yellow-jackets/","6","30","2018","9-1-2018","Non-Region","Away","varsity","Randolph-Macon AcademyFront Royal","Sat, 9/1Time TBA"
"/va/woodstock/massanutten-military-academy-colonels/","/va/chesterfield/richmond-christian-warriors/","14","6","2018","9-8-2018","Non-Region","Home","varsity","Richmond ChristianChesterfield","Sat, 9/81:00pm"
