"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/benton/benton-academy-raiders/","0","28","2019","8-16-2019","Non-District","Home","varsity","Benton AcademyBenton","Fri, 8/16Time TBA"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/decatur/newton-county-academy-generals/","7","54","2019","8-23-2019","Non-District","Home","varsity","Newton County AcademyDecatur","Fri, 8/237:00pm"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/arcola/deer-creek-warriors/","22","52","2019","8-30-2019","Non-District","Away","varsity","Deer CreekArcola","Fri, 8/30Time TBA"
"/ms/vicksburg/porters-chapel-academy-eagles/","/la/haynesville/claiborne-academy-rebels/","30","17","2019","9-6-2019","Non-District","Away","varsity","Claiborne AcademyHaynesville, LA","Fri, 9/6Time TBA"
"/ms/vicksburg/porters-chapel-academy-eagles/","/la/baton-rouge/christian-home-educators-fellowship-patriots/","7","28","2019","9-13-2019","Non-District","Away","varsity","Christian Home Educators FellowshipBaton Rouge, LA","Fri, 9/137:00pm"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/centreville/centreville-academy-tigers/","6","44","2019","9-27-2019","Non-District","Home","varsity","Centreville AcademyCentreville","Fri, 9/27Time TBA"
"/ms/vicksburg/porters-chapel-academy-eagles/","/la/new-orleans/new-orleans-home-school-saints-saints/","26","12","2019","10-4-2019","Non-District","Away","varsity","New Orleans Home School SaintsNew Orleans, LA","Fri, 10/47:00pm"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/greenville/greenville-christian-saints/",NA,NA,"2019",NA,"District","Away","varsity","Greenville ChristianGreenville","Fri, 10/11Time TBA"
"/ms/vicksburg/porters-chapel-academy-eagles/","/la/minden/glenbrook-apaches/","0","39","2019","10-18-2019","District","Away","varsity","GlenbrookMinden, LA","Fri, 10/187:00pm"
"/ms/vicksburg/porters-chapel-academy-eagles/","/ms/greenville/st-joseph-fighting-irish/","0","56","2019","10-25-2019","District","Home","varsity","St. JosephGreenville","Fri, 10/257:00pm"
"/ms/booneville/thrasher-rebels/","/ms/glen/alcorn-central-bears/","16","20","2019","8-23-2019","Non-District","Away","varsity","Alcorn CentralGlen","Fri, 8/237:00pm"
"/ms/booneville/thrasher-rebels/","/ms/mantachie/mantachie-mustangs/","0","40","2019","8-30-2019","Non-District","Home","varsity","Mantachie","Fri, 8/307:00pm"
