"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/south-cardinals/","8","60","2019","8-30-2019","Conference","Home","varsity","SouthMilwaukee","Fri, 8/307:00pm"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/vincent-destiny-vikings/","0","88","2019","9-6-2019","Conference","Away","varsity","Vincent/DestinyMilwaukee","Fri, 9/6Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/hamilton-audubon/","6","48","2019","9-13-2019","Non-Conference","Home","varsity","Hamilton/AudubonMilwaukee","Fri, 9/13Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/north-blue-devils/","0","40","2019","9-20-2019","Conference","Away","varsity","NorthMilwaukee","Fri, 9/20Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/milwaukee-reagan-huskies/",NA,NA,"2019","9-27-2019","Conference","Home","varsity","Milwaukee ReaganMilwaukee","Fri, 9/27Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/pulaski-carmen-science-and-tech-south-carmen-science-and-tech-southeast/","8","48","2019","10-4-2019","Conference","Away","varsity","Pulaski/Carmen Science & Tech South/Carmen Science & Tech SoutheastMilwaukee","Fri, 10/4Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/barack-obama-career-and-tech-cougars/","0","62","2019","10-11-2019","Conference","Home","varsity","Barack Obama Career & TechMilwaukee","Fri, 10/11Time TBA"
"/wi/milwaukee/milwaukee-madison-knights/","/wi/milwaukee/bradley-tech-milwaukee-arts/","0","58","2019","10-17-2019","Non-Conference","Away","varsity","Bradley Tech/Milwaukee ArtsMilwaukee","Thu, 10/17Time TBA"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/viola/kickapoo-la-farge-panthers/","6","52","2019","8-23-2019","Conference","Away","varsity","Kickapoo/La FargeViola","Fri, 8/237:00pm"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/highland/highland-cardinals/","6","49","2019","8-29-2019","Conference","Home","varsity","Highland","Thu, 8/297:00pm"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/new-lisbon/new-lisbon-rockets/","0","45","2019","9-6-2019","Non-Conference","Away","varsity","New Lisbon","Fri, 9/67:00pm"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/wauzeka/wauzeka-steuben-seneca/","14","62","2019","9-13-2019","Conference","Home","varsity","Wauzeka-Steuben/SenecaWauzeka","Fri, 9/137:00pm"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/belmont/belmont-braves/","6","47","2019","9-20-2019","Non-Conference","Away","varsity","Belmont","Fri, 9/20Time TBA"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/richland-center/ithaca-bulldogs/","0","50","2019","9-28-2019","Conference","Away","varsity","IthacaRichland Center","Sat, 9/28Time TBA"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/de-soto/de-soto-pirates/","0","53","2019","10-4-2019","Conference","Home","varsity","De Soto","Fri, 10/4Time TBA"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/wonewoc/wonewoc-center-weston/","7","33","2019","10-11-2019","Conference","Home","varsity","Wonewoc-Center/WestonWonewoc","Fri, 10/11Time TBA"
"/wi/soldiers-grove/north-crawford-trojans/","/wi/muscoda/riverdale-chieftains/","14","75","2019","10-18-2019","Conference","Away","varsity","RiverdaleMuscoda","Fri, 10/18Time TBA"
"/wi/wild-rose/wild-rose-wildcats/","/wi/necedah/necedah-cardinals/","8","48","2019","8-23-2019","Non-Conference","Home","varsity","Necedah","Fri, 8/237:00pm"
"/wi/wild-rose/wild-rose-wildcats/","/wi/crivitz/crivitz-wolverines/","0","58","2019","8-30-2019","Non-Conference","Home","varsity","Crivitz","Fri, 8/307:00pm"
"/wi/wild-rose/wild-rose-wildcats/","/wi/cambria/cambria-friesland-hilltoppers/","8","53","2019","9-6-2019","Non-Conference","Away","varsity","Cambria-FrieslandCambria","Fri, 9/67:00pm"
"/wi/wild-rose/wild-rose-wildcats/","/wi/keshena/menominee-indian-eagles/","2","36","2019","9-13-2019","Conference","Away","varsity","Menominee IndianKeshena","Fri, 9/134:00pm"
"/wi/wild-rose/wild-rose-wildcats/","/wi/pittsville/pittsville-panthers/","0","49","2019","9-20-2019","Conference","Away","varsity","Pittsville","Fri, 9/20Time TBA"
"/wi/wild-rose/wild-rose-wildcats/","/wi/weyauwega/weyauwega-fremont-warhawks/","8","47","2019","9-27-2019","Non-Conference","Home","varsity","Weyauwega-FremontWeyauwega","Fri, 9/27Time TBA"
"/wi/wild-rose/wild-rose-wildcats/","/wi/almond/almond-bancroft-eagles/","0","40","2019","10-4-2019","Conference","Home","varsity","Almond-BancroftAlmond","Fri, 10/4Time TBA"
"/wi/wild-rose/wild-rose-wildcats/","/wi/rosholt/rosholt-hornets/","0","51","2019","10-11-2019","Conference","Away","varsity","Rosholt","Fri, 10/11Time TBA"
"/wi/wild-rose/wild-rose-wildcats/","/wi/stevens-point/pacelli-cardinals/","13","43","2019","10-18-2019","Conference","Home","varsity","PacelliStevens Point","Fri, 10/18Time TBA"
"/wi/milwaukee/north-blue-devils/","/wi/milwaukee/hope-christian/",NA,NA,"2019","8-23-2019","Non-Conference","Home","varsity","HOPE ChristianMilwaukee","Fri, 8/237:00pm"
"/wi/milwaukee/north-blue-devils/","/wi/delavan/delavan-darien-comets/","0","50","2019","8-30-2019","Non-Conference","Home","varsity","Delavan-DarienDelavan","Fri, 8/307:00pm"
"/wi/milwaukee/north-blue-devils/","/wi/milwaukee/south-cardinals/","0","13","2019","9-6-2019","Conference","Away","varsity","SouthMilwaukee","Fri, 9/6Time TBA"
"/wi/milwaukee/north-blue-devils/","/wi/milwaukee/barack-obama-career-and-tech-cougars/","6","42","2019","9-13-2019","Conference","Away","varsity","Barack Obama Career & TechMilwaukee","Fri, 9/136:00pm"
"/wi/milwaukee/north-blue-devils/","/wi/milwaukee/milwaukee-madison-knights/","40","0","2019","9-20-2019","Conference","Home","varsity","Milwaukee MadisonMilwaukee","Fri, 9/20Time TBA"
"/wi/milwaukee/north-blue-devils/","/wi/milwaukee/vincent-destiny-vikings/",NA,NA,"2019","9-26-2019","Conference","Home","varsity","Vincent/DestinyMilwaukee","Thu, 9/26Time TBA"
