"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wv/ashton/hannan-wildcats/","/wv/parkersburg/parkersburg-catholic-crusaders/","0","58","2019","8-31-2019","Non-Region","Neutral","varsity","Parkersburg CatholicParkersburg","Sat, 8/317:00pm"
"/wv/ashton/hannan-wildcats/","/wv/morgantown/trinity-christian-warriors/","0","42","2019","9-6-2019","Non-Region","Away","varsity","Trinity ChristianMorgantown","Fri, 9/67:30pm"
"/wv/ashton/hannan-wildcats/","/wv/williamson/tug-valley-panthers/","0","56","2019","9-13-2019","Non-Region","Home","varsity","Tug ValleyWilliamson","Fri, 9/137:30pm"
"/wv/ashton/hannan-wildcats/","/wv/hundred/hundred-hornets/","6","33","2019","9-20-2019","Non-Region","Neutral","varsity","Hundred","Fri, 9/207:00pm"
"/wv/ashton/hannan-wildcats/","/oh/manchester/manchester-greyhounds/","34","26","2019","9-27-2019","Non-Region","Home","varsity","ManchesterOH","Fri, 9/277:00pm"
"/wv/ashton/hannan-wildcats/","/wv/montcalm/montcalm-generals/","12","22","2019","10-11-2019","Non-Region","Home","varsity","Montcalm","Fri, 10/11Time TBA"
"/wv/ashton/hannan-wildcats/","/wv/elizabeth/wirt-county-tigers/","0","61","2019","10-18-2019","Non-Region","Neutral","varsity","Wirt CountyElizabeth","Fri, 10/18Time TBA"
"/wv/ashton/hannan-wildcats/","/wv/van/van-bulldogs/","6","31","2019","10-25-2019","Non-Region","Away","varsity","Van","Fri, 10/257:30pm"
"/wv/ashton/hannan-wildcats/","/wv/welch/mount-view-golden-knights/","0","38","2019","11-1-2019","Non-Region","Home","varsity","Mount ViewWelch","Fri, 11/17:30pm"
"/wv/ashton/hannan-wildcats/","/wv/fort-gay/tolsia-rebels/","6","42","2019","11-8-2019","Region","Home","varsity","TolsiaFort Gay","Fri, 11/8Time TBA"
"/wv/hundred/hundred-hornets/","/oh/stewart/federal-hocking-lancers/","20","28","2019","8-30-2019","Non-Region","Home","varsity","Federal HockingStewart, OH","Fri, 8/307:00pm"
"/wv/hundred/hundred-hornets/","/wv/cameron/cameron-dragons/","6","59","2019","9-6-2019","Region","Away","varsity","Cameron","Fri, 9/67:00pm"
"/wv/hundred/hundred-hornets/","/oh/beallsville/beallsville-blue-devils/","0","40","2019","9-13-2019","Non-Region","Away","varsity","BeallsvilleOH","Fri, 9/137:00pm"
"/wv/hundred/hundred-hornets/","/wv/ashton/hannan-wildcats/","33","6","2019","9-20-2019","Non-Region","Neutral","varsity","HannanAshton","Fri, 9/207:00pm"
"/wv/hundred/hundred-hornets/","/wv/paden-city/paden-city-wildcats/","0","54","2019","9-27-2019","Region","Home","varsity","Paden City","Fri, 9/277:00pm"
"/wv/hundred/hundred-hornets/","/wv/glenville/gilmer-county-titans/","8","71","2019","10-4-2019","Non-Region","Away","varsity","Gilmer CountyGlenville","Fri, 10/47:00pm"
"/wv/hundred/hundred-hornets/","/wv/pine-grove/valley-lunberjacks/","6","42","2019","10-11-2019","Region","Away","varsity","ValleyPine Grove","Fri, 10/11Time TBA"
"/wv/hundred/hundred-hornets/","/md/hancock/hancock-panthers/","32","30","2019","10-18-2019","Non-Region","Home","varsity","HancockMD","Fri, 10/187:00pm"
"/wv/hundred/hundred-hornets/","/wv/montcalm/montcalm-generals/","20","44","2019","11-1-2019","Non-Region","Away","varsity","Montcalm","Fri, 11/17:00pm"
"/wv/hundred/hundred-hornets/","/wv/blacksville/clay-battelle-cee-bees/","0","51","2019","11-8-2019","Region","Home","varsity","Clay-BattelleBlacksville","Fri, 11/8Time TBA"
"/wv/montcalm/montcalm-generals/","/wv/bradshaw/river-view-raiders/","6","36","2019","8-26-2019","Non-Region","Away","varsity","River ViewBradshaw","Mon, 8/267:30pm"
"/wv/montcalm/montcalm-generals/","/va/pilgrims-knob/twin-valley-panthers/","7","28","2019","9-6-2019","Non-Region","Home","varsity","Twin ValleyPilgrims Knob, VA","Fri, 9/67:00pm"
"/wv/montcalm/montcalm-generals/","/wv/buffalo/buffalo-bison/","12","53","2019","9-12-2019","Region","Away","varsity","Buffalo","Thu, 9/127:00pm"
"/wv/montcalm/montcalm-generals/","/va/new-castle/craig-county-rockets/","16","30","2019","9-20-2019","Non-Region","Home","varsity","Craig CountyNew Castle, VA","Fri, 9/207:00pm"
"/wv/montcalm/montcalm-generals/","/wv/van/van-bulldogs/","8","40","2019","10-4-2019","Region","Home","varsity","Van","Fri, 10/47:00pm"
"/wv/montcalm/montcalm-generals/","/wv/ashton/hannan-wildcats/","22","12","2019","10-11-2019","Non-Region","Away","varsity","HannanAshton","Fri, 10/11Time TBA"
"/wv/montcalm/montcalm-generals/","/va/max-meadows/fort-chiswell-pioneers/","8","41","2019","10-18-2019","Non-Region","Away","varsity","Fort ChiswellMax Meadows, VA","Fri, 10/18Time TBA"
"/wv/montcalm/montcalm-generals/","/wv/meadow-bridge/meadow-bridge-wildcats/","0","33","2019","10-25-2019","Region","Home","varsity","Meadow Bridge","Fri, 10/257:00pm"
"/wv/montcalm/montcalm-generals/","/wv/hundred/hundred-hornets/","44","20","2019","11-1-2019","Non-Region","Home","varsity","Hundred","Fri, 11/17:00pm"
"/wv/montcalm/montcalm-generals/","/wv/upper-glade/webster-county-highlanders/","8","51","2019","11-8-2019","Region","Away","varsity","Webster CountyUpper Glade","Fri, 11/87:00pm"
"/wv/van/van-bulldogs/","/wv/meadow-bridge/meadow-bridge-wildcats/","6","40","2019","8-30-2019","Region","Away","varsity","Meadow Bridge","Fri, 8/307:30pm"
"/wv/van/van-bulldogs/","/wv/glen-daniel/liberty-raiders/","0","35","2019","9-6-2019","Non-Region","Away","varsity","LibertyGlen Daniel","Fri, 9/67:30pm"
"/wv/van/van-bulldogs/","/wv/paden-city/paden-city-wildcats/","23","18","2019","9-13-2019","Non-Region","Home","varsity","Paden City","Fri, 9/137:00pm"
"/wv/van/van-bulldogs/","/wv/williamson/tug-valley-panthers/","6","46","2019","9-20-2019","Region","Home","varsity","Tug ValleyWilliamson","Fri, 9/207:30pm"
"/wv/van/van-bulldogs/","/wv/montcalm/montcalm-generals/","40","8","2019","10-4-2019","Region","Away","varsity","Montcalm","Fri, 10/47:00pm"
"/wv/van/van-bulldogs/","/wv/welch/mount-view-golden-knights/","7","41","2019","10-11-2019","Region","Neutral","varsity","Mount ViewWelch","Fri, 10/117:30pm"
"/wv/van/van-bulldogs/","/wv/welch/mount-view-golden-knights/",NA,NA,"2019",NA,"Region","Away","varsity","Mount ViewWelch","Fri, 10/117:30pm"
"/wv/van/van-bulldogs/","/wv/seth/sherman-tide/","8","30","2019","10-18-2019","Region","Away","varsity","ShermanSeth","Fri, 10/187:30pm"
"/wv/van/van-bulldogs/","/wv/ashton/hannan-wildcats/","31","6","2019","10-25-2019","Non-Region","Home","varsity","HannanAshton","Fri, 10/257:30pm"
"/wv/van/van-bulldogs/","/wv/buffalo/buffalo-bison/","21","24","2019","11-1-2019","Region","Away","varsity","Buffalo","Fri, 11/17:30pm"
"/wv/van/van-bulldogs/","/wv/buffalo/buffalo-bison/",NA,NA,"2019",NA,"Region","Home","varsity","Buffalo","Fri, 11/17:30pm"
"/wv/van/van-bulldogs/","/wv/richwood/richwood-lumberjacks/","21","42","2019","11-8-2019","Region","Away","varsity","Richwood","Fri, 11/8Time TBA"
"/wv/paden-city/paden-city-wildcats/","/oh/new-matamoras/frontier-cougars/","6","61","2019","8-30-2019","Non-Region","Away","varsity","FrontierNew Matamoras, OH","Fri, 8/307:00pm"
"/wv/paden-city/paden-city-wildcats/","/wv/elizabeth/wirt-county-tigers/","8","40","2019","9-6-2019","Non-Region","Neutral","varsity","Wirt CountyElizabeth","Fri, 9/67:00pm"
"/wv/paden-city/paden-city-wildcats/","/wv/van/van-bulldogs/","18","23","2019","9-13-2019","Non-Region","Away","varsity","Van","Fri, 9/137:00pm"
"/wv/paden-city/paden-city-wildcats/","/oh/bridgeport/bridgeport-bulldogs/","55","47","2019","9-20-2019","Non-Region","Home","varsity","BridgeportOH","Fri, 9/207:00pm"
"/wv/paden-city/paden-city-wildcats/","/wv/hundred/hundred-hornets/","54","0","2019","9-27-2019","Region","Away","varsity","Hundred","Fri, 9/277:00pm"
"/wv/paden-city/paden-city-wildcats/","/wv/cameron/cameron-dragons/","6","19","2019","10-4-2019","Region","Away","varsity","Cameron","Fri, 10/4Time TBA"
"/wv/paden-city/paden-city-wildcats/","/wv/blacksville/clay-battelle-cee-bees/","33","43","2019","10-11-2019","Region","Home","varsity","Clay-BattelleBlacksville","Fri, 10/117:00pm"
"/wv/paden-city/paden-city-wildcats/","/md/hancock/hancock-panthers/","70","22","2019","10-25-2019","Non-Region","Home","varsity","HancockMD","Fri, 10/257:00pm"
"/wv/paden-city/paden-city-wildcats/","/oh/beallsville/beallsville-blue-devils/","34","43","2019","11-1-2019","Non-Region","Away","varsity","BeallsvilleOH","Fri, 11/17:00pm"
"/wv/paden-city/paden-city-wildcats/","/wv/pine-grove/valley-lunberjacks/","19","37","2019","11-8-2019","Region","Home","varsity","ValleyPine Grove","Fri, 11/87:00pm"
"/wv/morgantown/trinity-christian-warriors/","/pa/greensboro/mapletown-maples/","38","34","2019","8-30-2019","Non-Region","Home","varsity","MapletownGreensboro, PA","Fri, 8/307:00pm"
"/wv/morgantown/trinity-christian-warriors/","/wv/ashton/hannan-wildcats/","42","0","2019","9-6-2019","Non-Region","Home","varsity","HannanAshton","Fri, 9/67:30pm"
"/wv/morgantown/trinity-christian-warriors/","/oh/fairport-harbor/harding-skippers/","0","50","2019","9-13-2019","Non-Region","Home","varsity","HardingFairport Harbor, OH","Fri, 9/138:00pm"
"/wv/morgantown/trinity-christian-warriors/","/md/frederick/maryland-school-for-the-deaf-orioles/",NA,NA,"2019","9-20-2019","Non-Region","Away","varsity","Maryland School for the DeafFrederick, MD","Fri, 9/207:30pm"
"/wv/morgantown/trinity-christian-warriors/","/wv/weirton/madonna-blue-dons/","6","32","2019","10-4-2019","Region","Home","varsity","MadonnaWeirton","Fri, 10/47:00pm"
"/wv/morgantown/trinity-christian-warriors/","/oh/bridgeport/bridgeport-bulldogs/","13","16","2019","10-11-2019","Region","Home","varsity","BridgeportOH","Fri, 10/117:00pm"
"/wv/morgantown/trinity-christian-warriors/","/oh/steubenville/catholic-central-crusaders/","7","37","2019","10-19-2019","Region","Away","varsity","Catholic CentralSteubenville, OH","Sat, 10/197:00pm"
"/wv/morgantown/trinity-christian-warriors/","/wv/mill-creek/tygarts-valley-bulldogs/","0","36","2019","10-25-2019","Non-Region","Home","varsity","Tygarts ValleyMill Creek","Fri, 10/257:00pm"
"/wv/morgantown/trinity-christian-warriors/","/wv/baker/east-hardy-cougars/","0","39","2019","11-1-2019","Non-Region","Away","varsity","East HardyBaker","Fri, 11/17:00pm"
"/wv/morgantown/trinity-christian-warriors/","/wv/elizabeth/wirt-county-tigers/","0","35","2019","11-8-2019","Non-Region","Away","varsity","Wirt CountyElizabeth","Fri, 11/8Time TBA"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/dunmore/pocahontas-county-warriors/","6","54","2019","8-30-2019","Region","Neutral","varsity","Pocahontas CountyDunmore","Fri, 8/307:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/mill-creek/tygarts-valley-bulldogs/","8","32","2019","9-6-2019","Non-Region","Neutral","varsity","Tygarts ValleyMill Creek","Fri, 9/67:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/md/accident/northern-huskies/","0","62","2019","9-13-2019","Non-Region","Home","varsity","NorthernAccident, MD","Fri, 9/137:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/moorefield/moorefield-yellow-jackets/","16","48","2019","9-20-2019","Region","Away","varsity","Moorefield","Fri, 9/207:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/franklin/pendleton-county-wildcat/","14","41","2019","10-4-2019","Region","Home","varsity","Pendleton CountyFranklin","Fri, 10/4Time TBA"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/baker/east-hardy-cougars/","14","46","2019","10-11-2019","Region","Away","varsity","East HardyBaker","Fri, 10/117:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/md/oakland/southern-rams/",NA,NA,"2019","10-18-2019","Non-Region","Away","varsity","SouthernOakland, MD","Fri, 10/18Time TBA"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/glenville/gilmer-county-titans/","32","42","2019","10-25-2019","Non-Region","Away","varsity","Gilmer CountyGlenville","Fri, 10/257:00pm"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/petersburg/petersburg-vikings/","0","43","2019","11-1-2019","Region","Home","varsity","Petersburg","Fri, 11/1Time TBA"
"/wv/hambleton/tucker-county-mountain-lions/","/wv/lost-creek/south-harrison-hawks/","30","60","2019","11-8-2019","Non-Region","Home","varsity","South HarrisonLost Creek","Fri, 11/87:00pm"
"/wv/philippi/philip-barbour-colts/","/wv/mill-creek/tygarts-valley-bulldogs/",NA,NA,"2019",NA,"Non-Region","Home","jv","Tygarts ValleyMill Creek","Mon, 10/286:00pm"
"/wv/philippi/philip-barbour-colts/","/wv/grafton/grafton-bearcats/","9","34","2019","8-30-2019","Region","Away","varsity","Grafton","Fri, 8/307:00pm"
"/wv/philippi/philip-barbour-colts/","/wv/new-cumberland/oak-glen-golden-bears/","0","45","2019","9-6-2019","Non-Region","Neutral","varsity","Oak GlenNew Cumberland","Fri, 9/67:00pm"
"/wv/philippi/philip-barbour-colts/","/wv/buckhannon/buckhannon-upshur-buccaneers/","14","33","2019","9-13-2019","Region","Neutral","varsity","Buckhannon-UpshurBuckhannon","Fri, 9/137:00pm"
