"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ca/los-angeles/roybal-titans/","/ca/panorama-city/panorama-pythons/","0","32","2020","4-30-2021","League","Away","varsity","PanoramaPanorama City","Fri, 4/306:00pm"
"/ca/thermal/desert-mirage-rams/","/ca/thermal/coachella-valley-mighty-arabs/",NA,NA,"2020",NA,"Non-League","Home","jv","Coachella ValleyThermal","Fri, 2/54:00pm"
"/ca/thermal/desert-mirage-rams/","/ca/yucca-valley/yucca-valley-trojans/",NA,NA,"2020",NA,"Non-League","Home","jv","Yucca Valley","Thu, 2/254:00pm"
"/ca/thermal/desert-mirage-rams/","/ca/thermal/coachella-valley-mighty-arabs/",NA,NA,"2020",NA,"Non-League","Away","jv","Coachella ValleyThermal","Thu, 3/44:00pm"
"/ca/thermal/desert-mirage-rams/","/ca/banning/banning-broncos/",NA,NA,"2020",NA,"Non-League","Home","jv","Banning","Fri, 3/124:00pm"
"/ca/thermal/desert-mirage-rams/","/ca/indio/indio-rajahs/","0","48","2020","4-2-2021","League","Away","varsity","Indio","Fri, 4/27:00pm"
"/ca/foresthill/foresthill-wildfires/","/ca/roseville/west-park-panthers/","6","28","2020","3-12-2021","Non-League","Away","jv","West ParkRoseville","Fri, 3/127:15pm"
"/ca/foresthill/foresthill-wildfires/","/ca/grass-valley/bear-river-bruins/","8","34","2020","3-19-2021","Non-League","Home","varsity","Bear RiverGrass Valley","Fri, 3/197:00pm"
"/ca/foresthill/foresthill-wildfires/","/ca/tahoe-city/north-tahoe-lakers/","20","47","2020","3-26-2021","Non-League","Home","varsity","North TahoeTahoe City","Fri, 3/267:00pm"
"/ca/foresthill/foresthill-wildfires/","/ca/garden-valley/golden-sierra-grizzlies/","0","60","2020","4-1-2021","Non-League","Home","varsity","Golden SierraGarden Valley","Thu, 4/1Time TBA"
"/ca/foresthill/foresthill-wildfires/","/ca/rocklin/western-sierra-collegiate-academy-wolves/","23","27","2020","4-17-2021","League","Home","varsity","Western Sierra Collegiate AcademyRocklin","Sat, 4/177:00pm"
"/ca/richmond/richmond-oilers/","/ca/el-cerrito/el-cerrito-gauchos/","0","55","2020","4-2-2021","Non-League","Home","varsity","El Cerrito","Fri, 4/25:30pm"
"/ca/richmond/richmond-oilers/","/ca/el-sobrante/de-anza-dons/",NA,NA,"2020","4-9-2021","Non-League","Away","varsity","De AnzaEl Sobrante","Fri, 4/95:30pm"
"/ca/richmond/richmond-oilers/","/ca/hercules/hercules-titans/","13","52","2020","4-16-2021","League","Away","varsity","Hercules","Fri, 4/166:00pm"
"/ca/san-jose/san-jose-bulldogs/","/ca/san-jose/evergreen-valley-cougars/",NA,NA,"2020",NA,"Non-League","Home","jv","Evergreen ValleySan Jose","Fri, 2/54:00pm"
"/ca/san-jose/san-jose-bulldogs/","/ca/san-jose/gunderson-grizzlies/",NA,NA,"2020",NA,"Non-League","Home","jv","GundersonSan Jose","Fri, 3/124:00pm"
"/ca/san-jose/san-jose-bulldogs/","/ca/san-jose/hill-falcons/",NA,NA,"2020",NA,"Non-League","Home","jv","HillSan Jose","Fri, 3/194:00pm"
