"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/mn/red-lake/red-lake-warriors/","/mn/wadena/wadena-deer-creek-wolverines/","6","50","2020","10-9-2020","Non-Conference","Home","varsity","Wadena-Deer CreekWadena","Fri, 10/9Time TBA"
"/mn/red-lake/red-lake-warriors/","/mn/bagley/bagley-flyers/","8","41","2020","10-14-2020","Conference","Away","varsity","Bagley","Wed, 10/14Time TBA"
"/mn/red-lake/red-lake-warriors/","/mn/pine-river/pine-river-backus-tigers/","0","48","2020","10-23-2020","Conference","Home","varsity","Pine River-BackusPine River","Fri, 10/23Time TBA"
"/mn/red-lake/red-lake-warriors/","/mn/oklee/red-lake-county-central-red-lake-falls-rebels/","20","60","2020","10-30-2020","Non-Conference","Neutral","varsity","Red Lake County Central/Red Lake FallsOklee","Fri, 10/30Time TBA"
"/mn/red-lake/red-lake-warriors/","/mn/walker/walker-hackensack-akeley-wolves/","8","43","2020","11-6-2020","Conference","Home","varsity","Walker-Hackensack-AkeleyWalker","Fri, 11/6Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/proctor/proctor-rails/","0","22","2020","10-9-2020","Conference","Home","varsity","Proctor","Fri, 10/9Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/cloquet/cloquet-lumberjacks/","22","76","2020","10-16-2020","Conference","Away","varsity","Cloquet","Fri, 10/16Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/north-branch/north-branch-vikings/","0","46","2020","10-23-2020","Conference","Home","varsity","North Branch","Fri, 10/23Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/duluth/denfeld-hunters/","20","50","2020","10-30-2020","Conference","Away","varsity","DenfeldDuluth","Fri, 10/30Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/hermantown/hermantown-hawks/","12","38","2020","11-6-2020","Conference","Home","varsity","Hermantown","Fri, 11/6Time TBA"
"/mn/hibbing/hibbing-victory-christian-academy/","/mn/grand-rapids/grand-rapids-thunderhawks/","0","89","2020","11-12-2020","Conference","Away","varsity","Grand Rapids","Thu, 11/12Time TBA"
"/mn/lake-park/lake-park-audubon-raiders/","/mn/underwood/underwood-rockets/","6","38","2020","10-9-2020","Non-Conference","Home","varsity","Underwood","Fri, 10/9Time TBA"
"/mn/lake-park/lake-park-audubon-raiders/","/mn/wadena/wadena-deer-creek-wolverines/","0","45","2020","10-14-2020","Non-Conference","Away","varsity","Wadena-Deer CreekWadena","Wed, 10/14Time TBA"
"/mn/lake-park/lake-park-audubon-raiders/","/mn/walker/walker-hackensack-akeley-wolves/","0","33","2020","10-26-2020","Non-Conference","Neutral","varsity","Walker-Hackensack-AkeleyWalker","Mon, 10/26Time TBA"
"/mn/lake-park/lake-park-audubon-raiders/","/mn/oklee/red-lake-county-central-red-lake-falls-rebels/","0","48","2020","11-6-2020","Conference","Neutral","varsity","Red Lake County Central/Red Lake FallsOklee","Fri, 11/6Time TBA"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/brooklyn-center/brooklyn-center-parnassus-prep-centaur/","28","36","2020","10-10-2020","Conference","Home","varsity","Brooklyn Center/Parnassus PrepBrooklyn Center","Sat, 10/10Time TBA"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/minneapolis/minneapolis-south-tigers/","0","20","2020","10-14-2020","Non-Conference","Away","varsity","Minneapolis SouthMinneapolis","Wed, 10/147:00pm"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/elk-river/spectrum-sting/","12","44","2020","10-23-2020","Non-Conference","Home","varsity","SpectrumElk River","Fri, 10/23Time TBA"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/minneapolis/edison-tommies/","6","26","2020","10-30-2020","Non-Conference","Home","varsity","EdisonMinneapolis","Fri, 10/30Time TBA"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/minneapolis/roosevelt-teddies/","23","26","2020","11-6-2020","Non-Conference","Away","varsity","RooseveltMinneapolis","Fri, 11/67:00pm"
"/mn/woodbury/academy-force-new-life-academy-st-croix-prep-eagles/","/mn/st-paul/st-agnes-aggies/","7","28","2020","11-12-2020","Conference","Away","varsity","St. AgnesSt. Paul","Thu, 11/127:00pm"
"/mn/sandstone/east-central-eagles/","/mn/deer-river/deer-river-warriors/","0","24","2020","10-9-2020","Conference","Away","varsity","Deer River","Fri, 10/9Time TBA"
"/mn/sandstone/east-central-eagles/","/mn/hinckley/hinckley-finlayson-jaguars/","0","35","2020","10-14-2020","Conference","Away","varsity","Hinckley-FinlaysonHinckley","Wed, 10/14Time TBA"
"/mn/sandstone/east-central-eagles/","/mn/barnum/barnum-bombers/","0","6","2020","11-11-2020","Conference","Home","varsity","Barnum","Wed, 11/11Time TBA"
"/mn/sandstone/east-central-eagles/","/mn/cook/north-woods-grizzlies/","8","30","2020","11-17-2020","Playoff","Neutral","varsity","North WoodsCook","Tue, 11/17Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/hinckley/hinckley-finlayson-jaguars/","3","46","2020","10-9-2020","Conference","Home","varsity","Hinckley-FinlaysonHinckley","Fri, 10/9Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/barnum/barnum-bombers/","0","12","2020","10-16-2020","Conference","Home","varsity","Barnum","Fri, 10/16Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/deer-river/deer-river-warriors/","13","56","2020","10-23-2020","Conference","Away","varsity","Deer River","Fri, 10/23Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/cook/north-woods-grizzlies/","6","38","2020","10-30-2020","Conference","Home","varsity","North WoodsCook","Fri, 10/30Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/rush-city/rush-city-tigers/","33","28","2020","11-6-2020","Non-Conference","Away","varsity","Rush City","Fri, 11/67:00pm"
"/mn/chisholm/chisholm-bluestreaks/","/mn/braham/braham-bombers/","10","52","2020","11-11-2020","Conference","Away","varsity","Braham","Wed, 11/11Time TBA"
"/mn/chisholm/chisholm-bluestreaks/","/mn/deer-river/deer-river-warriors/","26","52","2020","11-17-2020","Playoff","Away","varsity","Deer River","Tue, 11/17Time TBA"
"/mn/eveleth/rock-ridge-co-op-eveleth-gilbert-virginia-wolverines/","/mn/mora/mora-mustangs/","0","51","2020","10-9-2020","Non-Conference","Home","varsity","Mora","Fri, 10/97:00pm"
"/mn/eveleth/rock-ridge-co-op-eveleth-gilbert-virginia-wolverines/","/mn/coleraine/greenway-nashwauk-keewatin-raiders/","7","42","2020","10-15-2020","Non-Conference","Home","varsity","Greenway/Nashwauk-KeewatinColeraine","Thu, 10/151:30pm"
"/mn/eveleth/rock-ridge-co-op-eveleth-gilbert-virginia-wolverines/","/mn/international-falls/international-falls-broncos/","0","42","2020","10-23-2020","Conference","Home","varsity","International Falls","Fri, 10/23Time TBA"
"/mn/eveleth/rock-ridge-co-op-eveleth-gilbert-virginia-wolverines/","/mn/two-harbors/two-harbors-agates/","9","40","2020","10-31-2020","Conference","Away","varsity","Two Harbors","Sat, 10/311:00pm"
"/mn/st-paul/humboldt-hawks/","/mn/st-paul/harding-knights/","0","8","2020","10-13-2020","Conference","Home","varsity","HardingSt. Paul","Tue, 10/13Time TBA"
"/mn/st-paul/humboldt-hawks/","/mn/st-paul/como-park-cougars/","0","36","2020","10-29-2020","Non-Conference","Away","varsity","Como ParkSt. Paul","Thu, 10/29Time TBA"
"/mn/fergus-falls/hillcrest-lutheran-academy-comets/","/mn/blackduck/blackduck-drakes/","14","48","2020","10-30-2020","Non-Conference","Neutral","varsity","Blackduck","Fri, 10/30Time TBA"
"/mn/fergus-falls/hillcrest-lutheran-academy-comets/","/mn/onamia/onamia-panthers/","28","38","2020","11-12-2020","Non-Conference","Neutral","varsity","Onamia","Thu, 11/12Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/new-richland/new-richland-hartland-ellendale-geneva-panthers/","0","34","2020","10-9-2020","Non-Conference","Away","varsity","New Richland-Hartland-Ellendale-GenevaNew Richland","Fri, 10/9Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/lake-crystal/lake-crystal-wellcome-memorial-knights/","32","55","2020","10-16-2020","Non-Conference","Away","varsity","Lake Crystal-Wellcome MemorialLake Crystal","Fri, 10/16Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/winona/cotter-hope-lutheran-riverway/","0","12","2020","10-23-2020","Non-Conference","Neutral","varsity","Cotter/Hope Lutheran/RiverwayWinona","Fri, 10/23Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/winthrop/gibbon-fairfax-winthrop-thunderbirds/","8","44","2020","10-30-2020","Non-Conference","Away","varsity","Gibbon-Fairfax-WinthropWinthrop","Fri, 10/30Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/new-ulm/minnesota-valley-lutheran-chargers/","0","47","2020","11-6-2020","Non-Conference","Neutral","varsity","Minnesota Valley LutheranNew Ulm","Fri, 11/6Time TBA"
"/mn/st-james/st-james-butterfield-odin/","/mn/windom/windom-eagles/","8","46","2020","11-12-2020","Conference","Home","varsity","Windom","Thu, 11/12Time TBA"
"/mn/waterville/waterville-elysian-morristown-buccaneers/","/mn/st-clair/st-clair-loyola/","0","41","2020","10-23-2020","Conference","Home","varsity","St. Clair/LoyolaSt. Clair","Fri, 10/23Time TBA"
"/mn/waterville/waterville-elysian-morristown-buccaneers/","/mn/janesville/janesville-waldorf-pemberton-bulldogs/","6","31","2020","11-6-2020","Conference","Away","varsity","Janesville-Waldorf-PembertonJanesville","Fri, 11/6Time TBA"
"/mn/waterville/waterville-elysian-morristown-buccaneers/","/mn/wells/united-south-central-rebels/","6","42","2020","11-11-2020","Conference","Home","varsity","United South CentralWells","Wed, 11/11Time TBA"
"/mn/waterville/waterville-elysian-morristown-buccaneers/","/mn/winthrop/gibbon-fairfax-winthrop-thunderbirds/","12","62","2020","11-17-2020","Playoff","Away","varsity","Gibbon-Fairfax-WinthropWinthrop","Tue, 11/17Time TBA"
"/mn/barnum/barnum-bombers/","/mn/esko/esko-eskomos/",NA,NA,"2020",NA,"Non-Conference","Away","freshmen","Esko","Mon, 11/25:00pm"
"/mn/barnum/barnum-bombers/","/mn/carlton/carlton-bulldogs/",NA,NA,"2020",NA,"Non-Conference","Home","jv","Carlton","Mon, 10/195:00pm"
"/mn/barnum/barnum-bombers/","/mn/hill-city/hill-city-northland/","0","12","2020","10-9-2020","Non-Conference","Home","varsity","Hill City/NorthlandHill City","Fri, 10/9Time TBA"
"/mn/barnum/barnum-bombers/","/mn/chisholm/chisholm-bluestreaks/","12","0","2020","10-16-2020","Conference","Away","varsity","Chisholm","Fri, 10/16Time TBA"
"/mn/barnum/barnum-bombers/","/mn/cook/north-woods-grizzlies/","0","46","2020","10-23-2020","Conference","Away","varsity","North WoodsCook","Fri, 10/23Time TBA"
"/mn/barnum/barnum-bombers/","/mn/deer-river/deer-river-warriors/","33","34","2020","10-30-2020","Conference","Home","varsity","Deer River","Fri, 10/307:00pm"
"/mn/barnum/barnum-bombers/","/mn/sandstone/east-central-eagles/","6","0","2020","11-11-2020","Conference","Away","varsity","East CentralSandstone","Wed, 11/11Time TBA"
"/mn/barnum/barnum-bombers/","/mn/braham/braham-bombers/","16","24","2020","11-17-2020","Playoff","Away","varsity","Braham","Tue, 11/175:00pm"
"/mn/minneapolis/patrick-henry-patriots/","/mn/minneapolis/minneapolis-south-tigers/","7","21","2020","10-9-2020","Non-Conference","Home","varsity","Minneapolis SouthMinneapolis","Fri, 10/93:30pm"
"/mn/minneapolis/patrick-henry-patriots/","/mn/elk-river/spectrum-sting/","28","32","2020","10-16-2020","Conference","Home","varsity","SpectrumElk River","Fri, 10/167:00pm"
"/mn/minneapolis/patrick-henry-patriots/","/mn/st-paul/st-agnes-aggies/","0","39","2020","10-24-2020","Non-Conference","Away","varsity","St. AgnesSt. Paul","Sat, 10/24Time TBA"
"/mn/minneapolis/patrick-henry-patriots/","/mn/roseville/concordia-academy-beacons/","26","38","2020","10-30-2020","Non-Conference","Home","varsity","Concordia AcademyRoseville","Fri, 10/307:00pm"
"/mn/minneapolis/patrick-henry-patriots/","/mn/minneapolis/breck-mustangs/","8","55","2020","11-6-2020","Non-Conference","Away","varsity","BreckMinneapolis","Fri, 11/6Time TBA"
"/mn/minneapolis/patrick-henry-patriots/","/mn/brooklyn-center/brooklyn-center-parnassus-prep-centaur/","20","42","2020","11-12-2020","Non-Conference","Away","varsity","Brooklyn Center/Parnassus PrepBrooklyn Center","Thu, 11/12Time TBA"
