"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/fillmore/millard-eagles/",NA,NA,"2020",NA,"Non-Region","Away","jv","MillardFillmore","Thu, 8/204:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/midvale/hillcrest-huskies/",NA,NA,"2020",NA,"Non-Region","Away","jv","HillcrestMidvale","Thu, 8/273:30pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/price/carbon-dinos/","12","24","2020","9-3-2020","Non-Region","Home","jv","CarbonPrice","Thu, 9/33:30pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/spanish-fork/american-leadership-academy-eagles/",NA,NA,"2020",NA,"Non-Region","Home","jv","American Leadership AcademySpanish Fork","Thu, 9/103:30pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/orem/timpanogos-timberwolves/",NA,NA,"2020",NA,"Non-Region","Home","jv","TimpanogosOrem","Wed, 9/303:30pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/salt-lake-city/cottonwood-colts/",NA,NA,"2020",NA,"Non-Region","Home","jv","CottonwoodSalt Lake City","Tue, 10/133:30pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/layton/layton-christian-academy-eagles/","13","19","2020","8-14-2020","Non-Region","Neutral","varsity","Layton Christian AcademyLayton","Fri, 8/147:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/fillmore/millard-eagles/","7","58","2020","8-21-2020","Non-Region","Home","varsity","MillardFillmore","Fri, 8/217:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/midvale/hillcrest-huskies/","0","13","2020","8-28-2020","Non-Region","Home","varsity","HillcrestMidvale","Fri, 8/287:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/price/carbon-dinos/","25","42","2020","9-4-2020","Non-Region","Away","varsity","CarbonPrice","Fri, 9/47:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/spanish-fork/american-leadership-academy-eagles/","0","34","2020","9-11-2020","Non-Region","Away","varsity","American Leadership AcademySpanish Fork","Fri, 9/117:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/herriman/providence-hall-patriots/","7","31","2020","9-18-2020","Non-Region","Home","varsity","Providence HallHerriman","Fri, 9/187:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/monticello/monticello-buckaroo/","21","13","2020","9-25-2020","Non-Region","Home","varsity","Monticello","Fri, 9/257:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/orem/timpanogos-timberwolves/","14","61","2020","10-1-2020","Non-Region","Away","varsity","TimpanogosOrem","Thu, 10/17:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/bluffdale/summit-academy-bears/","0","61","2020","10-9-2020","Region","Home","varsity","Summit AcademyBluffdale","Fri, 10/97:00pm"
"/ut/salt-lake-city/judge-memorial-bulldogs/","/ut/salt-lake-city/cottonwood-colts/","7","35","2020","10-14-2020","Non-Region","Away","varsity","CottonwoodSalt Lake City","Wed, 10/147:00pm"
"/ut/price/carbon-dinos/","/ut/monroe/south-sevier-rams/","0","6","2020","10-13-2020/freshman-football-20/carbon-vs-south-sevier.htm?c=xa-uHSodwkmWwL6upeVfKg","Non-Region","Away","freshmen","South SevierMonroe","Tue, 10/135:35pm"
"/ut/price/carbon-dinos/","/ut/salt-lake-city/cottonwood-colts/","7","26","2020","8-20-2020","Non-Region","Home","jv","CottonwoodSalt Lake City","Thu, 8/203:30pm"
"/ut/price/carbon-dinos/","/ut/duchesne/duchesne-eagles/",NA,NA,"2020",NA,"Non-Region","Away","jv","Duchesne","Thu, 8/274:00pm"
"/ut/price/carbon-dinos/","/ut/salt-lake-city/judge-memorial-bulldogs/","24","12","2020","9-3-2020","Non-Region","Away","jv","Judge MemorialSalt Lake City","Thu, 9/33:30pm"
"/ut/price/carbon-dinos/","/ut/roosevelt/union-cougars/","14","6","2020","9-10-2020","Non-Region","Away","jv","UnionRoosevelt","Thu, 9/103:30pm"
"/ut/price/carbon-dinos/","/ut/richfield/richfield-wildcats/",NA,NA,"2020",NA,"Non-Region","Home","jv","Richfield","Thu, 9/174:00pm"
"/ut/price/carbon-dinos/","/ut/moab/grand-county-red-devils/",NA,NA,"2020",NA,"Non-Region","Home","jv","Grand CountyMoab","Wed, 9/304:00pm"
"/ut/price/carbon-dinos/","/ut/blanding/san-juan-broncos/",NA,NA,"2020",NA,"Non-Region","Home","jv","San JuanBlanding","Fri, 10/93:30pm"
"/ut/price/carbon-dinos/","/ut/blanding/san-juan-broncos/",NA,NA,"2020",NA,"Region","Away","jv","San JuanBlanding","Fri, 10/94:30pm"
"/ut/price/carbon-dinos/","/ut/monroe/south-sevier-rams/","12","23","2020","10-13-2020","Non-Region","Away","jv","South SevierMonroe","Tue, 10/134:00pm"
"/ut/price/carbon-dinos/","/ut/spanish-fork/american-leadership-academy-eagles/","7","38","2020","8-14-2020","Non-Region","Home","varsity","American Leadership AcademySpanish Fork","Fri, 8/147:00pm"
"/ut/price/carbon-dinos/","/ut/salt-lake-city/cottonwood-colts/","12","14","2020","8-21-2020","Non-Region","Away","varsity","CottonwoodSalt Lake City","Fri, 8/217:00pm"
"/ut/price/carbon-dinos/","/ut/duchesne/duchesne-eagles/","7","53","2020","8-28-2020","Non-Region","Home","varsity","Duchesne","Fri, 8/287:00pm"
"/ut/price/carbon-dinos/","/ut/salt-lake-city/judge-memorial-bulldogs/","42","25","2020","9-4-2020","Non-Region","Home","varsity","Judge MemorialSalt Lake City","Fri, 9/47:00pm"
"/ut/price/carbon-dinos/","/ut/roosevelt/union-cougars/","20","37","2020","9-11-2020","Non-Region","Away","varsity","UnionRoosevelt","Fri, 9/117:00pm"
"/ut/price/carbon-dinos/","/ut/richfield/richfield-wildcats/","7","42","2020","9-18-2020","Region","Away","varsity","Richfield","Fri, 9/187:00pm"
"/ut/price/carbon-dinos/","/ut/castle-dale/emery-spartans/","0","56","2020","9-25-2020","Region","Home","varsity","EmeryCastle Dale","Fri, 9/257:00pm"
"/ut/price/carbon-dinos/","/ut/moab/grand-county-red-devils/","6","48","2020","10-2-2020","Region","Away","varsity","Grand CountyMoab","Fri, 10/27:00pm"
"/ut/price/carbon-dinos/","/ut/blanding/san-juan-broncos/","7","65","2020","10-9-2020","Region","Away","varsity","San JuanBlanding","Fri, 10/97:00pm"
"/ut/price/carbon-dinos/","/ut/monroe/south-sevier-rams/","6","33","2020","10-14-2020","Region","Home","varsity","South SevierMonroe","Wed, 10/147:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/salt-lake-city/judge-memorial-bulldogs/","19","13","2020","8-14-2020","Non-Region","Neutral","varsity","Judge MemorialSalt Lake City","Fri, 8/147:00pm"
"/ut/layton/layton-christian-academy-eagles/","/id/arimo/marsh-valley-eagles/","0","50","2020","8-22-2020","Non-Region","Home","varsity","Marsh ValleyArimo, ID","Sat, 8/2211:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/parowan/parowan-rams/","0","35","2020","8-28-2020","Non-Region","Home","varsity","Parowan","Fri, 8/284:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/coalville/north-summit-braves/","6","45","2020","9-4-2020","Region","Away","varsity","North SummitCoalville","Fri, 9/47:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/herriman/providence-hall-patriots/","12","21","2020","9-11-2020","Non-Region","Home","varsity","Providence HallHerriman","Fri, 9/114:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/randolph/rich-rebels/","7","14","2020","9-18-2020","Region","Home","varsity","RichRandolph","Fri, 9/184:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/duchesne/duchesne-eagles/","8","41","2020","10-2-2020","Region","Home","varsity","Duchesne","Fri, 10/24:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/monticello/monticello-buckaroo/","20","21","2020","10-9-2020","Region","Home","varsity","Monticello","Fri, 10/94:00pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/gunnison/gunnison-valley-bulldogs/","22","34","2020","10-16-2020","Region","Away","varsity","Gunnison ValleyGunnison","Fri, 10/165:30pm"
"/ut/layton/layton-christian-academy-eagles/","/ut/enterprise/enterprise-wolves/",NA,NA,"2020","10-23-2020","Playoff","Neutral","varsity","Enterprise","Fri, 10/23Time TBA"
