"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/md/hancock/hancock-panthers/","/wv/paden-city/paden-city-wildcats/","0","58","2021","9-3-2021","Non-Region","Home","varsity","Paden CityWV","Fri, 9/37:00pm"
"/md/hancock/hancock-panthers/","/md/frederick/maryland-school-for-the-deaf-orioles/","0","52","2021","9-20-2021","Region","Away","varsity","Maryland School for the DeafFrederick","Mon, 9/206:00pm"
"/md/hancock/hancock-panthers/","/dc/washington/sidwell-friends-quakers/",NA,NA,"2021","9-25-2021","Non-Region","Away","varsity","Sidwell FriendsWashington, DC","Sat, 9/252:00pm"
"/md/hancock/hancock-panthers/","/wv/blacksville/clay-battelle-cee-bees/","0","41","2021","10-1-2021","Non-Region","Away","varsity","Clay-BattelleBlacksville, WV","Fri, 10/1Time TBA"
"/md/hancock/hancock-panthers/","/wv/morgantown/trinity-christian-warriors/","0","52","2021","10-15-2021","Non-Region","Home","varsity","Trinity ChristianMorgantown, WV","Fri, 10/157:00pm"
"/md/hancock/hancock-panthers/","/wv/hundred/hundred-hornets/","44","8","2021","10-26-2021","Non-Region","Home","varsity","HundredWV","Tue, 10/26Time TBA"
"/md/hancock/hancock-panthers/","/dc/washington/model-secondary-school-for-the-deaf-eagles/","0","32","2021","10-29-2021","Non-Region","Away","varsity","Model Secondary School for the DeafWashington, DC","Fri, 10/297:00pm"
"/md/hancock/hancock-panthers/","/md/cumberland/fort-hill-sentinels/",NA,NA,"2021","11-5-2021","Non-Region","Neutral","varsity","Fort HillCumberland","Fri, 11/5Time TBA"
"/md/princess-anne/washington-jaguars/","/md/centreville/queen-annes-county-lions/","0","69","2021","9-10-2021","Non-Region","Away","varsity","Queen Anne's CountyCentreville","Fri, 9/107:00pm"
"/md/princess-anne/washington-jaguars/","/md/federalsburg/colonel-richardson-colonels/","0","61","2021","9-17-2021","Region","Home","varsity","Colonel RichardsonFederalsburg","Fri, 9/176:00pm"
"/md/princess-anne/washington-jaguars/","/md/baltimore/our-lady-of-mount-carmel-cougars/","0","72","2021","10-1-2021","Non-Region","Home","varsity","Our Lady of Mount CarmelBaltimore","Fri, 10/1Time TBA"
"/md/princess-anne/washington-jaguars/","/md/snow-hill/snow-hill-eagles/","0","21","2021","10-8-2021","Region","Away","varsity","Snow Hill","Fri, 10/86:00pm"
"/md/princess-anne/washington-jaguars/","/md/worton/kent-county-trojans/","0","16","2021","10-22-2021","Region","Home","varsity","Kent CountyWorton","Fri, 10/226:00pm"
"/md/princess-anne/washington-jaguars/","/md/federalsburg/colonel-richardson-colonels/","0","72","2021","11-5-2021","Playoff","Away","varsity","Colonel RichardsonFederalsburg","Fri, 11/57:00pm"
"/md/capitol-heights/central-falcons/","/md/oxon-hill/potomac-wolverines/","0","56","2021","9-18-2021","Region","Home","varsity","PotomacOxon Hill","Sat, 9/182:00pm"
"/md/capitol-heights/central-falcons/","/md/temple-hills/crossland-cavaliers/","0","40","2021","9-25-2021","Region","Home","varsity","CrosslandTemple Hills","Sat, 9/252:00pm"
"/md/capitol-heights/central-falcons/","/md/upper-marlboro/douglass-eagles/","0","58","2021","10-2-2021","Region","Away","varsity","DouglassUpper Marlboro","Sat, 10/22:00pm"
"/md/capitol-heights/central-falcons/","/md/capitol-heights/fairmont-heights-hornets/","0","40","2021","10-9-2021","Region","Home","varsity","Fairmont HeightsCapitol Heights","Sat, 10/92:00pm"
"/md/capitol-heights/central-falcons/","/md/brandywine/gwynn-park-yellowjackets/","0","54","2021","10-16-2021","Region","Home","varsity","Gwynn ParkBrandywine","Sat, 10/162:00pm"
"/md/capitol-heights/central-falcons/","/md/clinton/surrattsville-hornets/","0","47","2021","10-23-2021","Region","Away","varsity","SurrattsvilleClinton","Sat, 10/23Time TBA"
"/md/capitol-heights/central-falcons/","/md/fort-washington/friendly-patriots/","0","22","2021","10-30-2021","Region","Home","varsity","FriendlyFort Washington","Sat, 10/302:00pm"
"/md/capitol-heights/central-falcons/","/md/baltimore/sparrows-point-pointers/","0","48","2021","11-5-2021","Playoff","Away","varsity","Sparrows PointBaltimore","Fri, 11/57:00pm"
"/md/baltimore/national-academy-foundation-eagles/","/md/baltimore/forest-park-foresters/","0","50","2021","11-5-2021","Playoff","Away","varsity","Forest ParkBaltimore","Fri, 11/57:00pm"
"/md/baltimore/eastern-tech-mavericks/","/md/baltimore/sparrows-point-pointers/","14","22","2021","9-17-2021","Region","Away","jv","Sparrows PointBaltimore","Fri, 9/17Time TBA"
"/md/baltimore/eastern-tech-mavericks/","/md/owings-mills/new-town/","0","50","2021","10-29-2021","Region","Home","jv","New TownOwings Mills","Fri, 10/294:00pm"
"/md/baltimore/eastern-tech-mavericks/","/md/parkton/hereford-bulls/","0","49","2021","9-3-2021","Region","Away","varsity","HerefordParkton","Fri, 9/36:30pm"
"/md/baltimore/eastern-tech-mavericks/","/md/towson/loch-raven-raiders/","18","32","2021","9-10-2021","Non-Region","Home","varsity","Loch RavenTowson","Fri, 9/107:00pm"
"/md/baltimore/eastern-tech-mavericks/","/md/baltimore/sparrows-point-pointers/","0","21","2021","9-17-2021","Region","Away","varsity","Sparrows PointBaltimore","Fri, 9/176:30pm"
