"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ut/monument-valley/monument-valley-cougars/","/ut/hildale/water-canyon-wildcats/","0","76","2022","8-26-2022","Region","Away","varsity","Water CanyonHildale","Fri, 8/267:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/altamont/altamont-longhorns/","8","50","2022","8-31-2022","Region","Home","varsity","Altamont","Wed, 8/317:00pm"
"/ut/monument-valley/monument-valley-cougars/","/nm/shiprock/shiprock-chieftains/","8","60","2022","9-9-2022","Non-Region","Away","varsity","ShiprockNM","Fri, 9/97:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/montezuma-creek/whitehorse-raiders/","0","70","2022","9-16-2022","Region","Home","varsity","WhitehorseMontezuma Creek","Fri, 9/167:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/ogden/utah-school-for-the-deaf-and-blind-eagles/","44","14","2022","9-23-2022","Region","Home","varsity","Utah School for the Deaf & BlindOgden","Fri, 9/237:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/monticello/monticello-buckaroo/","20","42","2022","9-30-2022","Region","Home","varsity","Monticello","Fri, 9/307:00pm"
"/ut/monument-valley/monument-valley-cougars/","/nm/navajo/navajo-pine-warriors/","38","54","2022","10-6-2022","Non-Region","Home","varsity","Navajo PineNavajo, NM","Thu, 10/67:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/montezuma-creek/whitehorse-raiders/","28","74","2022","10-12-2022","Region","Away","varsity","WhitehorseMontezuma Creek","Wed, 10/127:00pm"
"/ut/monument-valley/monument-valley-cougars/","/ut/randolph/rich-rebels/","12","48","2022","10-28-2022","Playoff","Away","varsity","RichRandolph","Fri, 10/281:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/monticello/monticello-buckaroo/","20","64","2022","8-26-2022","Region","Away","varsity","Monticello","Fri, 8/267:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/ogden/utah-school-for-the-deaf-and-blind-eagles/","97","46","2022","9-2-2022","Region","Away","varsity","Utah School for the Deaf & BlindOgden","Fri, 9/27:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/co/ignacio/ignacio-bobcats/","14","42","2022","9-9-2022","Non-Region","Away","varsity","IgnacioCO","Fri, 9/97:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/monument-valley/monument-valley-cougars/","70","0","2022","9-16-2022","Region","Away","varsity","Monument Valley","Fri, 9/167:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/co/mancos/mancos-bluejays/","6","62","2022","9-22-2022","Non-Region","Home","varsity","MancosCO","Thu, 9/227:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/altamont/altamont-longhorns/","6","50","2022","9-24-2022","Region","Home","varsity","Altamont","Sat, 9/245:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/nm/navajo/navajo-pine-warriors/","50","6","2022","9-30-2022","Non-Region","Away","varsity","Navajo PineNavajo, NM","Fri, 9/306:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/monticello/monticello-buckaroo/","42","74","2022","10-7-2022","Region","Home","varsity","Monticello","Fri, 10/77:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/monument-valley/monument-valley-cougars/","74","28","2022","10-12-2022","Region","Home","varsity","Monument Valley","Wed, 10/127:00pm"
"/ut/montezuma-creek/whitehorse-raiders/","/ut/hildale/water-canyon-wildcats/","16","62","2022","10-28-2022","Playoff","Away","varsity","Water CanyonHildale","Fri, 10/286:00pm"
