"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/va/woodstock/massanutten-military-academy-colonels/","/va/richmond/central-virginia-disciples/","6","64","2022","9-3-2022","Non-Region","Home","varsity","Central Virginia DisciplesRichmond","Sat, 9/32:00pm"
"/va/woodstock/massanutten-military-academy-colonels/","/va/waynesboro/fishburne-military-caissons/","0","46","2022","9-9-2022","Non-Region","Home","varsity","Fishburne MilitaryWaynesboro","Fri, 9/94:00pm"
"/va/woodstock/massanutten-military-academy-colonels/","/va/roanoke/virginia-spartans-spartans/","0","40","2022","9-16-2022","Non-Region","Away","varsity","Virginia SpartansRoanoke","Fri, 9/164:00pm"
"/va/woodstock/massanutten-military-academy-colonels/","/va/moneta/smith-mountain-lake-christian-academy-ospreys/","0","42","2022","9-23-2022","Non-Region","Away","varsity","Smith Mountain Lake Christian AcademyMoneta","Fri, 9/237:00pm"
"/va/woodstock/massanutten-military-academy-colonels/","/va/quicksburg/mountain-view-generals/","0","51","2022","9-30-2022","Non-Region","Away","varsity","Mountain ViewQuicksburg","Fri, 9/307:00pm"
"/va/windsor/windsor-dukes/","/va/eastville/northampton-yellowjackets/","16","32","2022","9-14-2022","Non-Region","Away","jv","NorthamptonEastville","Wed, 9/146:00pm"
"/va/windsor/windsor-dukes/","/va/franklin/franklin-broncos/","6","48","2022","9-21-2022","Non-Region","Home","jv","Franklin","Wed, 9/216:00pm"
"/va/windsor/windsor-dukes/","/va/williamsburg/bruton-panthers/","0","29","2022","9-28-2022","Non-Region","Home","jv","BrutonWilliamsburg","Wed, 9/286:30pm"
"/va/windsor/windsor-dukes/","/va/eastville/northampton-yellowjackets/","6","16","2022","10-5-2022","Non-Region","Home","jv","NorthamptonEastville","Wed, 10/56:00pm"
"/va/windsor/windsor-dukes/","/va/emporia/greensville-county-eagles/","38","42","2022","10-19-2022","Non-Region","Away","jv","Greensville CountyEmporia","Wed, 10/196:00pm"
"/va/windsor/windsor-dukes/","/va/courtland/southampton-indians/","0","53","2022","10-26-2022","Non-Region","Home","jv","SouthamptonCourtland","Wed, 10/266:00pm"
"/va/windsor/windsor-dukes/","/va/richmond/trinity-episcopal-titans/",NA,NA,"2022",NA,"Non-Region","Home","jv","Trinity EpiscopalRichmond","Wed, 11/26:00pm"
"/va/windsor/windsor-dukes/","/va/oak-hall/arcadia-firebirds/","31","42","2022","8-26-2022","Non-Region","Home","varsity","ArcadiaOak Hall","Fri, 8/267:00pm"
"/va/windsor/windsor-dukes/","/va/king-and-queen-court-house/king-and-queen-central-royal-tigers/","0","58","2022","9-2-2022","Non-Region","Away","varsity","King & Queen CentralKing & Queen Court House","Fri, 9/27:00pm"
"/va/windsor/windsor-dukes/","/va/saluda/middlesex-chargers/","28","43","2022","9-9-2022","Non-Region","Home","varsity","MiddlesexSaluda","Fri, 9/97:00pm"
"/va/windsor/windsor-dukes/","/va/eastville/northampton-yellowjackets/","8","43","2022","9-16-2022","Non-Region","Home","varsity","NorthamptonEastville","Fri, 9/167:00pm"
"/va/windsor/windsor-dukes/","/va/franklin/franklin-broncos/",NA,NA,"2022","9-23-2022","Region","Away","varsity","Franklin","Fri, 9/237:00pm"
"/va/windsor/windsor-dukes/","/va/lawrenceville/brunswick-bulldogs/","14","44","2022","9-29-2022","Region","Away","varsity","BrunswickLawrenceville","Thu, 9/297:00pm"
"/va/windsor/windsor-dukes/","/va/sussex/sussex-central-tigers/","12","76","2022","10-7-2022","Region","Home","varsity","Sussex CentralSussex","Fri, 10/77:00pm"
"/va/windsor/windsor-dukes/","/va/dendron/surry-county-cougars/","22","52","2022","10-14-2022","Region","Away","varsity","Surry CountyDendron","Fri, 10/147:00pm"
"/va/windsor/windsor-dukes/","/va/emporia/greensville-county-eagles/","0","40","2022","10-21-2022","Region","Home","varsity","Greensville CountyEmporia","Fri, 10/217:00pm"
"/va/windsor/windsor-dukes/","/va/courtland/southampton-indians/","0","2","2022","10-28-2022","Region","Away","varsity","SouthamptonCourtland","Fri, 10/287:00pm"
"/va/rocky-gap/bland-county-bears/","/va/new-castle/craig-county-rockets/","14","20","2022","8-26-2022","Non-Region","Home","varsity","Craig CountyNew Castle","Fri, 8/267:00pm"
"/va/rocky-gap/bland-county-bears/","/va/narrows/narrows-green-waves/","0","2","2022","9-2-2022","Non-Region","Home","varsity","Narrows","Fri, 9/27:00pm"
"/va/rocky-gap/bland-county-bears/","/va/clinchport/rye-cove-eagles/","6","47","2022","9-9-2022","Non-Region","Away","varsity","Rye CoveClinchport","Fri, 9/97:00pm"
"/va/rocky-gap/bland-county-bears/","/va/castlewood/castlewood-blue-devils/",NA,NA,"2022",NA,"Non-Region","Home","varsity","Castlewood","Fri, 9/307:00pm"
"/va/rocky-gap/bland-county-bears/","/va/riner/auburn-eagles/","0","1","2022","10-14-2022","Region","Away","varsity","AuburnRiner","Fri, 10/147:00pm"
"/va/charles-city/charles-city-panthers/","/va/saluda/middlesex-chargers/","6","7","2022","8-26-2022","Non-Region","Away","varsity","MiddlesexSaluda","Fri, 8/267:00pm"
"/va/charles-city/charles-city-panthers/","/va/eastville/northampton-yellowjackets/","12","41","2022","9-1-2022","Non-Region","Away","varsity","NorthamptonEastville","Thu, 9/17:00pm"
"/va/charles-city/charles-city-panthers/","/va/heathsville/northumberland-indians/","6","34","2022","9-9-2022","Non-Region","Home","varsity","NorthumberlandHeathsville","Fri, 9/97:00pm"
"/va/charles-city/charles-city-panthers/","/va/williamsburg/bruton-panthers/","0","42","2022","9-29-2022","Non-Region","Home","varsity","BrutonWilliamsburg","Thu, 9/297:00pm"
"/va/charles-city/charles-city-panthers/","/va/richmond/john-marshall-justices/","14","20","2022","10-10-2022","Non-Region","Home","varsity","John MarshallRichmond","Mon, 10/107:00pm"
"/va/charles-city/charles-city-panthers/","/va/saluda/middlesex-chargers/","2","33","2022","10-14-2022","Region","Home","varsity","MiddlesexSaluda","Fri, 10/147:00pm"
"/va/charles-city/charles-city-panthers/","/va/king-and-queen-court-house/king-and-queen-central-royal-tigers/",NA,NA,"2022","10-21-2022","Region","Home","varsity","King & Queen CentralKing & Queen Court House","Fri, 10/217:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/hurley/hurley-rebels/","12","7","2022","9-19-2022","Non-Region","Away","jv","Hurley","Mon, 9/196:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/hurley/hurley-rebels/",NA,NA,"2022",NA,"Non-Region","Home","jv","Hurley","Mon, 10/36:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/honaker/honaker-tigers/",NA,NA,"2022",NA,"Non-Region","Home","jv","Honaker","Thu, 10/66:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/honaker/honaker-tigers/",NA,NA,"2022",NA,"Non-Region","Away","jv","Honaker","Thu, 10/137:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/wv/montcalm/montcalm-generals/","14","46","2022","9-2-2022","Non-Region","Away","varsity","MontcalmWV","Fri, 9/2Time TBA"
"/va/pilgrims-knob/twin-valley-panthers/","/va/honaker/honaker-tigers/","7","33","2022","9-9-2022","Region","Away","varsity","Honaker","Fri, 9/97:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/new-castle/craig-county-rockets/",NA,NA,"2022","9-23-2022","Non-Region","Away","varsity","Craig CountyNew Castle","Fri, 9/237:00pm"
"/va/pilgrims-knob/twin-valley-panthers/","/va/clinchport/rye-cove-eagles/","0","2","2022","10-21-2022","Region","Home","varsity","Rye CoveClinchport","Fri, 10/217:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/onley/nandua-warriors/","6","10","2022","9-7-2022","Non-Region","Home","jv","NanduaOnley","Wed, 9/75:00pm"
"/va/oak-hall/arcadia-firebirds/","/md/federalsburg/colonel-richardson-colonels/","6","16","2022","9-28-2022","Non-Region","Home","jv","Colonel RichardsonFederalsburg, MD","Wed, 9/285:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/onley/nandua-warriors/","50","20","2022","10-19-2022","Non-Region","Away","jv","NanduaOnley","Wed, 10/195:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/eastville/northampton-yellowjackets/","6","22","2022","11-2-2022","Non-Region","Away","jv","NorthamptonEastville","Wed, 11/25:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/windsor/windsor-dukes/","42","31","2022","8-26-2022","Non-Region","Away","varsity","Windsor","Fri, 8/267:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/onley/nandua-warriors/","12","42","2022","9-9-2022","Region","Away","varsity","NanduaOnley","Fri, 9/96:00pm"
"/va/oak-hall/arcadia-firebirds/","/md/snow-hill/snow-hill-eagles/","6","42","2022","9-16-2022","Non-Region","Home","varsity","Snow HillMD","Fri, 9/166:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/farmville/fuqua-falcons/","24","42","2022","9-22-2022","Non-Region","Away","varsity","FuquaFarmville","Thu, 9/226:00pm"
"/va/oak-hall/arcadia-firebirds/","/md/federalsburg/colonel-richardson-colonels/","6","44","2022","9-29-2022","Non-Region","Away","varsity","Colonel RichardsonFederalsburg, MD","Thu, 9/296:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/williamsburg/bruton-panthers/","0","42","2022","10-7-2022","Non-Region","Home","varsity","BrutonWilliamsburg","Fri, 10/76:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/charlotte-court-house/randolph-henry-statesmen/","0","49","2022","10-17-2022","Non-Region","Away","varsity","Randolph-HenryCharlotte Court House","Mon, 10/177:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/onley/nandua-warriors/","6","23","2022","10-21-2022","Region","Home","varsity","NanduaOnley","Fri, 10/216:00pm"
"/va/oak-hall/arcadia-firebirds/","/md/princess-anne/washington-jaguars/","27","8","2022","10-27-2022","Non-Region","Home","varsity","WashingtonPrincess Anne, MD","Thu, 10/276:00pm"
"/va/oak-hall/arcadia-firebirds/","/va/eastville/northampton-yellowjackets/","0","42","2022","11-4-2022","Region","Away","varsity","NorthamptonEastville","Fri, 11/47:00pm"
"/va/cumberland/cumberland-dukes/","/va/lovingston/nelson-county-governors/",NA,NA,"2022",NA,"Non-Region","Home","jv","Nelson CountyLovingston","Wed, 9/146:30pm"
"/va/cumberland/cumberland-dukes/","/va/nottoway/nottoway-cougars/",NA,NA,"2022",NA,"Non-Region","Away","jv","Nottoway","Wed, 9/216:30pm"
