"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/milton/milton-yellowjackets/","8","44","2022","9-3-2022","District","Home","varsity","Milton","Sat, 9/31:00pm"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/windsor/windsor-yellowjackets/","14","50","2022","9-10-2022","District","Away","varsity","Windsor","Sat, 9/10Time TBA"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/bristol/mt-abraham-eagles/","7","36","2022","9-17-2022","District","Home","varsity","Mt. AbrahamBristol","Sat, 9/17Time TBA"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/bradford/oxbow-olympians/","8","35","2022","9-24-2022","District","Away","varsity","OxbowBradford","Sat, 9/241:00pm"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/woodstock/woodstock-wasps/","8","46","2022","10-1-2022","District","Home","varsity","Woodstock","Sat, 10/1Time TBA"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/north-clarendon/mill-river-minutemen/","20","48","2022","10-8-2022","District","Away","varsity","Mill RiverNorth Clarendon","Sat, 10/81:00pm"
"/vt/swanton/missisquoi-valley-thunderbirds/","/vt/brandon/otter-valley-otters/","6","60","2022","10-22-2022","District","Away","varsity","Otter ValleyBrandon","Sat, 10/22Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/bristol/mt-abraham-eagles/","14","20","2022","9-3-2022","Non-District","Home","varsity","Mt. AbrahamBristol","Sat, 9/31:00pm"
"/vt/poultney/poultney-blue-devils/","/vt/bradford/oxbow-olympians/","20","34","2022","9-10-2022","District","Home","varsity","OxbowBradford","Sat, 9/10Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/springfield/springfield-cosmos/","0","40","2022","9-24-2022","District","Home","varsity","Springfield","Sat, 9/24Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/north-clarendon/mill-river-minutemen/","0","75","2022","10-1-2022","District","Away","varsity","Mill RiverNorth Clarendon","Sat, 10/12:00pm"
"/vt/poultney/poultney-blue-devils/","/vt/brandon/otter-valley-otters/","0","36","2022","10-8-2022","District","Away","varsity","Otter ValleyBrandon","Sat, 10/8Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/south-burlington/rice-memorial-green-knights/","6","54","2022","10-15-2022","District","Home","varsity","Rice MemorialSouth Burlington","Sat, 10/15Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/fair-haven/fair-haven-slaters/","8","42","2022","10-21-2022","Non-District","Away","varsity","Fair Haven","Fri, 10/21Time TBA"
"/vt/poultney/poultney-blue-devils/","/vt/bradford/oxbow-olympians/","0","40","2022","10-29-2022","District","Away","varsity","OxbowBradford","Sat, 10/291:00pm"
"/vt/milton/milton-yellowjackets/","/vt/swanton/missisquoi-valley-thunderbirds/","44","8","2022","9-3-2022","District","Away","varsity","Missisquoi ValleySwanton","Sat, 9/31:00pm"
"/vt/milton/milton-yellowjackets/","/vt/bristol/mt-abraham-eagles/","14","0","2022","9-10-2022","District","Away","varsity","Mt. AbrahamBristol","Sat, 9/103:00pm"
"/vt/milton/milton-yellowjackets/","/vt/windsor/windsor-yellowjackets/","6","46","2022","9-16-2022","District","Neutral","varsity","Windsor","Fri, 9/16Time TBA"
"/vt/milton/milton-yellowjackets/","/vt/newport/north-country-union-falcons/","0","54","2022","9-23-2022","District","Away","varsity","North Country UnionNewport","Fri, 9/237:00pm"
"/vt/milton/milton-yellowjackets/","/vt/south-burlington/rice-memorial-green-knights/","8","14","2022","9-30-2022","District","Home","varsity","Rice MemorialSouth Burlington","Fri, 9/30Time TBA"
"/vt/milton/milton-yellowjackets/","/vt/bradford/oxbow-olympians/","18","31","2022","10-7-2022","District","Home","varsity","OxbowBradford","Fri, 10/7Time TBA"
"/vt/milton/milton-yellowjackets/","/vt/woodstock/woodstock-wasps/","20","47","2022","10-14-2022","District","Away","varsity","Woodstock","Fri, 10/14Time TBA"
"/vt/milton/milton-yellowjackets/","/vt/springfield/springfield-cosmos/","8","16","2022","10-21-2022","District","Home","varsity","Springfield","Fri, 10/21Time TBA"
"/vt/montpelier/u-32-raiders/","/vt/fair-haven/fair-haven-slaters/","12","35","2022","9-2-2022","District","Home","varsity","Fair Haven","Fri, 9/2Time TBA"
"/vt/montpelier/u-32-raiders/","/vt/lyndon-center/lyndon-institute-vikings/","21","50","2022","9-10-2022","District","Away","varsity","Lyndon InstituteLyndon Center","Sat, 9/101:00pm"
