"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wa/mabton/mabton-vikings/","/wa/coulee-dam/lake-roosevelt-raiders/","0","44","2022","9-9-2022","Non-District","Away","varsity","Lake RooseveltCoulee Dam","Fri, 9/97:00pm"
"/wa/mabton/mabton-vikings/","/wa/granger/granger-spartans/","0","34","2022","9-10-2022","Non-District","Home","varsity","Granger","Sat, 9/101:00pm"
"/wa/mabton/mabton-vikings/","/wa/coulee-dam/lake-roosevelt-raiders/","0","44","2022","9-17-2022","Non-District","Away","varsity","Lake RooseveltCoulee Dam","Sat, 9/171:00pm"
"/wa/mabton/mabton-vikings/","/wa/wapato/wapato-wolves/","0","56","2022","9-24-2022","Non-District","Home","varsity","Wapato","Sat, 9/241:00pm"
"/wa/mabton/mabton-vikings/","/wa/burbank/columbia-coyotes/","0","53","2022","9-29-2022","District","Away","varsity","ColumbiaBurbank","Thu, 9/297:00pm"
"/wa/mabton/mabton-vikings/","/wa/waitsburg/dayton-waitsburg-wolfpack/","0","58","2022","10-8-2022","District","Home","varsity","Dayton/WaitsburgWaitsburg","Sat, 10/81:00pm"
"/wa/mabton/mabton-vikings/","/wa/kennewick/river-view-panthers/","0","67","2022","10-14-2022","District","Away","varsity","River ViewKennewick","Fri, 10/147:00pm"
"/wa/mabton/mabton-vikings/","/wa/pasco/tri-cities-prep-jaguars/","0","42","2022","10-22-2022","District","Home","varsity","Tri-Cities PrepPasco","Sat, 10/221:00pm"
"/wa/mabton/mabton-vikings/","/wa/warden/warden-cougars/","0","35","2022","10-29-2022","District","Home","varsity","Warden","Sat, 10/291:00pm"
"/wa/mabton/mabton-vikings/","/wa/cowiche/highland-scots/","15","24","2022","11-4-2022","Non-District","Away","varsity","HighlandCowiche","Fri, 11/46:00pm"
"/wa/kettle-falls/kettle-falls-bulldogs/","/wa/curlew/curlew-cougars/","28","46","2022","9-16-2022","Non-District","Away","varsity","Curlew","Fri, 9/163:00pm"
"/wa/cowiche/highland-scots/","/wa/wapato/wapato-wolves/","16","6","2022","9-2-2022","Non-District","Home","varsity","Wapato","Fri, 9/27:00pm"
"/wa/cowiche/highland-scots/","/wa/coulee-dam/lake-roosevelt-raiders/","7","49","2022","9-9-2022","Non-District","Away","varsity","Lake RooseveltCoulee Dam","Fri, 9/97:00pm"
"/wa/cowiche/highland-scots/","/wa/waitsburg/dayton-waitsburg-wolfpack/","20","28","2022","9-16-2022","Non-District","Home","varsity","Dayton/WaitsburgWaitsburg","Fri, 9/167:00pm"
"/wa/cowiche/highland-scots/","/wa/manson/manson-trojans/","13","48","2022","9-23-2022","Non-District","Away","varsity","Manson","Fri, 9/235:00pm"
"/wa/cowiche/highland-scots/","/wa/white-swan/white-swan-cougars/","44","52","2022","9-30-2022","District","Away","varsity","White Swan","Fri, 9/307:00pm"
"/wa/cowiche/highland-scots/","/wa/granger/granger-spartans/","14","32","2022","10-7-2022","District","Home","varsity","Granger","Fri, 10/77:00pm"
"/wa/cowiche/highland-scots/","/wa/cle-elum/cle-elum-roslyn-warriors/","28","65","2022","10-14-2022","District","Away","varsity","Cle Elum-RoslynCle Elum","Fri, 10/147:00pm"
"/wa/cowiche/highland-scots/","/wa/kittitas/kittitas-thorp/","6","58","2022","10-21-2022","District","Home","varsity","Kittitas/ThorpKittitas","Fri, 10/217:00pm"
"/wa/cowiche/highland-scots/","/wa/goldendale/goldendale-timberwolves/","3","54","2022","10-28-2022","District","Away","varsity","Goldendale","Fri, 10/287:00pm"
"/wa/cowiche/highland-scots/","/wa/mabton/mabton-vikings/","24","15","2022","11-4-2022","Non-District","Home","varsity","Mabton","Fri, 11/46:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/warden/warden-cougars/","14","20","2022","9-2-2022","Non-District","Away","varsity","Warden","Fri, 9/27:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/morton/morton-white-pass-timberwolves/","20","55","2022","9-13-2022","Non-District","Away","varsity","Morton/White PassMorton","Tue, 9/137:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/adna/adna-pirates/","6","56","2022","9-16-2022","Non-District","Away","varsity","Adna","Fri, 9/166:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/waitsburg/dayton-waitsburg-wolfpack/","8","53","2022","9-23-2022","Non-District","Away","varsity","Dayton/WaitsburgWaitsburg","Fri, 9/237:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/cowiche/highland-scots/","52","44","2022","9-30-2022","District","Home","varsity","HighlandCowiche","Fri, 9/307:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/cle-elum/cle-elum-roslyn-warriors/","22","54","2022","10-7-2022","District","Away","varsity","Cle Elum-RoslynCle Elum","Fri, 10/77:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/goldendale/goldendale-timberwolves/","0","55","2022","10-14-2022","District","Home","varsity","Goldendale","Fri, 10/147:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/granger/granger-spartans/","0","12","2022","10-21-2022","District","Away","varsity","Granger","Fri, 10/217:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/kittitas/kittitas-thorp/","0","42","2022","10-28-2022","District","Home","varsity","Kittitas/ThorpKittitas","Fri, 10/287:00pm"
"/wa/white-swan/white-swan-cougars/","/wa/warden/warden-cougars/","28","40","2022","11-3-2022","Non-District","Home","varsity","Warden","Thu, 11/36:00pm"
