"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/pulaski-carmen-science-and-tech-south-carmen-science-and-tech-southeast/",NA,NA,"2022",NA,"Conference","Away","varsity","Pulaski/Carmen Science & Tech South/Carmen Science & Tech SoutheastMilwaukee","Fri, 8/26Time TBA"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/milwaukee-madison-knights/","0","32","2022","9-9-2022","Conference","Home","varsity","Milwaukee MadisonMilwaukee","Fri, 9/9Time TBA"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/vincent-destiny-vikings/","0","68","2022","9-15-2022","Conference","Away","varsity","Vincent/DestinyMilwaukee","Thu, 9/156:00pm"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/north-blue-devils/","14","16","2022","9-24-2022","Conference","Home","varsity","NorthMilwaukee","Sat, 9/24Time TBA"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/south-cardinals/","12","42","2022","9-29-2022","Conference","Away","varsity","SouthMilwaukee","Thu, 9/29Time TBA"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/washington-fuller-collegiate-academy-purgolders/","0","28","2022","10-7-2022","Conference","Home","varsity","Washington/Fuller Collegiate AcademyMilwaukee","Fri, 10/7Time TBA"
"/wi/milwaukee/barack-obama-career-and-tech-cougars/","/wi/milwaukee/bradley-tech-milwaukee-arts/","8","12","2022","10-13-2022","Non-Conference","Neutral","varsity","Bradley Tech/Milwaukee ArtsMilwaukee","Thu, 10/13Time TBA"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/whitefish-bay/dominican-knights/",NA,NA,"2022",NA,"Non-Conference","Home","jv","DominicanWhitefish Bay","Sat, 9/242:00pm"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/johnson-creek/johnson-creek-bluejays/","8","37","2022","9-2-2022","Conference","Away","varsity","Johnson Creek","Fri, 9/27:00pm"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/pardeeville/pardeeville-bulldogs/",NA,NA,"2022","9-9-2022","Conference","Away","varsity","Pardeeville","Fri, 9/9Time TBA"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/deerfield/deerfield-demons/",NA,NA,"2022","9-24-2022","Conference","Home","varsity","Deerfield","Sat, 9/24Time TBA"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/whitefish-bay/dominican-knights/","62","21","2022","9-24-2022","Non-Conference","Away","varsity","DominicanWhitefish Bay","Sat, 9/241:00pm"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/randolph/randolph-rockets/",NA,NA,"2022","9-30-2022","Conference","Away","varsity","Randolph","Fri, 9/30Time TBA"
"/wi/delafield/st-johns-northwestern-military-academy-lancers/","/wi/cambria/cambria-friesland-hilltoppers/",NA,NA,"2022","10-14-2022","Conference","Home","varsity","Cambria-FrieslandCambria","Fri, 10/14Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/auburndale/auburndale-apaches/","0","67","2022","8-19-2022","Non-Conference","Away","varsity","Auburndale","Fri, 8/197:00pm"
"/wi/keshena/menominee-indian-eagles/","/wi/waupun/waupun-warriors/","0","54","2022","8-25-2022","Non-Conference","Home","varsity","Waupun","Thu, 8/25Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/coleman/coleman-cougars/",NA,NA,"2022",NA,"Conference","Home","varsity","Coleman","Fri, 9/97:00pm"
"/wi/keshena/menominee-indian-eagles/","/wi/clintonville/clintonville-truckers/",NA,NA,"2022","9-16-2022","Conference","Neutral","varsity","Clintonville","Fri, 9/16Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/crandon/crandon-cardinals/",NA,NA,"2022","9-23-2022","Conference","Neutral","varsity","Crandon","Fri, 9/23Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/crivitz/crivitz-wolverines/",NA,NA,"2022","9-30-2022","Conference","Away","varsity","Crivitz","Fri, 9/30Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/tomahawk/tomahawk-hatchets/",NA,NA,"2022","10-7-2022","Conference","Away","varsity","Tomahawk","Fri, 10/7Time TBA"
"/wi/keshena/menominee-indian-eagles/","/wi/eagle-river/northland-pines-eagles/","0","34","2022","10-14-2022","Conference","Home","varsity","Northland PinesEagle River","Fri, 10/147:00pm"
