"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wv/bradshaw/river-view-raiders/","/wv/welch/mount-view-golden-knights/","8","24","2022","8-26-2022","Non-Region","Home","varsity","Mount ViewWelch","Fri, 8/267:30pm"
"/wv/bradshaw/river-view-raiders/","/wv/seth/sherman-tide/","20","32","2022","9-9-2022","Region","Neutral","varsity","ShermanSeth","Fri, 9/97:30pm"
"/wv/bradshaw/river-view-raiders/","/va/hurley/hurley-rebels/","26","52","2022","9-16-2022","Non-Region","Home","varsity","HurleyVA","Fri, 9/167:00pm"
"/wv/bradshaw/river-view-raiders/","/wv/van/van-bulldogs/","8","42","2022","9-23-2022","Region","Neutral","varsity","Van","Fri, 9/23Time TBA"
"/wv/bradshaw/river-view-raiders/","/wv/new-richmond/wyoming-east-warriors/","6","45","2022","9-30-2022","Non-Region","Neutral","varsity","Wyoming EastNew Richmond","Fri, 9/307:30pm"
"/wv/bradshaw/river-view-raiders/","/wv/montcalm/montcalm-generals/","6","38","2022","10-14-2022","Region","Away","varsity","Montcalm","Fri, 10/147:30pm"
"/wv/bradshaw/river-view-raiders/","/wv/princeton/pikeview-panthers/","12","26","2022","10-28-2022","Non-Region","Home","varsity","PikeViewPrinceton","Fri, 10/287:30pm"
"/wv/bradshaw/river-view-raiders/","/wv/richwood/richwood-lumberjacks/","22","28","2022","11-4-2022","Region","Home","varsity","Richwood","Fri, 11/47:00pm"
"/wv/hundred/hundred-hornets/","/wv/morgantown/trinity-christian-warriors/","24","47","2022","8-26-2022","Region","Away","varsity","Trinity ChristianMorgantown","Fri, 8/267:00pm"
"/wv/hundred/hundred-hornets/","/wv/cameron/cameron-dragons/","0","43","2022","9-2-2022","Region","Home","varsity","Cameron","Fri, 9/27:00pm"
"/wv/hundred/hundred-hornets/","/oh/beallsville/beallsville-blue-devils/","34","43","2022","9-9-2022","Non-Region","Home","varsity","BeallsvilleOH","Fri, 9/9Time TBA"
"/wv/hundred/hundred-hornets/","/wv/richwood/richwood-lumberjacks/","6","36","2022","9-19-2022","Non-Region","Away","varsity","Richwood","Mon, 9/196:30pm"
"/wv/hundred/hundred-hornets/","/wv/montcalm/montcalm-generals/","8","40","2022","9-30-2022","Non-Region","Away","varsity","Montcalm","Fri, 9/307:00pm"
"/wv/hundred/hundred-hornets/","/wv/paden-city/paden-city-wildcats/","30","22","2022","10-7-2022","Region","Away","varsity","Paden City","Fri, 10/77:00pm"
"/wv/hundred/hundred-hornets/","/md/hancock/hancock-panthers/","22","12","2022","10-14-2022","Non-Region","Home","varsity","HancockMD","Fri, 10/147:00pm"
"/wv/hundred/hundred-hornets/","/wv/pine-grove/valley-lunberjacks/","0","34","2022","10-21-2022","Region","Neutral","varsity","ValleyPine Grove","Fri, 10/21Time TBA"
