"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/wy/pinedale/pinedale-wranglers/","/wy/mountain-view/mountain-view-buffalos/",NA,NA,"2022",NA,"Conference","Away","jv","Mountain View","Mon, 10/104:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/lander/lander-valley-tigers/","0","54","2022","8-26-2022","Non-Conference","Away","varsity","Lander ValleyLander","Fri, 8/264:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/rawlins/rawlins-outlaws/","6","39","2022","9-2-2022","Non-Conference","Home","varsity","Rawlins","Fri, 9/27:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/lyman/lyman-eagles/","0","40","2022","9-9-2022","Conference","Home","varsity","Lyman","Fri, 9/97:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/cokeville/cokeville-panthers/","7","42","2022","9-16-2022","Conference","Away","varsity","Cokeville","Fri, 9/162:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/lovell/lovell-bulldogs/","7","59","2022","9-24-2022","Conference","Away","varsity","Lovell","Sat, 9/241:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/thermopolis/hot-springs-county-bobcats/","6","34","2022","9-30-2022","Conference","Home","varsity","Hot Springs CountyThermopolis","Fri, 9/304:00pm"
"/wy/pinedale/pinedale-wranglers/","/wy/kemmerer/kemmerer-rangers/","0","22","2022","10-7-2022","Conference","Home","varsity","Kemmerer","Fri, 10/7Time TBA"
"/wy/pinedale/pinedale-wranglers/","/wy/mountain-view/mountain-view-buffalos/","0","52","2022","10-14-2022","Conference","Home","varsity","Mountain View","Fri, 10/146:00pm"
"/wy/pinedale/pinedale-wranglers/","/ut/randolph/rich-rebels/","7","35","2022","10-21-2022","Non-Conference","Away","varsity","RichRandolph, UT","Fri, 10/214:00pm"
"/wy/cheyenne/south-bison/","/wy/gillette/thunder-basin-bolts/",NA,NA,"2022",NA,"Conference","Away","jv","Thunder BasinGillette","Sat, 8/2712:00pm"
"/wy/cheyenne/south-bison/","/wy/gillette/thunder-basin-bolts/","0","42","2022","8-26-2022","Conference","Away","varsity","Thunder BasinGillette","Fri, 8/266:00pm"
"/wy/cheyenne/south-bison/","/wy/sheridan/sheridan-broncs/","14","41","2022","9-2-2022","Conference","Home","varsity","Sheridan","Fri, 9/26:00pm"
"/wy/cheyenne/south-bison/","/wy/casper/kelly-walsh-trojans/","7","17","2022","9-9-2022","Conference","Away","varsity","Kelly WalshCasper","Fri, 9/97:00pm"
"/wy/cheyenne/south-bison/","/wy/gillette/campbell-county-camels/","10","51","2022","9-16-2022","Conference","Home","varsity","Campbell CountyGillette","Fri, 9/166:00pm"
"/wy/cheyenne/south-bison/","/wy/casper/natrona-county-mustangs/","0","57","2022","9-23-2022","Conference","Away","varsity","Natrona CountyCasper","Fri, 9/236:00pm"
"/wy/cheyenne/south-bison/","/wy/cheyenne/central-indians/","0","49","2022","9-30-2022","Conference","Away","varsity","CentralCheyenne","Fri, 9/306:00pm"
"/wy/cheyenne/south-bison/","/wy/rock-springs/rock-springs-tigers/","7","48","2022","10-7-2022","Conference","Home","varsity","Rock Springs","Fri, 10/76:00pm"
"/wy/cheyenne/south-bison/","/wy/cheyenne/east-thunderbirds/","7","61","2022","10-14-2022","Conference","Home","varsity","EastCheyenne","Fri, 10/146:00pm"
"/wy/cheyenne/south-bison/","/wy/laramie/laramie-plainsmen/","0","21","2022","10-21-2022","Conference","Away","varsity","Laramie","Fri, 10/216:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/gillette/thunder-basin-bolts/","0","42","2022","10-15-2022","Conference","Away","jv","Thunder BasinGillette","Sat, 10/1511:00am"
"/wy/casper/kelly-walsh-trojans/","/wy/rock-springs/rock-springs-tigers/","7","42","2022","8-26-2022","Conference","Home","varsity","Rock Springs","Fri, 8/266:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/cheyenne/central-indians/","3","21","2022","9-2-2022","Conference","Away","varsity","CentralCheyenne","Fri, 9/27:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/cheyenne/south-bison/","17","7","2022","9-9-2022","Conference","Home","varsity","SouthCheyenne","Fri, 9/97:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/casper/natrona-county-mustangs/","6","26","2022","9-16-2022","Conference","Home","varsity","Natrona CountyCasper","Fri, 9/16Time TBA"
"/wy/casper/kelly-walsh-trojans/","/wy/gillette/campbell-county-camels/","33","49","2022","9-23-2022","Conference","Away","varsity","Campbell CountyGillette","Fri, 9/23Time TBA"
"/wy/casper/kelly-walsh-trojans/","/wy/laramie/laramie-plainsmen/","7","14","2022","9-30-2022","Conference","Away","varsity","Laramie","Fri, 9/306:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/sheridan/sheridan-broncs/","14","48","2022","10-7-2022","Conference","Home","varsity","Sheridan","Fri, 10/77:00pm"
"/wy/casper/kelly-walsh-trojans/","/wy/cheyenne/east-thunderbirds/","7","49","2022","10-21-2022","Conference","Away","varsity","EastCheyenne","Fri, 10/21Time TBA"
"/wy/glenrock/glenrock-herders/","/wy/kemmerer/kemmerer-rangers/","36","6","2022","9-2-2022","Non-Conference","Home","varsity","Kemmerer","Fri, 9/25:00pm"
"/wy/glenrock/glenrock-herders/","/wy/dayton/tongue-river-eagles/","0","43","2022","9-9-2022","Conference","Away","varsity","Tongue RiverDayton","Fri, 9/96:00pm"
"/wy/glenrock/glenrock-herders/","/wy/big-horn/big-horn-rams/","0","49","2022","9-16-2022","Conference","Home","varsity","Big Horn","Fri, 9/167:00pm"
"/wy/glenrock/glenrock-herders/","/wy/wheatland/wheatland-bulldogs/","6","29","2022","9-23-2022","Conference","Away","varsity","Wheatland","Fri, 9/237:00pm"
"/wy/glenrock/glenrock-herders/","/wy/burns/burns-broncs/","6","14","2022","9-30-2022","Conference","Home","varsity","Burns","Fri, 9/307:00pm"
"/wy/glenrock/glenrock-herders/","/wy/torrington/torrington-trailblazers/","0","24","2022","10-7-2022","Conference","Away","varsity","Torrington","Fri, 10/77:00pm"
"/wy/glenrock/glenrock-herders/","/wy/newcastle/newcastle-dogies/","12","26","2022","10-14-2022","Conference","Home","varsity","Newcastle","Fri, 10/147:00pm"
"/wy/glenrock/glenrock-herders/","/wy/upton/upton-sundance-bobcats/","12","26","2022","10-21-2022","Conference","Away","varsity","Upton/SundanceUpton","Fri, 10/216:00pm"
"/wy/laramie/laramie-plainsmen/","/wy/casper/natrona-county-mustangs/","0","40","2022","8-26-2022","Conference","Home","varsity","Natrona CountyCasper","Fri, 8/266:00pm"
