"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/az/sanders/valley-pirates/","/nm/crownpoint/crownpoint-eagles/","6","40","2022","8-18-2022","Non-Section","Home","varsity","CrownpointNM","Thu, 8/187:00pm"
"/az/sanders/valley-pirates/","/az/fort-defiance/window-rock-fighting-scouts/","8","46","2022","8-26-2022","Non-Section","Home","varsity","Window RockFort Defiance","Fri, 8/267:00pm"
"/az/sanders/valley-pirates/","/az/whiteriver/alchesay-falcons/","6","58","2022","9-1-2022","Section","Home","varsity","AlchesayWhiteriver","Thu, 9/17:00pm"
"/az/sanders/valley-pirates/","/az/many-farms/many-farms-lobos/","12","14","2022","9-7-2022","Non-Section","Home","varsity","Many Farms","Wed, 9/76:00pm"
"/az/sanders/valley-pirates/","/az/san-carlos/san-carlos-braves/","20","36","2022","9-16-2022","Non-Section","Away","varsity","San Carlos","Fri, 9/167:00pm"
"/az/sanders/valley-pirates/","/az/tuba-city/tuba-city-warriors/","0","24","2022","9-22-2022","Non-Section","Away","varsity","Tuba City","Thu, 9/227:00pm"
"/az/sanders/valley-pirates/","/az/keams-canyon/hopi-bruins/","12","34","2022","10-7-2022","Section","Home","varsity","HopiKeams Canyon","Fri, 10/77:00pm"
"/az/sanders/valley-pirates/","/az/pinon/pinon-eagles/",NA,NA,"2022","10-13-2022","Section","Away","varsity","Pinon","Thu, 10/137:00pm"
"/az/sanders/valley-pirates/","/az/holbrook/holbrook-roadrunners/","0","60","2022","10-21-2022","Section","Home","varsity","Holbrook","Fri, 10/217:00pm"
"/az/sanders/valley-pirates/","/az/st-johns/st-johns-redskins/","0","62","2022","10-28-2022","Section","Home","varsity","St. Johns","Fri, 10/287:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/surprise/highland-prep-honey-badgers/","0","50","2022","8-26-2022","Non-Section","Away","varsity","Highland PrepSurprise","Fri, 8/267:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/gilbert/arete-prep-chargers/","0","61","2022","9-2-2022","Non-Section","Away","varsity","Arete PrepGilbert","Fri, 9/27:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/eloy/santa-cruz-valley-dust-devils/","0","26","2022","9-9-2022","Non-Section","Home","varsity","Santa Cruz ValleyEloy","Fri, 9/97:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/many-farms/many-farms-lobos/","0","44","2022","9-16-2022","Non-Section","Away","varsity","Many Farms","Fri, 9/167:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/tucson/tanque-verde-hawks/","0","60","2022","9-23-2022","Non-Section","Away","varsity","Tanque VerdeTucson","Fri, 9/237:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/camp-verde/camp-verde-cowboys/",NA,NA,"2022","9-30-2022","Section","Home","varsity","Camp Verde","Fri, 9/307:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/phoenix/nfl-yet-academy-eagles/","0","52","2022","10-7-2022","Section","Home","varsity","NFL Yet AcademyPhoenix","Fri, 10/77:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/phoenix/cortez-colts/","0","77","2022","10-14-2022","Section","Away","varsity","CortezPhoenix","Fri, 10/147:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/glendale/glendale-prep-academy-griffins/","0","46","2022","10-21-2022","Section","Away","varsity","Glendale Prep AcademyGlendale","Fri, 10/217:00pm"
"/az/phoenix/north-pointe-prep-falcons/","/az/laveen/heritage-academy-heroes/","0","40","2022","10-28-2022","Section","Away","varsity","Heritage AcademyLaveen","Fri, 10/287:00pm"
"/az/many-farms/many-farms-lobos/","/az/keams-canyon/hopi-bruins/","0","42","2022","8-26-2022","Non-Section","Away","varsity","HopiKeams Canyon","Fri, 8/266:30pm"
"/az/many-farms/many-farms-lobos/","/az/phoenix/nfl-yet-academy-eagles/","0","46","2022","9-2-2022","Non-Section","Away","varsity","NFL Yet AcademyPhoenix","Fri, 9/27:00pm"
