"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/tripp/tripp-delmont-armour-andes-central-dakota-christian/","20","37","2022","8-27-2022","Non-Region","Home","varsity","Tripp-Delmont/Armour/Andes Central/Dakota ChristianTripp","Sat, 8/27Time TBA"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/hot-springs/hot-springs-bison/","0","54","2022","9-2-2022","Region","Away","varsity","Hot Springs","Fri, 9/26:00pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/chamberlain/chamberlain-cubs/","14","15","2022","9-9-2022","Non-Region","Home","varsity","Chamberlain","Fri, 9/94:00pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/hill-city/hill-city-rangers/","0","30","2022","9-16-2022","Region","Away","varsity","Hill City","Fri, 9/166:30pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/rapid-city/rapid-city-christian-comets/","8","50","2022","9-23-2022","Region","Away","varsity","Rapid City ChristianRapid City","Fri, 9/23Time TBA"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/belle-fourche/belle-fourche-broncs/","20","50","2022","9-30-2022","Non-Region","Home","varsity","Belle Fourche","Fri, 9/304:00pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/north-sioux-city/dakota-valley-panthers/","0","49","2022","10-7-2022","Region","Home","varsity","Dakota ValleyNorth Sioux City","Fri, 10/77:00pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/lead/lead-deadwood-golddiggers/","30","53","2022","10-14-2022","Region","Away","varsity","Lead-DeadwoodLead","Fri, 10/146:00pm"
"/sd/pine-ridge/lakota-tech-tatanka/","/sd/beresford/beresford-watchdogs/","0","52","2022","10-20-2022","Non-Region","Home","varsity","Beresford","Thu, 10/207:00pm"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/sisseton/sisseton-redmen/","0","22","2022","8-18-2022","Non-Region","Away","varsity","Sisseton","Thu, 8/187:00pm"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/mobridge/mobridge-pollock-tigers/","0","51","2022","8-26-2022","Region","Home","varsity","Mobridge-PollockMobridge","Fri, 8/26Time TBA"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/groton/groton-tigers/","0","57","2022","9-2-2022","Region","Away","varsity","Groton","Fri, 9/2Time TBA"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/aberdeen/roncalli-cavaliers/","0","70","2022","9-9-2022","Region","Home","varsity","RoncalliAberdeen","Fri, 9/9Time TBA"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/webster/webster-bearcats/","0","43","2022","9-16-2022","Region","Home","varsity","Webster","Fri, 9/167:00pm"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/clear-lake/deuel-cardinals/","0","55","2022","9-23-2022","Region","Away","varsity","DeuelClear Lake","Fri, 9/237:00pm"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/clark/clark-willow-lake-cyclones/","0","55","2022","9-30-2022","Region","Away","varsity","Clark/Willow LakeClark","Fri, 9/307:00pm"
"/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","/sd/redfield/redfield-pheasants/","13","52","2022","10-7-2022","Region","Home","varsity","Redfield","Fri, 10/74:00pm"
"/sd/custer/custer-wildcats/","/sd/hartford/west-central-trojans/","0","43","2022","8-27-2022","Region","Away","varsity","West CentralHartford","Sat, 8/275:00pm"
"/sd/custer/custer-wildcats/","/sd/colton/tri-valley-mustangs/","0","43","2022","9-2-2022","Region","Home","varsity","Tri-ValleyColton","Fri, 9/25:00pm"
"/sd/custer/custer-wildcats/","/sd/rapid-city/rapid-city-christian-comets/","8","26","2022","9-9-2022","Region","Home","varsity","Rapid City ChristianRapid City","Fri, 9/96:00pm"
"/sd/custer/custer-wildcats/","/sd/lennox/lennox-orioles/","0","51","2022","9-17-2022","Region","Home","varsity","Lennox","Sat, 9/175:00pm"
"/sd/custer/custer-wildcats/","/sd/vermillion/vermillion-tanagers/","0","28","2022","9-23-2022","Region","Away","varsity","Vermillion","Fri, 9/235:00pm"
"/sd/custer/custer-wildcats/","/sd/lead/lead-deadwood-golddiggers/","6","40","2022","9-30-2022","Region","Home","varsity","Lead-DeadwoodLead","Fri, 9/307:00pm"
"/sd/custer/custer-wildcats/","/sd/hill-city/hill-city-rangers/","0","20","2022","10-7-2022","Non-Region","Home","varsity","Hill City","Fri, 10/76:00pm"
"/sd/custer/custer-wildcats/","/sd/canton/canton-c-hawks/",NA,NA,"2022","10-14-2022","Region","Away","varsity","Canton","Fri, 10/145:00pm"
"/sd/custer/custer-wildcats/","/sd/madison/madison-bulldogs/",NA,NA,"2022","10-20-2022","Region","Away","varsity","Madison","Thu, 10/206:00pm"
"/sd/hill-city/hill-city-rangers/","/sd/lead/lead-deadwood-golddiggers/",NA,NA,"2022",NA,"Non-Region","Home","jv","Lead-DeadwoodLead","Tue, 10/114:00pm"
"/sd/hill-city/hill-city-rangers/","/sd/tripp/tripp-delmont-armour-andes-central-dakota-christian/","8","44","2022","8-20-2022","Non-Region","Away","varsity","Tripp-Delmont/Armour/Andes Central/Dakota ChristianTripp","Sat, 8/20Time TBA"
"/sd/hill-city/hill-city-rangers/","/sd/lead/lead-deadwood-golddiggers/","6","48","2022","8-26-2022","Region","Home","varsity","Lead-DeadwoodLead","Fri, 8/266:30pm"
"/sd/hill-city/hill-city-rangers/","/sd/volga/sioux-valley-cossacks/","18","55","2022","9-9-2022","Non-Region","Home","varsity","Sioux ValleyVolga","Fri, 9/9Time TBA"
"/sd/hill-city/hill-city-rangers/","/sd/pine-ridge/lakota-tech-tatanka/","30","0","2022","9-16-2022","Region","Home","varsity","Lakota TechPine Ridge","Fri, 9/166:30pm"
"/sd/hill-city/hill-city-rangers/","/sd/miller/miller-highmore-harrold/","6","41","2022","9-23-2022","Non-Region","Away","varsity","Miller/Highmore/HarroldMiller","Fri, 9/23Time TBA"
"/sd/hill-city/hill-city-rangers/","/sd/rapid-city/rapid-city-christian-comets/","8","55","2022","9-30-2022","Region","Home","varsity","Rapid City ChristianRapid City","Fri, 9/30Time TBA"
"/sd/hill-city/hill-city-rangers/","/sd/custer/custer-wildcats/","20","0","2022","10-7-2022","Non-Region","Away","varsity","Custer","Fri, 10/76:00pm"
"/sd/hill-city/hill-city-rangers/","/sd/hot-springs/hot-springs-bison/","0","42","2022","10-14-2022","Region","Home","varsity","Hot Springs","Fri, 10/14Time TBA"
"/sd/baltic/baltic-bulldogs/","/sd/elk-point/elk-point-jefferson-huskies/",NA,NA,"2022",NA,"Non-Region","Home","jv","Elk Point-JeffersonElk Point","Mon, 8/294:30pm"
"/sd/baltic/baltic-bulldogs/","/sd/flandreau/flandreau-fliers/",NA,NA,"2022",NA,"Non-Region","Away","jv","Flandreau","Mon, 9/124:30pm"
"/sd/baltic/baltic-bulldogs/","/sd/volga/sioux-valley-cossacks/",NA,NA,"2022",NA,"Non-Region","Home","jv","Sioux ValleyVolga","Mon, 10/34:30pm"
"/sd/baltic/baltic-bulldogs/","/sd/emery/bridgewater-emery-ethan-seahawks/","0","44","2022","8-19-2022","Region","Away","varsity","Bridgewater/Emery/EthanEmery","Fri, 8/197:00pm"
"/sd/baltic/baltic-bulldogs/","/sd/elk-point/elk-point-jefferson-huskies/","0","55","2022","8-26-2022","Region","Home","varsity","Elk Point-JeffersonElk Point","Fri, 8/267:00pm"
"/sd/baltic/baltic-bulldogs/","/sd/salem/mccook-central-montrose-fighting-cougars/","0","54","2022","9-2-2022","Region","Away","varsity","McCook Central/MontroseSalem","Fri, 9/27:00pm"
"/sd/baltic/baltic-bulldogs/","/sd/flandreau/flandreau-fliers/","12","28","2022","9-9-2022","Region","Away","varsity","Flandreau","Fri, 9/9Time TBA"
"/sd/baltic/baltic-bulldogs/","/sd/menno/scotland-menno-trappers/","6","31","2022","9-16-2022","Non-Region","Home","varsity","Scotland/MennoMenno","Fri, 9/167:00pm"
"/sd/baltic/baltic-bulldogs/","/sd/parker/parker-pheasants/","6","21","2022","9-23-2022","Region","Away","varsity","Parker","Fri, 9/23Time TBA"
"/sd/baltic/baltic-bulldogs/","/sd/volga/sioux-valley-cossacks/","0","55","2022","9-30-2022","Region","Home","varsity","Sioux ValleyVolga","Fri, 9/307:00pm"
"/sd/baltic/baltic-bulldogs/","/sd/sisseton/sisseton-redmen/","6","20","2022","10-14-2022","Non-Region","Home","varsity","Sisseton","Fri, 10/147:00pm"
"/sd/sisseton/sisseton-redmen/","/sd/wilmot/dakota-hills-wilmot-waubay-summit-grizzlies/","22","0","2022","8-18-2022","Non-Region","Home","varsity","Dakota Hills [Wilmot/Waubay/Summit]Wilmot","Thu, 8/187:00pm"
"/sd/sisseton/sisseton-redmen/","/sd/volga/sioux-valley-cossacks/","12","35","2022","8-26-2022","Non-Region","Away","varsity","Sioux ValleyVolga","Fri, 8/267:00pm"
"/sd/sisseton/sisseton-redmen/","/sd/clear-lake/deuel-cardinals/","12","47","2022","9-2-2022","Region","Home","varsity","DeuelClear Lake","Fri, 9/27:00pm"
