"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/or/milton-freewater/mcloughlin-pioneers/","/or/ontario/ontario-tigers/","0","75","2023","9-8-2023","Non-Conference","Away","varsity","Ontario","9/8"
"/or/milton-freewater/mcloughlin-pioneers/","/or/boardman/riverside-ione/","6","40","2023","9-15-2023","Non-Conference","Neutral","varsity","RRiverside/Ione","9/15"
"/or/milton-freewater/mcloughlin-pioneers/","/or/boardman/riverside-pirates/",NA,NA,"2023","9-15-2023","Non-Conference","Home","varsity","RRiverside","9/15"
"/or/milton-freewater/mcloughlin-pioneers/","/or/john-day/grant-union-prospectors/","6","42","2023","9-22-2023","Non-Conference","Home","varsity","Grant Union","9/22"
"/or/milton-freewater/mcloughlin-pioneers/","/or/umatilla/umatilla-vikings/","14","40","2023","9-29-2023","Conference","Away","varsity","Umatilla","9/29"
"/or/milton-freewater/mcloughlin-pioneers/","/or/burns/burns-hilanders/","0","59","2023","10-6-2023","Conference","Home","varsity","Burns","10/6"
"/or/milton-freewater/mcloughlin-pioneers/","/or/nyssa/nyssa-bulldogs/","8","56","2023","10-13-2023","Conference","Home","varsity","Nyssa","10/13"
"/or/milton-freewater/mcloughlin-pioneers/","/or/vale/vale-vikings/","0","56","2023","10-20-2023","Conference","Away","varsity","Vale","10/20"
"/or/jefferson/jefferson-lions/","/or/lincoln-city/taft-tigers/",NA,NA,"2023","9-11-2023","Non-Conference","Away","jv","Taft","9/11"
"/or/jefferson/jefferson-lions/","/or/beaverton/valley-catholic-valiants/","2","39","2023","9-1-2023","Non-Conference","Home","varsity","Valley Catholic","9/1"
"/or/jefferson/jefferson-lions/","/or/lincoln-city/taft-tigers/","0","56","2023","9-15-2023","Conference","Home","varsity","Taft","9/15"
"/or/jefferson/jefferson-lions/","/or/newport/newport-cubs/","0","24","2023","9-22-2023","Conference","Away","varsity","NNewport","9/22"
"/or/jefferson/jefferson-lions/","/or/corvallis/santiam-christian-eagles/",NA,NA,"2023","9-29-2023","Conference","Neutral","varsity","Santiam Christian","9/29"
"/or/jefferson/jefferson-lions/","/or/amity/amity-warriors/","6","44","2023","10-6-2023","Conference","Away","varsity","AAmity","10/6"
"/or/jefferson/jefferson-lions/","/or/salem/salem-academy-crusaders/","8","51","2023","10-13-2023","Conference","Away","varsity","Salem Academy","10/13"
