"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ri/providence/hope-blue-wave/","/ri/central-falls/central-falls-blackstone-valley-prep-achievement-first/","8","34","2023","9-9-2023","Conference","Home","varsity","CCFBVPAF (CO-OP)","9/9"
"/ri/providence/hope-blue-wave/","/ri/west-greenwich/exeter-west-greenwich-prout/","12","46","2023","9-16-2023","Conference","Away","varsity","EWGP (CO-OP)","9/16"
"/ri/providence/hope-blue-wave/","/ri/tiverton/tiverton-tigers/","26","7","2023","9-23-2023","Conference","Home","varsity","Tiverton","9/23"
"/ri/providence/hope-blue-wave/","/ri/esmond/smithfield-sentinels/","6","21","2023","10-5-2023","Conference","Away","varsity","Smithfield","10/5"
"/ri/providence/hope-blue-wave/","/ri/east-providence/providence-country-day-highlander-charter-sanchez-complex/","0","42","2023","10-14-2023","Conference","Away","varsity","PPCDHCSC (CO-OP)","10/14"
"/ri/providence/hope-blue-wave/","/ri/north-scituate/scituate-spartans/","6","27","2023","10-21-2023","Conference","Home","varsity","Scituate","10/21"
"/ri/providence/hope-blue-wave/","/ri/lincoln/davies-career-and-tech-patriots/","0","24","2023","10-28-2023","Conference","Home","varsity","Davies Career & Tech","10/28"
"/ri/providence/hope-blue-wave/","/ri/north-providence/north-providence-cougars/","12","48","2023","11-4-2023","Conference","Away","varsity","North Providence","11/4"
"/ri/providence/hope-blue-wave/","/ri/east-providence/providence-country-day-highlander-charter-sanchez-complex/","6","42","2023","11-21-2023","Non-Conference","Neutral","varsity","PPCDHCSC (CO-OP)","11/21"
"/ri/central-falls/central-falls-blackstone-valley-prep-achievement-first/","/ri/providence/hope-blue-wave/","34","8","2023","9-9-2023","Conference","Away","varsity","Hope","9/9"
"/ri/central-falls/central-falls-blackstone-valley-prep-achievement-first/","/ri/north-providence/north-providence-cougars/","8","21","2023","9-15-2023","Conference","Home","varsity","North Providence","9/15"
"/ri/central-falls/central-falls-blackstone-valley-prep-achievement-first/","/ri/west-greenwich/exeter-west-greenwich-prout/","0","32","2023","9-22-2023","Conference","Away","varsity","EWGP (CO-OP)","9/22"
"/ri/central-falls/central-falls-blackstone-valley-prep-achievement-first/","/ri/north-scituate/scituate-spartans/","20","34","2023","9-30-2023","Conference","Home","varsity","Scituate","9/30"
