team_id,state,hs_name,athletic_director,colors,mascot,school_type
/dc/washington/st-johns-cadets/,dc,St. John's High School,Dennis Hart,,Cadets,Co-Ed/Public
/dc/washington/gonzaga-eagles/,dc,Gonzaga High School,Joe Reyda,,Eagles,Boys/Private
/dc/washington/friendship-collegiate-academy-knights/,dc,Friendship Collegiate Academy,Stefan Haskins Sr,,Knights,Co-Ed/Public
/dc/washington/dunbar-crimson-tide/,dc,Dunbar High School,Daniel McDowell,,Crimson Tide,Co-Ed/Public
/dc/washington/maret-frogs/,dc,Maret High School,Liz Hall,,Frogs,Co-Ed/Public
/dc/washington/archbishop-carroll-lions/,dc,Archbishop Carroll High School,Brian Ellerbe,,Lions,Co-Ed/Private
/dc/washington/coolidge-colts/,dc,Coolidge High School,Derrick Washington,,Colts,Co-Ed/Public
/dc/washington/woodson-warriors/,dc,Woodson High School,Phillip Morgan,,Warriors,Co-Ed/Public
/dc/washington/st-albans-bulldogs/,dc,St. Albans High School,Gary Schnell,,Bulldogs,Boys/Private
/dc/washington/ballou-knights/,dc,Ballou High School,Kathryn Blais,,Knights,Co-Ed/Public
/dc/washington/bell-griffins/,dc,Bell High School,Desmond Alexander,,Griffins,Co-Ed/Public
/dc/washington/eastern-ramblers/,dc,Eastern High School,Ronald Nelson,,Ramblers,Co-Ed/Public
/dc/washington/anacostia-indians/,dc,Anacostia High School,Michael Reid,,Indians,Co-Ed/Public
/dc/washington/roosevelt-roughriders/,dc,Roosevelt High School,Reginald Stevens,,Roughriders,Co-Ed/Public
/dc/washington/kipp-dc-legacy-college-prep-bulldogs/,dc,KIPP DC Legacy College Prep,Andrew Isaacs,,Bulldogs,Co-Ed/Public
/dc/washington/jackson-reed-tigers/,dc,Jackson-Reed High School,Patrice Arrington,,Tigers,Co-Ed/Public
/dc/washington/phelps-architecture-construction-and-engineering-panthers/,dc,"Phelps Architecture, Construction & Engineering High School",Kanika Richardson,,Panthers,Co-Ed/Public
/dc/washington/mckinley-tech-trainers/,dc,McKinley Tech High School,Cory  Williams,,Trainers,Co-Ed/Public
