Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Mt Union,Ohio AC,4-0,1.000,,1,5.07,1,14.62,1,38.54,2,3.71,2.08,12,-10.22
M Hardin-Baylor,American SW,5-0,1.000,,2,5.06,2,12.32,2,33.99,1,5.95,2.13,13,-11.17
Randolph-Macon,Old Dominion AC,5-0,1.000,+1,3,4.47,5,0.25,7,26.29,7,1.58,2.17,20,-13.80
Salisbury,New Jersey A.C.,2-0,1.000,+1,4,4.46,4,2.77,3,30.54,11,-0.15,2.14,10,-8.10
Hardin-Simmons,American SW,4-1,0.800,-2,5,4.32,3,4.17,4,29.41,4,2.39,2.18,28,-15.31
Westminster PA,Presidents' AC,5-0,1.000,+5,6,4.11,12,-6.77,9,25.74,31,-4.88,2.15,34,-16.94
Wesley DE,New Jersey A.C.,2-1,0.667,+6,7,4.11,6,-0.41,10,25.42,6,1.79,2.15,7,-7.58
John Carroll,Ohio AC,2-1,0.667,-2,8,3.94,8,-3.68,11,25.10,14,-1.15,2.16,8,-7.75
Berry,SAA,4-0,1.000,+1,9,3.89,22,-10.48,33,19.50,18,-2.36,2.23,56,-20.79
IL Wesleyan,Ill & Wisc,2-1,0.667,-2,10,3.88,7,-3.25,23,21.10,3,3.27,2.17,27,-15.20
Emory & Henry,Old Dominion AC,3-1,0.750,+3,11,3.87,9,-4.13,16,22.74,10,0.76,2.16,36,-17.33
Carthage,Ill & Wisc,2-0,1.000,-5,12,3.85,14,-7.02,22,21.15,12,-0.54,2.20,59,-22.45
Whitworth,Northwest,4-0,1.000,+2,13,3.83,13,-6.82,12,25.09,28,-4.28,2.16,81,-28.94
Wash & Jeff,Presidents' AC,3-1,0.750,+6,14,3.75,10,-5.08,14,23.36,13,-0.81,2.19,58,-21.94
Bridgewater VA,Old Dominion AC,3-2,0.600,+2,15,3.75,15,-7.43,38,18.87,8,1.33,2.10,15,-12.15
Brevard,USA South,4-1,0.800,+11,16,3.74,19,-9.30,45,17.43,9,0.89,2.18,45,-18.66
Montclair St,New Jersey A.C.,2-1,0.667,+6,17,3.69,11,-6.56,36,19.14,5,1.93,2.20,47,-19.34
Central IA,American Rivers,2-0,1.000,,18,3.65,18,-9.14,8,26.20,40,-7.71,2.22,67,-24.05
Millikin,Ill & Wisc,2-1,0.667,-10,19,3.62,23,-11.44,5,26.53,53,-10.34,2.24,5,-6.24
Hampden-Sydney,Old Dominion AC,4-1,0.800,+6,20,3.60,28,-13.03,47,17.11,19,-2.52,2.23,42,-18.57
Huntingdon,USA South,3-1,0.750,+10,21,3.54,31,-13.83,29,20.14,34,-6.34,2.31,25,-14.91
Heidelberg,Ohio AC,4-1,0.800,-10,22,3.52,24,-11.91,6,26.47,55,-10.76,2.18,50,-19.81
Dubuque,American Rivers,1-0,1.000,+2,23,3.50,27,-12.93,40,18.54,25,-3.84,2.16,38,-17.41
Stevenson,Mid Atlantic,1-0,1.000,,24,3.49,17,-9.12,21,21.37,23,-2.86,2.15,114,-43.84
E Texas Bap,American SW,3-2,0.600,-9,25,3.44,21,-9.87,13,23.81,33,-6.05,2.14,33,-16.79
Case Western,Presidents' AC,0-0,0.000,+11,26,3.38,20,-9.86,17,22.26,29,-4.50,2.20,3,0.00
Alfred,Empire 8,1-1,0.500,+16,27,3.37,29,-13.07,50,16.76,17,-2.20,2.17,17,-12.38
Trinity TX,SAA,3-1,0.750,-6,28,3.36,30,-13.49,53,16.05,15,-1.92,2.15,70,-24.51
Hendrix,SAA,3-1,0.750,,29,3.35,40,-16.18,34,19.44,41,-8.00,2.18,48,-19.38
Utica,Empire 8,1-1,0.500,+10,30,3.34,25,-12.52,35,19.20,27,-4.09,2.22,18,-13.20
Marietta,Ohio AC,3-2,0.600,-10,31,3.33,39,-15.87,57,15.66,26,-3.90,2.20,31,-15.96
Augustana IL,Ill & Wisc,1-2,0.333,-13,32,3.30,16,-8.61,20,21.54,20,-2.52,2.16,26,-15.02
Denison,North Coast AC,1-0,1.000,+13,33,3.26,33,-15.25,19,21.98,47,-9.61,2.28,54,-20.25
Albion,Michigan IAA,3-0,1.000,+17,34,3.26,48,-18.99,28,20.24,63,-11.60,2.23,78,-26.94
Maryville TN,USA South,2-2,0.500,+15,35,3.23,47,-18.59,83,11.15,16,-2.11,2.23,23,-14.41
TX Lutheran,American SW,3-2,0.600,-8,36,3.19,37,-15.71,26,20.35,43,-8.43,2.25,53,-20.05
Carnegie Mellon,Presidents' AC,2-2,0.500,+10,37,3.18,26,-12.74,41,17.84,24,-2.96,2.17,61,-22.55
Lycoming,Mid Atlantic,1-0,1.000,-4,38,3.17,41,-16.35,51,16.76,32,-5.48,2.21,85,-30.41
Hanover,Heartland CAC,4-0,1.000,+3,39,3.14,50,-20.30,15,22.90,87,-15.58,2.05,91,-32.98
Shenandoah,Old Dominion AC,1-4,0.200,-4,40,3.12,32,-14.25,18,22.08,45,-8.70,2.12,6,-7.45
Grove City,Presidents' AC,2-2,0.500,+4,41,3.09,42,-17.28,42,17.83,37,-7.48,2.17,40,-17.49
Ohio Northern,Ohio AC,3-1,0.750,-12,42,3.06,44,-17.55,32,19.57,46,-9.49,2.32,83,-29.25
George Fox,Northwest,1-1,0.500,-5,43,3.05,34,-15.34,58,15.01,22,-2.73,2.16,63,-22.90
Chris Newport,New Jersey A.C.,0-2,0.000,+11,44,3.04,43,-17.42,77,12.76,21,-2.55,2.25,2,4.60
Aurora,Northern Athletic,3-0,1.000,+8,45,3.00,53,-21.00,30,19.88,73,-13.26,2.04,102,-37.51
Centre,SAA,2-2,0.500,-5,46,3.00,36,-15.65,37,19.11,35,-7.13,2.14,68,-24.06
Rose-Hulman,Heartland CAC,4-1,0.800,+7,47,2.98,52,-20.67,65,14.19,36,-7.23,2.15,93,-33.56
DePauw,North Coast AC,2-0,1.000,+15,48,2.98,55,-22.86,73,13.06,42,-8.29,2.26,96,-35.21
Birmingham So,SAA,2-2,0.500,-16,49,2.97,45,-17.81,24,21.10,58,-11.28,2.17,49,-19.59
Methodist,USA South,4-1,0.800,+2,50,2.97,57,-22.95,48,17.09,68,-12.42,2.24,80,-28.47
Ferrum,Old Dominion AC,2-3,0.400,-2,51,2.94,51,-20.39,44,17.57,52,-10.33,2.12,29,-15.43
Loras,American Rivers,2-0,1.000,-13,52,2.92,49,-19.93,25,20.97,74,-13.28,2.27,108,-40.01
Belhaven MS,American SW,3-2,0.600,-18,53,2.89,65,-25.81,79,12.22,54,-10.40,2.22,43,-18.59
Averett,USA South,1-3,0.250,+6,54,2.88,38,-15.81,27,20.30,44,-8.48,2.23,37,-17.37
Pacific OR,Northwest,1-1,0.500,-11,55,2.87,54,-22.10,49,16.88,61,-11.36,2.25,24,-14.54
Baldwin-Wallace,Ohio AC,0-2,0.000,-24,56,2.87,35,-15.53,31,19.68,38,-7.59,2.29,9,-7.82
Geneva,Presidents' AC,2-3,0.400,+7,57,2.85,62,-24.36,87,10.89,39,-7.62,2.19,32,-16.46
Trine,Michigan IAA,4-1,0.800,+16,58,2.82,64,-25.10,68,13.83,59,-11.30,2.19,90,-32.09
Coe,American Rivers,0-1,0.000,-1,59,2.80,46,-18.57,67,13.85,30,-4.79,2.17,22,-14.09
Lebanon Val,Mid Atlantic,2-0,1.000,-4,60,2.79,63,-24.64,60,14.87,67,-11.88,2.20,98,-35.43
Merchant Marine,NE W&M,1-0,1.000,+23,61,2.70,58,-22.98,46,17.24,70,-12.60,2.18,97,-35.28
Puget Sound,Northwest,2-2,0.500,,62,2.68,68,-26.44,75,12.83,64,-11.64,2.27,57,-20.96
St Vincent,Presidents' AC,2-2,0.500,+6,63,2.61,67,-26.35,56,15.75,79,-14.48,2.22,64,-22.99
Lakeland,Northern Athletic,3-0,1.000,+12,64,2.59,70,-27.24,62,14.66,77,-14.27,2.19,118,-46.23
Kean,New Jersey A.C.,0-1,0.000,+1,65,2.57,59,-23.05,64,14.27,48,-9.69,2.23,4,-4.86
Simpson IA,American Rivers,0-1,0.000,-9,66,2.56,56,-22.93,61,14.80,49,-10.11,2.21,11,-8.64
Mt St Joseph,Heartland CAC,5-1,0.833,+16,67,2.56,73,-28.27,43,17.76,100,-18.40,2.19,106,-38.42
S Virginia,Old Dominion AC,1-3,0.250,-1,68,2.55,66,-25.99,74,12.96,60,-11.33,2.28,30,-15.50
Muskingum,Ohio AC,1-2,0.333,-21,69,2.54,72,-28.15,71,13.09,75,-13.61,2.17,19,-13.70
Ohio Wesleyan,North Coast AC,1-2,0.333,+15,70,2.50,60,-23.61,39,18.70,81,-14.69,2.22,65,-23.44
Catholic,NE W&M,1-0,1.000,+2,71,2.43,91,-32.76,91,9.90,86,-15.03,2.29,75,-26.47
North Park,Ill & Wisc,1-3,0.250,-7,72,2.39,86,-31.19,90,10.27,76,-13.83,2.28,16,-12.25
Louisiana Chr,American SW,2-3,0.400,-12,73,2.38,77,-29.35,52,16.66,98,-18.39,2.35,62,-22.67
Bethany WV,Presidents' AC,1-2,0.333,+6,74,2.37,69,-26.59,78,12.43,62,-11.40,2.22,77,-26.66
Howard Payne,American SW,2-3,0.400,-16,75,2.35,74,-28.36,55,15.76,91,-16.50,2.18,72,-24.95
Lake Forest,Midwest,3-0,1.000,+21,76,2.34,94,-34.30,106,6.25,72,-12.92,2.16,122,-49.13
Wm Paterson,New Jersey A.C.,0-1,0.000,+2,77,2.27,83,-30.68,102,7.26,51,-10.31,2.22,1,9.56
Austin Col,SAA,1-3,0.250,-8,78,2.27,82,-30.19,54,15.92,101,-18.49,2.23,52,-20.05
Benedictine IL,Northern Athletic,2-1,0.667,+15,79,2.24,87,-31.42,84,11.01,82,-14.81,2.27,107,-39.10
NC Wesleyan,USA South,0-5,0.000,+8,80,2.23,61,-24.26,63,14.50,56,-11.13,2.19,44,-18.59
Wilmington OH,Ohio AC,2-3,0.400,-13,81,2.20,96,-35.44,97,7.94,88,-15.75,2.28,71,-24.61
Millsaps,SAA,1-3,0.250,-4,82,2.19,81,-29.98,89,10.45,71,-12.80,2.26,74,-26.08
NE Wesleyan,American Rivers,0-1,0.000,-8,83,2.18,80,-29.56,72,13.08,85,-15.01,2.21,21,-14.02
Adrian,Michigan IAA,3-4,0.429,+12,84,2.18,90,-32.55,70,13.26,97,-18.18,2.25,87,-30.53
Otterbein,Ohio AC,1-4,0.200,-13,85,2.11,76,-29.05,94,8.75,50,-10.18,2.18,82,-29.11
McMurry,American SW,2-3,0.400,-15,86,2.09,101,-38.15,96,8.21,103,-18.73,2.25,69,-24.26
Misericordia,Mid Atlantic,0-1,0.000,+2,87,2.08,85,-31.12,85,10.90,78,-14.40,2.14,35,-17.06
Albright,Mid Atlantic,1-1,0.500,-1,88,2.07,93,-33.12,80,11.96,94,-17.45,2.30,88,-31.55
Olivet MI,Michigan IAA,1-3,0.250,+9,89,2.06,78,-29.50,76,12.78,80,-14.66,2.14,89,-31.65
Coast Guard,NE W&M,0-1,0.000,+10,90,2.05,89,-32.12,101,7.38,66,-11.87,2.23,51,-19.82
Franklin,Heartland CAC,4-3,0.571,+10,91,2.03,98,-36.24,88,10.84,107,-19.45,2.14,103,-37.69
SW Univ TX,American SW,0-5,0.000,-11,92,2.03,71,-27.57,81,11.77,65,-11.71,2.22,55,-20.78
Guilford,Old Dominion AC,0-4,0.000,-2,93,2.02,84,-30.94,69,13.72,93,-17.04,2.39,14,-11.89
Augsburg,Minnesota IAC,1-0,1.000,-8,94,2.02,102,-38.21,99,7.82,99,-18.40,2.30,100,-36.91
Pac Lutheran,Northwest,0-4,0.000,-3,95,1.99,88,-31.58,95,8.64,69,-12.60,2.28,39,-17.48
Wooster,North Coast AC,0-1,0.000,-1,96,1.99,79,-29.53,59,14.88,92,-16.78,2.23,76,-26.51
Sul Ross,American SW,1-4,0.200,-20,97,1.98,95,-35.08,100,7.42,83,-14.87,2.17,66,-23.96
Wilkes,Mid Atlantic,0-1,0.000,-8,98,1.95,75,-28.63,66,13.87,84,-14.87,2.18,95,-34.92
Alma,Michigan IAA,1-1,0.500,,99,1.95,97,-35.49,113,3.30,57,-11.16,2.20,111,-40.92
Bluffton,Heartland CAC,4-4,0.500,+7,100,1.85,106,-40.23,104,6.40,104,-19.00,2.20,105,-38.11
Martin Luther,Upper Midwest,3-1,0.750,+3,101,1.84,103,-39.15,98,7.82,106,-19.34,2.20,119,-47.20
Elmhurst,Ill & Wisc,0-1,0.000,-20,102,1.77,92,-32.90,86,10.89,89,-16.16,2.28,92,-33.50
Concordia WI,Northern Athletic,3-2,0.600,+7,103,1.69,109,-42.47,111,4.38,105,-19.23,2.23,116,-44.48
Luther IA,American Rivers,0-1,0.000,-11,104,1.64,99,-36.90,82,11.45,109,-20.71,2.25,73,-25.14
Alvernia,Mid Atlantic,0-3,0.000,-3,105,1.63,100,-37.49,105,6.31,90,-16.17,2.19,60,-22.51
Eureka,Northern Athletic,2-3,0.400,+5,106,1.56,107,-41.72,93,8.79,112,-22.88,2.12,110,-40.74
Rhodes,SAA,0-4,0.000,-2,107,1.48,110,-42.62,115,3.15,95,-18.14,2.25,41,-17.74
Illinois Col,Midwest,0-1,0.000,+4,108,1.45,104,-39.76,108,6.03,96,-18.16,2.22,99,-35.77
Waynesburg,Presidents' AC,0-5,0.000,,109,1.45,108,-42.42,103,6.55,110,-21.34,2.29,46,-18.92
Greensboro,USA South,1-2,0.333,-2,110,1.34,115,-49.70,112,3.61,118,-25.68,2.26,86,-30.46
Defiance,Heartland CAC,2-5,0.286,+4,111,1.22,117,-50.88,119,-0.41,111,-22.84,2.27,104,-38.03
Kalamazoo,Michigan IAA,0-2,0.000,+1,112,1.22,111,-46.02,117,1.32,108,-19.72,2.23,84,-30.04
Sewanee,SAA,0-1,0.000,-10,113,1.22,105,-39.97,107,6.24,102,-18.57,2.26,123,-51.71
WI Lutheran,Northern Athletic,1-2,0.333,,114,1.18,113,-48.01,110,5.03,117,-25.41,2.15,113,-42.82
Capital,Ohio AC,0-4,0.000,-9,115,1.08,112,-47.43,109,5.97,120,-25.76,2.24,79,-27.48
Rockford,Northern Athletic,1-3,0.250,+1,116,1.02,118,-53.13,118,-0.34,115,-25.16,2.30,109,-40.68
Ripon,Midwest,0-3,0.000,+2,117,0.96,114,-48.07,114,3.29,114,-23.74,2.26,101,-37.46
Anderson IN,Heartland CAC,1-4,0.200,-2,118,0.88,116,-49.88,92,9.35,125,-31.61,2.23,115,-44.09
Northwestern MN,Upper Midwest,1-1,0.500,+1,119,0.87,121,-55.14,121,-1.75,119,-25.76,2.17,121,-48.51
Concordia IL,Northern Athletic,0-3,0.000,-2,120,0.79,119,-53.60,122,-2.90,113,-23.07,2.23,94,-33.60
Westminster MO,Upper Midwest,2-1,0.667,+2,121,0.78,123,-56.73,123,-3.70,116,-25.40,2.26,125,-62.58
Greenville,Upper Midwest,1-3,0.250,,122,0.76,122,-55.14,120,-0.84,121,-26.68,2.23,117,-46.15
Manchester,Heartland CAC,0-7,0.000,-2,123,0.51,120,-54.22,116,1.70,122,-28.28,2.24,112,-42.00
Iowa Wesleyan,Upper Midwest,1-2,0.333,+1,124,0.39,125,-63.79,125,-7.15,123,-29.02,2.25,124,-54.11
MN Morris,Upper Midwest,0-2,0.000,-1,125,0.16,124,-63.07,124,-4.69,124,-30.75,2.30,120,-47.40
