Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Central IL,Ill & Wisc,14-1,0.933,1,5.78,1,29.35,1,49.45,7,7.32,2.15,2,3.74
Cortland St,Empire 8,14-1,0.933,2,5.30,5,16.21,2,40.92,28,2.71,2.13,12,-0.55
WI Whitewater,Wisconsin IAC,11-2,0.846,3,5.23,4,18.70,5,37.60,3,8.52,2.20,1,5.46
Trinity CT,NESCAC,8-1,0.889,4,5.19,2,22.80,3,40.45,2,9.77,2.20,22,-4.25
Wartburg,American Rivers,13-1,0.929,5,5.08,6,13.77,15,32.81,4,8.37,2.21,24,-5.75
Mt Union,Ohio AC,11-1,0.917,6,4.97,3,19.65,6,36.70,1,10.36,2.12,53,-13.60
WI LaCrosse,Wisconsin IAC,11-2,0.846,7,4.96,7,12.37,8,36.00,20,3.79,2.13,4,1.44
Johns Hopkins,Centennial,12-1,0.923,8,4.80,9,11.47,7,36.48,29,2.41,2.15,28,-6.50
Middlebury,NESCAC,8-1,0.889,9,4.69,18,6.99,31,28.05,9,6.35,2.19,18,-3.12
Wheaton IL,Ill & Wisc,10-2,0.833,10,4.69,11,10.55,4,38.22,42,-0.26,2.20,20,-3.67
Randolph-Macon,Old Dominion AC,13-1,0.929,11,4.64,16,7.22,12,33.33,34,1.31,2.14,45,-12.76
St John's MN,Minnesota IAC,8-2,0.800,12,4.63,10,11.41,9,35.59,23,3.24,2.14,23,-4.32
Trinity TX,SAA,10-2,0.833,13,4.61,15,7.90,21,31.09,17,4.23,2.11,25,-6.14
WI River Falls,Wisconsin IAC,7-3,0.700,14,4.61,8,11.47,10,35.24,22,3.65,2.13,10,-0.14
Grove City,Presidents' AC,11-1,0.917,15,4.60,25,4.69,32,27.86,15,4.25,2.19,30,-8.34
Carnegie Mellon,Presidents' AC,10-1,0.909,16,4.59,14,8.18,33,27.76,5,7.83,2.19,57,-13.81
Susquehanna,Landmark,10-1,0.909,17,4.44,20,6.11,27,29.02,14,4.51,2.07,46,-12.92
Tufts,NESCAC,6-3,0.667,18,4.41,13,9.43,19,31.47,12,5.38,2.22,17,-2.52
Muhlenberg,Centennial,10-1,0.909,19,4.40,24,4.73,22,30.90,36,1.25,2.15,49,-13.24
WI Platteville,Wisconsin IAC,7-4,0.636,20,4.40,19,6.98,29,28.58,10,5.82,2.23,15,-1.38
Bethel MN,Minnesota IAC,8-3,0.727,21,4.38,21,5.93,38,25.92,6,7.42,2.25,27,-6.35
WI Oshkosh,Wisconsin IAC,6-4,0.600,22,4.37,17,7.02,14,32.98,31,1.45,2.23,9,0.68
Ithaca,Liberty League,9-3,0.750,23,4.37,26,4.25,41,24.88,8,6.79,2.18,26,-6.20
M Hardin-Baylor,American SW,6-4,0.600,24,4.36,12,10.08,17,31.80,11,5.69,2.19,21,-4.01
John Carroll,Ohio AC,8-2,0.800,25,4.36,22,5.34,25,29.84,27,2.92,2.16,29,-8.26
Alma,Michigan IAA,12-1,0.923,26,4.31,38,-0.02,20,31.34,72,-3.94,2.13,38,-12.31
Hardin-Simmons,American SW,9-2,0.818,27,4.30,27,3.55,28,28.72,30,2.25,2.10,31,-8.88
Wash & Jeff,Presidents' AC,9-2,0.818,28,4.24,23,4.82,18,31.78,39,0.46,2.20,40,-12.40
Aurora,Northern Athletic,11-1,0.917,29,4.19,30,2.38,16,32.38,58,-2.58,2.07,108,-19.84
Union NY,Liberty League,10-2,0.833,30,4.18,35,0.32,45,24.08,21,3.66,2.19,52,-13.44
Wesleyan CT,NESCAC,6-3,0.667,31,4.16,34,1.05,36,27.08,33,1.38,2.26,16,-1.77
Berry,SAA,9-1,0.900,32,4.13,28,3.14,11,33.68,60,-3.11,2.18,105,-19.56
Whitworth,Northwest,10-1,0.909,33,4.09,43,-2.69,30,28.38,67,-3.66,2.17,59,-13.83
Brockport St,Empire 8,8-3,0.727,34,4.08,32,1.85,40,25.03,16,4.23,2.24,36,-12.01
Linfield,Northwest,8-1,0.889,35,4.06,29,2.52,24,30.16,41,-0.22,2.18,119,-20.67
Central IA,American Rivers,8-2,0.800,36,3.99,33,1.27,26,29.58,48,-0.89,2.19,76,-15.80
Coe,American Rivers,9-2,0.818,37,3.97,41,-2.15,59,22.13,26,3.14,2.16,78,-15.89
Endicott,Commonwealth Coast,9-2,0.818,38,3.96,42,-2.43,68,20.97,18,4.01,2.17,90,-17.50
Case Western,Presidents' AC,7-3,0.700,39,3.94,37,0.20,44,24.42,25,3.20,2.20,51,-13.37
WI Stout,Wisconsin IAC,4-6,0.400,40,3.91,31,2.30,23,30.86,50,-1.14,2.17,11,-0.50
Washington StL,Ill & Wisc,7-3,0.700,41,3.88,36,0.30,35,27.57,40,0.15,2.17,55,-13.65
Marietta,Ohio AC,8-2,0.800,42,3.86,50,-4.76,65,21.83,37,0.83,2.16,62,-14.39
Delaware Val,Mid Atlantic,9-2,0.818,43,3.82,44,-2.79,72,20.05,13,4.58,2.10,132,-21.58
Rensselaer,Liberty League,8-3,0.727,44,3.78,40,-1.93,47,24.04,32,1.44,2.17,88,-17.30
Mt St Joseph,Heartland CAC,9-2,0.818,45,3.78,45,-3.39,13,33.08,111,-9.06,2.18,87,-16.98
Springfield,NE W&M,9-2,0.818,46,3.78,48,-3.97,46,24.05,45,-0.60,2.12,104,-19.45
Amherst,NESCAC,4-5,0.444,47,3.77,55,-6.37,101,17.82,24,3.23,2.26,8,0.71
Bowdoin,NESCAC,4-5,0.444,48,3.77,46,-3.40,42,24.87,47,-0.85,2.23,13,-0.96
Hope,Michigan IAA,8-2,0.800,49,3.76,53,-5.68,49,23.97,56,-2.23,2.14,80,-16.03
Williams,NESCAC,3-6,0.333,50,3.72,39,-1.04,57,22.42,19,3.96,2.28,14,-1.18
DePauw,North Coast AC,10-1,0.909,51,3.72,57,-7.58,58,22.26,57,-2.43,2.26,143,-23.18
Frank & Marsh,Centennial,8-3,0.727,52,3.71,51,-5.45,55,22.55,44,-0.58,2.25,71,-15.07
Ursinus,Centennial,8-3,0.727,53,3.70,49,-4.66,48,23.99,51,-1.24,2.17,82,-16.28
Gust Adolphus,Minnesota IAC,6-4,0.600,54,3.69,47,-3.58,34,27.68,69,-3.85,2.22,33,-10.53
Utica,Empire 8,9-2,0.818,55,3.64,66,-9.82,98,18.38,46,-0.78,2.25,95,-18.17
Hobart & Smith,Liberty League,8-3,0.727,56,3.64,54,-5.99,69,20.85,38,0.58,2.21,96,-18.25
Augustana IL,Ill & Wisc,8-3,0.727,57,3.61,62,-8.75,50,23.81,82,-5.15,2.13,54,-13.60
Westminster PA,Presidents' AC,6-4,0.600,58,3.59,56,-6.95,84,19.19,35,1.28,2.20,41,-12.46
Hamilton,NESCAC,3-6,0.333,59,3.58,58,-7.82,74,19.86,43,-0.27,2.18,6,1.27
Colby,NESCAC,3-6,0.333,60,3.54,61,-8.56,76,19.81,49,-0.96,2.20,7,1.02
Salisbury,New Jersey A.C.,6-4,0.600,61,3.51,52,-5.50,43,24.58,59,-2.66,2.12,61,-14.24
Baldwin-Wallace,Ohio AC,6-4,0.600,62,3.49,59,-8.00,52,22.99,65,-3.57,2.21,39,-12.33
Chris Newport,New Jersey A.C.,7-4,0.636,63,3.42,65,-9.64,78,19.49,52,-1.70,2.19,81,-16.19
W New England,Commonwealth Coast,8-3,0.727,64,3.40,64,-9.33,63,21.94,70,-3.86,2.24,124,-20.95
Albion,Michigan IAA,7-3,0.700,65,3.37,60,-8.39,66,21.21,55,-2.19,2.17,127,-21.07
Heidelberg,Ohio AC,6-4,0.600,66,3.36,67,-10.59,73,20.02,61,-3.20,2.14,68,-14.91
Dickinson,Centennial,6-4,0.600,67,3.36,74,-12.89,92,18.71,73,-4.19,2.20,44,-12.73
Claremont M.S.,Southern Cal IAC,8-2,0.800,68,3.31,76,-13.61,123,15.67,53,-1.87,2.19,146,-23.53
Washington & Lee,Old Dominion AC,8-3,0.727,69,3.26,75,-13.42,105,17.52,64,-3.52,2.17,136,-21.90
Concordia Mhd,Minnesota IAC,5-5,0.500,70,3.25,63,-9.19,53,22.98,77,-4.75,2.20,66,-14.69
Wabash,North Coast AC,7-3,0.700,71,3.23,73,-12.63,39,25.28,126,-10.49,2.18,113,-20.27
Monmouth IL,Midwest,9-2,0.818,72,3.22,71,-12.57,61,22.02,94,-7.18,2.19,182,-29.35
King's PA,Mid Atlantic,8-3,0.727,73,3.20,92,-16.91,126,15.43,78,-4.93,2.16,123,-20.82
Howard Payne,American SW,6-4,0.600,74,3.18,69,-11.45,51,23.63,98,-7.66,2.16,97,-18.32
Dubuque,American Rivers,5-5,0.500,75,3.18,68,-11.39,67,21.04,79,-5.02,2.16,73,-15.66
Stevenson,Mid Atlantic,7-4,0.636,76,3.17,70,-11.70,90,19.03,62,-3.32,2.17,137,-22.02
Chapman,Southern Cal IAC,6-4,0.600,77,3.15,72,-12.61,83,19.21,74,-4.41,2.26,102,-19.42
Montclair St,New Jersey A.C.,5-5,0.500,78,3.11,88,-16.48,128,15.35,75,-4.41,2.26,43,-12.72
Hanover,Heartland CAC,7-3,0.700,79,3.11,77,-13.77,91,18.72,81,-5.08,2.12,155,-24.97
Bridgewater VA,Old Dominion AC,7-4,0.636,80,3.11,82,-14.93,71,20.16,99,-7.67,2.16,111,-20.26
Salve Regina,NE W&M,9-2,0.818,81,3.11,78,-14.50,113,16.66,68,-3.75,2.21,194,-30.77
Rose-Hulman,Heartland CAC,7-3,0.700,82,3.10,81,-14.90,37,26.69,153,-14.17,2.12,133,-21.60
Carleton MN,Minnesota IAC,7-3,0.700,83,3.09,107,-18.94,87,19.11,128,-10.63,2.22,94,-18.15
Wittenberg,North Coast AC,7-3,0.700,84,3.08,89,-16.69,62,22.02,131,-11.29,2.15,134,-21.63
Rowan,New Jersey A.C.,5-5,0.500,85,3.08,86,-15.85,115,16.27,76,-4.71,2.14,70,-14.94
Belhaven MS,USA South,9-2,0.818,86,3.07,84,-15.18,95,18.48,88,-6.25,2.17,197,-31.45
E Texas Bap,American SW,5-5,0.500,87,3.07,91,-16.88,138,14.47,71,-3.93,2.16,56,-13.75
Ohio Northern,Ohio AC,4-6,0.400,88,3.06,79,-14.58,116,16.24,63,-3.40,2.24,37,-12.08
Trine,Michigan IAA,6-4,0.600,89,3.04,85,-15.38,60,22.10,120,-10.06,2.13,106,-19.60
Huntingdon,USA South,8-2,0.800,90,3.01,97,-17.31,104,17.60,96,-7.50,2.23,183,-29.54
Centre,SAA,6-4,0.600,91,3.01,83,-14.97,82,19.24,89,-6.79,2.22,125,-20.99
Denison,North Coast AC,7-3,0.700,92,3.00,95,-17.29,102,17.81,101,-7.69,2.26,152,-24.58
Augsburg,Minnesota IAC,6-4,0.600,93,2.98,96,-17.31,70,20.45,124,-10.33,2.17,101,-19.20
Carroll WI,Ill & Wisc,5-5,0.500,94,2.96,80,-14.78,54,22.56,119,-9.92,2.26,91,-17.59
Widener,Mid Atlantic,7-4,0.636,95,2.96,99,-17.42,84,19.19,112,-9.19,2.19,135,-21.82
Rochester NY,Liberty League,5-5,0.500,96,2.96,111,-19.44,120,15.79,102,-7.81,2.17,58,-13.82
Maryville TN,USA South,8-2,0.800,97,2.95,109,-19.36,122,15.74,100,-7.69,2.21,189,-30.17
College of NJ,New Jersey A.C.,5-5,0.500,98,2.95,102,-17.97,134,14.85,85,-5.41,2.17,85,-16.73
McMurry,American SW,6-4,0.600,99,2.95,94,-17.27,86,19.15,110,-9.01,2.15,118,-20.48
Lebanon Val,Mid Atlantic,6-5,0.545,100,2.92,98,-17.41,107,17.36,95,-7.35,2.12,109,-19.92
Illinois Col,Midwest,9-2,0.818,101,2.91,104,-18.42,64,21.93,143,-12.93,2.18,195,-30.84
Redlands,Southern Cal IAC,5-5,0.500,102,2.91,90,-16.76,141,14.29,66,-3.63,2.20,112,-20.26
WI Eau Claire,Wisconsin IAC,2-8,0.200,103,2.89,117,-20.54,121,15.77,109,-8.89,2.26,5,1.39
Merchant Marine,NE W&M,7-3,0.700,104,2.89,108,-19.23,99,18.34,121,-10.15,2.10,156,-25.06
Pomona-Pitzer,Southern Cal IAC,6-4,0.600,105,2.89,119,-20.71,140,14.29,97,-7.59,2.21,122,-20.80
Wilkes,Landmark,5-6,0.455,106,2.88,87,-16.32,88,19.07,105,-7.98,2.19,92,-17.79
St John Fisher,Empire 8,5-5,0.500,107,2.85,112,-19.70,135,14.77,91,-7.05,2.24,99,-18.55
Hampden-Sydney,Old Dominion AC,6-4,0.600,108,2.84,103,-18.16,77,19.77,127,-10.51,2.21,144,-23.25
Husson,Commonwealth Coast,7-3,0.700,109,2.83,121,-20.83,127,15.37,107,-8.78,2.20,163,-26.33
Pac Lutheran,Northwest,5-5,0.500,110,2.82,105,-18.55,118,15.96,92,-7.10,2.18,110,-20.21
George Fox,Northwest,4-6,0.400,111,2.78,93,-17.11,117,16.08,87,-5.76,2.15,100,-18.96
Geneva,Presidents' AC,4-6,0.400,112,2.78,115,-20.49,108,17.35,125,-10.42,2.20,48,-13.24
Morrisville St,Empire 8,4-6,0.400,113,2.78,113,-19.71,152,12.87,83,-5.16,2.25,79,-15.98
Lycoming,Landmark,5-6,0.455,114,2.78,118,-20.67,103,17.74,129,-10.99,2.22,83,-16.48
Alfred,Empire 8,4-6,0.400,115,2.76,126,-21.87,167,10.82,84,-5.27,2.24,69,-14.92
Lake Forest,Midwest,7-3,0.700,116,2.74,101,-17.48,158,11.96,54,-2.02,2.16,213,-37.89
Sul Ross,American SW,4-6,0.400,117,2.67,129,-22.45,96,18.44,149,-13.46,2.16,67,-14.78
FDU Madison,Mid Atlantic,5-5,0.500,118,2.66,128,-22.23,157,12.07,90,-6.89,2.12,141,-22.88
St Olaf,Minnesota IAC,5-5,0.500,119,2.66,114,-20.04,79,19.38,136,-12.01,2.25,138,-22.75
Shenandoah,Old Dominion AC,5-5,0.500,120,2.64,110,-19.40,106,17.36,114,-9.35,2.19,153,-24.77
Muskingum,Ohio AC,4-6,0.400,121,2.64,123,-21.67,97,18.41,141,-12.66,2.15,86,-16.74
Ohio Wesleyan,North Coast AC,5-5,0.500,122,2.64,116,-20.54,129,15.34,106,-8.45,2.25,149,-24.45
Bates,NESCAC,0-9,0.000,123,2.63,100,-17.43,110,17.11,93,-7.13,2.20,3,2.73
Loras,American Rivers,5-5,0.500,124,2.63,124,-21.76,56,22.45,167,-16.79,2.24,114,-20.28
St Vincent,Presidents' AC,3-7,0.300,125,2.62,127,-22.04,150,13.21,103,-7.84,2.22,47,-13.20
Allegheny,Presidents' AC,3-7,0.300,126,2.61,125,-21.83,125,15.46,117,-9.88,2.22,50,-13.30
Rhodes,SAA,6-4,0.600,127,2.57,132,-23.16,144,13.74,115,-9.48,2.20,171,-27.55
IL Wesleyan,Ill & Wisc,3-7,0.300,128,2.55,122,-20.99,94,18.51,138,-12.08,2.25,75,-15.70
TX Lutheran,American SW,2-8,0.200,129,2.54,106,-18.57,93,18.57,116,-9.73,2.23,64,-14.60
North Park,Ill & Wisc,5-5,0.500,130,2.53,141,-25.76,154,12.76,130,-11.10,2.21,129,-21.19
Catholic,Landmark,5-5,0.500,131,2.52,137,-24.64,139,14.39,134,-11.61,2.16,140,-22.82
MA Dartmouth,MASCAC,9-2,0.818,132,2.52,140,-25.51,145,13.65,135,-11.75,2.25,214,-38.59
Olivet MI,Michigan IAA,4-6,0.400,133,2.50,133,-23.58,132,15.18,132,-11.34,2.14,117,-20.40
St Norbert,Northern Athletic,7-4,0.636,134,2.49,131,-23.13,172,9.94,86,-5.65,2.23,204,-33.92
Averett,Old Dominion AC,5-5,0.500,135,2.45,142,-25.84,146,13.64,137,-12.07,2.23,148,-24.40
St Lawrence,Liberty League,3-7,0.300,136,2.45,138,-25.00,162,11.27,108,-8.85,2.26,74,-15.68
Moravian,Landmark,4-6,0.400,137,2.44,139,-25.17,131,15.18,144,-12.94,2.28,121,-20.76
Chicago,Midwest,6-4,0.600,138,2.43,135,-23.78,142,13.92,123,-10.28,2.26,201,-33.44
Birmingham So,SAA,3-7,0.300,139,2.42,134,-23.70,179,8.78,80,-5.07,2.16,115,-20.32
Pacific OR,Northwest,2-7,0.222,140,2.37,120,-20.72,114,16.61,118,-9.91,2.17,116,-20.39
Wm Paterson,New Jersey A.C.,2-8,0.200,141,2.37,136,-24.59,156,12.12,113,-9.29,2.21,72,-15.22
Waynesburg,Presidents' AC,2-8,0.200,142,2.36,130,-23.09,111,17.01,142,-12.68,2.27,63,-14.39
U New England,Commonwealth Coast,6-4,0.600,143,2.35,146,-27.46,151,13.15,146,-13.19,2.19,188,-29.96
Carthage,Ill & Wisc,3-7,0.300,144,2.32,145,-27.17,159,11.72,133,-11.48,2.23,93,-17.82
W Connecticut,MASCAC,7-3,0.700,145,2.30,144,-27.06,89,19.07,182,-18.71,2.17,208,-35.59
Thiel,Presidents' AC,3-7,0.300,146,2.27,166,-33.14,190,7.46,145,-13.18,2.21,34,-11.84
Lewis & Clark,Northwest,5-5,0.500,147,2.27,150,-28.60,80,19.38,191,-20.57,2.15,154,-24.95
Misericordia,Mid Atlantic,4-6,0.400,148,2.24,156,-29.32,183,8.35,122,-10.25,2.17,147,-23.90
WI Stevens Pt,Wisconsin IAC,1-9,0.100,149,2.23,151,-28.68,133,14.98,163,-16.24,2.27,19,-3.63
Gettysburg,Centennial,2-8,0.200,150,2.23,148,-27.59,136,14.62,157,-14.80,2.21,65,-14.69
Cal Lutheran,Southern Cal IAC,3-7,0.300,151,2.19,149,-27.79,119,15.80,162,-16.17,2.31,131,-21.57
Brevard,USA South,5-5,0.500,152,2.17,155,-29.15,153,12.79,155,-14.52,2.22,192,-30.43
Coast Guard,NE W&M,5-5,0.500,153,2.17,158,-29.53,124,15.46,172,-17.58,2.25,175,-28.25
Hendrix,SAA,3-7,0.300,154,2.16,147,-27.49,81,19.37,186,-19.45,2.22,128,-21.10
Franklin,Heartland CAC,4-6,0.400,155,2.15,154,-29.15,137,14.56,164,-16.30,2.15,161,-26.08
Concordia WI,Northern Athletic,7-3,0.700,156,2.15,159,-29.94,165,10.83,147,-13.36,2.27,215,-38.86
Wilmington OH,Ohio AC,3-7,0.300,157,2.14,161,-30.14,75,19.84,202,-22.56,2.21,98,-18.50
SW Univ TX,SAA,3-7,0.300,158,2.09,157,-29.51,143,13.91,161,-16.01,2.30,139,-22.79
MIT,NE W&M,4-5,0.444,159,2.08,163,-31.53,176,9.25,148,-13.37,2.21,172,-27.89
Bridgewater MA,MASCAC,7-3,0.700,160,2.08,162,-31.10,169,10.44,151,-14.12,2.23,225,-41.62
Kean,New Jersey A.C.,0-10,0.000,161,2.07,143,-26.12,177,9.18,104,-7.88,2.15,32,-9.08
Wooster,North Coast AC,4-6,0.400,162,2.05,160,-29.96,112,16.70,185,-19.24,2.28,173,-27.93
Benedictine IL,Northern Athletic,5-4,0.556,163,2.02,164,-31.98,173,9.78,154,-14.35,2.22,205,-34.21
Worcester Tech,NE W&M,3-7,0.300,164,2.02,152,-28.80,163,11.26,140,-12.64,2.20,166,-27.14
Kalamazoo,Michigan IAA,5-5,0.500,165,2.01,171,-34.04,155,12.43,184,-19.05,2.23,180,-28.92
Ferrum,Old Dominion AC,3-7,0.300,166,1.93,168,-33.74,187,7.81,152,-14.13,2.24,150,-24.46
NE Wesleyan,American Rivers,4-6,0.400,167,1.90,177,-35.39,171,10.31,177,-18.27,2.28,164,-26.41
Alfred St,East Coast,6-5,0.545,168,1.90,172,-34.07,168,10.75,170,-17.40,2.19,210,-35.71
Bluffton,Heartland CAC,4-6,0.400,169,1.89,170,-33.86,161,11.55,175,-17.99,2.20,190,-30.21
Ripon,Midwest,5-5,0.500,170,1.83,175,-35.12,191,7.39,159,-15.09,2.21,211,-36.37
Curry,Commonwealth Coast,3-7,0.300,171,1.83,180,-36.47,181,8.52,171,-17.58,2.26,151,-24.58
Eastern Univ,Mid Atlantic,2-8,0.200,172,1.83,169,-33.78,182,8.46,158,-14.82,2.21,120,-20.71
SUNY Maritime,NE W&M,5-5,0.500,173,1.80,197,-41.37,215,4.08,176,-18.04,2.27,179,-28.81
NC Wesleyan,USA South,4-6,0.400,174,1.77,186,-37.92,213,4.60,160,-15.10,2.24,186,-29.69
Hamline,Minnesota IAC,4-6,0.400,175,1.76,184,-37.68,174,9.45,187,-19.72,2.18,185,-29.69
Defiance,Heartland CAC,4-6,0.400,176,1.75,181,-37.07,147,13.40,205,-23.06,2.20,184,-29.58
Adrian,Michigan IAA,1-9,0.100,177,1.75,153,-28.81,164,11.10,139,-12.50,2.27,157,-25.07
Buffalo St,Liberty League,2-8,0.200,178,1.75,173,-34.10,160,11.68,179,-18.37,2.19,142,-23.15
Framingham St,MASCAC,5-4,0.556,179,1.74,179,-35.98,207,5.20,150,-13.76,2.25,222,-41.28
Capital,Ohio AC,1-9,0.100,180,1.66,178,-35.48,130,15.23,207,-23.29,2.22,89,-17.42
Macalester,Minnesota IAC,3-7,0.300,181,1.65,176,-35.18,148,13.29,195,-21.05,2.25,193,-30.44
