Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Ferris St,Great Lakes IAC,15-1,0.938,1,6.46,2,33.38,2,46.66,7,15.16,2.18,2,19.64
Valdosta St,Gulf South,14-0,1.000,2,6.42,3,31.58,1,51.87,37,8.15,2.29,14,15.31
NW Missouri,Mid America IAA,10-3,0.769,3,6.23,1,37.83,4,44.95,1,21.31,2.29,1,20.40
Tarleton St,Lone Star,12-1,0.923,4,6.03,4,28.80,3,44.96,14,12.28,2.28,18,14.24
Grand Valley St,Great Lakes IAC,10-2,0.833,5,5.88,6,28.06,9,42.02,8,14.47,2.31,12,15.90
Ouachita,Great American,12-1,0.923,6,5.87,9,25.59,22,38.67,6,15.36,2.26,33,10.40
MN Mankato,Northern Sun,13-1,0.929,7,5.83,13,23.97,11,40.30,15,12.11,2.17,51,8.01
Fort Hays St,Mid America IAA,9-3,0.750,8,5.76,7,26.09,21,38.69,5,15.84,2.31,8,18.34
CSU-Pueblo,Rocky Mtn AC,11-2,0.846,9,5.72,10,25.30,35,35.90,2,17.84,2.29,42,8.82
Pittsburg St,Mid America IAA,8-3,0.727,10,5.71,12,24.99,14,39.77,10,13.65,2.18,4,18.50
TX A&M Commerce,Lone Star,10-3,0.769,11,5.66,11,25.27,15,39.71,9,14.01,2.28,26,12.92
Harding,Great American,9-3,0.750,12,5.60,5,28.14,13,39.78,4,16.81,2.23,40,9.11
C Oklahoma,Mid America IAA,8-4,0.667,13,5.60,14,23.84,16,39.68,12,12.60,2.23,5,18.45
Midwest TX St,Lone Star,8-2,0.800,14,5.55,15,23.67,6,44.05,39,8.06,2.33,27,12.46
Indianapolis,Great Lakes Val,10-2,0.833,15,5.48,23,19.42,30,36.64,18,11.21,2.29,39,9.22
Ashland,Great Lakes IAC,6-4,0.600,16,5.48,8,25.97,25,37.27,3,17.14,2.33,16,14.65
Emporia St,Mid America IAA,8-4,0.667,17,5.47,19,20.35,19,38.96,24,9.84,2.33,11,17.63
Lenoir-Rhyne,South Atlantic,12-2,0.857,18,5.37,28,16.84,20,38.69,52,6.59,2.37,49,8.10
MO Western,Mid America IAA,7-5,0.583,19,5.37,20,20.07,32,36.21,13,12.30,2.38,10,17.80
West Georgia,Gulf South,10-2,0.833,20,5.37,21,19.79,23,37.64,20,10.59,2.26,48,8.11
OH Dominican,Great Midwest,9-2,0.818,21,5.36,18,20.67,12,39.90,28,9.21,2.36,60,6.37
Notre Dame OH,Mountain East,13-1,0.929,22,5.31,41,13.33,74,31.33,22,10.44,2.29,90,2.60
Colorado Mines,Rocky Mtn AC,10-2,0.833,23,5.31,22,19.55,8,42.56,61,5.43,2.34,55,7.57
Saginaw Val,Great Lakes IAC,8-3,0.727,24,5.27,27,16.85,59,32.57,11,12.73,2.32,29,11.12
C Missouri,Mid America IAA,5-6,0.455,25,5.27,16,23.19,7,43.52,38,8.11,2.35,3,18.91
C Washington,Great Northwest,8-3,0.727,26,5.26,17,21.41,5,44.77,65,5.08,2.18,38,9.23
Slippery Rock,Penn St AC,11-3,0.786,27,5.23,26,17.72,17,39.13,49,7.03,2.35,61,6.36
