Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Ferris St,Great Lakes IAC,14-1,0.933,,1,6.87,1,42.54,2,47.41,4,22.35,2.06,12,24.09
Pittsburg St,Mid America IAA,12-1,0.923,,2,6.71,3,40.76,10,44.23,2,23.75,2.14,3,27.41
Grand Valley St,Great Lakes IAC,12-1,0.923,,3,6.60,4,39.51,12,43.98,3,22.74,2.16,13,22.59
NW Missouri,Mid America IAA,10-3,0.769,,4,6.49,2,41.48,9,44.31,1,24.39,2.29,1,28.14
NE Kearney,Mid America IAA,8-3,0.727,,5,6.17,5,35.58,5,45.01,7,17.78,2.16,8,26.99
West Florida,Gulf South,12-2,0.857,+1,6,6.12,9,32.74,3,47.36,21,12.59,2.06,15,20.59
Colorado Mines,Rocky Mtn AC,13-3,0.813,-1,7,6.12,7,33.73,1,47.89,14,13.06,2.17,16,20.43
Emporia St,Mid America IAA,9-3,0.750,,8,6.11,8,33.07,7,44.76,9,15.52,2.25,10,26.70
Washburn,Mid America IAA,7-4,0.636,,9,6.00,6,34.12,4,46.33,10,15.00,2.14,2,27.96
Ouachita,Great American,11-1,0.917,+1,10,5.98,10,30.31,6,44.77,16,12.76,2.15,19,17.14
Angelo St,Lone Star,12-1,0.923,-1,11,5.97,12,29.60,22,38.67,5,18.14,2.23,30,13.15
Delta St,Gulf South,11-2,0.846,,12,5.76,16,27.39,13,43.53,27,11.08,2.25,21,16.92
C Oklahoma,Mid America IAA,6-5,0.545,,13,5.73,15,27.86,28,37.02,6,18.06,2.30,7,27.01
Harding,Great American,9-2,0.818,+1,14,5.72,11,29.77,15,40.93,8,16.06,2.11,32,13.10
West Georgia,Gulf South,8-2,0.800,-1,15,5.71,14,27.98,11,44.05,26,11.14,2.16,20,16.95
MO Western,Mid America IAA,5-6,0.455,,16,5.59,13,28.28,14,41.54,13,13.96,2.23,4,27.28
Shepherd,Penn St AC,13-2,0.867,,17,5.44,24,20.95,16,40.62,45,7.55,2.17,59,7.69
Saginaw Val,Great Lakes IAC,8-3,0.727,,18,5.40,19,22.93,26,37.55,20,12.60,2.19,26,14.42
C Missouri,Mid America IAA,4-7,0.364,,19,5.39,17,25.26,19,39.79,18,12.69,2.32,5,27.16
Indianapolis,Great Lakes Val,9-2,0.818,,20,5.37,25,20.58,21,38.71,32,9.08,2.25,37,11.61
MO Southern,Mid America IAA,4-7,0.364,+1,21,5.24,27,20.37,38,34.90,17,12.69,2.24,6,27.14
MN Mankato,Northern Sun,10-3,0.769,-1,22,5.24,26,20.56,17,39.97,43,7.80,2.16,50,9.75
CSU-Pueblo,Rocky Mtn AC,8-4,0.667,+1,23,5.23,22,21.51,24,38.14,28,10.59,2.23,29,13.23
Fort Hays St,Mid America IAA,3-8,0.273,-1,24,5.23,18,25.26,18,39.82,19,12.65,2.25,9,26.90
Truman St,Great Lakes Val,9-2,0.818,,25,5.22,31,17.80,50,33.27,24,11.75,2.13,57,7.87
Henderson St,Great American,8-3,0.727,,26,5.22,28,19.09,25,37.73,37,8.58,2.18,33,12.93
East Central OK,Great American,9-3,0.750,,27,5.21,33,17.43,60,32.07,23,12.58,2.22,35,11.73
Lenoir-Rhyne,South Atlantic,8-3,0.727,+1,28,5.15,21,21.77,23,38.45,29,10.53,2.17,56,7.93
Wingate,South Atlantic,11-3,0.786,-1,29,5.14,34,17.11,72,30.04,12,14.28,2.12,71,4.59
Ashland,Great Midwest,10-2,0.833,+1,30,5.13,35,16.80,65,31.19,15,12.83,2.29,73,4.35
C Washington,Lone Star,6-4,0.600,-1,31,5.12,23,21.16,34,35.79,22,12.59,2.24,31,13.11
Bemidji St,Northern Sun,10-3,0.769,,32,5.08,32,17.72,27,37.41,47,7.52,2.18,64,6.26
Davenport,Great Lakes IAC,8-3,0.727,,33,5.07,48,12.79,40,34.79,66,5.22,2.19,25,14.86
Indiana PA,Penn St AC,10-2,0.833,+2,34,5.03,42,14.22,46,33.58,42,7.85,2.12,72,4.45
Newberry,South Atlantic,9-2,0.818,,35,5.00,45,13.36,55,32.53,41,8.05,2.19,66,5.25
Valdosta St,Gulf South,5-6,0.455,-2,36,5.00,20,22.83,8,44.53,63,5.51,2.26,24,15.79
West Alabama,Gulf South,5-6,0.455,,37,4.93,30,18.20,69,30.87,11,14.55,2.17,28,13.38
Slippery Rock,Penn St AC,10-3,0.769,,38,4.92,38,14.88,45,33.65,39,8.44,2.13,87,2.99
SE Oklahoma,Great American,6-6,0.500,+1,39,4.85,36,15.88,20,38.89,68,4.21,2.19,27,14.39
