Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Alabama,Southeastern,14-0,1.000,1,9.57,2,68.27,8,57.04,1,36.60,2.64,14,50.78
Florida,Southeastern,13-1,0.929,2,9.30,1,69.30,3,59.72,4,34.95,2.83,33,49.04
Texas,Big 12,13-1,0.929,3,9.23,3,67.64,2,60.47,10,32.54,2.83,19,50.26
TCU,Mountain West,12-1,0.923,4,8.87,5,64.95,15,56.27,5,34.05,2.82,68,45.10
Boise St,Western Athletic,14-0,1.000,5,8.61,12,59.81,10,56.93,22,28.26,2.73,99,39.76
Virginia Tech,Atlantic Coast,10-3,0.769,6,8.57,6,64.36,16,55.93,6,33.80,2.79,4,51.85
Oklahoma,Big 12,8-5,0.615,7,8.55,4,65.91,6,57.50,7,33.79,2.91,17,50.47
Ohio St,Big 10,11-2,0.846,8,8.52,7,62.52,34,52.65,3,35.24,2.76,49,47.36
Oregon,Pac 10,10-3,0.769,9,8.48,9,62.16,1,60.87,34,26.65,2.85,2,52.27
Nebraska,Big 12,10-4,0.714,10,8.40,8,62.25,43,51.21,2,36.41,2.68,30,49.29
Cincinnati,Big East,12-1,0.923,11,8.27,22,56.52,11,56.78,46,25.11,2.78,59,46.05
USC,Pac 10,9-4,0.692,12,8.25,10,60.68,24,53.59,11,32.46,2.62,11,50.85
Texas Tech,Big 12,9-4,0.692,13,8.24,11,60.67,4,59.32,33,26.72,2.81,46,47.50
BYU,Mountain West,11-2,0.846,14,8.23,15,58.46,12,56.48,29,27.35,2.58,56,46.48
Penn St,Big 10,11-2,0.846,15,8.23,13,59.70,37,52.37,9,32.70,2.58,71,44.63
LSU,Southeastern,9-4,0.692,16,8.21,14,58.91,38,52.27,12,32.01,2.73,12,50.85
Iowa,Big 10,11-2,0.846,17,8.10,24,56.19,62,48.79,8,32.77,2.53,38,48.29
Georgia Tech,Atlantic Coast,11-3,0.786,18,8.09,26,55.89,13,56.29,50,24.97,2.70,6,51.79
Mississippi,Southeastern,9-4,0.692,19,8.01,16,58.29,35,52.64,13,31.03,2.82,52,47.00
Arkansas,Southeastern,8-5,0.615,20,7.99,17,57.92,9,56.99,37,26.30,2.84,22,49.95
Miami FL,Atlantic Coast,9-4,0.692,21,7.98,25,56.18,23,53.65,24,27.90,2.84,13,50.84
Utah,Mountain West,10-3,0.769,22,7.93,23,56.19,29,53.16,20,28.40,2.75,63,45.58
Stanford,Pac 10,8-5,0.615,23,7.91,19,56.98,7,57.37,49,24.98,2.73,15,50.73
Georgia,Southeastern,8-5,0.615,24,7.90,21,56.55,19,54.32,27,27.60,2.61,10,51.03
Pittsburgh,Big East,10-3,0.769,25,7.88,20,56.77,33,52.66,17,29.48,2.81,54,46.86
Clemson,Atlantic Coast,9-5,0.643,26,7.88,18,57.26,21,54.10,19,28.53,2.89,36,48.90
Oklahoma St,Big 12,9-4,0.692,27,7.83,29,54.98,39,52.23,23,28.13,2.67,37,48.32
Oregon St,Pac 10,8-5,0.615,28,7.79,27,55.72,18,54.71,36,26.38,2.74,31,49.23
Arizona,Pac 10,8-5,0.615,29,7.75,34,53.76,30,52.96,39,26.17,2.80,9,51.11
Florida St,Atlantic Coast,7-6,0.538,30,7.71,28,54.99,14,56.27,54,24.09,2.58,1,52.42
Auburn,Southeastern,8-5,0.615,31,7.68,33,53.86,17,54.79,53,24.44,2.87,27,49.53
North Carolina,Atlantic Coast,8-5,0.615,32,7.68,32,54.44,59,49.39,14,30.42,2.68,40,48.04
California,Pac 10,8-5,0.615,33,7.66,35,53.52,22,53.79,47,25.09,2.76,23,49.87
Tennessee,Southeastern,7-6,0.538,34,7.65,31,54.68,36,52.51,28,27.54,2.84,18,50.39
Boston College,Atlantic Coast,8-5,0.615,35,7.56,36,53.02,61,48.80,16,29.59,2.85,39,48.25
Wisconsin,Big 10,10-3,0.769,36,7.55,39,52.16,41,51.98,43,25.55,2.76,66,45.31
West Virginia,Big East,9-4,0.692,37,7.54,40,52.03,55,49.75,26,27.64,2.72,47,47.49
Air Force,Mountain West,8-5,0.615,38,7.54,30,54.77,47,50.66,18,29.48,2.79,79,43.12
South Carolina,Southeastern,7-6,0.538,39,7.52,41,51.82,79,47.08,15,30.11,2.82,5,51.80
Connecticut,Big East,8-5,0.615,40,7.50,37,53.00,32,52.72,41,25.65,2.70,51,47.00
Navy,FBS Indep,10-4,0.714,41,7.38,43,51.03,58,49.55,32,26.86,2.65,74,43.72
Notre Dame,FBS Indep,6-6,0.500,42,7.37,38,52.91,28,53.21,48,25.07,2.70,29,49.34
UCLA,Pac 10,7-6,0.538,43,7.37,44,50.99,70,47.97,21,28.39,2.70,20,50.20
Missouri,Big 12,8-5,0.615,44,7.37,42,51.24,27,53.30,59,23.32,2.62,42,47.85
Kentucky,Southeastern,7-6,0.538,45,7.34,46,50.84,53,49.97,38,26.24,2.55,41,47.87
South Florida,Big East,8-5,0.615,46,7.30,49,50.68,60,48.86,30,27.20,2.71,76,43.56
Rutgers,Big East,9-4,0.692,47,7.28,48,50.69,51,50.04,40,26.01,2.60,104,38.90
Houston,Conference USA,10-4,0.714,48,7.22,53,49.00,5,57.81,102,16.56,2.98,87,41.62
Mississippi St,Southeastern,5-7,0.417,49,7.19,54,48.92,56,49.57,51,24.72,2.72,16,50.68
Wake Forest,Atlantic Coast,5-7,0.417,50,7.18,45,50.91,46,50.68,42,25.60,2.70,25,49.81
East Carolina,Conference USA,9-5,0.643,51,7.15,51,49.24,69,48.02,35,26.60,2.75,69,44.94
Michigan St,Big 10,6-7,0.462,52,7.15,47,50.82,31,52.80,58,23.39,2.72,48,47.40
Washington,Pac 10,5-7,0.417,53,7.15,55,48.50,54,49.97,56,23.90,2.84,8,51.20
C Michigan,Mid-American,12-2,0.857,54,7.14,58,46.89,50,50.34,69,21.92,2.84,116,37.43
Kansas,Big 12,5-7,0.417,55,7.07,50,49.85,26,53.38,71,21.84,2.75,32,49.14
