Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Georgia,Southeastern,15-0,1.000,,1,9.69,1,87.67,3,70.98,1,43.91,2.10,2,66.89
Alabama,Southeastern,11-2,0.846,,2,9.07,2,84.40,2,71.47,3,40.15,2.16,3,66.55
Ohio St,Big 10,11-2,0.846,,3,9.05,3,84.07,1,75.21,14,36.08,2.24,1,69.01
Michigan,Big 10,13-1,0.929,,4,8.96,4,80.07,5,68.98,6,38.31,2.24,17,63.14
Penn St,Big 10,11-2,0.846,,5,8.77,5,76.60,10,64.80,4,39.02,2.18,13,63.57
Tennessee,Southeastern,11-2,0.846,,6,8.76,6,75.84,4,70.12,26,32.93,2.13,5,66.04
TCU,Big 12,13-2,0.867,,7,8.57,13,69.40,7,66.68,50,29.94,2.27,4,66.17
LSU,Southeastern,10-4,0.714,+1,8,8.46,8,72.76,8,65.24,18,34.74,2.19,6,65.75
Kansas St,Big 12,10-4,0.714,-1,9,8.42,11,71.07,26,61.78,13,36.51,2.20,8,65.46
Clemson,Atlantic Coast,11-3,0.786,,10,8.37,9,72.21,24,61.99,9,37.44,2.08,42,59.98
Utah,Pac 12,10-4,0.714,+1,11,8.34,7,72.89,13,64.10,15,36.01,2.24,27,61.42
Washington,Pac 12,11-2,0.846,-1,12,8.31,21,67.40,16,63.29,38,31.32,2.25,51,58.62
Oregon,Pac 12,10-3,0.769,,13,8.28,17,68.22,12,64.45,41,30.99,2.30,24,61.96
Mississippi St,Southeastern,9-4,0.692,+1,14,8.27,18,68.22,29,60.70,19,34.73,2.31,10,64.03
Texas,Big 12,8-5,0.615,+1,15,8.25,10,72.04,15,63.75,16,35.51,2.16,7,65.65
Florida St,Atlantic Coast,10-3,0.769,-2,16,8.24,20,67.57,20,62.32,30,32.46,2.15,36,60.53
Oregon St,Pac 12,10-3,0.769,,17,8.20,22,66.57,38,59.06,20,34.73,2.17,43,59.97
Notre Dame,FBS Indep,9-4,0.692,,18,8.18,12,69.98,17,63.03,23,34.16,2.20,40,60.27
Iowa,Big 10,8-5,0.615,+1,19,8.14,15,68.54,69,54.22,2,41.54,2.14,32,61.16
Tulane,American Athletic,12-2,0.857,-1,20,8.14,41,62.67,32,60.18,53,29.71,2.31,64,55.90
USC,Pac 12,11-3,0.786,+2,21,8.12,25,65.97,6,66.76,76,26.42,2.23,33,60.99
Minnesota,Big 10,9-4,0.692,,22,8.10,16,68.28,48,57.56,7,37.93,2.15,57,57.41
Texas Tech,Big 12,8-5,0.615,-2,23,8.05,29,65.55,18,62.92,51,29.85,2.22,15,63.49
Louisville,Atlantic Coast,8-5,0.615,,24,7.97,27,65.74,43,58.38,22,34.57,2.27,37,60.48
Mississippi,Southeastern,8-5,0.615,+3,25,7.96,23,66.22,22,62.27,39,31.17,2.21,26,61.77
Wisconsin,Big 10,7-6,0.538,-1,26,7.96,19,68.13,41,58.41,11,36.94,2.23,38,60.36
Illinois,Big 10,8-5,0.615,+4,27,7.92,32,64.61,72,53.99,8,37.83,2.12,46,59.79
Pittsburgh,Atlantic Coast,9-4,0.692,-2,28,7.91,36,63.72,34,59.89,40,31.05,2.12,59,56.94
Maryland,Big 10,8-5,0.615,-2,29,7.91,38,63.20,46,57.88,28,32.53,2.22,35,60.77
Oklahoma St,Big 12,7-6,0.538,,30,7.90,28,65.63,30,60.60,33,32.24,2.23,22,62.23
Oklahoma,Big 12,6-7,0.462,-2,31,7.90,14,69.38,9,64.81,35,31.79,2.28,11,63.90
Kentucky,Southeastern,7-6,0.538,+2,32,7.87,34,64.19,70,54.10,10,37.30,2.22,28,61.35
South Carolina,Southeastern,8-5,0.615,+2,33,7.86,42,62.60,28,60.73,57,29.09,2.25,29,61.34
Arkansas,Southeastern,7-6,0.538,-2,34,7.84,35,63.86,19,62.84,69,28.24,2.18,20,62.52
Purdue,Big 10,8-6,0.571,+3,35,7.83,43,62.06,35,59.80,55,29.47,2.22,21,62.42
Auburn,Southeastern,5-7,0.417,,36,7.82,31,65.33,39,58.96,25,33.58,2.32,9,65.19
Florida,Southeastern,6-7,0.462,+7,37,7.81,30,65.53,27,61.14,36,31.60,2.30,12,63.89
Wake Forest,Atlantic Coast,8-5,0.615,-5,38,7.81,37,63.48,14,63.93,73,26.76,2.19,53,58.28
UCLA,Pac 12,9-4,0.692,,39,7.80,39,63.00,11,64.48,84,25.73,2.20,60,56.77
Baylor,Big 12,6-7,0.462,-3,40,7.78,26,65.84,31,60.53,29,32.53,2.19,23,62.12
Cincinnati,American Athletic,9-4,0.692,+2,41,7.78,40,62.98,59,55.57,21,34.62,2.22,70,53.98
NC State,Atlantic Coast,8-5,0.615,,42,7.78,45,61.77,73,53.81,17,35.17,2.33,56,57.59
Troy,Sun Belt,12-2,0.857,-2,43,7.73,71,54.76,106,49.38,27,32.59,2.11,88,49.12
Iowa St,Big 12,4-8,0.333,-4,44,7.73,24,66.02,64,54.85,5,38.39,2.24,14,63.56
Texas A&M,Southeastern,5-7,0.417,+2,45,7.72,33,64.54,62,55.06,12,36.70,2.24,31,61.17
North Carolina,Atlantic Coast,9-5,0.643,+3,46,7.70,50,60.05,25,61.85,88,25.42,2.27,54,57.99
Air Force,Mountain West,10-3,0.769,-2,47,7.67,49,60.12,77,53.19,24,34.14,2.17,107,47.05
Michigan St,Big 10,5-7,0.417,+2,48,7.65,44,62.01,47,57.78,37,31.45,2.17,18,62.72
Washington St,Pac 12,7-6,0.538,+5,49,7.65,48,60.83,58,55.68,32,32.36,2.30,48,59.06
Fresno St,Mountain West,10-4,0.714,-4,50,7.65,53,59.43,54,56.15,44,30.49,2.20,80,50.15
UCF,American Athletic,9-5,0.643,+4,51,7.65,46,61.38,37,59.11,54,29.49,2.25,68,55.23
Duke,Atlantic Coast,9-4,0.692,-4,52,7.63,60,57.65,51,56.63,68,28.24,2.16,72,53.71
West Virginia,Big 12,5-7,0.417,-2,53,7.61,47,61.00,36,59.55,60,28.67,2.37,19,62.58
Syracuse,Atlantic Coast,7-6,0.538,+2,54,7.60,57,58.56,56,55.80,49,29.98,2.22,50,58.80
BYU,FBS Indep,8-5,0.615,-2,55,7.58,59,57.86,52,56.60,62,28.48,2.14,66,55.30
Houston,American Athletic,8-5,0.615,-4,56,7.58,54,58.90,33,60.14,82,25.97,2.20,67,55.25
Missouri,Southeastern,6-7,0.462,+1,57,7.58,51,59.75,66,54.76,34,32.21,2.36,41,60.27
Boise St,Mountain West,10-4,0.714,-1,58,7.55,56,58.76,60,55.50,45,30.48,2.19,81,50.05
UT San Antonio,Conference USA,11-3,0.786,,59,7.52,70,55.02,50,56.87,89,25.37,2.20,85,49.33
James Madison,Sun Belt,8-3,0.727,+2,60,7.47,62,57.36,53,56.20,65,28.37,2.21,96,48.36
Memphis,American Athletic,7-6,0.538,-1,61,7.46,52,59.64,44,58.13,59,28.73,2.32,71,53.80
SMU,American Athletic,7-6,0.538,+2,62,7.46,58,58.54,23,62.05,96,23.70,2.34,62,56.47
Kansas,Big 12,6-7,0.462,-2,63,7.46,63,57.07,21,62.28,109,22.00,2.19,30,61.18
East Carolina,American Athletic,8-5,0.615,-1,64,7.43,67,56.01,45,57.91,90,25.32,2.23,73,53.38
WKU,Conference USA,9-5,0.643,,65,7.40,61,57.42,42,58.39,80,26.25,2.15,82,49.60
Nebraska,Big 10,4-8,0.333,,66,7.36,55,58.85,55,55.83,46,30.23,2.18,39,60.32
Marshall,Sun Belt,9-4,0.692,,67,7.35,75,53.50,113,48.34,31,32.37,2.11,103,47.49
Indiana,Big 10,4-8,0.333,,68,7.29,69,55.05,61,55.15,72,27.12,2.24,25,61.93
South Alabama,Sun Belt,10-3,0.769,,69,7.27,85,50.47,87,51.84,83,25.84,2.28,110,46.70
Georgia Tech,Atlantic Coast,5-7,0.417,,70,7.24,84,50.80,102,49.57,64,28.45,2.25,47,59.71
