Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
N Dakota St,Missouri Valley,16-0,1.000,1,7.93,1,59.99,2,56.09,1,31.99,2.16,15,37.44
James Madison,Coastal,14-2,0.875,2,7.35,2,55.58,3,55.66,4,28.01,2.22,13,37.85
Weber St,Big Sky,11-4,0.733,3,6.89,6,45.23,19,47.03,5,26.29,2.25,3,41.19
Montana,Big Sky,10-4,0.714,4,6.85,4,48.13,4,53.30,10,22.91,2.42,2,41.39
Northern Iowa,Missouri Valley,10-5,0.667,5,6.84,7,45.00,44,43.48,2,29.60,2.32,1,41.57
S Dakota St,Missouri Valley,8-5,0.615,6,6.71,3,49.84,6,51.93,6,26.00,2.31,10,38.63
Montana St,Big Sky,11-4,0.733,7,6.70,8,43.74,13,48.55,9,23.28,2.32,16,37.42
Illinois St,Missouri Valley,10-5,0.667,8,6.67,9,42.88,58,41.71,3,29.26,2.25,12,38.01
CS Sacramento,Big Sky,9-4,0.692,9,6.58,10,41.97,12,49.47,13,20.59,2.31,6,39.76
Dartmouth,Ivy League,9-1,0.900,10,6.53,11,41.62,38,44.13,7,25.59,2.24,80,23.28
E Washington,Big Sky,7-5,0.583,11,6.52,5,45.86,1,56.86,36,17.08,2.34,7,39.40
Yale,Ivy League,9-1,0.900,12,6.40,22,36.10,9,50.18,56,14.00,2.23,47,29.29
S Illinois,Missouri Valley,7-5,0.583,13,6.36,13,39.93,17,47.28,12,20.73,2.33,11,38.18
Villanova,Coastal,9-4,0.692,14,6.28,14,39.87,5,52.38,48,15.57,2.18,39,32.28
Austin Peay,OH Valley,11-4,0.733,15,6.26,20,37.34,23,46.35,19,19.08,2.25,51,29.10
Kennesaw,Big South,11-3,0.786,16,6.25,17,38.18,21,46.89,18,19.37,2.13,78,23.48
Princeton,Ivy League,8-2,0.800,17,6.23,15,38.84,25,46.09,11,20.84,2.17,74,24.29
Cent Arkansas,Southland,9-4,0.692,18,6.21,29,34.94,27,45.55,34,17.48,2.17,34,33.61
Towson,Coastal,7-5,0.583,19,6.21,16,38.27,20,46.95,17,19.41,2.20,26,34.84
UC Davis,Big Sky,5-7,0.417,20,6.20,12,40.30,8,50.23,30,18.16,2.21,5,40.17
North Dakota,Big Sky,7-5,0.583,21,6.15,25,35.46,30,45.06,23,18.49,2.33,22,36.12
Nicholls St,Southland,9-5,0.643,22,6.15,33,34.30,37,44.14,28,18.24,2.26,36,33.19
Youngstown St,Missouri Valley,6-6,0.500,23,6.11,18,37.88,15,47.64,26,18.33,2.24,25,35.17
New Hampshire,Coastal,6-5,0.545,24,6.10,26,35.28,74,39.07,8,24.30,2.46,29,34.15
SE Missouri St,OH Valley,9-4,0.692,25,6.10,40,32.57,43,43.79,39,16.87,2.30,41,31.69
Wofford,Southern,8-4,0.667,26,6.09,21,37.05,33,44.69,15,20.45,2.19,49,29.25
SUNY Albany,Coastal,9-5,0.643,27,6.08,34,33.75,28,45.48,42,16.36,2.27,42,31.63
SE Louisiana,Southland,8-5,0.615,28,6.07,27,35.09,10,49.90,63,13.28,2.22,38,32.66
South Dakota,Missouri Valley,5-7,0.417,29,6.07,19,37.55,11,49.69,43,15.95,2.38,8,39.15
Maine,Coastal,6-6,0.500,30,6.01,24,35.55,24,46.29,35,17.35,2.27,27,34.32
Monmouth NJ,Big South,11-3,0.786,31,5.99,48,30.28,16,47.46,82,10.91,2.30,66,26.62
TN Martin,OH Valley,7-5,0.583,32,5.99,39,32.65,52,42.48,27,18.26,2.28,35,33.34
Idaho,Big Sky,5-7,0.417,33,5.98,32,34.42,26,45.75,41,16.76,2.35,9,38.69
Furman,Southern,8-5,0.615,34,5.98,28,35.08,34,44.58,22,18.59,2.22,52,28.96
NC A&T,Mid-Eastern AC,9-3,0.750,35,5.97,31,34.47,22,46.80,46,15.75,2.27,82,22.52
Elon,Coastal,5-6,0.455,36,5.97,35,33.69,47,42.89,20,18.89,2.19,19,36.72
Sam Houston St,Southland,7-5,0.583,37,5.93,23,36.07,42,43.80,16,20.35,2.35,64,26.84
Indiana St,Missouri Valley,5-7,0.417,38,5.90,38,33.01,67,40.57,14,20.54,2.22,23,35.84
William & Mary,Coastal,5-7,0.417,39,5.85,42,31.98,56,41.86,29,18.20,2.30,24,35.44
Portland St,Big Sky,5-7,0.417,40,5.85,30,34.67,14,47.83,50,14.92,2.26,31,33.74
McNeese St,Southland,7-5,0.583,41,5.84,47,30.56,66,40.60,31,18.05,2.33,45,29.65
Delaware,Coastal,5-7,0.417,42,5.80,44,31.76,54,42.35,33,17.50,2.22,30,34.13
Central Conn,Northeast,11-2,0.846,43,5.79,57,27.71,49,42.76,66,13.04,2.21,92,19.09
Richmond,Coastal,5-7,0.417,44,5.78,45,31.61,64,41.26,24,18.44,2.31,33,33.66
San Diego,Pioneer,9-3,0.750,45,5.78,52,29.70,35,44.36,61,13.43,2.14,87,21.05
Jacksonville St,OH Valley,6-6,0.500,46,5.75,37,33.19,36,44.25,38,17.02,2.33,55,28.71
E Kentucky,OH Valley,7-5,0.583,47,5.75,50,30.12,61,41.35,40,16.85,2.18,63,26.86
Stony Brook,Coastal,5-7,0.417,48,5.75,41,32.17,59,41.65,21,18.61,2.32,40,31.75
Chattanooga,Southern,6-6,0.500,49,5.73,51,30.04,53,42.36,45,15.77,2.28,44,31.02
Citadel,Southern,6-6,0.500,50,5.70,49,30.15,40,43.94,53,14.30,2.21,46,29.65
Cal Poly,Big Sky,3-8,0.273,51,5.69,43,31.89,32,44.79,49,15.19,2.29,14,37.62
Northern Arizona,Big Sky,4-8,0.333,52,5.63,46,31.45,7,51.66,99,7.88,2.41,28,34.26
Harvard,Ivy League,4-6,0.400,53,5.62,36,33.46,45,43.19,25,18.36,2.26,59,27.68
Alcorn St,Southwestern AC,9-4,0.692,54,5.58,60,26.89,50,42.57,73,12.41,2.18,89,20.56
Holy Cross,Patriot League,7-6,0.538,55,5.58,61,26.48,76,38.79,44,15.78,2.26,61,27.44
Idaho St,Big Sky,3-9,0.250,56,5.55,53,29.66,31,44.79,68,12.96,2.42,17,37.33
Penn,Ivy League,5-5,0.500,57,5.52,63,25.55,70,40.19,60,13.45,2.25,57,28.13
Abilene Chr,Southland,5-7,0.417,58,5.51,58,27.43,60,41.40,55,14.12,2.21,53,28.91
Southern Utah,Big Sky,3-9,0.250,59,5.50,56,28.14,39,44.11,76,12.12,2.42,20,36.58
Samford,Southern,5-7,0.417,60,5.49,54,29.41,18,47.21,83,10.29,2.25,54,28.80
S Carolina St,Mid-Eastern AC,8-3,0.727,61,5.46,69,23.10,88,36.52,51,14.67,2.28,102,17.45
Florida A&M,Mid-Eastern AC,9-2,0.818,62,5.43,85,19.80,79,38.35,87,9.54,2.28,104,16.73
N Colorado,Big Sky,2-10,0.167,63,5.34,64,25.43,68,40.24,64,13.28,2.34,18,37.33
Cornell,Ivy League,4-6,0.400,64,5.33,65,24.51,96,35.53,37,17.06,2.22,69,26.36
Colgate,Patriot League,4-8,0.333,65,5.31,62,25.90,91,36.31,32,17.68,2.19,60,27.45
Southern Univ,Southwestern AC,8-5,0.615,66,5.29,75,21.99,75,38.99,80,11.09,2.25,96,18.21
Grambling,Southwestern AC,6-5,0.545,67,5.27,67,24.26,81,38.03,52,14.31,2.29,91,19.18
Tennessee Tech,OH Valley,6-6,0.500,68,5.26,87,18.93,69,40.20,104,6.82,2.28,71,26.01
Charleston So,Big South,6-6,0.500,69,5.25,81,20.61,97,35.47,65,13.23,2.32,77,23.60
Incarnate Word,Southland,5-7,0.417,70,5.25,74,22.42,46,43.02,101,7.49,2.35,70,26.01
Rhode Island,Coastal,2-10,0.167,71,5.24,59,27.12,41,43.91,78,11.30,2.34,32,33.71
W Illinois,Missouri Valley,1-11,0.083,72,5.23,55,28.79,48,42.88,57,13.99,2.35,21,36.47
Sacred Heart,Northeast,7-5,0.583,73,5.22,78,21.43,86,36.73,70,12.79,2.26,97,18.17
Missouri St,Missouri Valley,1-10,0.091,74,5.21,66,24.42,71,39.92,71,12.58,2.31,4,40.81
SF Austin,Southland,3-9,0.250,75,5.19,72,22.58,73,39.51,79,11.16,2.30,43,31.20
Murray St,OH Valley,4-8,0.333,76,5.19,70,23.04,77,38.67,72,12.46,2.25,62,26.87
Duquesne,Northeast,6-5,0.545,77,5.17,82,20.59,95,35.77,69,12.91,2.23,94,18.60
ETSU,Southern,3-9,0.250,78,5.15,73,22.53,98,34.98,47,15.63,2.26,48,29.27
Dayton,Pioneer,8-3,0.727,79,5.15,86,18.95,29,45.13,121,1.91,2.28,112,14.29
Mercer,Southern,4-8,0.333,80,5.15,71,22.81,62,41.32,86,9.57,2.23,68,26.45
Columbia,Ivy League,3-7,0.300,81,5.13,79,21.16,93,35.78,59,13.47,2.22,56,28.36
Northwestern LA,Southland,3-9,0.250,82,5.12,68,23.37,51,42.55,91,8.91,2.26,50,29.24
Prairie View,Southwestern AC,6-5,0.545,83,5.08,80,21.02,65,41.07,97,8.03,2.18,106,16.54
St Francis PA,Northeast,6-6,0.500,84,5.08,76,21.85,87,36.60,62,13.33,2.32,103,16.90
Bethune-Cookman,Mid-Eastern AC,7-4,0.636,85,5.07,93,17.42,94,35.77,84,9.74,2.24,108,15.54
Lamar,Southland,4-8,0.333,86,5.03,84,19.89,89,36.51,77,11.46,2.25,75,24.24
VMI,Southern,5-7,0.417,87,5.02,97,16.83,63,41.26,112,3.65,2.34,73,24.99
Lafayette,Patriot League,4-8,0.333,88,5.00,99,15.96,107,31.86,74,12.19,2.25,72,25.90
Robert Morris,Northeast,7-5,0.583,89,4.99,101,13.77,102,33.10,92,8.76,2.25,95,18.26
Houston Chr,Southland,5-7,0.417,90,4.96,94,17.34,57,41.73,111,3.69,2.25,83,22.11
Campbell,Big South,6-5,0.545,91,4.96,100,15.83,90,36.50,103,7.42,2.20,100,17.62
Lehigh,Patriot League,4-7,0.364,92,4.96,91,17.56,110,31.70,58,13.95,2.31,85,21.83
Fordham,Patriot League,4-8,0.333,93,4.96,89,18.31,78,38.41,98,7.99,2.40,76,24.03
Drake,Pioneer,6-5,0.545,94,4.94,95,17.07,103,33.04,75,12.12,2.20,109,15.27
Georgetown,Patriot League,5-6,0.455,95,4.94,92,17.43,111,31.39,54,14.13,2.31,105,16.65
North Alabama,Big South,4-7,0.364,96,4.93,88,18.60,82,37.76,90,8.92,2.30,84,21.98
E Illinois,OH Valley,1-11,0.083,97,4.92,77,21.71,85,36.76,67,13.03,2.29,37,32.77
Norfolk St,Mid-Eastern AC,5-7,0.417,98,4.87,96,16.92,84,36.94,96,8.07,2.22,90,19.24
Tennessee St,OH Valley,3-9,0.250,99,4.85,83,19.93,72,39.65,94,8.36,2.29,79,23.30
Bucknell,Patriot League,3-8,0.273,100,4.85,103,13.32,108,31.82,85,9.59,2.21,58,27.69
W Carolina,Southern,3-9,0.250,101,4.85,98,16.71,83,37.36,102,7.44,2.28,65,26.82
Brown,Ivy League,2-8,0.200,102,4.81,90,18.21,55,41.87,108,4.43,2.33,67,26.61
Alabama St,Southwestern AC,5-6,0.455,103,4.74,106,12.30,106,32.10,95,8.28,2.22,99,17.77
Alabama A&M,Southwestern AC,7-5,0.583,104,4.74,104,13.12,80,38.13,118,3.08,2.22,118,11.31
Davidson,Pioneer,8-4,0.667,105,4.65,108,10.85,99,34.49,107,4.45,2.18,123,6.45
Bryant,Northeast,4-8,0.333,106,4.64,107,11.62,113,31.10,93,8.61,2.28,93,18.91
Gardner Webb,Big South,3-9,0.250,107,4.58,102,13.36,92,36.06,106,5.39,2.30,88,21.04
Ark Pine Bluff,Southwestern AC,6-5,0.545,108,4.53,111,8.84,101,33.53,114,3.40,2.22,120,10.65
NC Central,Mid-Eastern AC,4-8,0.333,109,4.50,110,9.83,119,28.71,89,9.20,2.26,107,16.06
Hampton,Big South,5-7,0.417,110,4.47,109,10.52,100,34.41,109,4.20,2.29,117,11.97
Morgan St,Mid-Eastern AC,3-9,0.250,111,4.36,112,8.73,118,29.23,100,7.59,2.36,101,17.59
Jackson St,Southwestern AC,4-8,0.333,112,4.35,113,7.80,104,32.93,119,2.95,2.26,113,14.25
Marist,Pioneer,4-7,0.364,113,4.33,115,6.10,114,31.10,117,3.09,2.29,114,13.76
Stetson,Pioneer,7-4,0.636,114,4.32,116,5.61,116,30.51,116,3.18,2.26,126,1.85
Wagner,Northeast,1-11,0.083,115,4.32,105,12.73,117,29.83,81,10.98,2.30,86,21.30
Merrimack,Northeast,6-5,0.545,116,4.27,118,4.01,120,28.61,113,3.49,2.20,125,5.24
Presbyterian,Big South,2-10,0.167,117,4.05,117,4.55,124,26.23,105,6.41,2.39,110,15.18
Howard,Mid-Eastern AC,2-10,0.167,118,4.03,119,3.42,109,31.77,123,-0.27,2.27,98,17.87
Morehead St,Pioneer,5-7,0.417,119,4.02,122,1.49,112,31.37,126,-1.79,2.31,124,6.18
LIU Post,Northeast,0-10,0.000,120,3.98,114,7.44,123,26.28,88,9.25,2.23,81,22.58
Jacksonville,Pioneer,3-9,0.250,121,3.94,120,3.31,105,32.33,124,-0.93,2.30,121,10.11
Delaware St,Mid-Eastern AC,2-10,0.167,122,3.90,121,2.48,122,27.37,115,3.19,2.34,116,12.62
Butler,Pioneer,3-9,0.250,123,3.79,125,0.55,121,28.15,122,0.49,2.26,122,7.30
MS Valley St,Southwestern AC,2-9,0.182,124,3.73,126,-1.96,126,23.51,120,2.62,2.21,119,10.89
Valparaiso,Pioneer,1-11,0.083,125,3.70,124,0.74,125,24.73,110,4.09,2.32,115,13.20
TX Southern,Southwestern AC,0-11,0.000,126,3.52,123,1.33,115,30.87,125,-1.45,2.26,111,14.81
