Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
S Dakota St,Missouri Valley,14-1,0.933,,1,7.84,1,57.52,4,55.28,1,29.45,2.22,2,43.63
N Dakota St,Missouri Valley,12-3,0.800,,2,7.35,2,54.12,6,53.31,2,28.02,2.17,9,41.18
CS Sacramento,Big Sky,12-1,0.923,+1,3,7.34,3,50.96,2,57.21,18,20.97,2.19,5,41.61
Montana St,Big Sky,12-2,0.857,-1,4,7.28,4,50.66,3,56.43,17,21.45,2.31,7,41.27
Weber St,Big Sky,10-3,0.769,,5,7.06,5,48.98,14,50.83,3,25.36,2.15,13,40.19
Incarnate Word,Southland,12-2,0.857,,6,6.98,9,46.28,1,59.51,58,13.99,2.23,25,36.04
Samford,Southern,11-2,0.846,,7,6.91,13,42.89,7,52.16,34,17.94,2.20,15,39.26
Furman,Southern,10-3,0.769,,8,6.81,10,44.95,21,48.07,6,24.09,2.21,22,36.54
Montana,Big Sky,8-5,0.615,,9,6.77,6,48.44,9,51.41,5,24.24,2.32,17,38.86
UC Davis,Big Sky,6-5,0.545,+1,10,6.70,8,47.12,15,50.65,8,23.68,2.19,11,40.81
Northern Iowa,Missouri Valley,6-5,0.545,-1,11,6.69,7,47.16,11,51.33,10,23.05,2.18,6,41.28
William & Mary,Coastal,11-2,0.846,,12,6.66,18,40.35,22,47.90,24,19.66,2.25,40,32.88
Holy Cross,Patriot League,12-1,0.923,,13,6.66,25,38.74,25,47.32,27,18.63,2.14,65,28.87
North Dakota,Missouri Valley,7-5,0.583,,14,6.64,14,42.41,10,51.36,30,18.27,2.33,3,43.15
Jacksonville St,Atlantic Sun,9-2,0.818,,15,6.62,20,40.06,29,46.72,20,20.55,2.20,42,32.87
Mercer,Southern,7-4,0.636,,16,6.54,12,43.64,13,50.99,23,19.87,2.18,23,36.45
S Illinois,Missouri Valley,5-6,0.455,,17,6.51,11,43.67,18,49.30,16,21.58,2.22,4,42.14
Richmond,Coastal,9-4,0.692,+1,18,6.50,17,41.51,28,46.81,14,21.92,2.15,38,33.13
Idaho,Big Sky,7-5,0.583,+2,19,6.50,15,42.15,12,51.32,33,18.04,2.28,16,39.23
Chattanooga,Southern,7-4,0.636,-2,20,6.50,16,41.92,35,45.43,7,23.71,2.11,26,35.59
SE Missouri St,OH Valley,9-3,0.750,-1,21,6.48,21,39.88,19,48.53,28,18.56,2.21,37,33.16
SE Louisiana,Southland,9-4,0.692,+1,22,6.43,22,38.99,8,51.58,53,14.62,2.15,34,33.86
Youngstown St,Missouri Valley,7-4,0.636,-1,23,6.43,24,38.84,26,47.03,25,19.02,2.26,21,36.81
Elon,Coastal,8-4,0.667,+1,24,6.41,28,37.90,45,43.36,15,21.76,2.24,28,35.17
Delaware,Coastal,8-5,0.615,-1,25,6.38,23,38.93,43,43.70,11,22.44,2.25,32,33.90
Missouri St,Missouri Valley,5-6,0.455,,26,6.37,19,40.25,27,46.86,19,20.61,2.20,10,40.92
Illinois St,Missouri Valley,6-5,0.545,,27,6.31,34,35.85,72,38.49,4,24.58,2.19,19,37.94
Austin Peay,Atlantic Sun,7-4,0.636,,28,6.30,26,38.51,34,45.51,22,20.21,2.21,46,32.49
Yale,Ivy League,8-2,0.800,,29,6.25,35,35.80,38,44.65,29,18.37,2.23,71,26.63
New Hampshire,Coastal,9-4,0.692,,30,6.21,42,32.80,36,44.89,49,15.12,2.33,43,32.80
Jackson St,Southwestern AC,12-1,0.923,+5,31,6.20,39,34.06,46,43.09,32,18.19,2.17,109,19.07
Princeton,Ivy League,8-2,0.800,+2,32,6.18,30,36.57,58,41.57,13,22.21,2.17,94,21.67
TN Martin,OH Valley,7-4,0.636,,33,6.17,31,36.53,20,48.13,46,15.61,2.21,49,31.74
Rhode Island,Coastal,7-4,0.636,+1,34,6.17,37,34.55,37,44.74,38,17.03,2.25,41,32.87
South Dakota,Missouri Valley,3-8,0.273,-3,35,6.17,29,36.78,56,41.76,12,22.23,2.31,1,45.09
Sam Houston St,Western Athletic,5-4,0.556,-5,36,6.16,27,38.07,54,42.15,9,23.13,2.25,47,32.41
Abilene Chr,Western Athletic,7-4,0.636,,37,6.08,41,32.82,60,41.38,26,18.65,2.15,54,30.52
E Kentucky,Atlantic Sun,7-5,0.583,+1,38,6.07,38,34.12,17,49.62,76,11.71,2.15,30,34.05
Villanova,Coastal,6-5,0.545,-1,39,6.03,36,35.07,39,44.38,35,17.91,2.18,52,31.23
Cent Arkansas,Atlantic Sun,5-6,0.455,,40,6.02,33,35.86,24,47.56,48,15.52,2.18,27,35.46
Penn,Ivy League,8-2,0.800,,41,5.97,57,28.23,71,38.74,40,16.70,2.23,84,24.71
E Washington,Big Sky,3-8,0.273,,42,5.93,32,36.12,16,49.63,62,13.70,2.43,14,40.07
Fordham,Patriot League,9-3,0.750,+3,43,5.92,47,31.14,5,55.16,120,3.20,2.19,77,25.86
W Carolina,Southern,6-5,0.545,-1,44,5.92,48,31.01,30,46.45,75,11.78,2.25,45,32.49
Gardner Webb,Big South,7-6,0.538,-1,45,5.92,50,30.36,33,45.60,71,11.97,2.17,44,32.75
SF Austin,Western Athletic,6-5,0.545,-1,46,5.90,43,32.53,31,46.33,64,13.42,2.19,58,29.89
Harvard,Ivy League,6-4,0.600,,47,5.88,44,32.53,53,42.24,36,17.50,2.16,67,27.23
Kennesaw,Atlantic Sun,5-6,0.455,,48,5.87,46,31.44,40,44.05,54,14.61,2.15,33,33.87
NC Central,Mid-Eastern AC,10-2,0.833,,49,5.82,65,25.79,47,42.89,93,10.11,2.09,112,18.66
St Francis PA,Northeast,9-3,0.750,+1,50,5.81,53,29.09,50,42.59,61,13.71,2.22,95,21.63
Towson,Coastal,6-5,0.545,-1,51,5.78,58,28.15,65,39.76,47,15.60,2.20,59,29.69
Northern Arizona,Big Sky,3-8,0.273,,52,5.76,45,31.92,55,42.10,37,17.04,2.35,20,37.33
Florida A&M,Southwestern AC,9-2,0.818,,53,5.75,67,24.97,89,36.15,43,16.04,2.26,113,18.54
Citadel,Southern,4-7,0.364,,54,5.71,59,28.06,81,37.06,31,18.21,2.20,35,33.50
Portland St,Big Sky,4-7,0.364,+2,55,5.68,55,28.45,42,43.74,73,11.92,2.23,29,34.77
ETSU,Southern,3-8,0.273,-1,56,5.67,40,33.53,32,46.01,52,14.74,2.21,36,33.25
NC A&T,Big South,7-4,0.636,-1,57,5.67,63,27.06,64,40.29,59,13.98,2.25,87,23.90
Southern Utah,Western Athletic,5-6,0.455,,58,5.66,52,29.41,49,42.65,60,13.98,2.28,64,28.91
Wofford,Southern,3-8,0.273,,59,5.64,54,28.95,62,41.31,51,14.86,2.24,24,36.33
Monmouth NJ,Coastal,5-6,0.455,,60,5.63,51,30.08,23,47.62,96,9.67,2.25,66,28.16
Indiana St,Missouri Valley,2-9,0.182,,61,5.58,61,27.58,74,38.34,41,16.46,2.16,8,41.23
Columbia,Ivy League,6-4,0.600,,62,5.57,66,25.53,76,37.69,50,15.05,2.16,89,22.78
Tarleton St,Western Athletic,6-5,0.545,,63,5.56,64,26.50,61,41.33,68,12.39,2.17,85,24.38
Lindenwood,OH Valley,7-3,0.700,,64,5.53,73,23.66,41,43.96,108,6.92,2.21,100,20.49
Campbell,Big South,5-6,0.455,,65,5.52,62,27.15,48,42.76,78,11.61,2.20,69,27.01
Utah Tech,Western Athletic,4-7,0.364,,66,5.48,71,24.21,52,42.25,98,9.17,2.19,39,32.97
Dartmouth,Ivy League,3-7,0.300,,67,5.43,49,30.39,80,37.30,21,20.31,2.25,78,25.77
SUNY Albany,Coastal,3-8,0.273,,68,5.42,56,28.40,51,42.39,66,13.23,2.29,56,30.22
St Thomas MN,Pioneer,10-1,0.909,,69,5.41,92,18.99,100,34.53,77,11.68,2.26,127,7.58
Cornell,Ivy League,5-5,0.500,+1,70,5.38,89,19.96,88,36.32,88,10.86,2.23,74,26.33
Tennessee Tech,OH Valley,4-7,0.364,-1,71,5.37,75,22.89,75,37.88,69,12.22,2.19,62,29.24
Southern Univ,Southwestern AC,7-5,0.583,+1,72,5.36,74,23.22,67,39.53,86,10.90,2.25,107,19.51
TX A&M Commerce,Southland,5-6,0.455,-1,73,5.33,69,24.37,95,35.22,42,16.37,2.21,97,21.26
Merrimack,Northeast,8-3,0.727,+1,74,5.32,95,18.08,98,34.82,91,10.48,2.10,115,16.64
Maine,Coastal,2-9,0.182,-1,75,5.32,60,27.89,57,41.76,65,13.35,2.26,51,31.25
