league,elpd_diff_model_1,elpd_diff_model_2,elpd_diff_model_3,se_diff_model_1,se_diff_model_2,se_diff_model_3,n_se_model_1,n_se_model_2,n_se_model_3,league_group,ha_2023,ha_2023_lower,ha_2023_upper
AK,0,-0.0396119149819576,-1.50009286245622,0,0.988197290174235,3.08428662651509,0,0.0400850269230888,0.48636623119271,High School,2.010593611463777,0.9084303251983563,3.1157053581019154
AL,-0.675066974907887,0,-14.6614059742311,3.55172563763976,0,6.75902834208279,0.190067320446658,0,2.16915882464153,High School,1.8085012549214776,1.5419826608108704,2.0832683459219363
AR,0,-6.14766039347892,-13.2452160743157,0,2.04843209320514,4.61352324575057,0,3.00115410897502,2.87095466279824,High School,1.7125728461745204,1.5061525047781625,1.916069069423957
AZ,0,-2.55095082579893,-12.939923669537,0,2.210082429594,5.373781741706,0,1.15423334063949,2.407973433143,High School,1.6908520883072162,1.4780095506916702,1.9038753980639271
CA,0,-4.91408750731157,-9.4486481099952,0,4.97777420254574,7.87028369313789,0,0.987205788643125,1.20054733455587,High School,1.7454467938281406,1.6510977743569555,1.840884266368701
CO,-1.09256488227091,0,-16.0663602597864,2.24211736060811,0,4.9170598195098,0.48729156709914,0,3.26747301223358,High School,1.4038415521857044,0.9939474610592766,1.7980302186010468
CT,0,-0.139613320934647,-5.8760090052384,0,1.91103525569427,4.5392308747177,0,0.0730563816228109,1.29449441269141,High School,1.4723561049016463,1.246043881985577,1.6988055001166298
DE,-0.0956201465424673,0,-7.97669928185315,2.34561217505404,0,3.23638810208832,0.0407655398276846,0,2.46469182008983,High School,2.023271501556067,1.1409511098051734,2.8825627496167843
Div II,-3.89733777311114,0,-10.0556752689432,3.55946604382769,0,4.6765900745094,1.0949220262599,0,2.15021524416978,NCAA,1.8585728028662578,1.408012963955521,2.3107652811352777
Div III,0,-5.44599644841465,-13.1144677543146,0,2.28204083703213,5.51937075936119,0,2.38645880478517,2.37608023198508,NCAA,2.3660959468284726,2.1846471765654294,2.545096849661414
FBS,-11.0253801433782,0,-2.46890503453668,4.74708175183805,0,5.33740097067579,2.32255956811976,0,0.462566902524485,NCAA,2.387706084090475,1.8878190829092212,2.882553099571491
FCS,-0.301332210772705,0,-7.34115604635999,1.6268766464687,0,4.60673206784036,0.185221302073993,0,1.59357130787107,NCAA,2.4873876082210553,1.9867589782320276,2.9599604239696684
FL,-6.66882369321502,-1.66151297913889,0,8.37595981030665,8.09929095225506,0,0.796186209610152,0.205143016707688,0,High School,0.9893389252830401,0.46742863897617787,1.5126434630033194
GA,-0.72167961083781,0,-5.76838568992678,3.86234459233509,0,5.78576918555051,0.18685013560675,0,0.996995473710368,High School,1.6767356488416982,1.4124283406894067,1.933273542526054
HI,0,-0.71827470239319,-4.61714412633359,0,1.13987745931811,3.73344601826601,0,0.630133262590235,1.23669770601853,High School,1.9393764152970194,1.3369785789449236,2.5535176329275644
IA,0,-2.56850208681412,-16.5834972257923,0,3.1646057408895,5.03394067647135,0,0.811634148806217,3.29433703962854,High School,1.3442818779750834,1.1635285243788402,1.5244227107688504
ID,-0.233636042679862,0,-4.71753257461503,1.68409333674908,0,3.77677808612127,0.138731053428942,0,1.2490891619899,High School,1.2480316202996755,0.29637878785550525,2.1593226722838708
IL,-3.10438926573916,0,-11.3208464445901,4.12658073332717,0,5.5825020268776,0.752290931973638,0,2.02791622646702,High School,1.5822818147578928,1.3140709584698413,1.8504829583103635
IN,-4.66000869490863,0,-17.7904338810232,2.99639156775227,0,4.27798208301599,1.55520685115407,0,4.15860411189028,High School,1.5629598035679988,1.2577805956178743,1.8863666681600497
KS,-4.05511767160697,0,-6.12336941545046,2.21769027953784,0,4.92402520843936,1.82853201324941,0,1.24356987550663,High School,1.3063441210309596,0.9124269355637181,1.6969382596046119
KY,0,-2.53803280335094,-1.59421186317753,0,3.07168877613766,5.73784608469706,0,0.826266262086052,0.277841517469302,High School,1.7855076787281505,1.5805527551087812,1.9869120603252628
LA,0,-2.32448025837837,-7.96199372053217,0,2.33294700264279,5.117418266739,0,0.996370794426608,1.55586143354388,High School,1.493477175326841,1.3255384780196373,1.6616165829697
MA,-2.12378902858384,0,-6.8385338952611,3.13719363587912,0,4.9087113663462,0.676970973131755,0,1.39314239214504,High School,2.270558631034589,1.9269456691207438,2.613960459402504
MD,0,-2.79913445647089,-2.49672445054926,0,2.31122967534559,4.0088337487695,0,1.21110181576928,0.62280568539806,High School,1.0506364839391686,0.8120184855688899,1.2861751689107903
ME,0,-4.30598141226907,-9.26999559333583,0,1.18013029313993,4.39699159080158,0,3.64873390446771,2.1082586586539,High School,1.8288637331264652,1.4300077130229998,2.2251937041836003
MI,0,-3.32946524641366,-2.95559753182327,0,3.75387486732443,6.02280781454752,0,0.886940924801451,0.490734159686169,High School,1.234134559192509,1.0915393848133441,1.3718712690867254
MN,-2.39266033741213,0,-6.41665753448307,2.59785194519999,0,5.48670590316192,0.921014895338056,0,1.16949179484638,High School,1.308895098623292,0.9644821120134399,1.637592674266394
MO,0,-3.4458440213992,-16.1040737870574,0,3.05842927424365,4.84352717708314,0,1.12667114797067,3.32486495858904,High School,1.4593776370243725,1.281719727664233,1.6410057923448715
MS,0,-0.223502227226824,-13.4551339368786,0,2.58823174385973,4.32579043703101,0,0.0863532516966676,3.11044516204383,High School,1.4935555684330737,1.3255416027778575,1.6661601150778262
MT,0,-0.270726600094065,-6.46130711705537,0,1.70893436601386,4.79486900594415,0,0.158418371985544,1.34754611837057,High School,2.333943832768156,1.9307424475124264,2.74039848841754
