parameter,rhat_pct,max_rhat,min_rhat,mean_ess,model_name,league
alpha,1,0.9996520677196395,0.9996520677196395,7638.874413219796,model_1,AK
sigma_a,1,0.999734523235094,0.999734523235094,6280.812134562627,model_1,AK
sigma_m,1,1.00133954339292,1.00133954339292,4723.234067171204,model_1,AK
sigma_t,1,1.0009559807896946,1.0009559807896946,5689.410817979954,model_1,AK
theta,1,1.0011540465256046,0.9994690683621178,5553.111307976181,model_1,AK
alpha_intercept,1,1.0040630385947789,1.0040630385947789,1859.053095604496,model_2,AK
alpha_trend,1,1.0005885665577088,1.0005885665577088,3760.3492619042863,model_2,AK
sigma_ai,1,1.0010958521846265,1.0010958521846265,2421.4092321255853,model_2,AK
sigma_at,1,0.9998521715341498,0.9998521715341498,6317.997112507432,model_2,AK
sigma_m,1,0.9998329082774556,0.9998329082774556,3775.937904415191,model_2,AK
sigma_t,1,1.0011728448960262,1.0011728448960262,2487.6255823116335,model_2,AK
theta,1,1.0079994723199543,0.9995119894684684,1574.8259519145236,model_2,AK
alpha,1,1.0008529295978426,0.9994129772593632,6434.595095789561,model_3,AK
sigma_a,1,1.0022055927219562,1.0022055927219562,1108.3946461496869,model_3,AK
sigma_m,1,0.9997870139053738,0.9997870139053738,4827.362917021204,model_3,AK
sigma_t,1,0.9998131234545644,0.9998131234545644,4470.196654006088,model_3,AK
theta,1,1.0024992630114005,0.9993614265056752,3824.681445501247,model_3,AK
alpha,1,0.9996659384592176,0.9996659384592176,8756.558223685543,model_1,AL
sigma_a,1,1.0000791482658915,1.0000791482658915,7550.497984957216,model_1,AL
sigma_m,1,1.000551672722208,1.000551672722208,4305.258979439582,model_1,AL
sigma_t,1,1.0010737219927537,1.0010737219927537,4010.3933012597968,model_1,AL
theta,1,1.0039390836996869,0.9993811571663688,5090.181909503363,model_1,AL
alpha_intercept,1,0.9995200437186592,0.9995200437186592,6792.759172290454,model_2,AL
alpha_trend,1,0.999967671281497,0.999967671281497,6473.744108262126,model_2,AL
sigma_ai,1,0.999397749226809,0.999397749226809,9089.46735515692,model_2,AL
sigma_at,1,0.9997640724960002,0.9997640724960002,6848.46227188801,model_2,AL
sigma_m,1,1.0013848331526285,1.0013848331526285,3469.3873717077504,model_2,AL
sigma_t,1,1.0023014426810506,1.0023014426810506,2379.9452355231806,model_2,AL
theta,1,1.0065054377705536,0.999361892736538,4024.449865073709,model_2,AL
alpha,1,1.0004334665269032,0.9994818688488584,9208.403403064052,model_3,AL
sigma_a,1,0.999965091901839,0.999965091901839,5818.745837182394,model_3,AL
sigma_m,1,0.9999676319552324,0.9999676319552324,3778.4318474116526,model_3,AL
sigma_t,1,1.000765659010257,1.000765659010257,2254.1949568013247,model_3,AL
theta,1,1.0090373873520515,0.9993693270810396,3255.5033656124,model_3,AL
alpha,1,1.0006154178019089,1.0006154178019089,6772.289939269825,model_1,AR
sigma_a,1,0.9994495261432028,0.9994495261432028,5797.717210062921,model_1,AR
sigma_m,1,0.999941688478076,0.999941688478076,4137.752022972446,model_1,AR
sigma_t,1,1.00077850795081,1.00077850795081,1627.3528606887269,model_1,AR
theta,1,1.0100610820181628,0.9993598288742028,2601.6845680224646,model_1,AR
alpha_intercept,1,1.0008774739165045,1.0008774739165045,3050.0671035990554,model_2,AR
alpha_trend,1,1.000799612291446,1.000799612291446,2875.299077664271,model_2,AR
sigma_ai,1,0.9996289149617748,0.9996289149617748,5123.882109970324,model_2,AR
sigma_at,1,1.000460329336691,1.000460329336691,5685.76955128311,model_2,AR
sigma_m,1,0.9997259888365484,0.9997259888365484,3799.5641723473327,model_2,AR
sigma_t,1,1.000530546367722,1.000530546367722,1903.6522929300177,model_2,AR
theta,1,1.0082408918650985,0.9993967246512642,2335.5840917216788,model_2,AR
alpha,1,1.0005792956103448,0.999385725037106,5885.329644552794,model_3,AR
sigma_a,1,1.0006322323423782,1.0006322323423782,4099.783847040357,model_3,AR
sigma_m,1,1.0015138705664384,1.0015138705664384,4180.230874758613,model_3,AR
sigma_t,1,1.002549843638593,1.002549843638593,1483.8565776893895,model_3,AR
theta,1,1.009522875283394,0.9994571024988737,2194.720179784729,model_3,AR
alpha,1,0.999735447117259,0.999735447117259,5403.861893962046,model_1,AZ
sigma_a,1,1.0006860042546355,1.0006860042546355,5078.9314905219535,model_1,AZ
sigma_m,1,1.0004438323957758,1.0004438323957758,3898.7711585065617,model_1,AZ
sigma_t,1,1.0040557287049414,1.0040557287049414,1275.3384263851954,model_1,AZ
theta,1,1.015033345629212,0.9994278384854638,1245.0038828684856,model_1,AZ
alpha_intercept,1,1.00015091592588,1.00015091592588,3190.4378276187917,model_2,AZ
alpha_trend,1,1.0002678811163463,1.0002678811163463,3164.3620333118192,model_2,AZ
sigma_ai,1,0.9999056561538364,0.9999056561538364,6979.562628448011,model_2,AZ
sigma_at,1,0.9995387859917654,0.9995387859917654,6854.810044381262,model_2,AZ
sigma_m,1,1.0015305328848365,1.0015305328848365,4548.389375497461,model_2,AZ
sigma_t,1,1.0027697664575013,1.0027697664575013,1365.9821759945044,model_2,AZ
theta,1,1.0147992834111497,0.9994814394773254,1248.0943982685076,model_2,AZ
alpha,1,1.0008294113468867,0.9993898504297236,5864.55742414827,model_3,AZ
sigma_a,1,1.00007622774143,1.00007622774143,4549.591981184089,model_3,AZ
sigma_m,1,1.0028389727048892,1.0028389727048892,3585.229736365461,model_3,AZ
sigma_t,1,1.0026613366591022,1.0026613366591022,2607.4092158864432,model_3,AZ
theta,1,1.007866812791219,0.9993723855453812,3052.3252470815314,model_3,AZ
alpha,1,0.9996305928562972,0.9996305928562972,8971.275411711276,model_1,CA
sigma_a,1,1.000198371302082,1.000198371302082,6996.484791743383,model_1,CA
sigma_m,1,1.0009479620544943,1.0009479620544943,3441.241075565617,model_1,CA
sigma_t,1,1.0014401867256446,1.0014401867256446,2455.912370149794,model_1,CA
theta,1,1.0061056947051892,0.9993994356297692,2905.3680309980105,model_1,CA
alpha_intercept,1,1.0005030724256243,1.0005030724256243,5130.1577488107805,model_2,CA
alpha_trend,1,1.0002727551953636,1.0002727551953636,4950.1324884001415,model_2,CA
sigma_ai,1,0.9998181700185644,0.9998181700185644,7262.235318196988,model_2,CA
sigma_at,1,0.9997805161840884,0.9997805161840884,6715.211671091541,model_2,CA
sigma_m,1,1.0011372436219332,1.0011372436219332,3246.311128389982,model_2,CA
sigma_t,1,1.0001684917078206,1.0001684917078206,2811.125563604654,model_2,CA
theta,1,1.00754966236831,0.9993925942009008,3062.960828898375,model_2,CA
alpha,1,1.0001385256440236,0.9994113578008657,8699.979485871389,model_3,CA
sigma_a,1,0.999658416838855,0.999658416838855,6981.017066825993,model_3,CA
sigma_m,1,1.0008366087564868,1.0008366087564868,3411.154190636484,model_3,CA
sigma_t,1,1.000575870961175,1.000575870961175,2592.0192937264032,model_3,CA
theta,1,1.006151574989869,0.9993899032853152,3093.121942828839,model_3,CA
alpha,1,1.0012315821401565,1.0012315821401565,5797.914219714841,model_1,CO
sigma_a,1,1.0013918061162843,1.0013918061162843,5537.6425242029845,model_1,CO
sigma_m,1,1.0000206229455972,1.0000206229455972,3685.636744427302,model_1,CO
sigma_t,1,1.0001358633713535,1.0001358633713535,1586.6190304476252,model_1,CO
theta,1,1.0095885814419323,0.9995103822311328,1694.290978802036,model_1,CO
alpha_intercept,1,0.9999989522426818,0.9999989522426818,6022.631346031581,model_2,CO
alpha_trend,1,1.0001595913223185,1.0001595913223185,5883.205454837852,model_2,CO
sigma_ai,1,1.0000959703004275,1.0000959703004275,7869.704569191171,model_2,CO
sigma_at,1,1.0003899286944322,1.0003899286944322,6332.050571694949,model_2,CO
sigma_m,1,0.9997766357891978,0.9997766357891978,4108.1402712533845,model_2,CO
sigma_t,1,1.0028899346652589,1.0028899346652589,3303.8980667991923,model_2,CO
theta,1,1.0040010461222948,0.9993778428837056,3175.8857877491237,model_2,CO
alpha,1,1.000796415952428,0.9994445589948288,5935.289800508711,model_3,CO
sigma_a,1,1.000026674875392,1.000026674875392,4132.693090608309,model_3,CO
sigma_m,1,1.0003430587552935,1.0003430587552935,3316.2034827948487,model_3,CO
sigma_t,1,1.0009340929322248,1.0009340929322248,2241.9880870803477,model_3,CO
theta,1,1.0084928627104337,0.9994688504344144,1924.0617038689888,model_3,CO
alpha,1,0.999662894649776,0.999662894649776,4382.047456469703,model_1,CT
sigma_a,1,1.000412176607123,1.000412176607123,4865.933605235929,model_1,CT
sigma_m,1,1.0007249653308448,1.0007249653308448,4615.06035553127,model_1,CT
sigma_t,1,1.0011360791868025,1.0011360791868025,2357.0063285183564,model_1,CT
theta,1,1.010327597187441,0.9996891451212884,1283.7489134424177,model_1,CT
alpha_intercept,1,1.000272041659867,1.000272041659867,2717.911178525814,model_2,CT
alpha_trend,1,1.0005025754525556,1.0005025754525556,2718.6871052265337,model_2,CT
sigma_ai,1,1.0003919719845935,1.0003919719845935,4696.606672915562,model_2,CT
sigma_at,1,1.000229891249319,1.000229891249319,4712.564634045806,model_2,CT
sigma_m,1,1.0011885822154238,1.0011885822154238,4755.817711978341,model_2,CT
sigma_t,1,1.0007002872055233,1.0007002872055233,2407.5488717309763,model_2,CT
theta,1,1.00967288047953,0.9995829394103454,1378.289476080465,model_2,CT
alpha,1,1.001110402821331,0.9994625610594448,4942.33140358185,model_3,CT
sigma_a,1,0.9996047797994388,0.9996047797994388,3757.7318882617737,model_3,CT
sigma_m,1,1.0002081258237,1.0002081258237,4934.787961472065,model_3,CT
sigma_t,1,1.0019495089366617,1.0019495089366617,1907.2531369299925,model_3,CT
theta,1,1.0174211076412196,0.9994196584814362,1258.6120688678848,model_3,CT
alpha,1,1.0001979591734704,1.0001979591734704,8444.466251746675,model_1,DE
sigma_a,1,0.9998894477905894,0.9998894477905894,8762.272920873163,model_1,DE
sigma_m,1,0.9996428289717024,0.9996428289717024,6228.837439022089,model_1,DE
sigma_t,1,1.0001066263427671,1.0001066263427671,4889.4527502987185,model_1,DE
theta,1,1.0051887967045972,0.999493014172838,1958.781615347938,model_1,DE
alpha_intercept,1,1.0006827022822204,1.0006827022822204,2516.1299500643067,model_2,DE
alpha_trend,1,1.0012625708147505,1.0012625708147505,2412.383740213485,model_2,DE
sigma_ai,1,1.0004590136941849,1.0004590136941849,3841.7350310844104,model_2,DE
sigma_at,1,0.9998260617990564,0.9998260617990564,5399.672547431158,model_2,DE
sigma_m,1,0.9999925348999598,0.9999925348999598,5074.327483437458,model_2,DE
sigma_t,1,1.0010689169756324,1.0010689169756324,2148.8657516599856,model_2,DE
theta,1,1.021344965646843,1.0000463314716428,1020.0941351982927,model_2,DE
alpha,1,1.0012931292025722,0.9994898943085304,6514.6480536046865,model_3,DE
sigma_a,1,1.0012534454869062,1.0012534454869062,1389.0784478498033,model_3,DE
sigma_m,1,1.0001509353429987,1.0001509353429987,5634.233468842687,model_3,DE
sigma_t,1,1.0005838523566914,1.0005838523566914,4171.484160498675,model_3,DE
theta,1,1.0073467561157166,0.9994196586280336,1632.3644262545388,model_3,DE
alpha,1,1.000032833101515,1.000032833101515,6234.807923604947,model_1,Div II
sigma_a,1,0.9998632505998524,0.9998632505998524,5983.142086306405,model_1,Div II
sigma_m,1,1.000424241574677,1.000424241574677,5121.845558628574,model_1,Div II
sigma_t,1,1.0003343993192169,1.0003343993192169,3523.100674887639,model_1,Div II
theta,1,1.005909777337329,0.9994704339246928,2497.1044195700547,model_1,Div II
alpha_intercept,1,1.0005734360709184,1.0005734360709184,2890.2266701030553,model_2,Div II
alpha_trend,1,1.0005776995996452,1.0005776995996452,3024.7340022135263,model_2,Div II
sigma_ai,1,0.9996255081372456,0.9996255081372456,6197.343534114856,model_2,Div II
sigma_at,1,0.9997723606729362,0.9997723606729362,5468.376092264185,model_2,Div II
sigma_m,1,0.9997108878112784,0.9997108878112784,6057.7915881786,model_2,Div II
sigma_t,1,1.0005613303701544,1.0005613303701544,3291.0617765808324,model_2,Div II
theta,1,1.0084766852033875,0.9994425426283592,2324.227930282238,model_2,Div II
alpha,1,1.0005921575552392,0.9994449890256242,6411.972581714862,model_3,Div II
sigma_a,1,1.0009952058318667,1.0009952058318667,4485.814346854471,model_3,Div II
sigma_m,1,1.000687903786767,1.000687903786767,5200.998989648259,model_3,Div II
sigma_t,1,0.999774870142759,0.999774870142759,4193.992019401141,model_3,Div II
theta,1,1.005533227342101,0.9994077313782128,2968.0141784764783,model_3,Div II
alpha,1,0.9998596279962072,0.9998596279962072,7152.658834275032,model_1,Div III
sigma_a,1,0.999766806899133,0.999766806899133,6795.678699632073,model_1,Div III
sigma_m,1,0.9996848383716308,0.9996848383716308,5125.19885659233,model_1,Div III
sigma_t,1,0.9998162814462204,0.9998162814462204,5269.441548738444,model_1,Div III
theta,1,1.0029711657129443,0.9994013007920204,4764.898065382771,model_1,Div III
alpha_intercept,1,0.9994732490249428,0.9994732490249428,6420.088004214195,model_2,Div III
alpha_trend,1,0.9996942737644926,0.9996942737644926,6378.232189618098,model_2,Div III
sigma_ai,1,1.000140324085491,1.000140324085491,8163.2890854503185,model_2,Div III
sigma_at,1,0.9997080688016476,0.9997080688016476,7449.983429931447,model_2,Div III
sigma_m,1,1.0002302391253226,1.0002302391253226,5218.731645886993,model_2,Div III
sigma_t,1,1.0005332416824286,1.0005332416824286,4352.208645493128,model_2,Div III
theta,1,1.0033119632572929,0.9993910671579632,4114.193043757108,model_2,Div III
alpha,1,1.0006447195981572,0.9994767178978544,6098.432555348135,model_3,Div III
sigma_a,1,1.001886104108612,1.001886104108612,4989.866630316476,model_3,Div III
sigma_m,1,1.000156736103958,1.000156736103958,4859.759799835169,model_3,Div III
sigma_t,1,1.0001866375907542,1.0001866375907542,3126.16861149658,model_3,Div III
theta,1,1.0085376078648127,0.9993630355037884,2426.3595412555487,model_3,Div III
alpha,1,0.9997886344132194,0.9997886344132194,5886.608931280047,model_1,FBS
