"league","lower","upper","median","mean","percent_more_than_0","contains_0"
"AK",-0.111842152279598,0.255590263957429,0.0745427394084433,0.0748041427489166,0.217166666666667,TRUE
"AL",-0.00704662474135172,0.040567307488348,0.0152017412217374,0.0155360135249559,0.100666666666667,TRUE
"AR",-0.0422399387756463,0.0273752649701263,-0.00506951683441487,-0.0063030936856773,0.6345,TRUE
"AZ",-0.0262118300019151,0.0463411492055559,0.00693908963516766,0.00835583023618288,0.33,TRUE
"CA",-0.00249279457649412,0.0299636298052896,0.0134853878761083,0.0134320654202933,0.0516666666666667,TRUE
"CO",-0.0440290943224329,0.0260453723765829,-0.00713150766299117,-0.00806786896985147,0.667666666666667,TRUE
"CT",-0.0510183829128008,0.0276519529097648,-0.00964935859052224,-0.0104903303890643,0.699166666666667,TRUE
"DE",-0.00300743800323779,0.163000894724201,0.0875214933933064,0.0841315221467815,0.031,TRUE
"Div II",-0.099565172450613,-0.0174191967148072,-0.0581048844957072,-0.0583490599567593,0.999,FALSE
"Div III",-0.0403160368087902,0.0202271676827809,-0.00771490473905636,-0.00860803352569264,0.707,TRUE
"FBS",-0.142031056935001,-0.0516552243098663,-0.0969869615516155,-0.09700022660198,1,FALSE
"FCS",-0.0586315829275649,0.0265922129025386,-0.0127627891282223,-0.0143709451916143,0.743,TRUE
"FL",-0.038922225919668,0.00555301186460214,-0.0150824364547491,-0.0154809380467804,0.912333333333333,TRUE
"GA",0.00184540289932899,0.0498887684764472,0.0264425735452074,0.0263182530206291,0.0148333333333333,FALSE
"HI",-0.082753730700728,0.113618049862931,0.00999533858979671,0.0128230260377679,0.399,TRUE
"IA",-0.00406030307853601,0.0633810664808721,0.0300176468272528,0.029836020144417,0.0388333333333333,TRUE
"ID",-0.133069440765785,0.0253703271806937,-0.0484941419223868,-0.0497231653268801,0.893666666666667,TRUE
"IL",-0.00164251902955618,0.045601200876317,0.0216696230071722,0.0216632326493495,0.0356666666666667,TRUE
"IN",-0.0089585058550666,0.0458883854086258,0.0167886619707854,0.0172851725241589,0.107333333333333,TRUE
